BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,TAR/G,REC/G,YDS/G,SNP,SNP%,RT,RT%,TAR%,FRD,FRDR,FRD%,OPP,OPP%
,Puka Nacua,LA,WR,1,11,9,181,0,11,9,181,40,57.143,27,67.5,27.5,11,100,26.829,13,18.841
,Amon-Ra St. Brown,DET,WR,1,18,13,172,2,18,13,172,59,95.161,42,100,42.857,17,94.444,40.476,18,29.032
,Kyle Pitts,ATL,TE,1,12,11,166,3,12,11,166,62,93.939,43,95.556,26.667,7,58.333,15.556,12,18.182
,Trey McBride,ARZ,TE,1,13,12,134,2,13,12,134,58,90.625,42,100,30.952,6,46.154,13.953,13,20.635
,Mike Evans,TB,WR,1,12,6,132,0,12,6,132,31,50,28,71.795,30.769,10,83.333,25,12,19.672
,Ja'Marr Chase,CIN,WR,1,16,10,132,0,16,10,132,69,94.521,41,97.619,38.095,5,31.25,11.364,16,22.535
,Jameson Williams,DET,WR,1,9,7,126,1,9,7,126,56,90.323,40,95.238,21.429,7,77.778,16.667,9,14.516
,Courtland Sutton,DEN,WR,1,10,7,113,1,10,7,113,58,86.567,33,97.059,29.412,4,40,11.111,10,15.385
,Jaxon Smith-Njigba,SEA,WR,1,9,7,113,0,9,7,113,52,85.246,34,91.892,24.324,7,77.778,17.949,9,15.254
,CeeDee Lamb,DAL,WR,1,10,6,111,0,10,6,111,58,84.058,39,97.5,25,8,80,20,10,14.493
,Ricky Pearsall,SF,WR,1,7,6,96,0,7,6,96,41,54.667,22,68.75,21.875,7,100,18.919,7,10
,Isaiah Bond,CLV,WR,1,4,2,89,0,4,2,89,39,67.241,30,75,10,4,100,9.524,4,7.143
,Luther Burden III,CHI,WR,1,7,6,88,0,7,6,88,25,38.462,16,51.613,22.581,4,57.143,12.5,7,10.938
,George Kittle,SF,TE,1,9,8,88,1,9,8,88,68,90.667,31,96.875,28.125,3,33.333,8.108,9,12.857
,Nico Collins,HST,WR,1,4,3,85,2,4,3,85,46,70.769,27,90,13.333,4,100,12.5,4,6.349
,Troy Franklin,DEN,WR,1,6,6,85,1,6,6,85,32,47.761,22,64.706,17.647,1,16.667,2.778,7,10.769
,Chris Olave,NO,WR,1,9,6,85,1,9,6,85,51,77.273,34,89.474,23.684,9,100,21.951,9,14.286
,Bijan Robinson,ATL,RB,1,11,8,82,0,11,8,82,58,87.879,38,84.444,24.444,7,63.636,15.556,30,45.455
