BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT,YDS,YPC,TD,FUM,FUML,FD,RZ,GL,GL TD,EPA,EPA/ATT,DYAR,DVOA,FPTS,PPG
,Jahmyr  Gibbs,DET,RB,1,46,70.769,15,219,14.6,2,0,0,7,0,0,0,15.425,1.028,55.024,68.88,55.4,55.4
,James  Cook,BUF,RB,1,36,52.174,17,116,6.824,1,0,0,3,0,0,0,-0.479,-0.028,27.378,29.67,21.9,21.9
,Chase  Brown,CIN,RB,1,54,87.097,19,107,5.632,0,0,0,7,0,0,0,1.051,0.055,27.65,25.68,13.3,13.3
,Emanuel  Wilson,GB,RB,1,36,54.545,28,107,3.821,2,0,0,9,5,3,2,-2.608,-0.093,36.262,17.5,26.5,26.5
,Kareem  Hunt,KC,RB,1,66,69.474,30,104,3.467,1,1,1,10,7,3,1,-6.542,-0.218,-8.567,-14.15,22,22
,Kenneth  Gainwell,PIT,RB,1,36,51.429,10,92,9.2,0,0,0,3,2,1,0,6.052,0.605,14.864,20.68,18.2,18.2
,Christian  McCaffrey,SF,RB,1,58,81.69,24,89,3.708,1,1,0,5,5,0,0,-1.62,-0.068,-11.866,-20.65,27.2,27.2
,Javonte  Williams,DAL,RB,1,49,69.014,20,87,4.35,0,0,0,4,5,1,0,-1.034,-0.052,-4.599,-13.83,12.1,12.1
,Travis  Etienne,JAX,RB,1,38,60.317,15,86,5.733,0,0,0,1,2,0,0,-1.44,-0.096,-7.406,-21.69,20.6,20.6
,Woody  Marks,HST,RB,1,40,70.175,16,74,4.625,0,0,0,5,6,2,0,2.703,0.169,-17.331,-32.22,7.9,7.9
,Kenneth  Walker III,SEA,RB,1,30,63.83,11,71,6.455,0,0,0,4,3,1,0,0.531,0.048,2.312,-3.32,13.1,13.1
,Bijan  Robinson,ATL,RB,1,35,62.5,14,70,5,0,0,0,2,1,0,0,-0.334,-0.024,8.736,7.13,12.7,12.7
,Jaylen  Warren,PIT,RB,1,34,48.571,18,68,3.778,1,0,0,6,3,1,1,0.545,0.03,1.088,-7.39,12.8,12.8
,TreVeyon  Henderson,NE,RB,1,42,60,18,66,3.667,0,0,0,4,1,1,0,-0.299,-0.017,-17.944,-30.2,11.1,11.1
,Derrick  Henry,BLT,RB,1,35,55.556,21,64,3.048,2,0,0,3,9,6,2,-1.742,-0.083,1.717,-6.78,22.8,22.8
,Tyrone  Tracy Jr.,NYG,RB,1,55,70.513,20,62,3.1,0,0,0,3,5,2,0,-3.189,-0.159,10.128,4.4,16,16
,Jonathan  Taylor,IND,RB,1,45,86.538,16,58,3.625,0,0,0,2,3,1,0,-3.682,-0.23,-9.692,-20.43,8.6,8.6
,Ashton  Jeanty,LV,RB,1,60,77.922,17,50,2.941,0,0,0,1,0,0,0,-7.678,-0.452,19.673,30.67,24.8,24.8
,Kyle  Monangai,CHI,RB,1,34,53.968,12,48,4,1,0,0,4,5,1,1,3.146,0.262,18.062,27.71,10.8,10.8
,Devin  Singletary,NYG,RB,1,22,28.205,14,47,3.357,0,0,0,2,1,1,0,-4.664,-0.333,1.888,-5.59,4.7,4.7
,Quinshon  Judkins,CLV,RB,1,24,50,16,47,2.938,2,0,0,3,3,1,1,-2.001,-0.125,29.654,39.95,16.7,16.7
,Kyren  Williams,LA,RB,1,36,65.455,12,46,3.833,0,0,0,2,0,0,0,-1.418,-0.118,14.83,21.53,5.8,5.8
,Breece  Hall,NYJ,RB,1,41,68.333,16,44,2.75,0,1,1,4,2,0,0,-9.208,-0.576,-20.739,-39.15,15.9,15.9
,Tyler  Allgeier,ATL,RB,1,21,37.5,12,44,3.667,0,0,0,2,0,0,0,-3.722,-0.31,1.961,-4.72,5.9,5.9
,Jordan  Mason,MIN,RB,1,12,26.667,8,42,5.25,0,0,0,4,1,0,0,-1.553,-0.194,12.837,18.88,4.2,4.2
,Sean  Tucker,TB,RB,1,25,35.211,12,42,3.5,0,0,0,2,1,0,0,-0.169,-0.014,5.716,3.47,5.6,5.6
,Aaron  Jones,MIN,RB,1,29,64.444,9,41,4.556,0,0,0,2,0,0,0,0.649,0.072,8.959,14.54,8.7,8.7
,Brian  Robinson,SF,RB,1,10,14.085,7,40,5.714,0,0,0,2,1,0,0,0.049,0.007,9.628,25.21,5.4,5.4
,Rachaad  White,TB,RB,1,39,54.93,7,38,5.429,0,0,0,3,0,0,0,0.237,0.034,8.799,20.12,5.2,5.2
,Rico  Dowdle,CAR,RB,1,28,59.574,6,38,6.333,0,0,0,2,2,0,0,1.067,0.178,12.46,41.18,11.4,11.4
,Cam  Ward,TEN,QB,1,72,100,6,37,6.167,1,0,0,4,2,0,0,6.531,1.089,14.557,102.51,23.94,23.94
,Zach  Charbonnet,SEA,RB,1,14,29.787,6,35,5.833,1,0,0,4,2,1,0,3.352,0.559,19.278,73.45,9.5,9.5
,Jalen  Hurts,PHI,QB,1,62,101.639,7,33,4.714,2,0,0,3,2,1,1,2.468,0.353,13.405,38.11,30.86,30.86
,Patrick  Mahomes,KC,QB,1,95,100,4,30,7.5,0,0,0,2,1,0,0,3.091,0.773,0,0,15.08,15.08
,Trevor  Lawrence,JAX,QB,1,63,100,5,29,5.8,0,0,0,2,0,0,0,3.045,0.609,-4.243,-44.73,19.14,19.14
,Michael  Carter,ARZ,RB,1,41,51.899,5,28,5.6,0,0,0,3,1,1,0,1.137,0.227,11.921,33.5,8.8,8.8
,Malik  Davis,DAL,RB,1,12,16.901,3,24,8,0,0,0,1,0,0,0,0.289,0.096,6.105,54.06,2.4,2.4
,Blake  Corum,LA,RB,1,19,34.545,7,24,3.429,0,0,0,2,1,0,0,-1.543,-0.22,4.737,9.82,2.4,2.4
,Dylan  Sampson,CLV,RB,1,16,33.333,7,23,3.286,0,0,0,1,1,0,0,-3.224,-0.461,-7.641,-42.66,16.2,16.2
,Drake  Maye,NE,QB,1,70,100,5,22,4.4,0,0,0,2,1,1,0,-0.489,-0.098,-10.026,-95.98,15.96,15.96
,Saquon  Barkley,PHI,RB,1,48,78.689,10,22,2.2,0,0,0,1,2,0,0,-3.995,-0.4,-27.926,-86.93,14.4,14.4
,Tyler  Shough,NO,QB,1,76,95,7,22,3.143,0,1,1,2,4,3,0,-5.01,-0.716,-17.522,-59.67,9.92,9.92
,Caleb  Williams,CHI,QB,1,63,100,4,21,5.25,0,0,0,1,0,0,0,2.961,0.74,2.456,20.52,23.66,23.66
,Chris  Brooks,GB,RB,1,27,40.909,8,21,2.625,0,0,0,2,2,0,0,-1.429,-0.179,-0.679,-10.78,3.6,3.6
,Josh  Allen,BUF,QB,1,69,100,5,20,4,0,0,0,2,0,0,0,3.38,0.676,2.244,17.68,8.12,8.12
,Tony  Pollard,TEN,RB,1,36,50,11,20,1.818,0,0,0,0,0,0,0,-4.857,-0.442,-16.084,-46.39,8.1,8.1
,Jacoby  Brissett,ARZ,QB,1,77,97.468,3,20,6.667,0,0,0,2,0,0,0,2.094,0.698,0,0,18.68,18.68
,Tyrod  Taylor,NYJ,QB,1,60,100,5,19,3.8,0,0,0,2,0,0,0,1.103,0.221,-8.051,-99.62,12.78,12.78
,Baker  Mayfield,TB,QB,1,41,57.746,4,19,4.75,0,0,0,2,0,0,0,2.167,0.542,0,0,3.54,3.54
,David  Montgomery,DET,RB,1,22,33.846,5,18,3.6,0,0,0,2,1,1,0,0.592,0.118,-12.569,-52.63,6.7,6.7
,Devin  Neal,NO,RB,1,58,72.5,7,18,2.571,0,0,0,1,0,0,0,-1.222,-0.175,-7.395,-35.62,11.1,11.1
,Bhayshul  Tuten,JAX,RB,1,13,20.635,7,17,2.429,0,0,0,2,2,0,0,-2.991,-0.427,-10.63,-36.43,1.7,1.7
,Taysom  Hill,NO,QB,1,24,30,10,17,1.7,0,0,0,4,5,1,0,1.849,0.185,-12.43,-28.95,1.7,1.7
,Nick  Chubb,HST,RB,1,11,19.298,6,16,2.667,0,0,0,1,1,1,0,-2.044,-0.341,-18.347,-68.16,2.5,2.5
,Daniel  Jones,IND,QB,1,53,101.923,3,16,5.333,0,0,0,2,0,0,0,2.043,0.681,0,0,16.84,16.84
,Brock  Purdy,SF,QB,1,71,100,6,16,2.667,0,0,0,4,1,0,0,3.569,0.595,4.902,9.09,7.32,7.32
,Chuba  Hubbard,CAR,RB,1,15,31.915,3,16,5.333,0,0,0,0,0,0,0,-0.861,-0.287,-1.317,-21.8,8.3,8.3
,D'Andre  Swift,CHI,RB,1,25,39.683,8,15,1.875,0,1,1,1,1,1,0,-8.166,-1.021,-29.64,-89.31,3.9,3.9
,Luther  Burden III,CHI,WR,1,30,47.619,1,15,15,0,0,0,1,0,0,0,1.221,1.221,12.503,228.64,9.1,9.1
,Jordan  Love,GB,QB,1,60,90.909,3,15,5,0,0,0,1,0,0,0,0.534,0.178,0.711,7.46,7.06,7.06
,Bryce  Young,CAR,QB,1,47,100,4,15,3.75,0,0,0,1,3,0,0,0.104,0.026,0,0,8.26,8.26
,DeMario  Douglas,NE,WR,1,12,17.143,1,14,14,0,0,0,1,0,0,0,0.913,0.913,7.912,128.12,6.1,6.1
,Jameis  Winston,NYG,QB,1,78,100,4,13,3.25,0,0,0,1,1,0,0,2.273,0.568,-4.628,-56.09,32.24,32.24
,DK  Metcalf,PIT,WR,1,59,84.286,2,12,6,1,0,0,1,1,0,0,1.687,0.843,18.229,129.52,14.4,14.4
,Bam  Knight,ARZ,RB,1,35,44.304,10,12,1.2,1,0,0,1,2,2,1,-3.971,-0.397,-8.757,-26.69,13.2,13.2
,Tez  Johnson,TB,WR,1,58,81.69,2,12,6,0,0,0,0,1,0,0,0.765,0.382,11.305,72.2,12.3,12.3
,Zay  Flowers,BLT,WR,1,47,74.603,2,11,5.5,0,0,0,1,0,0,0,0.2,0.1,6.032,21.56,11.9,11.9
,Lamar  Jackson,BLT,QB,1,63,100,7,11,1.571,0,0,0,0,3,0,0,-1.861,-0.266,0,0,7.22,7.22
,Alvin  Kamara,NO,RB,1,11,13.75,3,11,3.667,0,0,0,0,0,0,0,-0.257,-0.086,-0.089,-9.39,3.5,3.5
,Keaton  Mitchell,BLT,RB,1,9,14.286,2,10,5,0,0,0,1,1,0,0,-1.523,-0.762,4.993,59.64,2.9,2.9
,J.J.  McCarthy,MIN,QB,1,45,100,2,10,5,0,1,0,1,0,0,0,-0.42,-0.21,-13.135,-374.37,0.48,0.48
,Xavier  Hutchinson,HST,WR,1,19,33.333,1,9,9,0,0,0,0,1,0,0,0.914,0.914,0,0,0.9,0.9
,Dak  Prescott,DAL,QB,1,71,100,5,9,1.8,1,0,0,1,2,1,0,-0.256,-0.051,0,0,27.06,27.06
,Arian  Smith,NYJ,WR,1,14,23.333,1,8,8,0,0,0,0,0,0,0,0.783,0.783,4.873,42.87,0.8,0.8
,Clyde  Edwards-Helaire,KC,RB,1,14,14.737,5,8,1.6,0,0,0,1,0,0,0,-1.835,-0.367,-9.81,-48.3,3.7,3.7
,Geno  Smith,LV,QB,1,77,100,3,8,2.667,0,0,0,1,1,0,0,-0.364,-0.121,-6.912,-163.11,16.2,16.2
,Tank  Bigsby,PHI,RB,1,3,4.918,1,8,8,0,0,0,0,0,0,0,-0.292,-0.292,0.767,37.37,0.8,0.8
,Ty  Johnson,BUF,RB,1,23,33.333,2,7,3.5,0,0,0,0,1,0,0,-0.293,-0.146,-1.477,-31.28,8.2,8.2
,Isaiah  Davis,NYJ,RB,1,16,26.667,4,7,1.75,0,0,0,0,0,0,0,-4.084,-1.021,-13.224,-96.16,0.7,0.7
,Mason  Rudolph,PIT,QB,1,70,100,3,7,2.333,0,0,0,2,1,0,0,0.895,0.298,3.958,11.37,9.54,9.54
,Jonnu  Smith,PIT,TE,1,33,47.143,2,7,3.5,0,0,0,0,1,0,0,-0.145,-0.073,-2.82,-63.17,5.8,5.8
,Teddy  Bridgewater,TB,QB,1,30,42.254,1,6,6,0,0,0,0,0,0,0,-0.019,-0.019,0,0,3.08,3.08
,Jaylin  Noel,HST,WR,1,16,28.07,1,5,5,0,0,0,0,0,0,0,0.131,0.131,1.668,-1,1.9,1.9
,Andrei  Iosivas,CIN,WR,1,51,82.258,1,5,5,0,0,0,0,0,0,0,-0.046,-0.046,2.821,20.89,10.6,10.6
,Tahj  Brooks,CIN,RB,1,9,14.516,2,5,2.5,0,0,0,0,0,0,0,-0.597,-0.299,-3.573,-49.18,0.5,0.5
,Rhamondre  Stevenson,NE,RB,1,22,31.429,6,5,0.833,0,0,0,0,3,2,0,-7.61,-1.268,-32.073,-100.21,2,2
,Brashard  Smith,KC,RB,1,18,18.947,1,5,5,0,0,0,0,0,0,0,-0.055,-0.055,1.941,46.85,6.6,6.6
,Rashid  Shaheed,SEA,WR,1,26,55.319,1,5,5,0,0,0,0,0,0,0,0.123,0.123,0.751,-4.75,0.5,0.5
,Kirk  Cousins,ATL,QB,1,56,100,2,5,2.5,0,0,0,1,0,0,0,0.081,0.041,0,0,14.46,14.46
,Davis  Mills,HST,QB,1,56,98.246,2,4,2,0,0,0,0,0,0,0,0.046,0.023,0.068,-10.71,14.52,14.52
,Tyjae  Spears,TEN,RB,1,28,38.889,3,4,1.333,0,0,0,0,0,0,0,-2.467,-0.822,-6.872,-64.08,6.5,6.5
,Jaxon  Smith-Njigba,SEA,WR,1,37,78.723,1,4,4,0,0,0,0,0,0,0,-0.073,-0.073,-0.684,-50,37.1,37.1
,Harold  Fannin Jr.,CLV,TE,1,42,87.5,1,4,4,0,0,0,0,0,0,0,-0.031,-0.031,-1.121,-140,8.4,8.4
,KaVontae  Turpin,DAL,WR,1,31,43.662,2,4,2,0,1,1,0,0,0,0,-5.449,-2.725,-21.221,-278.13,6.2,6.2
,Joe  Flacco,CIN,QB,1,61,98.387,1,3,3,0,0,0,1,0,0,0,0.243,0.243,0.999,0.5,9.62,9.62
,Malik  Willis,GB,QB,1,6,9.091,2,3,1.5,0,0,0,1,0,0,0,-2.245,-1.123,3.206,26.04,0.58,0.58
,Julius  Chestnut,TEN,RB,1,5,6.944,2,3,1.5,0,0,0,1,1,0,0,-2.105,-1.053,-1.568,-18.67,0.3,0.3
,Mark  Andrews,BLT,TE,1,37,58.73,2,2,1,0,0,0,1,0,0,0,0.115,0.058,0.36,-36.32,2.1,2.1
,LeQuint  Allen Jr.,JAX,RB,1,9,14.286,1,2,2,0,0,0,0,0,0,0,-0.895,-0.895,-3.809,-70.23,0.2,0.2
,Raheem  Mostert,LV,RB,1,15,19.481,1,2,2,0,0,0,0,0,0,0,-0.287,-0.287,0.272,280.95,5,5
,Feleipe  Franks,ATL,TE,1,2,3.571,1,2,2,0,0,0,1,0,0,0,0.826,0.826,6.57,31.18,0.2,0.2
,Ricky  Pearsall,SF,WR,1,53,74.648,1,2,2,0,0,0,0,0,0,0,-0.417,-0.417,-2.757,-76.92,2.8,2.8
,Connor  Heyward,PIT,TE,1,4,5.714,1,0,0,0,0,0,0,0,0,0,-3.589,-3.589,-6.147,-109.88,0,0
,Terrell  Jennings,NE,RB,1,2,2.857,1,0,0,0,0,0,0,1,1,0,-0.262,-0.262,-8.703,-108.74,0,0
,Wan'Dale  Robinson,NYG,WR,1,63,80.769,1,0,0,0,0,0,0,0,0,0,-0.463,-0.463,-2.73,-100.25,30.6,30.6
,Savion  Williams,GB,WR,1,7,10.606,1,0,0,0,0,0,0,0,0,0,-1.109,-1.109,-6.038,-111.42,0,0
,Sam  Darnold,SEA,QB,1,47,100,1,-1,-1,0,0,0,0,0,0,0,-1.57,-1.57,0,0,17.66,17.66
,Shedeur  Sanders,CLV,QB,1,43,89.583,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,10.26,10.26
,Jerome  Ford,CLV,RB,1,8,16.667,1,-3,-3,0,0,0,0,0,0,0,-1.065,-1.065,-3.152,-377.37,-0.3,-0.3
,Greg  Dortch,ARZ,WR,1,48,60.759,2,-5,-2.5,0,0,0,0,0,0,0,-1.747,-0.874,-9.951,-202,16.8,16.8
,Malachi  Corley,CLV,WR,1,12,25,1,-6,-6,0,0,0,0,0,0,0,-1.316,-1.316,-9.042,-229.17,1.2,1.2
