BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,FUM,FUML,SNP,SNP%,ATT%,TCH,TCH%,OPP,OPP%,rATT%,rTCH%,rOPP%,ATT/G,TCH/G
,Jonathan  Taylor,IND,RB,11,205,"1,197",5.839,15,0,0,564,81.739,69.966,237,44.216,237,35.426,82,44.216,35.426,18.636,21.545
,James  Cook,BUF,RB,11,199,"1,084",5.447,8,2,1,412,57.302,61.231,223,40.108,223,32.507,78.039,40.108,32.507,18.091,20.273
,Jahmyr  Gibbs,DET,RB,11,155,951,6.135,10,0,0,422,61.786,51.495,203,37.179,203,29.897,51.495,37.179,29.897,14.091,18.455
,De'Von  Achane,MIA,RB,11,164,900,5.488,5,1,0,486,78.135,63.077,218,44.948,218,35.563,63.077,44.948,35.563,14.909,19.818
,Javonte  Williams,DAL,RB,11,181,896,4.95,8,1,1,536,73.124,62.63,209,36.602,209,29.313,72.112,36.602,29.313,16.455,19
,Rico  Dowdle,CAR,RB,12,174,871,5.006,5,0,0,405,53.501,52.727,201,35.263,201,27.236,57.426,35.263,27.236,14.5,16.75
,Derrick  Henry,BLT,RB,11,187,871,4.658,9,3,2,356,55.023,60.714,200,40.08,200,32.051,71.374,40.08,32.051,17,18.182
,Bijan  Robinson,ATL,RB,11,172,853,4.959,4,2,1,513,75.441,57.718,221,43.164,221,33.183,62.094,43.164,33.183,15.636,20.091
,Travis  Etienne,JAX,RB,11,169,815,4.822,5,0,0,420,56.15,52.322,193,35.478,193,26.768,62.825,35.478,26.768,15.364,17.545
,Christian  McCaffrey,SF,RB,12,217,796,3.668,7,1,0,638,81.274,65.165,298,47.756,298,38.601,71.854,47.756,38.601,18.083,24.833
,Kyren  Williams,LA,RB,11,170,796,4.682,6,2,2,478,70.294,58.824,194,36.127,194,28.656,64.151,36.127,28.656,15.455,17.636
,J.K.  Dobbins,DEN,RB,10,153,772,5.046,4,0,0,323,45.493,52.577,164,31.061,164,23.699,63.485,31.061,23.699,15.3,16.4
,Breece  Hall,NYJ,RB,11,168,766,4.56,2,2,2,406,58.501,54.545,196,39.437,196,30.154,77.064,39.437,30.154,15.273,17.818
,Saquon  Barkley,PHI,RB,11,185,684,3.697,4,0,0,510,75.556,59.677,220,42.553,220,34.109,80.435,42.553,34.109,16.818,20
,Kenneth  Walker III,SEA,RB,11,147,677,4.605,4,0,0,293,45.426,44.954,164,30.597,164,25.625,44.954,30.597,25.625,13.364,14.909
,Quinshon  Judkins,CLV,RB,10,173,667,3.855,7,0,0,305,43.509,63.139,187,38.086,187,27.339,63.139,38.086,27.339,17.3,18.7
,D'Andre  Swift,CHI,RB,10,142,649,4.57,4,2,2,369,49.865,43.425,166,30.515,166,23.38,52.399,30.515,23.38,14.2,16.6
,Josh  Jacobs,GB,RB,10,169,648,3.834,11,1,1,386,56.105,52.812,197,36.015,197,29.359,59.507,36.015,29.359,16.9,19.7
,Chase  Brown,CIN,RB,11,145,626,4.317,2,1,0,452,68.902,67.757,186,39.574,186,28.659,67.757,39.574,28.659,13.182,16.909
,Ashton  Jeanty,LV,RB,11,166,604,3.639,4,1,1,481,72.879,67.206,203,41.942,203,31.522,79.048,41.942,31.522,15.091,18.455
,Jaylen  Warren,PIT,RB,10,141,604,4.284,3,0,0,310,49.051,53.208,166,33.535,166,26.603,53.208,33.535,26.603,14.1,16.6
,TreVeyon  Henderson,NE,RB,12,118,558,4.729,5,1,1,347,44.036,34.006,147,24.5,147,19.838,43.382,24.5,19.838,9.833,12.25
,Jordan  Mason,MIN,RB,11,116,531,4.578,5,2,1,310,48.666,47.934,128,28.829,128,20.712,52.968,28.829,20.712,10.545,11.636
,Tony  Pollard,TEN,RB,11,140,522,3.729,2,2,2,423,64.188,63.063,166,37.387,166,25.897,71.795,37.387,25.897,12.727,15.091
,David  Montgomery,DET,RB,11,115,511,4.443,5,1,1,271,39.678,38.206,133,24.359,133,19.588,38.206,24.359,19.588,10.455,12.091
,Jacory  Croskey-Merritt,WAS,RB,11,114,498,4.368,4,2,2,273,39.854,37.013,123,24.356,123,19.129,50.22,24.356,19.129,10.364,11.182
,Alvin  Kamara,NO,RB,11,131,472,3.603,1,1,1,433,60.644,47.292,164,30.827,164,23.699,61.215,30.827,23.699,11.909,14.909
,Kyle  Monangai,CHI,RB,10,99,461,4.657,4,0,0,286,38.649,30.275,109,20.037,109,15.352,36.531,20.037,15.352,9.9,10.9
,Kareem  Hunt,KC,RB,11,116,457,3.94,7,2,1,334,43.32,38.667,129,22.954,129,17.647,46.774,22.954,17.647,10.545,11.727
,Nick  Chubb,HST,RB,11,105,435,4.143,2,0,0,248,34.019,36.842,117,21.91,117,16.667,41.016,21.91,16.667,9.545,10.636
,Woody  Marks,HST,RB,11,115,422,3.67,2,0,0,355,48.697,40.351,132,24.719,132,18.803,44.922,24.719,18.803,10.455,12
,Kimani  Vidal,LAC,RB,7,96,417,4.344,2,1,0,292,39.728,34.286,108,20.149,108,15.319,42.478,20.149,15.319,13.714,15.429
,Rachaad  White,TB,RB,11,104,414,3.981,4,0,0,381,53.212,35.495,133,25.285,133,19.247,39.695,25.285,19.247,9.455,12.091
,Cam  Skattebo,NYG,RB,8,101,410,4.059,5,1,1,270,32.967,27.901,125,20.938,125,15.924,35.192,20.938,15.924,12.625,15.625
,Tyrone  Tracy Jr.,NYG,RB,10,103,398,3.864,1,0,0,323,39.438,28.453,124,20.771,124,15.796,35.889,20.771,15.796,10.3,12.4
,Zach  Charbonnet,SEA,RB,10,111,385,3.468,7,0,0,274,42.481,33.945,120,22.388,120,18.75,33.945,22.388,18.75,11.1,12
,Justin  Fields,NYJ,QB,9,71,383,5.394,4,2,2,506,72.911,23.052,71,14.286,71,10.923,0,0,0,7.889,7.889
,Josh  Allen,BUF,QB,11,70,371,5.3,10,5,2,694,96.523,21.538,70,12.59,70,10.204,0,0,0,6.364,6.364
,Chuba  Hubbard,CAR,RB,10,94,350,3.723,1,0,0,289,38.177,28.485,115,20.175,115,15.583,31.023,20.175,15.583,9.4,11.5
,Justin  Herbert,LAC,QB,11,54,345,6.389,1,2,1,715,97.279,19.286,54,10.075,54,7.66,0,0,0,4.909,4.909
,Blake  Corum,LA,RB,11,82,341,4.159,1,0,0,176,25.882,28.374,87,16.201,87,12.851,30.943,16.201,12.851,7.455,7.909
,Kenneth  Gainwell,PIT,RB,10,71,336,4.732,3,1,0,282,44.62,26.792,113,22.828,113,18.109,26.792,22.828,18.109,7.1,11.3
