BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT/G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,FD,300Yd,RTG,EPA,EPA/DB,DYAR,DVOA,FPTS,PPG
,Justin  Herbert,LAC,QB,1,77,100,55,61,55,37,67.273,420,7.636,3,2,19,1,92.992,8.253,0.135,0,0,27.9,27.9
,Joe  Flacco,CIN,QB,1,72,100,47,49,47,31,65.957,342,7.277,3,0,16,1,108.644,16.947,0.346,0,0,25.98,25.98
,Jalen  Hurts,PHI,QB,1,49,100,23,26,23,19,82.609,326,14.174,3,0,9,1,158.333,18.937,0.728,0,0,24.04,24.04
,Carson  Wentz,MIN,QB,1,69,100,42,46,42,26,61.905,313,7.452,0,2,14,1,64.881,-2.428,-0.053,0,0,11.32,11.32
,Trevor  Lawrence,JAX,QB,1,76,100,48,57,48,23,47.917,296,6.167,1,0,13,0,74.653,-11.788,-0.207,0,0,17.64,17.64
,Daniel  Jones,IND,QB,1,59,100,34,36,34,23,67.647,288,8.471,2,0,14,0,113.358,13.808,0.384,0,0,20.22,20.22
,Patrick  Mahomes,KC,QB,1,65,80.247,35,40,35,26,74.286,286,8.171,3,0,16,0,126.607,21.758,0.544,0,0,26.24,26.24
,Jaxson  Dart,NYG,QB,1,69,100,33,37,33,15,45.455,283,8.576,3,1,12,0,93.371,17.403,0.47,0,0,28.42,28.42
,Bo  Nix,DEN,QB,1,77,100,50,53,50,27,54,279,5.58,2,0,15,0,83.667,-1.748,-0.033,0,0,35.96,35.96
,Jacoby  Brissett,ARZ,QB,1,74,100,36,46,36,25,69.444,279,7.75,2,0,13,0,110.764,5.155,0.112,0,0,21.76,21.76
,Dak  Prescott,DAL,QB,1,64,100,30,33,30,21,70,264,8.8,3,0,11,0,130.417,11.945,0.362,0,0,23.26,23.26
,Cam  Ward,TEN,QB,1,51,100,34,39,34,25,73.529,255,7.5,1,1,15,0,92.157,-11.357,-0.291,0,0,12.2,12.2
,Aaron  Rodgers,PIT,QB,1,55,100,34,35,34,23,67.647,249,7.324,4,2,12,0,103.676,12.741,0.364,0,0,22.56,22.56
,Michael  Penix Jr.,ATL,QB,1,62,100,38,42,38,21,55.263,241,6.342,1,0,13,0,83.333,-7.209,-0.172,0,0,14.24,14.24
,Spencer  Rattler,NO,QB,1,54,100,32,37,32,20,62.5,233,7.281,2,3,9,0,66.276,-8.124,-0.22,0,0,12.52,12.52
,Drake  Maye,NE,QB,1,65,90.278,23,35,23,21,91.304,222,9.652,2,0,12,0,135.87,9.746,0.278,0,0,23.08,23.08
,Matthew  Stafford,LA,QB,1,60,95.238,33,34,33,21,63.636,182,5.515,5,0,14,0,117.677,17.799,0.524,0,0,27.38,27.38
,Jordan  Love,GB,QB,1,56,100,29,33,29,19,65.517,179,6.172,1,0,10,0,93.894,7.187,0.218,0,0,13.36,13.36
,Caleb  Williams,CHI,QB,1,67,100,26,27,26,15,57.692,172,6.615,0,1,10,0,61.699,1.043,0.039,0,0,4.68,4.68
,Jayden  Daniels,WAS,QB,1,48,70.588,22,28,22,12,54.545,156,7.091,1,0,6,0,92.235,-5.35,-0.191,0,0,19.74,19.74
,Mac  Jones,SF,QB,1,67,100,26,28,26,17,65.385,152,5.846,0,1,10,0,64.904,1.97,0.07,0,0,5.18,5.18
,Bryce  Young,CAR,QB,1,50,69.444,25,28,25,15,60,138,5.52,1,0,8,0,88.417,-0.825,-0.029,0,0,10.52,10.52
,Tyrod  Taylor,NYJ,QB,1,36,56.25,22,28,22,10,45.455,126,5.727,0,2,6,0,25.947,-4.868,-0.174,0,0,2.14,2.14
,Dillon  Gabriel,CLV,QB,1,53,94.643,18,23,18,13,72.222,116,6.444,0,0,6,0,89.12,6.245,0.272,0,0,5.84,5.84
,Tua  Tagovailoa,MIA,QB,1,46,79.31,23,26,23,12,52.174,100,4.348,0,3,6,0,9.33,-21.707,-0.835,0,0,-1.4,-1.4
,Geno  Smith,LV,QB,1,26,83.871,16,18,16,10,62.5,67,4.188,0,0,2,0,71.615,-10.314,-0.573,0,0,2.78,2.78
,Marcus  Mariota,WAS,QB,1,20,29.412,10,12,10,4,40,63,6.3,0,1,3,0,20,-10.99,-0.916,0,0,3.92,3.92
,Andy  Dalton,CAR,QB,1,22,30.556,7,8,7,4,57.143,60,8.571,0,0,2,0,85.417,-2.716,-0.339,0,0,2.2,2.2
,Justin  Fields,NYJ,QB,1,29,45.313,12,16,12,6,50,46,3.833,0,0,2,0,59.722,-9.235,-0.577,0,0,4.04,4.04
