BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,TAR,REC,YDS,TD,YPT,YPR,CTCH%,YAC,YAC/R,FD,LG,100+,TAR/G,REC/G,YDS/G,EZTAR,EZTD,EPA,EPA/TAR,DYAR,DVOA,FPTS,PPG
,Puka Nacua,LA,WR,1,40,57.143,11,9,181,0,16.455,20.111,81.818,55,6.111,8,39,1,11,9,181,0,0,15.826,1.439,0,0,27.9,27.9
,Amon-Ra St. Brown,DET,WR,1,59,95.161,18,13,172,2,9.556,13.231,72.222,60,4.615,9,52,1,18,13,172,2,1,10.595,0.589,0,0,42.2,42.2
,Kyle Pitts,ATL,TE,1,62,93.939,12,11,166,3,13.833,15.091,91.667,81,7.364,8,36,1,12,11,166,2,2,14.447,1.204,0,0,45.6,45.6
,Trey McBride,ARZ,TE,1,58,90.625,13,12,134,2,10.308,11.167,92.308,95,7.917,8,21,1,13,12,134,1,1,11.953,0.919,0,0,37.4,37.4
,Mike Evans,TB,WR,1,31,50,12,6,132,0,11,22,50,10,1.667,6,45,1,12,6,132,1,0,2.242,0.187,0,0,19.2,19.2
,Ja'Marr Chase,CIN,WR,1,69,94.521,16,10,132,0,8.25,13.2,62.5,57,5.7,5,34,1,16,10,132,1,0,4.135,0.258,0,0,23.2,23.2
,Jameson Williams,DET,WR,1,56,90.323,9,7,126,1,14,18,77.778,11,1.571,6,31,1,9,7,126,2,1,9.25,1.028,0,0,25.6,25.6
,Courtland Sutton,DEN,WR,1,58,86.567,10,7,113,1,11.3,16.143,70,17,2.429,5,42,1,10,7,113,1,1,8.262,0.826,0,0,24.3,24.3
,Jaxon Smith-Njigba,SEA,WR,1,52,85.246,9,7,113,0,12.556,16.143,77.778,65,9.286,3,39,1,9,7,113,0,0,6.163,0.685,0,0,18.3,18.3
,CeeDee Lamb,DAL,WR,1,58,84.058,10,6,111,0,11.1,18.5,60,27,4.5,4,30,1,10,6,111,2,0,5.924,0.592,0,0,17.1,17.1
,Ricky Pearsall,SF,WR,1,41,54.667,7,6,96,0,13.714,16,85.714,21,3.5,5,38,0,7,6,96,0,0,8.796,1.257,0,0,15.6,15.6
,Isaiah Bond,CLV,WR,1,39,67.241,4,2,89,0,22.25,44.5,50,12,6,2,47,0,4,2,89,0,0,4.956,1.239,0,0,10.9,10.9
,Luther Burden III,CHI,WR,1,25,38.462,7,6,88,0,12.571,14.667,85.714,48,8,2,40,0,7,6,88,0,0,2.896,0.414,0,0,14.8,14.8
,George Kittle,SF,TE,1,68,90.667,9,8,88,1,9.778,11,88.889,78,9.75,5,24,0,9,8,88,1,1,5.446,0.605,0,0,22.8,22.8
,Nico Collins,HST,WR,1,46,70.769,4,3,85,2,21.25,28.333,75,53,17.667,3,57,0,4,3,85,2,1,7.964,1.991,0,0,23.5,23.5
,Troy Franklin,DEN,WR,1,32,47.761,6,6,85,1,14.167,14.167,100,28,4.667,4,23,0,6,6,85,1,1,9.086,1.514,0,0,20.8,20.8
,Chris Olave,NO,WR,1,51,77.273,9,6,85,1,9.444,14.167,66.667,6,1,5,18,0,9,6,85,0,0,3.923,0.436,0,0,20.5,20.5
,Bijan Robinson,ATL,RB,1,58,87.879,11,8,82,0,7.455,10.25,72.727,95,11.875,4,21,0,11,8,82,0,0,-0.203,-0.018,0,0,31.5,31.5
,David Sills,ATL,WR,1,61,92.424,10,6,78,0,7.8,13,60,17,2.833,4,21,0,10,6,78,1,0,2.489,0.249,0,0,13.8,13.8
,Dalton Schultz,HST,TE,1,48,73.846,9,8,76,1,8.444,9.5,88.889,34,4.25,5,16,0,9,8,76,2,1,5.851,0.65,0,0,21.6,21.6
,Colby Parkinson,LA,TE,1,59,84.286,7,5,75,2,10.714,15,71.429,32,6.4,5,26,0,7,5,75,1,0,-1.843,-0.263,0,0,24.5,24.5
,Rashid Shaheed,SEA,WR,1,38,62.295,7,5,74,0,10.571,14.8,71.429,6,1.2,3,27,0,7,5,74,1,0,1.536,0.219,0,0,12.1,12.1
,Travis Etienne,JAX,RB,1,35,55.556,4,3,73,3,18.25,24.333,75,55,18.333,3,45,0,4,3,73,1,1,10.096,2.524,0,0,31.5,31.5
,Theo Johnson,NYG,TE,1,58,79.452,4,3,72,0,18,24,75,39,13,2,42,0,4,3,72,0,0,3.41,0.853,0,0,10.2,10.2
,Jakobi Meyers,JAX,WR,1,50,79.365,7,5,71,0,10.143,14.2,71.429,11,2.2,5,21,0,7,5,71,0,0,4.837,0.691,0,0,12.1,12.1
,Davante Adams,LA,WR,1,32,45.714,9,4,71,0,7.889,17.75,44.444,9,2.25,4,21,0,9,4,71,2,0,1.18,0.131,0,0,11.1,11.1
,Travis Kelce,KC,TE,1,58,95.082,9,7,70,0,7.778,10,77.778,24,3.429,5,17,0,9,7,70,0,0,3.907,0.434,0,0,14,14
,Dallas Goedert,PHI,TE,1,48,69.565,7,6,70,2,10,11.667,85.714,45,7.5,5,32,0,7,6,70,1,0,5.05,0.721,0,0,25,25
,Terry McLaurin,WAS,WR,1,40,63.492,4,3,69,1,17.25,23,75,21,7,3,51,0,4,3,69,0,0,5.797,1.449,0,0,15.9,15.9
,Devaughn Vele,NO,WR,1,33,50,6,5,69,0,11.5,13.8,83.333,6,1.2,4,17,0,6,5,69,0,0,9.003,1.501,0,0,11.9,11.9
,Zay Flowers,BLT,WR,1,31,73.81,5,3,68,1,13.6,22.667,60,0,0,3,28,0,5,3,68,2,1,1.175,0.235,0,0,15.8,15.8
