BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,LA,11,25.51,25.27,45.46,44.36,7.46,3.75
,SEA,11,17.52,17.36,55.25,49.4,-5.39,-7.19
,IND,11,25.06,23.2,35.74,31.59,17.76,16.85
,DET,11,15.07,14.65,29.65,31.02,5.96,7.13
,KC,11,19.46,19.39,36.24,31.88,2.95,4.61
,GB,11,13.7,15.01,42.2,44.87,-2.37,-0.64
,PHI,11,8.29,7.63,34.4,28.8,-7.2,-6.93
,DEN,11,-0.68,0.1,13.63,16.77,-8.2,-3.24
,HST,11,-5.32,-6.07,12.7,9.58,-19.44,-18.8
,BUF,11,15.33,14.35,22.25,29.22,17.17,12.52
,SF,12,14.4,14.81,40.87,31.72,-7.87,-8.48
,TB,11,-1.93,-4.2,11.65,8.49,-9.32,-9.96
,PIT,11,-0.81,-1.15,4.87,12.53,0.85,1.84
,LAC,11,-0.83,-1.72,18.49,17.9,-10.08,-10.89
,ATL,11,-3.14,-3.41,9.39,15.27,-1.6,-2.24
,BLT,11,3.69,2.71,19.6,16.12,0.01,-4.02
,JAX,11,-2.55,-2.92,7.31,1.93,-0.56,0.11
,ARZ,11,-7.82,-7.21,6.13,7.23,-17.78,-17.16
,NE,12,7.34,7.39,38.35,42.13,-18.76,-18.62
,DAL,11,10.88,9.58,29.72,30.11,-4.74,-2.84
,CHI,11,0.54,2.42,20.57,26.13,-1.08,1.25
,NYG,12,-0.99,2.88,16.05,16.3,-5.45,-6.05
,WAS,11,-3.56,-5.99,15.71,16.19,-7.3,-6.41
,MIA,11,-8.63,-7.98,3.62,5.63,-6.29,-2.74
,CLV,11,-33.32,-34.84,-37.78,-28.02,-17.95,-20.89
,CAR,12,-12.22,-11.81,-9.3,-5.78,-3.07,-1.56
,NO,11,-17.89,-19.6,-5.35,-6.94,-23.33,-17.7
,MIN,11,-20.09,-20.58,-14.06,-15.77,-0.83,1.13
,LV,11,-26.73,-27.58,-20.48,-19.3,-28.56,-28.16
,CIN,11,0.65,4.23,6.76,5.95,3.81,-0.7
,NYJ,11,-15.1,-15.81,-9.96,-2.83,-5.71,-6.73
,TEN,11,-23.92,-23.28,-16.1,-26.25,-22.38,-26.23
