BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,WIDE,OW%,WYPR,SLOT,SLOT%,SYPR,BACK,BACK%,BYPR,LINE,LINE%,IYPR,OFF,OFF%,OYPR
,Emeka  Egbuka,TB,WR,1,7,7,163,1,21,65.625,5.238,10,31.25,5.3,1,3.125,0,0,0,0,0,0,0
,Stefon  Diggs,NE,WR,1,12,10,146,0,14,63.636,6.857,8,36.364,6.25,0,0,0,0,0,0,0,0,0
,Kendrick  Bourne,SF,WR,1,11,10,142,0,31,77.5,2.968,8,20,5.5,1,2.5,6,0,0,0,0,0,0
,Jaxon  Smith-Njigba,SEA,WR,1,9,8,132,1,23,74.194,5.739,8,25.806,0,0,0,0,0,0,0,0,0,0
,Calvin  Ridley,TEN,WR,1,10,5,131,0,23,69.697,3.087,10,30.303,6,0,0,0,0,0,0,0,0,0
,Justin  Jefferson,MIN,WR,1,11,7,123,0,28,73.684,2.107,9,23.684,5.889,1,2.632,11,0,0,0,0,0,0
,Rashid  Shaheed,NO,WR,1,5,4,114,1,15,53.571,0,12,42.857,9.5,1,3.571,0,0,0,0,0,0,0
,Ryan  Flournoy,DAL,WR,1,9,6,114,0,12,60,4.667,8,40,7.25,0,0,0,0,0,0,0,0,0
,DeVonta  Smith,PHI,WR,1,10,8,114,0,16,36.364,3.938,28,63.636,1.821,0,0,0,0,0,0,0,0,0
,Jaylen  Waddle,MIA,WR,1,9,6,110,1,24,75,4.042,8,25,1.625,0,0,0,0,0,0,0,0,0
,Ja'Marr  Chase,CIN,WR,1,10,6,110,2,22,56.41,3.636,16,41.026,1.875,1,2.564,0,0,0,0,0,0,0
,Dalton  Kincaid,BUF,TE,1,6,6,108,0,3,14.286,11,15,71.429,2.133,0,0,0,0,0,0,3,14.286,14.333
,Amon-Ra  St. Brown,DET,WR,1,9,8,100,0,16,61.538,1,9,34.615,9.333,1,3.846,0,0,0,0,0,0,0
,Courtland  Sutton,DEN,WR,1,10,8,99,0,31,77.5,2.613,9,22.5,2,0,0,0,0,0,0,0,0,0
,Marvin  Harrison Jr.,ARZ,WR,1,5,4,98,0,26,83.871,3.769,5,16.129,0,0,0,0,0,0,0,0,0,0
