game_id,commence_time,in_play,bookmaker,last_update,home_team,away_team,market,label,description,price,point
32ec2bd4ac9e4c40f9f5cbed7e67f837,11/13/2025,FALSE,DraftKings,11/12/2025,New England Patriots,New York Jets,h2h,New England Patriots,,-850,
32ec2bd4ac9e4c40f9f5cbed7e67f837,11/13/2025,FALSE,DraftKings,11/12/2025,New England Patriots,New York Jets,h2h,New York Jets,,575,
32ec2bd4ac9e4c40f9f5cbed7e67f837,11/13/2025,FALSE,DraftKings,11/12/2025,New England Patriots,New York Jets,spreads,New England Patriots,,-118,-12.5
32ec2bd4ac9e4c40f9f5cbed7e67f837,11/13/2025,FALSE,DraftKings,11/12/2025,New England Patriots,New York Jets,spreads,New York Jets,,-102,12.5
32ec2bd4ac9e4c40f9f5cbed7e67f837,11/13/2025,FALSE,DraftKings,11/12/2025,New England Patriots,New York Jets,totals,Over,,-118,42.5
32ec2bd4ac9e4c40f9f5cbed7e67f837,11/13/2025,FALSE,DraftKings,11/12/2025,New England Patriots,New York Jets,totals,Under,,-102,42.5
32ec2bd4ac9e4c40f9f5cbed7e67f837,11/13/2025,FALSE,DraftKings,11/12/2025,New England Patriots,New York Jets,player_pass_attempts,Over,Drake Maye,-104,28.5
32ec2bd4ac9e4c40f9f5cbed7e67f837,11/13/2025,FALSE,DraftKings,11/12/2025,New England Patriots,New York Jets,player_pass_attempts,Under,Drake Maye,-122,28.5
32ec2bd4ac9e4c40f9f5cbed7e67f837,11/13/2025,FALSE,DraftKings,11/12/2025,New England Patriots,New York Jets,player_pass_completions,Over,Drake Maye,-132,19.5
32ec2bd4ac9e4c40f9f5cbed7e67f837,11/13/2025,FALSE,DraftKings,11/12/2025,New England Patriots,New York Jets,player_pass_completions,Under,Drake Maye,103,19.5
32ec2bd4ac9e4c40f9f5cbed7e67f837,11/13/2025,FALSE,DraftKings,11/12/2025,New England Patriots,New York Jets,player_pass_tds,Over,Drake Maye,-173,1.5
32ec2bd4ac9e4c40f9f5cbed7e67f837,11/13/2025,FALSE,DraftKings,11/12/2025,New England Patriots,New York Jets,player_pass_tds,Under,Drake Maye,135,1.5
32ec2bd4ac9e4c40f9f5cbed7e67f837,11/13/2025,FALSE,DraftKings,11/12/2025,New England Patriots,New York Jets,player_pass_yds,Over,Drake Maye,-114,240.5
32ec2bd4ac9e4c40f9f5cbed7e67f837,11/13/2025,FALSE,DraftKings,11/12/2025,New England Patriots,New York Jets,player_pass_yds,Under,Drake Maye,-111,240.5
32ec2bd4ac9e4c40f9f5cbed7e67f837,11/13/2025,FALSE,DraftKings,11/12/2025,New England Patriots,New York Jets,player_reception_yds,Over,Stefon Diggs,-114,54.5
