BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,PIT,1,36.05,36.05,16.26,6.62,68.38,67.19
,SF,1,48.6,48.6,73.6,73.04,18.38,11.51
,LA,1,43.17,43.17,75.72,58.53,6.85,-15.73
,CIN,1,40.25,40.25,61.02,79.17,23.19,16.22
,TEN,1,13.49,13.49,41.29,46.18,-2.51,-7.39
,PHI,1,17.17,17.17,25.08,45.86,35.11,40.98
,JAX,1,29.7,29.7,64.98,54.38,-22.5,-34.64
,LAC,1,31.64,31.64,72.22,95.6,7.74,15.39
,BUF,1,33.61,33.61,-0.48,-12.04,66.43,56.79
,SEA,1,12.21,12.21,-5.78,-26.93,56.23,49.25
,CHI,1,23.83,23.83,51.58,50.35,20.72,17.52
,CAR,1,17.61,17.61,23.61,23.15,19.98,14.41
,MIN,1,-33.55,-33.55,-29.26,-29.12,-23.25,-0.13
,BLT,1,5.18,5.18,18.61,36.78,31.16,35.29
,DEN,1,12.77,12.77,26.92,18.46,5.53,-1.33
,NO,1,-20.71,-20.71,-16.27,14.63,-31.12,-27.94
,ATL,1,-1.06,-1.06,9.61,8.31,-3.09,6.01
,LV,1,4.41,4.41,16.29,-4.92,1.75,-6.39
,NE,1,25.68,25.68,38.66,43.79,15.69,10.7
,GB,1,1.47,1.47,41.89,45.72,-7.84,-0.85
,ARZ,1,-3.73,-3.73,-7.79,-12.41,10.4,14.5
,HST,1,-6.5,-6.5,23.66,31.45,-36.21,-38.91
,DET,1,1.26,1.26,30.02,23.03,-90.15,-97.43
,IND,1,-8.53,-8.53,18.82,26.53,-31.52,-24.43
,CLV,1,-29.61,-29.61,-43.06,-51.85,-7.93,11.14
,DAL,1,15.66,15.66,55.1,44.84,-25.02,-21.13
,TB,1,-20.41,-20.41,3.38,11.86,-17.59,-13.25
,WAS,1,-17.13,-17.13,-4.42,-24.13,-13.9,-15.7
,NYG,1,-51.62,-51.62,-138.33,-164.79,2.26,-1.3
,NYJ,1,-52.41,-52.41,-78.6,-79.72,-1.16,-5.3
,MIA,1,-39.65,-39.65,-50.69,-22.73,-26.44,-18.08
,KC,1,-64.37,-64.37,-63.38,-46.09,-12.99,-9.45
