BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT/G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,FD,300Yd,RTG,EPA,EPA/DB,DYAR,DVOA,FPTS,PPG
,Jameis  Winston,NYG,QB,1,78,100,36,38,36,18,50,366,10.167,2,1,15,1,93.056,14.583,0.384,143.906,47.45,32.24,32.24
,Dak  Prescott,DAL,QB,1,71,100,36,40,36,23,63.889,354,9.833,2,1,16,1,103.241,4.258,0.106,171.118,56.74,27.06,27.06
,Patrick  Mahomes,KC,QB,1,95,100,46,54,46,29,63.043,352,7.652,0,1,16,1,77.446,9.162,0.17,42.738,1.85,15.08,15.08
,Jacoby  Brissett,ARZ,QB,1,77,97.468,49,58,49,33,67.347,317,6.469,1,0,15,1,91.964,-7.083,-0.122,-1.667,-11.61,18.68,18.68
,Drake  Maye,NE,QB,1,70,100,35,39,35,22,62.857,294,8.4,1,1,13,0,87.083,9.354,0.24,8.225,-7.98,15.96,15.96
,Jalen  Hurts,PHI,QB,1,62,101.639,39,43,39,27,69.231,289,7.41,1,0,14,0,99.199,2.018,0.047,51.707,9.77,30.86,30.86
,Geno  Smith,LV,QB,1,77,100,44,56,44,30,68.182,285,6.477,1,0,15,0,93.466,-18.125,-0.324,-46.647,-25.66,16.2,16.2
,Jared  Goff,DET,QB,1,65,100,42,45,42,28,66.667,279,6.643,2,1,13,0,91.27,-6.321,-0.14,-7.096,-13.71,17.16,17.16
,Matthew  Stafford,LA,QB,1,55,100,35,36,35,25,71.429,273,7.8,3,0,16,0,122.679,7.22,0.201,135.576,43.68,22.92,22.92
,Cam  Ward,TEN,QB,1,72,100,42,50,42,28,66.667,256,6.095,1,0,12,0,90.972,2.174,0.043,29.345,-1.18,23.94,23.94
,Trevor  Lawrence,JAX,QB,1,63,100,30,35,30,18,60,256,8.533,3,3,14,0,79.306,-8.622,-0.246,-83.434,-47.25,19.14,19.14
,Josh  Allen,BUF,QB,1,69,100,34,45,34,24,70.588,253,7.441,0,2,10,0,67.402,-13.281,-0.295,-38.212,-25.26,8.12,8.12
,Sam  Darnold,SEA,QB,1,47,100,26,27,26,16,61.538,244,9.385,2,0,9,0,118.109,9.118,0.338,75.466,31.85,17.66,17.66
,Tyler  Shough,NO,QB,1,76,95,43,50,43,30,69.767,243,5.651,0,1,11,0,74.079,-7.52,-0.15,6.554,-9.06,9.92,9.92
,Caleb  Williams,CHI,QB,1,63,100,35,38,35,19,54.286,239,6.829,3,0,12,0,104.345,1.562,0.041,70.114,20.82,23.66,23.66
,Tyrod  Taylor,NYJ,QB,1,60,100,28,34,28,17,60.714,222,7.929,1,1,10,0,82.738,-0.39,-0.011,33.127,7.82,12.78,12.78
,Shedeur  Sanders,CLV,QB,1,43,89.583,20,21,20,11,55,209,10.45,1,1,5,0,87.292,-3.479,-0.166,-17.101,-26.98,10.26,10.26
,Kirk  Cousins,ATL,QB,1,56,100,23,27,23,16,69.565,199,8.652,2,1,8,0,106.975,-3.415,-0.126,-45.798,-40.46,14.46,14.46
,Brock  Purdy,SF,QB,1,71,100,32,33,32,23,71.875,193,6.031,1,3,11,0,58.464,-3.167,-0.096,-25.352,-22.89,7.32,7.32
,Joe  Flacco,CIN,QB,1,61,98.387,37,38,37,19,51.351,183,4.946,1,1,10,0,63.232,-12.698,-0.334,-88.289,-46.56,9.62,9.62
,Daniel  Jones,IND,QB,1,53,101.923,31,33,31,19,61.29,181,5.839,2,0,6,0,98.992,0.69,0.021,39.672,8.2,16.84,16.84
,Mason  Rudolph,PIT,QB,1,70,100,31,34,31,24,77.419,171,5.516,1,1,8,0,86.895,-2.417,-0.071,-1.893,-11.91,9.54,9.54
,Bryce  Young,CAR,QB,1,47,100,29,34,29,18,62.069,169,5.828,1,2,9,0,60.848,-11.02,-0.324,-134.732,-79.74,8.26,8.26
,Davis  Mills,HST,QB,1,56,98.246,30,30,30,16,53.333,153,5.1,2,0,7,0,90,-7.3,-0.243,34.711,7.07,14.52,14.52
,Lamar  Jackson,BLT,QB,1,63,100,23,29,23,13,56.522,153,6.652,0,0,7,0,76.902,8.214,0.283,6.83,-6.91,7.22,7.22
,Jordan  Love,GB,QB,1,60,90.909,21,23,21,14,66.667,139,6.619,0,0,8,0,85.218,7.469,0.325,71.846,42.07,7.06,7.06
,J.J.  McCarthy,MIN,QB,1,45,100,19,25,19,12,63.158,87,4.579,0,2,3,0,29.934,-16.467,-0.659,-143.974,-118.47,0.48,0.48
,Teddy  Bridgewater,TB,QB,1,30,42.254,15,18,15,8,53.333,62,4.133,0,0,2,0,63.75,-11.546,-0.641,-41.876,-55.76,3.08,3.08
,Baker  Mayfield,TB,QB,1,41,57.746,19,24,19,9,47.368,41,2.158,1,2,4,0,24.232,-18.048,-0.752,-87.589,-75.25,3.54,3.54
,Jake  Browning,CIN,QB,1,1,1.613,1,1,1,1,100,14,14,0,0,1,0,118.75,0.827,0.827,8.13,107.97,0.56,0.56
