BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,FUM,FUML,SNP,SNP%,ATT%,TCH,TCH%,OPP,OPP%,rATT%,rTCH%,rOPP%,ATT/G,TCH/G
,Jaylen Warren,PIT,RB,1,14,143,10.214,2,0,0,34,47.222,51.852,16,29.63,16,22.857,56,29.63,22.857,14,16
,Saquon Barkley,PHI,RB,1,21,132,6.286,1,0,0,52,73.239,61.765,21,37.5,21,31.818,84,37.5,31.818,21,21
,Derrick Henry,BLT,RB,1,18,128,7.111,2,1,1,24,43.636,54.545,18,36.735,18,33.333,62.069,36.735,33.333,18,18
,Ashton Jeanty,LV,RB,1,24,128,5.333,1,0,0,49,92.453,88.889,25,58.14,25,47.17,88.889,58.14,47.17,24,25
,James Cook,BUF,RB,1,16,117,7.313,2,0,0,28,53.846,55.172,17,41.463,17,34,72.727,41.463,34,16,17
,Christian McCaffrey,SF,RB,1,21,117,5.571,0,0,0,53,79.104,67.742,27,48.214,27,40.909,80.769,48.214,40.909,21,27
,Tony Pollard,TEN,RB,1,21,102,4.857,0,1,0,38,53.521,52.5,21,34.426,21,30,58.333,34.426,30,21,21
,Kenneth Walker III,SEA,RB,1,11,100,9.091,1,0,0,27,41.538,44,14,29.787,14,22.222,50,29.787,22.222,11,14
,Omarion Hampton,LAC,RB,1,16,85,5.313,1,0,0,33,50,48.485,17,30.357,17,27.419,64,30.357,27.419,16,17
,Aaron Jones,MIN,RB,1,21,85,4.048,0,0,0,38,63.333,67.742,23,48.936,23,39.655,80.769,48.936,39.655,21,23
,Emanuel Wilson,GB,RB,1,14,82,5.857,0,0,0,30,40,31.818,14,22.951,14,20,43.75,22.951,20,14,14
,De'Von Achane,MIA,RB,1,15,81,5.4,1,0,0,41,69.492,53.571,18,37.5,18,31.034,57.692,37.5,31.034,15,18
,Tyler Allgeier,ATL,RB,1,16,79,4.938,0,0,0,26,35.616,43.243,17,29.31,17,23.288,50,29.31,23.288,16,17
,Bijan Robinson,ATL,RB,1,16,76,4.75,0,0,0,51,69.863,43.243,23,39.655,23,31.507,50,39.655,31.507,16,23
,Bucky Irving,TB,RB,1,19,71,3.737,0,0,0,40,63.492,57.576,19,37.255,19,31.148,65.517,37.255,31.148,19,19
,Tyrone Tracy Jr.,NYG,RB,1,16,71,4.438,0,0,0,32,65.306,53.333,18,48.649,18,37.5,57.143,48.649,37.5,16,18
,Kyren Williams,LA,RB,1,23,70,3.043,0,0,0,62,68.889,58.974,26,38.235,26,29.545,62.162,38.235,29.545,23,26
,Chase Brown,CIN,RB,1,12,66,5.5,1,0,0,37,59.677,46.154,16,30.769,16,26.23,50,30.769,26.23,12,16
,Michael Carter,ARZ,RB,1,11,65,5.909,0,0,0,31,55.357,47.826,11,28.205,11,19.643,50,28.205,19.643,11,11
,Chris Rodriguez Jr.,WAS,RB,1,15,63,4.2,1,0,0,28,54.902,57.692,16,42.105,16,31.373,60,42.105,31.373,15,16
,D'Andre Swift,CHI,RB,1,13,58,4.462,0,0,0,35,55.556,50,15,33.333,15,25,56.522,33.333,25,13,15
,Breece Hall,NYJ,RB,1,16,54,3.375,0,0,0,39,60.938,80,18,42.857,18,28.571,84.211,42.857,28.571,16,18
,Jawhar Jordan,HST,RB,1,15,53,3.533,0,0,0,28,45.161,57.692,20,40.816,20,32.787,68.182,40.816,32.787,15,20
,Tyjae Spears,TEN,RB,1,13,52,4,1,0,0,33,46.479,32.5,18,29.508,18,25.714,36.111,29.508,25.714,13,18
,Rhamondre Stevenson,NE,RB,1,8,51,6.375,1,0,0,56,75.676,34.783,10,18.519,10,14.085,61.538,18.519,14.085,8,10
,Kyle Monangai,CHI,RB,1,9,50,5.556,0,0,0,25,39.683,34.615,12,26.667,12,20,39.13,26.667,20,9,12
