BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
,RJ Harvey,DEN,RB,1,7,50,7.143,1,0,0,37,56.061,41.176,11,24.444,11,16.923,53.846,24.444,16.923,7,11
,Travis Etienne,JAX,RB,1,16,50,3.125,0,0,0,47,67.143,59.259,20,40,20,29.412,76.19,40,29.412,16,20
,Kenneth Gainwell,PIT,RB,1,9,50,5.556,0,0,0,38,52.778,33.333,14,25.926,14,20,36,25.926,20,9,14
,Baker Mayfield,TB,QB,1,4,49,12.25,0,0,0,63,100,12.121,4,7.843,4,6.557,0,0,0,4,4
,Shedeur Sanders,CLV,QB,1,4,49,12.25,0,0,0,66,97.059,12.903,4,7.843,4,6.25,0,0,0,4,4
,Blake Corum,LA,RB,1,14,48,3.429,1,0,0,26,28.889,35.897,15,22.059,15,17.045,37.838,22.059,17.045,14,15
,Devin Singletary,NYG,RB,1,11,47,4.273,0,0,0,16,32.653,36.667,12,32.432,12,25,39.286,32.432,25,11,12
,Jonathan Taylor,IND,RB,1,16,46,2.875,1,0,0,51,87.931,80,19,44.186,19,32.759,80,44.186,32.759,16,19
,Rachaad White,TB,RB,1,5,45,9,0,0,0,20,31.746,15.152,7,13.725,7,11.475,17.241,14.894,12.281,5,7
,Malik Willis,GB,QB,1,10,44,4.4,0,1,0,50,66.667,22.727,10,16.393,10,14.286,0,0,0,10,10
,Raheim Sanders,CLV,RB,1,11,42,3.818,0,0,0,19,27.941,35.484,12,23.529,12,18.75,40.741,25.532,20,11,12
,Justin Herbert,LAC,QB,1,8,42,5.25,1,1,0,66,100,24.242,8,14.286,8,12.903,0,0,0,8,8
,Taysom Hill,NO,QB,1,12,42,3.5,0,1,1,34,42.5,48,16,27.586,16,20.513,0,0,0,12,16
,Jalen Hurts,PHI,QB,1,7,40,5.714,0,0,0,67,94.366,20.588,7,12.5,7,10.606,0,0,0,7,7
,Tank Bigsby,PHI,RB,1,4,37,9.25,1,0,0,6,8.451,11.765,4,7.143,4,6.061,16,8.163,6.78,4,4
,Jaleel McLaughlin,DEN,RB,1,5,37,7.4,0,0,0,10,15.152,29.412,5,11.111,5,7.692,38.462,11.111,7.692,5,5
,Josh Jacobs,GB,RB,1,12,36,3,0,1,1,27,36,27.273,14,22.951,14,20,37.5,27.451,23.333,12,14
,Jaylen Wright,MIA,RB,1,9,35,3.889,1,0,0,18,30.508,32.143,10,20.833,10,17.241,34.615,20.833,17.241,9,10
,Javonte Williams,DAL,RB,1,9,34,3.778,0,0,0,33,55.932,39.13,11,23.913,11,19.643,42.857,23.913,19.643,9,11
,Isiah Pacheco,KC,RB,1,8,34,4.25,0,0,0,31,67.391,53.333,14,48.276,14,32.558,66.667,48.276,32.558,8,14
,Nick Chubb,HST,RB,1,6,33,5.5,0,0,0,20,32.258,23.077,7,14.286,7,11.475,27.273,14.286,11.475,6,7
,Zach Charbonnet,SEA,RB,1,9,32,3.556,1,0,0,34,52.308,36,13,27.66,13,20.635,40.909,27.66,20.635,9,13
,Corey Kiner,ARZ,RB,1,6,32,5.333,0,0,0,9,16.071,26.087,6,15.385,6,10.714,27.273,15.385,10.714,6,6
,Rashid Shaheed,SEA,WR,1,1,31,31,0,0,0,33,50.769,4,1,2.128,1,1.587,4.545,2.128,1.587,1,1
,Caleb Williams,CHI,QB,1,3,30,10,0,0,0,63,100,11.538,3,6.667,3,5,0,0,0,3,3
,Malachi Corley,CLV,WR,1,3,30,10,0,0,0,28,41.176,9.677,5,9.804,5,7.813,11.111,10.638,8.333,3,5
,Emari Demercado,ARZ,RB,1,5,30,6,0,0,0,17,30.357,21.739,5,12.821,5,8.929,22.727,12.821,8.929,5,5
,Rico Dowdle,CAR,RB,1,9,29,3.222,0,0,0,30,53.571,45,13,31.707,13,24.074,56.25,31.707,24.074,9,13
,Jonnu Smith,PIT,TE,1,2,28,14,0,0,0,26,36.111,7.407,2,3.704,2,2.857,8,3.704,2.857,2,2
,Chuba Hubbard,CAR,RB,1,6,27,4.5,0,0,0,22,39.286,30,7,17.073,7,12.963,37.5,17.073,12.963,6,7
,Jacory Croskey-Merritt,WAS,RB,1,8,25,3.125,1,0,0,11,21.569,30.769,8,21.053,8,15.686,32,21.053,15.686,8,8
,Drake Maye,NE,QB,1,10,25,2.5,0,1,0,73,98.649,43.478,10,18.519,10,14.085,0,0,0,10,10
,Jimmy Horn Jr.,CAR,WR,1,1,25,25,0,0,0,12,21.429,5,1,2.439,1,1.852,6.25,2.439,1.852,1,1
,Samaje Perine,CIN,RB,1,7,25,3.571,1,0,0,24,38.71,26.923,9,17.308,9,14.754,29.167,17.308,14.754,7,9
,Malik Davis,DAL,RB,1,8,23,2.875,0,0,0,18,30.508,34.783,8,17.391,8,14.286,38.095,17.391,14.286,8,8
,Quinshon Judkins,CLV,RB,1,8,22,2.75,0,0,0,24,35.294,25.806,13,25.49,13,20.313,29.63,27.66,21.667,8,13
,Bryce Young,CAR,QB,1,4,20,5,0,0,0,56,100,20,4,9.756,4,7.407,0,0,0,4,4
,J.J. McCarthy,MIN,QB,1,2,20,10,1,0,0,32,53.333,6.452,2,4.255,2,3.448,0,0,0,2,2
,Trevor Lawrence,JAX,QB,1,6,20,3.333,1,0,0,70,100,22.222,6,12,6,8.824,0,0,0,6,6
,Brian Robinson,SF,RB,1,5,20,4,0,0,0,10,14.925,16.129,5,8.929,5,7.576,19.231,8.929,7.576,5,5
,Audric Estimé,NO,RB,1,5,19,3.8,0,0,0,43,53.75,20,8,13.793,8,10.256,45.455,19.048,12.903,5,8
,Zay Flowers,BLT,WR,1,1,18,18,1,0,0,47,85.455,3.03,8,16.327,8,14.815,3.448,16.327,14.815,1,8
,Josh Allen,BUF,QB,1,7,17,2.429,0,0,0,52,100,24.138,7,17.073,7,14,0,0,0,7,7
,Trayveon Williams,CLV,RB,1,3,17,5.667,0,0,0,20,29.412,9.677,7,13.725,7,10.938,11.111,14.894,11.667,3,7
,Ty Johnson,BUF,RB,1,3,16,5.333,1,0,0,16,30.769,10.345,3,7.317,3,6,13.636,8.824,6.977,3,3
,Ray Davis,BUF,RB,1,3,14,4.667,0,0,0,6,11.538,10.345,5,12.195,5,10,13.636,14.706,11.628,3,5
,Dak Prescott,DAL,QB,1,2,14,7,0,0,0,54,91.525,8.696,2,4.348,2,3.571,0,0,0,2,2
,Hassan Haskins,LAC,RB,1,4,14,3.5,0,0,0,5,7.576,12.121,4,7.143,4,6.452,16,8.333,7.407,4,4
,David Montgomery,DET,RB,1,4,14,3.5,0,0,0,13,18.841,33.333,4,8.696,4,5.797,36.364,8.696,5.797,4,4
,Keaton Mitchell,BLT,RB,1,9,13,1.444,0,0,0,19,34.545,27.273,9,18.367,9,16.667,31.034,18.367,16.667,9,9
,KaVontae Turpin,DAL,WR,1,2,13,6.5,0,0,0,17,28.814,8.696,4,8.696,4,7.143,9.524,9.091,7.407,2,4
,DJ Moore,CHI,WR,1,1,12,12,0,0,0,57,90.476,3.846,6,13.333,6,10,4.348,14.286,10.526,1,6
,Mason Tipton,NO,WR,1,1,12,12,0,0,0,39,48.75,4,5,8.621,5,6.41,9.091,11.905,8.065,1,5
,Kimani Vidal,LAC,RB,1,5,11,2.2,0,0,0,21,31.818,15.152,5,8.929,5,8.065,20,10.417,9.259,5,5
,Bo Nix,DEN,QB,1,4,11,2.75,0,1,1,67,101.515,23.529,4,8.889,4,6.154,0,0,0,4,4
,Tre Tucker,LV,WR,1,2,11,5.5,0,0,0,53,100,7.407,6,13.953,6,11.321,7.407,13.953,11.321,2,6
,Brock Purdy,SF,QB,1,2,11,5.5,0,0,0,64,95.522,6.452,2,3.571,2,3.03,0,0,0,2,2
,LeQuint Allen Jr.,JAX,RB,1,4,10,2.5,0,0,0,21,30,14.815,4,8,4,5.882,19.048,9.091,6.452,4,4
,Savion Williams,GB,WR,1,2,9,4.5,0,0,0,3,4,4.545,2,3.279,2,2.857,6.25,3.922,3.333,2,2
,Cam Ward,TEN,QB,1,4,9,2.25,0,0,0,71,100,10,4,6.557,4,5.714,0,0,0,4,4
,Aaron Rodgers,PIT,QB,1,2,9,4.5,0,0,0,72,100,7.407,2,3.704,2,2.857,0,0,0,2,2
,Malik Washington,MIA,WR,1,1,9,9,1,0,0,30,50.847,3.571,2,4.167,2,3.448,3.846,4.167,3.448,1,2
,Tyler Goodson,IND,RB,1,3,9,3,0,0,0,5,8.621,15,3,6.977,3,5.172,15,6.977,5.172,3,3
,Tyler Shough,NO,QB,1,2,8,4,0,0,0,77,96.25,8,2,3.448,2,2.564,0,0,0,2,2
,Isaiah Davis,NYJ,RB,1,3,8,2.667,0,0,0,24,37.5,15,7,16.667,7,11.111,15.789,16.667,11.111,3,7
,Gardner Minshew,KC,QB,1,1,8,8,0,0,0,14,30.435,6.667,1,3.448,1,2.326,0,0,0,1,1
,Sam Darnold,SEA,QB,1,3,7,2.333,0,0,0,65,100,12,3,6.383,3,4.762,0,0,0,3,3
,Jordan Love,GB,QB,1,2,7,3.5,0,1,0,25,33.333,4.545,2,3.279,2,2.857,0,0,0,2,2
,Lamar Jackson,BLT,QB,1,2,7,3.5,0,0,0,26,47.273,6.061,2,4.082,2,3.704,0,0,0,2,2
,Jaxson Dart,NYG,QB,1,2,7,3.5,0,0,0,49,100,6.667,2,5.405,2,4.167,0,0,0,2,2
,Chris Oladokun,KC,QB,1,2,7,3.5,0,0,0,32,69.565,13.333,2,6.897,2,4.651,0,0,0,2,2
,Tahj Brooks,CIN,RB,1,4,7,1.75,0,0,0,5,8.065,15.385,4,7.692,4,6.557,16.667,7.692,6.557,4,4
,Matthew Stafford,LA,QB,1,2,6,3,0,0,0,90,100,5.128,2,2.941,2,2.273,0,0,0,2,2
,Jayden Reed,GB,WR,1,1,6,6,0,0,0,45,60,2.273,4,6.557,4,5.714,3.125,8.163,6.897,1,4
,Raheem Mostert,LV,RB,1,1,6,6,0,0,0,4,7.547,3.704,2,4.651,2,3.774,3.704,4.651,3.774,1,2
,Joe Burrow,CIN,QB,1,2,6,3,0,0,0,56,90.323,7.692,2,3.846,2,3.279,0,0,0,2,2
,Jordan Mason,MIN,RB,1,2,5,2.5,0,0,0,4,6.667,6.452,3,6.383,3,5.172,7.692,6.667,5.357,2,3
,Jacoby Brissett,ARZ,QB,1,1,5,5,0,0,0,56,100,4.348,1,2.564,1,1.786,0,0,0,1,1
,Quinn Ewers,MIA,QB,1,2,5,2.5,0,0,0,59,100,7.143,2,4.167,2,3.448,0,0,0,2,2
,Matthew Golden,GB,WR,1,2,4,2,0,0,0,22,29.333,4.545,2,3.279,2,2.857,6.25,4.082,3.448,2,2
,Chris Brooks,GB,RB,1,1,4,4,0,0,0,15,20,2.273,1,1.639,1,1.429,3.125,2.041,1.724,1,1
,Zavier Scott,MIN,RB,1,2,4,2,0,0,0,7,11.667,6.452,3,6.383,3,5.172,7.692,6.667,5.357,2,3
,Jeremy McNichols,WAS,RB,1,1,3,3,0,0,0,11,21.569,3.846,3,7.895,3,5.882,4,7.895,5.882,1,3
,Mark Andrews,BLT,TE,1,1,3,3,0,0,0,23,41.818,3.03,3,6.122,3,5.556,3.448,6.383,5.769,1,3
,TreVeyon Henderson,NE,RB,1,5,3,0.6,0,0,0,13,17.568,21.739,6,11.111,6,8.451,38.462,13.636,9.836,5,6
,Sean Tucker,TB,RB,1,4,3,0.75,1,0,0,5,7.937,12.121,4,7.843,4,6.557,13.793,8.511,7.018,4,4
,Evan Hull,NO,RB,1,5,3,0.6,0,0,0,16,20,20,5,8.621,5,6.41,45.455,12.5,8.333,5,5
,C.J. Ham,MIN,FB,1,1,3,3,0,0,0,16,26.667,3.226,1,2.128,1,1.724,3.846,2.222,1.786,1,1
,Wan'Dale Robinson,NYG,WR,1,1,3,3,0,0,0,47,95.918,3.333,4,10.811,4,8.333,3.571,11.429,8.696,1,4
,Marvin Mims Jr.,DEN,WR,1,1,3,3,0,0,0,21,31.818,5.882,4,8.889,4,6.154,7.692,9.756,6.557,1,4
,Tyler Huntley,BLT,QB,1,2,2,1,0,0,0,29,52.727,6.061,2,4.082,2,3.704,0,0,0,2,2
,Brady Cook,NYJ,QB,1,1,2,2,0,0,0,64,100,5,1,2.381,1,1.587,0,0,0,1,1
,Kareem Hunt,KC,RB,1,3,2,0.667,0,0,0,11,23.913,20,3,10.345,3,6.977,25,11.538,7.5,3,3
,Jahmyr Gibbs,DET,RB,1,7,2,0.286,0,1,0,58,84.058,58.333,17,36.957,17,24.638,63.636,36.957,24.638,7,17
,AJ Barner,SEA,TE,1,1,1,1,0,0,0,59,90.769,4,5,10.638,5,7.937,4.545,11.364,8.333,1,5
,Harold Fannin Jr.,CLV,TE,1,1,1,1,1,0,0,54,79.412,3.226,5,9.804,5,7.813,3.704,10.638,8.333,1,5
,Julius Chestnut,TEN,RB,1,1,1,1,0,0,0,2,2.817,2.5,1,1.639,1,1.429,2.778,1.754,1.515,1,1
,Jakobi Meyers,JAX,WR,1,1,1,1,0,0,0,57,81.429,3.704,5,10,5,7.353,4.762,11.364,8.065,1,5
,Hunter Luepke,DAL,FB,1,1,0,0,0,0,0,8,13.559,4.348,2,4.348,2,3.571,4.762,4.545,3.704,1,2
,Xavier Worthy,KC,WR,1,1,0,0,0,0,0,36,78.261,6.667,3,10.345,3,6.977,8.333,11.538,7.5,1,3
,C.J. Stroud,HST,QB,1,4,0,0,0,1,0,62,100,15.385,4,8.163,4,6.557,0,0,0,4,4
,Marcus Mariota,WAS,QB,1,1,-1,-1,0,0,0,31,60.784,3.846,1,2.632,1,1.961,0,0,0,1,1
,Isaiah Bond,CLV,WR,1,1,-1,-1,0,0,0,30,44.118,3.226,1,1.961,1,1.563,3.704,2.128,1.667,1,1
,Jared Goff,DET,QB,1,1,-1,-1,0,0,0,69,100,8.333,1,2.174,1,1.449,0,0,0,1,1
,Ollie Gordon II,MIA,RB,1,1,-1,-1,0,0,0,3,5.085,3.571,1,2.083,1,1.724,3.846,2.174,1.786,1,1
,Tanner McKee,PHI,QB,1,2,-2,-1,0,0,0,4,5.634,5.882,2,3.571,2,3.03,0,0,0,2,2
,Max Brosmer,MIN,QB,1,3,-3,-1,0,0,0,28,46.667,9.677,3,6.383,3,5.172,0,0,0,3,3
,Kirk Cousins,ATL,QB,1,5,-3,-0.6,1,1,1,73,100,13.514,5,8.621,5,6.849,0,0,0,5,5
,Dare Ogunbowale,HST,RB,1,1,-3,-3,0,0,0,11,17.742,3.846,2,4.082,2,3.279,4.545,4.444,3.509,1,2
,Mac Jones,SF,QB,1,3,-3,-1,0,0,0,3,4.478,9.677,3,5.357,3,4.545,0,0,0,3,3
