BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT,YDS,YPC,TD,FUM,FUML,FD,RZ,GL,GL TD,EPA,EPA/ATT,DYAR,DVOA,FPTS,PPG
,Jonathan  Taylor,IND,RB,7,351,81.628,131,697,5.321,10,0,0,37,36,13,4,13.101,0.1,190.301,24.39,177.2,25.314
,Javonte  Williams,DAL,RB,7,328,72.088,111,592,5.333,6,1,1,31,21,8,4,4.611,0.042,149.247,21.82,132.7,18.957
,Rico  Dowdle,CAR,RB,7,217,46.269,98,551,5.622,2,0,0,26,13,4,2,12.566,0.128,126.157,22.44,98.2,14.029
,James  Cook,BUF,RB,6,232,57.711,107,537,5.019,5,1,0,28,21,5,4,8.496,0.079,134.526,19.91,104.6,17.433
,Jahmyr  Gibbs,DET,RB,7,258,60.28,104,526,5.058,6,0,0,27,29,6,1,4.159,0.04,145.79,25.35,139.7,19.957
,Bijan  Robinson,ATL,RB,6,296,74,97,524,5.402,2,1,0,20,13,2,0,0.866,0.009,56.857,4.96,145.4,24.233
,J.K.  Dobbins,DEN,RB,7,233,49.364,105,523,4.981,4,0,0,26,16,5,1,-0.083,-0.001,32.404,-1.47,85.5,12.214
,Travis  Etienne,JAX,RB,7,269,56.751,97,514,5.299,2,0,0,19,15,0,0,-7.244,-0.075,80.465,12.18,91.4,13.057
,De'Von  Achane,MIA,RB,7,297,76.744,89,472,5.303,3,1,0,18,10,2,0,0.973,0.011,96.048,20.46,135.6,19.371
,Kyren  Williams,LA,RB,7,317,73.55,107,472,4.411,2,2,2,30,18,7,1,-13.702,-0.128,16.959,-4.97,113.8,16.257
,Quinshon  Judkins,CLV,RB,6,193,41.416,109,467,4.284,5,0,0,29,20,7,3,-1.565,-0.014,67.439,5.29,91.9,15.317
,Christian  McCaffrey,SF,RB,7,399,81.595,132,465,3.523,3,0,0,29,30,6,2,-19.807,-0.15,31.343,-3.27,185.1,26.443
,Breece  Hall,NYJ,RB,7,252,56.125,99,448,4.525,0,1,1,27,5,2,0,-8.754,-0.088,4.196,-7.56,80.2,11.457
,Ashton  Jeanty,LV,RB,7,271,67.75,111,445,4.009,3,1,1,21,17,3,0,-22.285,-0.201,-11.171,-11.04,98.1,14.014
,Derrick  Henry,BLT,RB,6,172,51.19,88,439,4.989,4,3,2,21,15,8,1,-14.164,-0.161,2.004,-8.08,77.3,12.883
,Kenneth  Walker III,SEA,RB,7,173,42.092,95,430,4.526,3,0,0,18,17,3,1,-7.513,-0.079,52.274,5.8,75.1,10.729
,D'Andre  Swift,CHI,RB,6,233,60.052,89,419,4.708,3,1,1,25,17,4,1,2.523,0.028,89.767,17.1,98.5,16.417
