BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,BUF,1,-36.4,-36.4,-51.12,-72.75,-21.18,-17.7
,DEN,1,-30.6,-30.6,-26.27,-15.02,-36.44,-33.54
,IND,1,-6.62,-6.62,7.24,-23.65,-28.75,-34.77
,LAC,1,-32.79,-32.79,-27,-54.57,-48.94,-62.29
,GB,1,-6.33,-6.33,-6.15,-4.85,-6.62,-0.43
,MIA,1,-33.82,-33.82,-20.07,-22.87,-59.41,-63.2
,BLT,1,-22.16,-22.16,-17.82,-22.6,-29.09,-27.1
,KC,1,-27.56,-27.56,-28.36,-30.08,-26.3,-25.78
,HST,1,-22.92,-22.92,-21.21,-7.53,-29.12,-32.82
,NE,1,-24.51,-24.51,-22.12,-59.53,-29.46,-43.18
,PHI,1,8.45,8.45,15.68,9.26,-1.31,-5.66
,TB,1,-49.32,-49.32,-53.6,-72.35,-28.36,-36.32
,CIN,1,44.93,44.93,61.21,38.67,28.4,27.27
,SF,1,24.89,24.89,48.87,49.32,-5.51,-11.22
,NO,1,-40.08,-40.08,-37.65,-34.03,-41.9,-48.65
,PIT,1,28.49,28.49,50.06,70.68,-4.37,0.7
,WAS,1,2.33,2.33,5.53,24.6,-1.98,6.96
,NYJ,1,51.83,51.83,49.72,38.57,54.49,61.29
,TEN,1,16.83,16.83,6.5,39.32,35.7,50.85
,CHI,1,28.85,28.85,42.9,45.63,19.7,21.69
,NYG,1,45.15,45.15,25.77,41.21,65.63,65.15
,CLV,1,-5.69,-5.69,4.9,26.5,-17.56,-27.92
,ATL,1,15.99,15.99,51.48,44.25,-11.48,-9.4
,DAL,1,54.24,54.24,85.47,84.96,20.97,20.7
,CAR,1,22.24,22.24,6.47,23.07,31.24,50.29
,MIN,1,26.64,26.64,67.98,75.27,-7.95,-11.74
