BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,LA,11,-19.25,-20.94,-19.01,-12.28,-19.45,-20.32
,SEA,11,-15.55,-16.57,-9.31,-12.14,-25.74,-28.8
,IND,11,-4.68,-4.39,-2.29,-5.59,-8.44,-10.19
,DET,11,-9.79,-8.74,-3.47,-4.92,-18.57,-18.98
,KC,11,-3.75,-3.86,5.23,9,-15.86,-10.93
,GB,11,-5.87,-4.71,-3.65,-7.43,-8.82,-9.35
,PHI,11,-6.78,-6.84,-3.24,4.98,-11.66,-9.41
,DEN,11,-15.02,-16.1,-10.77,-9.56,-21.19,-22.69
,HST,11,-18.95,-20.64,-19.92,-16.47,-17.53,-15.74
,BUF,11,6.42,5.36,4.62,0.77,8.28,5.7
,SF,12,6.66,8.38,14.87,17.49,-5.44,-7.13
,TB,11,-7.53,-9.39,-1.28,4.66,-18.77,-17.44
,PIT,11,-2.36,-2.98,1.31,-1.18,-7.99,-7.78
,LAC,11,-2.17,-2.52,-3.85,-9.01,0.45,0.4
,ATL,11,-3.6,-2.43,-3.48,-6.23,-3.74,-1.87
,BLT,11,3.36,0.52,12.84,5.01,-10.41,-9.44
,JAX,11,-2.34,-0.72,4.89,6.25,-16.35,-17.99
,ARZ,11,-5.16,-5.42,-3.18,1.2,-7.9,-7.92
,NE,12,10.31,8.33,22.89,8.07,-9.44,-10.88
,DAL,11,16.76,16.41,26.94,23.59,2.9,1.68
,CHI,11,7.93,7.77,14.26,8.67,0.23,-0.8
,NYG,12,10.61,10.69,4.48,13.26,19.87,19.03
,WAS,11,9.11,12.51,23.11,29.36,-6.41,-6.44
,MIA,11,7.49,4.04,30.21,28.61,-17.12,-13.25
,CLV,11,-15.5,-15.97,-5.77,-10.6,-27.49,-27.53
,CAR,12,5.85,6.7,15.55,16.54,-5.11,-4.4
,NO,11,0.69,-1,14.94,23.3,-13.9,-11.67
,MIN,11,-1.01,-0.29,10.77,10.26,-11.78,-11.31
,LV,11,-1.95,-1.9,3.69,7.11,-8.45,-8.17
,CIN,11,27.43,28.39,43.92,38.26,8.12,8.09
,NYJ,11,13.97,14.45,38.17,34,-11.9,-10.87
,TEN,11,10.63,10.87,17.38,25.09,2.29,-1.04
