BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT/G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,FD,300Yd,RTG,EPA,EPA/DB,DYAR,DVOA,FPTS,PPG
,Dak Prescott,DAL,QB,1,78,100,47,54,47,31,65.957,376,8,1,2,17,1,79.743,-5.84,-0.108,-40.48,-24.04,16.44,16.44
,Shedeur Sanders,CLV,QB,1,66,98.507,42,47,42,23,54.762,364,8.667,3,1,13,1,97.718,1.326,0.028,35.35,2.82,33.46,33.46
,Jared Goff,DET,QB,1,57,100,34,35,34,25,73.529,309,9.088,1,0,10,1,111.029,10.788,0.308,90.749,31.6,16.16,16.16
,Aaron Rodgers,PIT,QB,1,53,101.923,34,35,34,23,67.647,284,8.353,1,0,7,0,103.064,9.507,0.272,36.892,5.24,21.46,21.46
,Joe Burrow,CIN,QB,1,56,100,36,37,36,25,69.444,284,7.889,4,2,19,0,106.713,12.491,0.338,106.871,32.25,23.36,23.36
,Matthew Stafford,LA,QB,1,56,83.582,31,31,31,22,70.968,281,9.065,3,0,13,0,131.25,17.044,0.55,158.681,65.3,23.24,23.24
,Jacoby Brissett,ARZ,QB,1,64,100,44,50,44,25,56.818,271,6.159,2,1,15,0,80.777,-3.294,-0.066,47.665,5.39,19.04,19.04
,Josh Allen,BUF,QB,1,66,101.538,28,36,28,22,78.571,251,8.964,3,0,13,0,139.732,18.875,0.524,90.644,29.76,35.84,35.84
,Sam Darnold,SEA,QB,1,53,88.333,30,34,30,20,66.667,249,8.3,3,1,12,0,111.667,10.619,0.312,102.378,38.94,22.26,22.26
,Trevor Lawrence,JAX,QB,1,61,93.846,30,32,30,17,56.667,244,8.133,2,0,10,0,105.417,10.188,0.318,101.937,43.89,19.36,19.36
,Jalen Hurts,PHI,QB,1,68,100,40,43,40,21,52.5,240,6,0,4,12,0,29.167,-19.094,-0.444,-139.144,-66.09,2.4,2.4
,Jordan Love,GB,QB,1,52,100,25,26,25,17,68,234,9.36,3,1,9,0,120.667,6.419,0.247,81.53,40.34,19.26,19.26
,Lamar Jackson,BLT,QB,1,82,100,35,42,35,19,54.286,219,6.257,1,1,9,0,71.012,-4.237,-0.101,12.889,-5.72,21.06,21.06
,Bo Nix,DEN,QB,1,74,100,38,43,38,31,81.579,212,5.579,0,0,14,0,89.912,5.897,0.137,31.827,-0.14,15.98,15.98
,C.J. Stroud,HST,QB,1,66,100,31,35,31,15,48.387,203,6.548,1,0,7,0,80.444,1.218,0.035,16.247,-2.2,12.62,12.62
,Caleb Williams,CHI,QB,1,71,100,35,39,35,19,54.286,186,5.314,2,1,12,0,76.607,-1.615,-0.041,39.293,4.91,14.94,14.94
,J.J. McCarthy,MIN,QB,1,63,100,23,29,23,16,69.565,163,7.087,3,0,13,0,129.167,9.615,0.332,47.583,15.31,20.42,20.42
,Brady Cook,NYJ,QB,1,51,89.474,30,36,30,14,46.667,163,5.433,0,2,8,0,35.833,-15.619,-0.434,-195.541,-95.45,2.52,2.52
,Kirk Cousins,ATL,QB,1,62,100,30,31,30,15,50,162,5.4,0,2,7,0,38.472,-12.331,-0.398,-90.555,-54.88,2.48,2.48
,Patrick Mahomes,KC,QB,1,72,101.408,33,42,33,14,42.424,160,4.848,0,3,8,0,19.76,-22.332,-0.532,-72.251,-41.74,6.3,6.3
,Riley Leonard,IND,QB,1,50,76.923,29,31,29,18,62.069,145,5,0,1,8,0,60.273,-0.991,-0.032,-32.645,-26.72,10.3,10.3
,Tyler Shough,NO,QB,1,56,100,20,24,20,13,65,144,7.2,0,1,9,0,65.417,0.335,0.014,12.168,-1.68,21.26,21.26
,Justin Herbert,LAC,QB,1,79,100,26,41,26,12,46.154,139,5.346,1,1,5,0,59.615,-13.675,-0.334,-121.766,-64.88,14.16,14.16
,Tua Tagovailoa,MIA,QB,1,56,88.889,21,22,21,13,61.905,127,6.048,1,0,8,0,94.742,1.675,0.076,9.631,-4.6,9.08,9.08
,Baker Mayfield,TB,QB,1,74,100,30,35,30,14,46.667,122,4.067,1,1,4,0,55.139,-6.891,-0.197,-47.354,-35.19,11.08,11.08
,Cam Ward,TEN,QB,1,64,100,28,29,28,14,50,117,4.179,2,1,6,0,70.089,-9.299,-0.321,-42.427,-34.92,11.08,11.08
,Geno Smith,LV,QB,1,36,72,21,25,21,13,61.905,116,5.524,1,0,7,0,92.56,-1.244,-0.05,25.281,4.07,9.04,9.04
,Kenny Pickett,LV,QB,1,14,28,11,13,11,8,72.727,97,8.818,1,0,4,0,129.735,2.638,0.203,54.451,63.73,8.48,8.48
,Jayden Daniels,WAS,QB,1,40,72.727,20,25,20,9,45,78,3.9,0,1,4,0,35,-8.325,-0.333,-93.042,-70.75,2.72,2.72
,Daniel Jones,IND,QB,1,15,23.077,7,8,7,5,71.429,60,8.571,0,1,4,0,37.798,-2.178,-0.272,-8.634,-30.31,0.8,0.8
,Marcus Mariota,WAS,QB,1,15,27.273,4,7,4,2,50,30,7.5,0,1,2,0,-29.167,-5.86,-0.837,-43.689,-160.35,-0.1,-0.1
,Tyrod Taylor,NYJ,QB,1,6,10.526,4,4,4,1,25,6,1.5,0,1,0,0,-75,-6.361,-1.59,-73.275,-287.6,-1.76,-1.76
