BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
,RJ  Harvey,DEN,RB,1,11,30,2.727,0,0,0,37,59.677,52.381,14,31.111,14,22.951,61.111,31.111,22.951,11,14
,Jacory  Croskey-Merritt,WAS,RB,1,9,28,3.111,0,0,0,17,26.154,27.273,10,18.868,10,15.625,31.034,20.408,16.667,9,10
,David  Montgomery,DET,RB,1,6,27,4.5,0,0,0,23,38.333,28.571,7,20,7,11.667,30,20,11.667,6,7
,Caleb  Williams,CHI,QB,1,4,26,6.5,0,1,0,75,100,10.256,4,7.273,4,5.479,0,0,0,4,4
,Kenneth  Gainwell,PIT,RB,1,9,24,2.667,0,0,0,36,59.016,32.143,16,32.653,16,26.667,34.615,32.653,26.667,9,16
,Bam  Knight,ARZ,RB,1,5,24,4.8,1,0,0,26,36.62,35.714,9,14.754,9,12.676,41.667,14.754,12.676,5,9
,Brian  Robinson,SF,RB,1,8,24,3,0,0,0,13,25,32,8,18.182,8,15.385,38.095,18.182,15.385,8,8
,Kyle  Monangai,CHI,RB,1,12,23,1.917,1,0,0,27,36,30.769,13,23.636,13,17.808,34.286,25.49,18.841,12,13
,Tony  Pollard,TEN,RB,1,10,22,2.2,0,0,0,28,46.667,58.824,13,31.707,13,22.807,71.429,34.211,24.074,10,13
,Chuba  Hubbard,CAR,RB,1,4,21,5.25,0,0,0,14,18.667,16,5,8.929,5,6.667,16.667,8.929,6.667,4,5
,Justin  Herbert,LAC,QB,1,3,21,7,0,0,0,35,72.917,18.75,3,10.345,3,6.667,0,0,0,3,3
,Malik  Davis,DAL,RB,1,4,20,5,0,0,0,8,12.308,12.903,4,7.143,4,6.154,14.815,7.143,6.154,4,4
,Dylan  Sampson,CLV,RB,1,1,19,19,0,0,0,6,10.345,4,1,2.778,1,1.852,5,2.778,1.852,1,1
,Jaleel  McLaughlin,DEN,RB,1,6,19,3.167,1,0,0,8,12.903,28.571,7,15.556,7,11.475,33.333,15.556,11.475,6,7
,Puka  Nacua,LA,WR,1,2,18,9,0,0,0,33,66,9.091,9,24.324,9,18,9.091,24.324,18,2,9
,Bo  Melton,GB,CB,1,1,17,17,0,0,0,1,1.923,4.348,1,2.632,1,1.961,4.762,2.632,1.961,1,1
,Nick  Chubb,HST,RB,1,3,17,5.667,0,0,0,17,24.286,13.043,3,6.122,3,4.412,14.286,6.122,4.412,3,3
,Shedeur  Sanders,CLV,QB,1,3,16,5.333,0,0,0,31,53.448,12,3,8.333,3,5.556,0,0,0,3,3
,Kaleb  Johnson,PIT,RB,1,5,15,3,0,0,0,7,11.475,17.857,5,10.204,5,8.333,19.231,10.204,8.333,5,5
,Davis  Mills,HST,QB,1,2,14,7,0,0,0,70,100,8.696,2,4.082,2,2.941,0,0,0,2,2
,Geno  Smith,LV,QB,1,4,14,3.5,0,0,0,61,100,33.333,4,10.256,4,6.897,0,0,0,4,4
,Jeremy  McNichols,WAS,RB,1,4,13,3.25,0,0,0,16,24.615,12.121,6,11.321,6,9.375,13.793,12.245,10,4,6
,Kimani  Vidal,LAC,RB,1,5,13,2.6,0,0,0,23,47.917,31.25,7,24.138,7,15.556,50,26.923,16.667,5,7
,Isaiah  Davis,NYJ,RB,1,2,11,5.5,0,0,0,16,26.23,7.143,2,4.651,2,3.509,11.765,6.25,4.348,2,2
,Jaxon  Smith-Njigba,SEA,WR,1,1,11,11,0,0,0,66,82.5,2.857,10,15.625,10,12.658,3.03,15.625,12.658,1,10
,Sam  Darnold,SEA,QB,1,2,11,5.5,0,0,0,80,100,5.714,2,3.125,2,2.532,0,0,0,2,2
,Tyler  Allgeier,ATL,RB,1,3,10,3.333,1,0,0,12,20.339,10.714,5,10.638,5,8.621,11.538,10.638,8.621,3,5
,Jameis  Winston,NYG,QB,1,3,10,3.333,1,0,0,69,100,7.895,3,5.263,3,4.348,0,0,0,3,3
,Blake  Corum,LA,RB,1,8,10,1.25,0,0,0,16,32,36.364,9,24.324,9,18,36.364,24.324,18,8,9
,Lamar  Jackson,BLT,QB,1,4,10,2.5,0,0,0,61,100,13.333,4,9.091,4,6.667,0,0,0,4,4
,Michael  Penix Jr.,ATL,QB,1,1,9,9,0,0,0,36,61.017,3.571,1,2.128,1,1.724,0,0,0,1,1
,Ty  Johnson,BUF,RB,1,1,9,9,0,0,0,17,30.909,4.348,3,7.143,3,5.66,5.882,8.333,6.383,1,3
,Trevor  Lawrence,JAX,QB,1,5,9,1.8,1,0,0,63,88.732,10.638,5,8.197,5,7.246,0,0,0,5,5
,Jameson  Williams,DET,WR,1,1,9,9,0,0,0,56,93.333,4.762,5,14.286,5,8.333,5,14.286,8.333,1,5
,Aaron  Rodgers,PIT,QB,1,1,8,8,0,0,0,34,55.738,3.571,1,2.041,1,1.667,0,0,0,1,1
,Emari  Demercado,ARZ,RB,1,5,8,1.6,0,0,0,12,16.901,35.714,7,11.475,7,9.859,41.667,11.475,9.859,5,7
,Isaiah  Bond,CLV,WR,1,1,8,8,0,0,0,23,39.655,4,1,2.778,1,1.852,5,3.03,1.961,1,1
,Bo  Nix,DEN,QB,1,3,8,2.667,0,0,0,62,100,14.286,3,6.667,3,4.918,0,0,0,3,3
,Sterling  Shepard,TB,WR,1,1,7,7,0,0,0,43,59.722,2.564,5,9.091,5,7.353,3.03,10,7.937,1,5
,Jordan  Love,GB,QB,1,2,7,3.5,0,0,0,45,86.538,8.696,2,5.263,2,3.922,0,0,0,2,2
,Ashton  Jeanty,LV,RB,1,6,7,1.167,0,0,0,44,72.131,50,12,30.769,12,20.69,75,34.286,22.222,6,12
,Michael  Carter,ARZ,RB,1,2,6,3,0,0,0,31,43.662,14.286,7,11.475,7,9.859,16.667,11.475,9.859,2,7
,George  Holani,SEA,RB,1,2,6,3,0,0,0,2,2.5,5.714,2,3.125,2,2.532,6.061,3.226,2.597,2,2
,Raheem  Mostert,LV,RB,1,2,6,3,0,0,0,13,21.311,16.667,4,10.256,4,6.897,25,11.429,7.407,2,4
,Tahj  Brooks,CIN,RB,1,1,5,5,0,0,0,6,9.524,4.545,1,2.222,1,1.587,4.762,2.222,1.587,1,1
,Zay  Flowers,BLT,WR,1,1,5,5,0,0,0,53,86.885,3.333,4,9.091,4,6.667,3.846,10,7.143,1,4
,Hunter  Luepke,DAL,FB,1,1,5,5,0,0,0,11,16.923,3.226,4,7.143,4,6.154,3.704,7.143,6.154,1,4
,Isaiah  Williams,NYJ,WR,1,1,4,4,0,0,0,43,70.492,3.571,2,4.651,2,3.509,5.882,6.25,4.348,1,2
,Jaylen  Wright,MIA,RB,1,1,4,4,0,0,0,1,1.852,3.226,1,2.222,1,1.852,3.226,2.222,1.852,1,1
,Deebo  Samuel Sr.,WAS,WR,1,1,3,3,0,0,0,47,72.308,3.03,8,15.094,8,12.5,3.448,16.327,13.333,1,8
,DJ  Moore,CHI,WR,1,1,3,3,0,0,0,58,77.333,2.564,2,3.636,2,2.74,2.857,3.922,2.899,1,2
,Connor  Heyward,PIT,TE,1,2,3,1.5,0,0,0,4,6.557,7.143,2,4.082,2,3.333,7.692,4.167,3.39,2,2
,Tyjae  Spears,TEN,RB,1,4,3,0.75,0,0,0,31,51.667,23.529,9,21.951,9,15.789,28.571,23.684,16.667,4,9
,Patrick  Mahomes,KC,QB,1,1,3,3,0,0,0,63,100,7.143,1,2.326,1,1.613,0,0,0,1,1
,Drake  Maye,NE,QB,1,4,2,0.5,0,0,0,64,100,14.815,4,7.692,4,6.452,0,0,0,4,4
,Trevor  Etienne,CAR,RB,1,1,2,2,0,0,0,3,4,4,1,1.786,1,1.333,4.167,1.786,1.333,1,1
,Kirk  Cousins,ATL,QB,1,1,2,2,0,0,0,23,38.983,3.571,1,2.128,1,1.724,0,0,0,1,1
,Rashid  Shaheed,SEA,WR,1,1,2,2,0,0,0,42,52.5,2.857,3,4.688,3,3.797,3.03,4.839,3.896,1,3
,Dillon  Gabriel,CLV,QB,1,2,2,1,0,0,0,27,46.552,8,2,5.556,2,3.704,0,0,0,2,2
,Jerome  Ford,CLV,RB,1,1,2,2,0,0,0,17,29.31,4,1,2.778,1,1.852,5,3.226,2.041,1,1
,Marvin  Mims Jr.,DEN,WR,1,1,2,2,0,0,0,15,24.194,4.762,1,2.222,1,1.639,5.556,2.381,1.724,1,1
,Trey  Lance,LAC,QB,1,3,1,0.333,0,0,0,13,27.083,18.75,3,10.345,3,6.667,0,0,0,3,3
,AJ  Barner,SEA,TE,1,2,1,0.5,0,0,0,70,87.5,5.714,12,18.75,12,15.19,6.061,19.355,15.584,2,12
,Tez  Johnson,TB,WR,1,3,0,0,0,0,0,56,77.778,7.692,4,7.273,4,5.882,9.091,8,6.349,3,4
,Bryce  Young,CAR,QB,1,1,-1,-1,0,0,0,75,100,4,1,1.786,1,1.333,0,0,0,1,1
,Teddy  Bridgewater,TB,QB,1,1,-1,-1,0,0,0,1,1.389,2.564,1,1.818,1,1.471,0,0,0,1,1
,Joe  Flacco,CIN,QB,1,1,-1,-1,0,0,0,63,100,4.545,1,2.222,1,1.587,0,0,0,1,1
,Mason  Rudolph,PIT,QB,1,1,-1,-1,0,0,0,27,44.262,3.571,1,2.041,1,1.667,0,0,0,1,1
,Jared  Goff,DET,QB,1,1,-1,-1,0,0,0,59,98.333,4.762,1,2.857,1,1.667,0,0,0,1,1
,Jacoby  Brissett,ARZ,QB,1,2,-2,-1,0,0,0,71,100,14.286,2,3.279,2,2.817,0,0,0,2,2
,Mac  Jones,SF,QB,1,3,-3,-1,0,0,0,5,9.615,12,3,6.818,3,5.769,0,0,0,3,3
,Dak  Prescott,DAL,QB,1,4,-4,-1,0,0,0,65,100,12.903,4,7.143,4,6.154,0,0,0,4,4
,DeMario  Douglas,NE,WR,1,1,-5,-5,0,0,0,19,29.688,3.704,4,7.692,4,6.452,4.348,8.333,6.897,1,4
,Brock  Purdy,SF,QB,1,1,-7,-7,0,0,0,47,90.385,4,1,2.273,1,1.923,0,0,0,1,1
