BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,FUM,FUML,SNP,SNP%,ATT%,TCH,TCH%,OPP,OPP%,rATT%,rTCH%,rOPP%,ATT/G,TCH/G
,De'Von  Achane,MIA,RB,1,21,120,5.714,0,0,0,43,79.63,67.742,26,57.778,26,48.148,67.742,57.778,48.148,21,26
,Sean  Tucker,TB,RB,1,19,106,5.579,2,0,0,31,43.056,48.718,21,38.182,21,30.882,57.576,38.182,30.882,19,21
,Bijan  Robinson,ATL,RB,1,23,104,4.522,2,0,0,50,84.746,82.143,27,57.447,27,46.552,88.462,57.447,46.552,23,27
,Derrick  Henry,BLT,RB,1,18,103,5.722,1,0,0,32,52.459,60,20,45.455,20,33.333,69.231,45.455,33.333,18,20
,Chase  Brown,CIN,RB,1,18,99,5.5,0,0,0,52,82.54,81.818,24,53.333,24,38.095,85.714,53.333,38.095,18,24
,Javonte  Williams,DAL,RB,1,22,93,4.227,0,0,0,52,80,70.968,23,41.071,23,35.385,81.481,41.071,35.385,22,23
,Kyren  Williams,LA,RB,1,12,91,7.583,1,0,0,34,68,54.545,13,35.135,13,26,54.545,35.135,26,12,13
,D'Andre  Swift,CHI,RB,1,21,90,4.286,0,0,0,42,56,53.846,21,38.182,21,28.767,60,38.182,28.767,21,21
,Tyrone  Tracy Jr.,NYG,RB,1,19,88,4.632,0,0,0,36,52.174,50,23,40.351,23,33.333,54.286,40.351,33.333,19,23
,Saquon  Barkley,PHI,RB,1,26,83,3.192,0,0,0,56,78.873,65,27,50,27,39.13,86.667,50,39.13,26,27
,Christian  McCaffrey,SF,RB,1,13,81,6.231,2,0,0,36,69.231,52,18,40.909,18,34.615,61.905,40.909,34.615,13,18
,Chris  Rodriguez Jr.,WAS,RB,1,15,79,5.267,0,0,0,29,44.615,45.455,16,30.189,16,25,51.724,30.189,25,15,16
,Bhayshul  Tuten,JAX,RB,1,15,74,4.933,1,0,0,22,30.986,31.915,15,24.59,15,21.739,35.714,24.59,21.739,15,15
,Travis  Etienne,JAX,RB,1,19,73,3.842,2,0,0,35,49.296,40.426,19,31.148,19,27.536,45.238,31.148,27.536,19,19
,Aaron  Jones,MIN,RB,1,16,70,4.375,0,0,0,36,66.667,72.727,19,50,19,35.185,72.727,50,35.185,16,19
,Justin  Fields,NYJ,QB,1,11,67,6.091,1,1,1,61,100,39.286,11,25.581,11,19.298,0,0,0,11,11
,Kenneth  Walker III,SEA,RB,1,16,67,4.188,1,0,0,40,50,45.714,19,29.688,19,24.051,48.485,29.688,24.051,16,19
,TreVeyon  Henderson,NE,RB,1,19,62,3.263,2,0,0,54,84.375,70.37,24,46.154,24,38.71,82.609,46.154,38.71,19,24
,Jaylen  Warren,PIT,RB,1,10,62,6.2,0,0,0,18,29.508,35.714,12,24.49,12,20,38.462,24.49,20,10,12
,Quinshon  Judkins,CLV,RB,1,17,59,3.471,0,0,0,32,55.172,68,17,47.222,17,31.481,85,47.222,31.481,17,17
,Kareem  Hunt,KC,RB,1,13,59,4.538,1,0,0,52,82.54,92.857,14,32.558,14,22.581,100,32.558,22.581,13,14
,Breece  Hall,NYJ,RB,1,14,58,4.143,0,0,0,41,67.213,50,16,37.209,16,28.07,82.353,50,34.783,14,16
,Rachaad  White,TB,RB,1,10,51,5.1,0,0,0,40,55.556,25.641,12,21.818,12,17.647,30.303,21.818,17.647,10,12
,Marcus  Mariota,WAS,QB,1,4,49,12.25,0,0,0,64,98.462,12.121,4,7.547,4,6.25,0,0,0,4,4
,James  Cook,BUF,RB,1,16,48,3,0,0,0,36,65.455,69.565,19,45.238,19,35.849,94.118,45.238,35.849,16,19
,Ollie  Gordon II,MIA,RB,1,9,45,5,1,0,0,21,38.889,29.032,9,20,9,16.667,29.032,20,16.667,9,9
,Rico  Dowdle,CAR,RB,1,19,45,2.368,0,0,0,61,81.333,76,24,42.857,24,32,79.167,42.857,32,19,24
,Jordan  Mason,MIN,RB,1,6,45,7.5,1,0,0,9,16.667,27.273,6,15.789,6,11.111,27.273,15.789,11.111,6,6
,Devin  Singletary,NYG,RB,1,16,44,2.75,2,0,0,32,46.377,42.105,17,29.825,17,24.638,45.714,29.825,24.638,16,17
,Woody  Marks,HST,RB,1,18,44,2.444,0,0,0,45,64.286,78.261,19,38.776,19,27.941,85.714,38.776,27.941,18,19
,Josh  Allen,BUF,QB,1,6,40,6.667,3,0,0,55,100,26.087,6,14.286,6,11.321,0,0,0,6,6
,Josh  Jacobs,GB,RB,1,7,40,5.714,0,0,0,11,21.154,30.435,7,18.421,7,13.725,33.333,18.421,13.725,7,7
,Emanuel  Wilson,GB,RB,1,11,40,3.636,1,0,0,36,69.231,47.826,12,31.579,12,23.529,52.381,31.579,23.529,11,12
,Baker  Mayfield,TB,QB,1,5,39,7.8,1,0,0,71,98.611,12.821,5,9.091,5,7.353,0,0,0,5,5
,Jahmyr  Gibbs,DET,RB,1,12,39,3.25,0,0,0,43,71.667,57.143,17,48.571,17,28.333,60,48.571,28.333,12,17
,Zach  Charbonnet,SEA,RB,1,11,37,3.364,0,0,0,34,42.5,31.429,13,20.313,13,16.456,33.333,20.313,16.456,11,13
,LeQuint  Allen Jr.,JAX,RB,1,8,36,4.5,0,0,0,13,18.31,17.021,8,13.115,8,11.594,19.048,13.115,11.594,8,8
,Mark  Andrews,BLT,TE,1,1,35,35,1,0,0,36,59.016,3.333,4,9.091,4,6.667,3.846,9.091,6.667,1,4
,Tank  Bigsby,PHI,RB,1,4,34,8.5,0,0,0,8,11.268,10,4,7.407,4,5.797,13.333,7.407,5.797,4,4
,Cam  Ward,TEN,QB,1,3,33,11,0,0,0,60,100,17.647,3,7.317,3,5.263,0,0,0,3,3
,Keaton  Mitchell,BLT,RB,1,6,31,5.167,0,0,0,16,26.23,20,8,18.182,8,13.333,23.077,18.182,13.333,6,8
,Jalen  Hurts,PHI,QB,1,10,31,3.1,1,1,0,71,100,25,10,18.519,10,14.493,0,0,0,10,10
