BASIC,BASIC,BASIC,DEFENSE,WR1,WR1,WR1,WR2,WR2,WR2,WR3,WR3,WR3,TE,TE,TE,RB,RB,RB
Rk,Tm,G,Defensive DVOA,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G
,MIA,1,-50.04,-13.68,3,46,-27.66,7,58,88.24,4,54,-91.5,6,100,-8.35,8,48
,DET,1,0.97,4.95,4,29,374.1,1,41,6.11,4,75,33.8,6,64,-33.67,1,4
,LAC,1,-49.36,-107.26,3,35,-132.01,2,14,28.06,2,35,34.03,5,52,-11.17,4,25
,PHI,1,-35.97,-74.73,1,5,30.96,2,45,-29.77,8,68,-28.12,3,23,16.89,6,35
,TB,1,-11.7,3.12,5,46,-97.11,6,106,140.66,3,106,-116.64,1,9,-72.87,1,3
,HST,1,-28.86,111.73,3,41,12.59,3,33,-175.43,2,33,33.56,1,21,-15.28,4,30
,ATL,1,-11.2,6.96,2,19,-1.92,4,84,-83.39,1,3,12.53,8,99,-33.24,4,50
,NO,1,-22.27,-59.56,5,60,-42.27,0,0,9.12,3,21,-34.58,5,32,-31.71,4,11
,LA,1,12.15,4.64,6,71,84.52,1,19,69.83,4,52,49.93,11,99,-64.65,11,78
,SEA,1,-19.65,-66.57,3,33,-37,4,34,-101.44,0,0,38.28,11,146,-4.25,4,45
,SF,1,17.85,54.92,6,77,52.33,5,64,-46.23,1,14,29.4,10,114,-41.16,2,11
,IND,1,4.47,73.42,6,104,-32.68,1,17,-56.67,0,0,12.06,3,52,-96.79,2,4
,DEN,1,-29.1,30.58,2,28,-137.5,0,0,40.75,6,48,3.28,4,53,-187.85,4,14
,GB,1,-14.55,-27.86,2,13,-17.3,4,69,-68.38,0,0,-17.3,4,43,115.23,5,58
,CLV,1,-27.91,-257.52,0,0,-87.38,0,0,-90.06,2,7,-96.07,2,4,374.59,2,43
,CHI,1,16.02,167.34,4,89,-24.8,6,62,-95.44,0,0,-7.28,8,83,16.89,4,53
,NYG,1,5.68,40.28,6,86,-117.72,0,0,11.39,4,56,1.05,5,60,-66.6,5,18
,BLT,1,14.65,-6.68,4,37,-56.54,3,35,114.76,7,140,-10.61,2,8,-4.81,4,28
,ARZ,1,-4.86,-14.46,5,93,177.55,2,74,-56.68,1,3,-99.78,1,5,-43.63,1,3
,NE,1,16.44,53.93,6,115,91.84,4,42,-49.51,3,20,6.78,9,82,-56.13,6,14
,MIN,1,-0.29,12.39,1,10,37.44,4,75,-98.98,2,16,-4.6,6,54,18.99,4,21
,LV,1,-14.72,-2.83,3,24,-26.31,5,40,226.32,1,43,-54.01,3,14,-0.1,4,29
,WAS,1,40.26,1.01,5,58,94.37,6,119,61.29,5,60,-24.45,5,53,14.5,4,30
,JAX,1,14.64,6.44,7,136,34.65,5,42,-57.39,5,38,-5.66,7,53,36.1,3,23
,PIT,1,-4.18,-21.14,5,42,-53.5,2,19,72.66,7,114,-77.49,4,25,92.98,2,20
,NYJ,1,19.8,41.81,6,78,39.45,2,11,-78.74,0,0,68.16,6,65,-35.23,3,13
,CAR,1,26.11,47.75,5,104,0,0,0,-65.36,1,15,92.56,7,122,38.8,6,41
,BUF,1,54.26,27.25,5,84,34.28,2,9,147.3,1,7,-18.35,1,22,107.51,6,51
