BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,FUM,FUML,SNP,SNP%,ATT%,TCH,TCH%,OPP,OPP%,rATT%,rTCH%,rOPP%,ATT/G,TCH/G
,Jaylen Warren,PIT,RB,1,12,33,2.75,0,0,0,28,45.161,37.5,15,27.273,15,24.194,37.5,27.273,24.194,12,15
,Travis Etienne,JAX,RB,1,12,32,2.667,0,0,0,35,55.556,44.444,15,31.915,15,25.424,63.158,35.714,27.778,12,15
,David Montgomery,DET,RB,1,7,32,4.571,1,0,0,18,29.032,35,7,15.556,7,11.29,35,15.556,11.29,7,7
,Tyler Shough,NO,QB,1,8,32,4,0,0,0,65,98.485,32,8,16.327,8,12.698,0,0,0,8,8
,Zach Charbonnet,SEA,RB,1,8,31,3.875,0,0,0,30,49.18,36.364,8,18.182,8,13.559,44.444,18.182,13.559,8,8
,Woody Marks,HST,RB,1,7,30,4.286,0,0,0,12,18.462,21.212,8,14.545,8,12.698,25.926,14.545,12.698,7,8
,Jordan Love,GB,QB,1,3,29,9.667,0,0,0,66,100,15,3,6.818,3,4.762,0,0,0,3,3
,Chuba Hubbard,CAR,RB,1,8,29,3.625,0,0,0,24,38.71,25.806,9,19.565,9,16.071,33.333,23.077,18.367,8,9
,Jordan Mason,MIN,RB,1,10,29,2.9,0,0,0,18,33.333,35.714,10,23.256,10,19.231,41.667,23.256,19.231,10,10
,Devin Neal,NO,RB,1,7,28,4,1,0,0,20,30.303,28,8,16.327,8,12.698,46.667,19.512,14.545,7,8
,Lamar Jackson,BLT,QB,1,2,26,13,0,0,0,37,88.095,8.333,2,6.25,2,5,0,0,0,2,2
,Shedeur Sanders,CLV,QB,1,2,24,12,0,0,0,58,100,12.5,2,5.882,2,3.571,0,0,0,2,2
,Breece Hall,NYJ,RB,1,12,23,1.917,0,0,0,37,50.685,37.5,14,25.926,14,20.588,46.154,29.167,22.581,12,14
,Quinshon Judkins,CLV,RB,1,12,21,1.75,0,0,0,37,63.793,75,15,44.118,15,26.786,85.714,46.875,27.778,12,15
,Isiah Pacheco,KC,RB,1,11,21,1.909,0,0,0,27,44.262,52.381,11,27.5,11,18.644,57.895,27.5,18.644,11,11
,Brian Robinson,SF,RB,1,9,21,2.333,0,0,0,11,14.667,23.684,9,14.754,9,12.857,29.032,16.667,14.286,9,9
,Malik Davis,DAL,RB,1,8,21,2.625,1,0,0,35,50.725,27.586,10,19.231,10,14.493,28.571,19.231,14.493,8,10
,Rachaad White,TB,RB,1,1,20,20,0,0,0,20,32.258,4.545,2,4.878,2,3.279,4.762,4.878,3.279,1,2
,Tyler Allgeier,ATL,RB,1,2,18,9,0,0,0,12,18.182,9.524,2,3.922,2,3.03,9.524,3.922,3.03,2,2
,Kenneth Walker III,SEA,RB,1,9,17,1.889,0,0,0,25,40.984,40.909,10,22.727,10,16.949,50,22.727,16.949,9,10
,Hunter Luepke,DAL,FB,1,3,16,5.333,0,0,0,15,21.739,10.345,5,9.615,5,7.246,10.714,9.615,7.246,3,5
,Patrick Mahomes,KC,QB,1,2,15,7.5,1,0,0,56,91.803,9.524,2,5,2,3.39,0,0,0,2,2
,Ameer Abdullah,IND,RB,1,4,15,3.75,0,0,0,14,24.138,13.333,9,18.75,9,15.517,13.333,18.75,15.517,4,9
,J.J. McCarthy,MIN,QB,1,4,15,3.75,1,0,0,54,100,14.286,4,9.302,4,7.692,0,0,0,4,4
,Jonnu Smith,PIT,TE,1,1,14,14,1,0,0,16,25.806,3.125,3,5.455,3,4.839,3.125,5.455,4.839,1,3
,Caleb Williams,CHI,QB,1,3,13,4.333,0,1,0,65,100,9.091,3,6,3,4.688,0,0,0,3,3
,Ty Johnson,BUF,RB,1,4,13,3.25,0,0,0,14,20,10.811,7,12.5,7,10.448,15.385,15.556,12.5,4,7
,Devin Singletary,NYG,RB,1,5,13,2.6,0,0,0,16,21.918,17.241,6,12.245,6,8.955,25,15,10.345,5,6
,Kareem Hunt,KC,RB,1,6,12,2,0,0,0,29,47.541,28.571,7,17.5,7,11.864,31.579,18.421,12.281,6,7
,Evan Hull,NO,RB,1,4,12,3,0,0,0,18,27.273,16,4,8.163,4,6.349,26.667,9.756,7.273,4,4
,LeQuint Allen Jr.,JAX,RB,1,4,11,2.75,0,0,0,13,20.635,14.815,5,10.638,5,8.475,21.053,11.905,9.259,4,5
,Audric Estimé,NO,RB,1,3,11,3.667,0,0,0,22,33.333,12,6,12.245,6,9.524,20,14.634,10.909,3,6
,C.J. Stroud,HST,QB,1,6,10,1.667,0,1,0,65,100,18.182,6,10.909,6,9.524,0,0,0,6,6
,Bo Nix,DEN,QB,1,7,10,1.429,0,0,0,67,100,22.581,7,12.963,7,10.769,0,0,0,7,7
,Chris Brooks,GB,RB,1,2,10,5,0,0,0,17,25.758,10,3,6.818,3,4.762,11.765,7.317,5,2,3
,Tanner McKee,PHI,QB,1,1,9,9,0,0,0,18,26.087,2.128,1,1.613,1,1.515,0,0,0,1,1
