BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
,Sterling  Shepard,TB,WR,1,5,4,54,0,5,4,54,43,59.722,25,86.207,17.241,4,80,12.121,6,8.824
,Jauan  Jennings,SF,WR,1,6,4,54,0,6,4,54,38,73.077,24,88.889,22.222,5,83.333,18.519,6,11.538
,Keenan  Allen,LAC,WR,1,6,4,53,0,6,4,53,33,68.75,22,75.862,20.69,5,83.333,15.625,6,13.333
,Romeo  Doubs,GB,WR,1,8,4,53,0,8,4,53,39,75,20,71.429,28.571,2,25,6.897,8,15.686
,Jaylen  Waddle,MIA,WR,1,7,3,52,0,7,3,52,45,83.333,22,95.652,30.435,6,85.714,26.087,7,12.963
,Jalen  Coker,CAR,WR,1,4,4,52,0,4,4,52,50,66.667,39,78,8,3,75,6,4,5.333
,Cedric  Tillman,CLV,WR,1,4,3,52,0,4,3,52,42,72.414,24,82.759,13.793,4,100,12.121,4,7.407
,Tyrone  Tracy Jr.,NYG,RB,1,4,4,51,0,4,4,51,36,52.174,17,54.839,12.903,0,0,0,23,33.333
,Dalton  Schultz,HST,TE,1,9,6,51,0,9,6,51,48,68.571,36,80,20,6,66.667,12.766,9,13.235
,DK  Metcalf,PIT,WR,1,8,5,49,0,8,5,49,51,83.607,32,100,25,6,75,18.182,8,13.333
,A.J.  Brown,PHI,WR,1,11,7,49,0,11,7,49,64,90.141,28,96.552,37.931,10,90.909,32.258,11,15.942
,Tre  Tucker,LV,WR,1,8,4,47,1,8,4,47,55,90.164,44,95.652,17.391,5,62.5,10.204,8,13.793
,Christian  Watson,GB,WR,1,5,4,46,2,5,4,46,41,78.846,22,78.571,17.857,3,60,10.345,5,9.804
,John  Metchie III,NYJ,WR,1,3,3,45,1,3,3,45,46,75.41,20,68.966,10.345,2,66.667,6.061,3,5.263
,Hunter  Henry,NE,TE,1,6,4,45,0,6,4,45,56,87.5,32,91.429,17.143,4,66.667,10.811,6,9.677
,De'Von  Achane,MIA,RB,1,5,5,45,0,5,5,45,43,79.63,20,86.957,21.739,0,0,0,26,48.148
,Cole  Kmet,CHI,TE,1,5,5,45,0,5,5,45,57,76,28,82.353,14.706,2,40,5.556,5,6.849
,Kenneth  Walker III,SEA,RB,1,3,3,44,0,3,3,44,40,50,21,47.727,6.818,1,33.333,2.222,19,24.051
,Jahan  Dotson,PHI,WR,1,2,2,43,0,2,2,43,20,28.169,14,48.276,6.897,1,50,3.226,2,2.899
,Zach  Ertz,WAS,TE,1,8,4,42,0,8,4,42,49,75.385,28,90.323,25.806,6,75,18.75,8,12.5
,Malik  Washington,MIA,WR,1,3,3,42,0,3,3,42,28,51.852,16,69.565,13.043,1,33.333,4.348,3,5.556
,Xavier  Hutchinson,HST,WR,1,5,3,42,0,5,3,42,38,54.286,24,53.333,11.111,5,100,10.638,5,7.353
,Amon-Ra  St. Brown,DET,WR,1,12,2,42,0,12,2,42,57,95,38,97.436,30.769,11,91.667,28.205,12,20
,Oronde  Gadsden II,LAC,TE,1,5,2,41,0,5,2,41,39,81.25,27,93.103,17.241,3,60,9.375,5,11.111
,Rome  Odunze,CHI,WR,1,6,2,41,0,6,2,41,55,73.333,27,79.412,17.647,2,33.333,5.556,6,8.219
,Emeka  Egbuka,TB,WR,1,9,5,40,0,9,5,40,64,88.889,29,100,31.034,6,66.667,18.182,9,13.235
,Gabe  Davis,BUF,WR,1,4,3,40,0,4,3,40,21,38.182,13,43.333,13.333,3,75,9.375,4,7.547
,Colston  Loveland,CHI,TE,1,4,3,40,0,4,3,40,54,72,19,55.882,11.765,1,25,2.778,4,5.479
,Christian  McCaffrey,SF,RB,1,6,5,40,1,6,5,40,36,69.231,23,85.185,22.222,2,33.333,7.407,19,36.538
,Marquise  Brown,KC,WR,1,4,4,40,0,4,4,40,23,36.508,19,39.583,8.333,1,25,2.041,4,6.452
,Bijan  Robinson,ATL,RB,1,5,4,39,0,5,4,39,50,84.746,26,86.667,16.667,0,0,0,28,48.276
,T.J.  Hockenson,MIN,TE,1,6,3,39,0,6,3,39,43,79.63,27,84.375,18.75,2,33.333,6.25,6,11.111
,Rashee  Rice,KC,WR,1,9,6,38,0,9,6,38,45,71.429,34,70.833,18.75,6,66.667,12.245,9,14.516
,DeMario  Douglas,NE,WR,1,3,3,36,0,3,3,36,19,29.688,14,40,8.571,2,66.667,5.405,4,6.452
,Wan'Dale  Robinson,NYG,WR,1,9,4,36,0,9,4,36,66,95.652,31,100,29.032,8,88.889,25.806,9,13.043
,Theo  Johnson,NYG,TE,1,4,3,36,0,4,3,36,62,89.855,28,90.323,12.903,4,100,12.903,4,5.797
,Noah  Fant,CIN,TE,1,6,5,36,0,6,5,36,31,49.206,18,43.902,14.634,2,33.333,4.878,6,9.524
,Hunter  Luepke,DAL,FB,1,3,3,36,0,3,3,36,11,16.923,6,17.647,8.824,2,66.667,5.882,4,6.154
,Darnell  Mooney,ATL,WR,1,7,3,34,0,7,3,34,53,89.831,29,96.667,23.333,5,71.429,16.129,7,12.069
,Sean  Tucker,TB,RB,1,2,2,34,1,2,2,34,31,43.056,8,27.586,6.897,2,100,6.061,21,30.882
,Savion  Williams,GB,WR,1,1,1,33,0,1,1,33,2,3.846,2,7.143,3.571,0,0,0,,
,Evan  Engram,DEN,TE,1,5,4,33,0,5,4,33,25,40.323,23,57.5,12.5,2,40,4.878,5,8.197
,Tyler  Lockett,LV,WR,1,3,3,33,0,3,3,33,26,42.623,20,43.478,6.522,3,100,6.122,3,5.172
,Mark  Andrews,BLT,TE,1,5,3,32,0,5,3,32,36,59.016,20,66.667,16.667,4,80,12.903,6,10
,TreVeyon  Henderson,NE,RB,1,5,5,31,1,5,5,31,54,84.375,32,91.429,14.286,0,0,0,24,38.71
,Tyjae  Spears,TEN,RB,1,5,5,31,0,5,5,31,31,51.667,24,60,12.5,0,0,0,9,15.789
,Mason  Taylor,NYJ,TE,1,4,4,30,0,4,4,30,43,70.492,18,62.069,13.793,2,50,6.061,4,7.018
,Ja'Marr  Chase,CIN,WR,1,10,3,30,0,10,3,30,62,98.413,41,100,24.39,10,100,24.39,10,15.873
,Gunnar  Helm,TEN,TE,1,5,4,29,0,5,4,29,38,63.333,24,60,12.5,3,60,6.977,5,8.772
,Chris  Moore,WAS,WR,1,5,2,28,0,5,2,28,52,80,26,83.871,16.129,3,60,9.375,5,7.813
,Mitchell  Evans,CAR,TE,1,2,2,28,0,2,2,28,28,37.333,14,28,4,2,100,4,2,2.667
,Cade  Otton,TB,TE,1,5,2,28,0,5,2,28,65,90.278,29,100,17.241,5,100,15.152,5,7.353
,Chase  Brown,CIN,RB,1,8,6,28,0,8,6,28,52,82.54,34,82.927,19.512,1,12.5,2.439,26,41.27
,Luther  Burden III,CHI,WR,1,5,3,27,0,5,3,27,34,45.333,22,64.706,14.706,2,40,5.556,5,6.849
,Rashid  Shaheed,SEA,WR,1,5,2,27,0,5,2,27,42,52.5,32,72.727,11.364,4,80,8.889,6,7.595
,Ashton  Jeanty,LV,RB,1,8,6,27,0,8,6,27,44,72.131,35,76.087,17.391,0,0,0,14,24.138
,Kyle  Juszczyk,SF,FB,1,2,2,26,0,2,2,26,28,53.846,15,55.556,7.407,2,100,7.407,2,3.846
,Harold  Fannin Jr.,CLV,TE,1,5,2,26,0,5,2,26,39,67.241,18,62.069,17.241,4,80,12.121,5,9.259
,Johnny  Mundt,JAX,TE,1,3,2,25,0,3,2,25,40,56.338,9,40.909,13.636,3,100,12.5,3,4.348
,Xavier  Worthy,KC,WR,1,5,3,25,0,5,3,25,47,74.603,35,72.917,10.417,5,100,10.204,5,8.065
,Matthew  Golden,GB,WR,1,3,1,24,0,3,1,24,17,32.692,11,39.286,10.714,1,33.333,3.448,3,5.882
,Dallas  Goedert,PHI,TE,1,5,2,24,0,5,2,24,62,87.324,29,100,17.241,5,100,16.129,5,7.246
,Jeremy  Ruckert,NYJ,TE,1,5,4,23,0,5,4,23,25,40.984,15,51.724,17.241,2,40,6.061,5,8.772
,Dawson  Knox,BUF,TE,1,3,1,23,0,3,1,23,40,72.727,28,93.333,10,3,100,9.375,3,5.66
,Tyler  Higbee,LA,TE,1,2,1,23,0,2,1,23,20,40,13,46.429,7.143,0,0,0,2,4
,Cooper  Kupp,SEA,WR,1,7,3,23,0,7,3,23,63,78.75,36,81.818,15.909,6,85.714,13.333,7,8.861
,Keaton  Mitchell,BLT,RB,1,3,2,23,0,3,2,23,16,26.23,10,33.333,10,0,0,0,9,15
,Ja'Tavion  Sanders,CAR,TE,1,4,4,22,0,4,4,22,37,49.333,25,50,8,4,100,8,4,5.333
,Tanner  Hudson,CIN,TE,1,3,3,22,0,3,3,22,19,30.159,16,39.024,7.317,2,66.667,4.878,3,4.762
,Van  Jefferson,TEN,WR,1,7,3,22,1,7,3,22,52,86.667,37,92.5,17.5,7,100,16.279,7,12.281
,Michael  Carter,ARZ,RB,1,7,5,22,0,7,5,22,31,43.662,29,50.877,12.281,0,0,0,9,12.676
,Bam  Knight,ARZ,RB,1,4,4,21,0,4,4,21,26,36.62,19,33.333,7.018,1,25,1.754,9,12.676
,Jerry  Jeudy,CLV,WR,1,7,3,21,0,7,3,21,45,77.586,26,89.655,24.138,5,71.429,15.152,7,12.963
,Parker  Washington,JAX,WR,1,2,2,20,0,2,2,20,52,73.239,20,90.909,9.091,2,100,8.333,2,2.899
,Tim  Patrick,JAX,WR,1,4,3,20,1,4,3,20,38,53.521,14,63.636,18.182,4,100,16.667,4,5.797
,Jordan  Addison,MIN,WR,1,7,2,20,1,7,2,20,51,94.444,31,96.875,21.875,3,42.857,9.375,7,12.963
,Andrei  Iosivas,CIN,WR,1,4,3,20,0,4,3,20,46,73.016,31,75.61,9.756,3,75,7.317,4,6.349
,RJ  Harvey,DEN,RB,1,3,3,20,0,3,3,20,37,59.677,24,60,7.5,3,100,7.317,14,22.951
,Ian  Thomas,LV,TE,1,1,1,20,0,1,1,20,16,26.23,13,28.261,2.174,1,100,2.041,1,1.724
,Curtis  Samuel,BUF,WR,1,3,2,19,0,3,2,19,28,50.909,16,53.333,10,2,66.667,6.25,3,5.66
,Pat  Freiermuth,PIT,TE,1,1,1,19,0,1,1,19,26,42.623,13,40.625,3.125,0,0,0,1,1.667
,Derrick  Henry,BLT,RB,1,2,2,19,0,2,2,19,32,52.459,11,36.667,6.667,0,0,0,20,33.333
,Jack  Bech,LV,WR,1,1,1,19,0,1,1,19,9,14.754,6,13.043,2.174,1,100,2.041,1,1.724
,Greg  Dulcich,MIA,TE,1,4,2,18,0,4,2,18,28,51.852,16,69.565,17.391,4,100,17.391,4,7.407
,DJ  Moore,CHI,WR,1,3,1,18,0,3,1,18,58,77.333,29,85.294,8.824,0,0,0,4,5.479
,Jalin  Hyatt,NYG,WR,1,4,2,18,0,4,2,18,43,62.319,26,83.871,12.903,2,50,6.452,4,5.797
,Brycen  Tremayne,CAR,WR,1,2,2,17,0,2,2,17,26,34.667,15,30,4,2,100,4,2,2.667
,Josh  Palmer,BUF,WR,1,5,2,17,0,5,2,17,27,49.091,14,46.667,16.667,3,60,9.375,5,9.434
,Roman  Wilson,PIT,WR,1,2,1,17,0,2,1,17,34,55.738,21,65.625,6.25,2,100,6.061,2,3.333
,Jeremy  McNichols,WAS,RB,1,2,2,16,0,2,2,16,16,24.615,11,35.484,6.452,0,0,0,6,9.375
,Jalen  Nailor,MIN,WR,1,1,1,16,0,1,1,16,33,61.111,21,65.625,3.125,0,0,0,1,1.852
,Jake  Ferguson,DAL,TE,1,5,4,16,1,5,4,16,41,63.077,27,79.412,14.706,1,20,2.941,5,7.692
,Xavier  Weaver,ARZ,WR,1,3,2,15,0,3,2,15,52,73.239,44,77.193,5.263,3,100,5.263,3,4.225
,Isaiah  Likely,BLT,TE,1,3,2,15,0,3,2,15,32,52.459,19,63.333,10,2,66.667,6.452,3,5
,Julian  Hill,MIA,TE,1,1,1,14,0,1,1,14,25,46.296,8,34.783,4.348,1,100,4.348,1,1.852
,Kyle  Pitts,ATL,TE,1,3,2,14,0,3,2,14,49,83.051,30,100,10,3,100,9.677,3,5.172
,Kyle  Monangai,CHI,RB,1,1,1,14,0,1,1,14,27,36,14,41.176,2.941,0,0,0,13,17.808
,Chimere  Dike,TEN,WR,1,3,2,14,0,3,2,14,16,26.667,12,30,7.5,2,66.667,4.651,3,5.263
,Mason  Kinsey,TEN,WR,1,3,1,14,0,3,1,14,31,51.667,25,62.5,7.5,2,66.667,4.651,3,5.263
,Colby  Parkinson,LA,TE,1,2,2,14,1,2,2,14,34,68,16,57.143,7.143,1,50,3.571,2,4
,Adam  Prentice,DEN,FB,1,2,1,14,0,2,1,14,18,29.032,10,25,5,0,0,0,2,3.279
,Jaylin  Lane,WAS,WR,1,1,1,13,0,1,1,13,10,15.385,7,22.581,3.226,1,100,3.125,1,1.563
,Ladd  McConkey,LAC,WR,1,4,3,13,0,4,3,13,27,56.25,19,65.517,13.793,0,0,0,4,8.889
,Austin  Trammell,JAX,WR,1,1,1,13,0,1,1,13,15,21.127,3,13.636,4.545,0,0,0,1,1.449
,Calvin  Ridley,TEN,WR,1,1,1,13,0,1,1,13,1,1.667,1,2.5,2.5,1,100,2.326,,
,Demarcus  Robinson,SF,WR,1,2,1,13,0,2,1,13,22,42.308,13,48.148,7.407,1,50,3.704,2,3.846
,Michael  Mayer,LV,TE,1,4,3,13,0,4,3,13,44,72.131,36,78.261,8.696,2,50,4.082,4,6.897
,Tre  Harris,LAC,WR,1,1,1,12,0,1,1,12,25,52.083,16,55.172,3.448,0,0,0,1,2.222
,Jaylin  Noel,HST,WR,1,1,1,12,0,1,1,12,18,25.714,14,31.111,2.222,0,0,0,1,1.471
,Emari  Demercado,ARZ,RB,1,3,2,12,0,3,2,12,12,16.901,7,12.281,5.263,0,0,0,8,11.268
,David  Sills,ATL,WR,1,2,1,11,0,2,1,11,32,54.237,20,66.667,6.667,2,100,6.452,2,3.448
,Rachaad  White,TB,RB,1,3,2,11,0,3,2,11,40,55.556,21,72.414,10.345,0,0,0,13,19.118
,Quintin  Morris,JAX,TE,1,3,1,11,0,3,1,11,49,69.014,16,72.727,13.636,1,33.333,4.167,3,4.348
,Aaron  Jones,MIN,RB,1,6,3,11,0,6,3,11,36,66.667,20,62.5,18.75,2,33.333,6.25,22,40.741
,Elic  Ayomanor,TEN,WR,1,6,2,11,0,6,2,11,48,80,34,85,15,4,66.667,9.302,6,10.526
,Elijah  Higgins,ARZ,TE,1,3,2,11,0,3,2,11,24,33.803,20,35.088,5.263,1,33.333,1.754,3,4.225
,DeAndre  Hopkins,BLT,WR,1,4,1,11,0,4,1,11,41,67.213,21,70,13.333,3,75,9.677,4,6.667
,Adonai  Mitchell,NYJ,WR,1,6,1,10,0,6,1,10,28,45.902,20,68.966,20.69,6,100,18.182,6,10.526
,Zach  Charbonnet,SEA,RB,1,2,2,10,0,2,2,10,34,42.5,21,47.727,4.545,0,0,0,13,16.456
,David  Montgomery,DET,RB,1,1,1,10,0,1,1,10,23,38.333,16,41.026,2.564,0,0,0,7,11.667
,Dontayvion  Wicks,GB,WR,1,2,1,9,0,2,1,9,29,55.769,16,57.143,7.143,2,100,6.897,2,3.922
,Emanuel  Wilson,GB,RB,1,1,1,9,0,1,1,9,36,69.231,23,82.143,3.571,0,0,0,12,23.529
,Dare  Ogunbowale,HST,RB,1,1,1,9,0,1,1,9,5,7.143,5,11.111,2.222,0,0,0,,
,Jordan  Whittington,LA,WR,1,1,1,9,0,1,1,9,25,50,17,60.714,3.571,1,100,3.571,1,2
,Malachi  Corley,CLV,WR,1,2,2,9,0,2,2,9,16,27.586,10,34.483,6.897,0,0,0,2,3.704
,Noah  Gray,KC,TE,1,3,2,9,0,3,2,9,33,52.381,24,50,6.25,2,66.667,4.082,3,4.839
,Durham  Smythe,CHI,TE,1,3,1,8,0,3,1,8,16,21.333,7,20.588,8.824,1,33.333,2.778,3,4.11
,Xavier  Smith,LA,WR,1,2,1,8,0,2,1,8,7,14,5,17.857,7.143,0,0,0,2,4
,Adam  Trautman,DEN,TE,1,1,1,8,0,1,1,8,39,62.903,21,52.5,2.5,1,100,2.439,1,1.639
,Brashard  Smith,KC,RB,1,3,2,8,0,3,2,8,11,17.46,9,18.75,6.25,2,66.667,4.082,3,4.839
,DeVonta  Smith,PHI,WR,1,5,1,8,0,5,1,8,67,94.366,29,100,17.241,5,100,16.129,5,7.246
,Brock  Wright,DET,TE,1,7,2,8,0,7,2,8,48,80,33,84.615,17.949,3,42.857,7.692,7,11.667
,Chuba  Hubbard,CAR,RB,1,3,1,7,0,3,1,7,14,18.667,10,20,6,2,66.667,4,7,9.333
,Woody  Marks,HST,RB,1,1,1,7,0,1,1,7,45,64.286,26,57.778,2.222,0,0,0,19,27.941
,David  Njoku,CLV,TE,1,2,1,7,0,2,1,7,35,60.345,20,68.966,6.897,0,0,0,2,3.704
,Saquon  Barkley,PHI,RB,1,2,1,7,0,2,1,7,56,78.873,22,75.862,6.897,0,0,0,28,40.58
,Raheem  Mostert,LV,RB,1,2,2,7,0,2,2,7,13,21.311,11,23.913,4.348,0,0,0,4,6.897
,Breece  Hall,NYJ,RB,1,2,2,6,0,2,2,6,41,67.213,17,58.621,6.897,0,0,0,16,28.07
,Tyler  Allgeier,ATL,RB,1,2,2,6,0,2,2,6,12,20.339,8,26.667,6.667,0,0,0,5,8.621
,Tez  Johnson,TB,WR,1,3,1,6,0,3,1,6,56,77.778,28,96.552,10.345,3,100,9.091,6,8.824
,Adam  Thielen,MIN,WR,1,2,1,6,0,2,1,6,8,14.815,5,15.625,6.25,2,100,6.25,2,3.704
,Christian  Kirk,HST,WR,1,4,1,6,0,4,1,6,33,47.143,22,48.889,8.889,3,75,6.383,4,5.882
,Jacory  Croskey-Merritt,WAS,RB,1,1,1,5,0,1,1,5,17,26.154,7,22.581,3.226,0,0,0,10,15.625
,John  FitzPatrick,GB,TE,1,1,1,5,0,1,1,5,32,61.538,16,57.143,3.571,1,100,3.448,1,1.961
,Jaylen  Warren,PIT,RB,1,2,2,5,0,2,2,5,18,29.508,7,21.875,6.25,0,0,0,12,20
,Calvin  Austin III,PIT,WR,1,1,1,5,0,1,1,5,14,22.951,11,34.375,3.125,1,100,3.03,1,1.667
,Kyren  Williams,LA,RB,1,2,1,5,0,2,1,5,34,68,20,71.429,7.143,2,100,7.143,14,28
,Tony  Pollard,TEN,RB,1,3,3,4,0,3,3,4,28,46.667,17,42.5,7.5,0,0,0,13,22.807
,Kylen  Granson,PHI,TE,1,2,1,4,0,2,1,4,13,18.31,4,13.793,6.897,1,50,3.226,2,2.899
,Brevyn  Spann-Ford,DAL,TE,1,1,1,4,0,1,1,4,19,29.231,8,23.529,2.941,0,0,0,1,1.538
,Devin  Singletary,NYG,RB,1,1,1,3,0,1,1,3,32,46.377,14,45.161,3.226,0,0,0,17,24.638
,Kareem  Hunt,KC,RB,1,2,1,3,0,2,1,3,52,82.54,38,79.167,4.167,1,50,2.041,15,24.194
,Isaiah  Williams,NYJ,WR,1,4,1,2,0,4,1,2,43,70.492,23,79.31,13.793,3,75,9.091,5,8.772
,Ryan  Flournoy,DAL,WR,1,1,1,2,1,1,1,2,24,36.923,9,26.471,2.941,1,100,2.941,1,1.538
,Davante  Adams,LA,WR,1,8,1,1,1,8,1,1,44,88,27,96.429,28.571,7,87.5,25,8,16
,Tyler  Johnson,NYJ,WR,1,0,0,0,0,0,0,0,31,50.82,10,34.483,0,,0,,0,0
,Isaiah  Davis,NYJ,RB,1,1,0,0,0,1,0,0,16,26.23,12,41.379,3.448,0,0,0,3,5.263
,Kyle  Williams,NE,WR,1,3,0,0,0,3,0,0,41,64.063,27,77.143,8.571,3,100,8.108,3,4.839
,Andrew  Beck,NYJ,FB,1,0,0,0,0,0,0,0,4,6.557,3,10.345,0,,0,,0,0
,Arian  Smith,NYJ,WR,1,0,0,0,0,0,0,0,9,14.754,7,24.138,0,,0,,0,0
,Alec  Ingold,MIA,FB,1,0,0,0,0,0,0,0,23,42.593,7,30.435,0,,0,,0,0
,John  Bates,WAS,TE,1,0,0,0,0,0,0,0,36,55.385,16,51.613,0,,0,,0,0
,Robbie  Chosen,WAS,WR,1,1,0,0,0,1,0,0,23,35.385,12,38.71,3.226,1,100,3.125,1,1.563
,Ollie  Gordon II,MIA,RB,1,0,0,0,0,0,0,0,21,38.889,7,30.435,0,,0,,9,16.667
,Nick  Westbrook-Ikhine,MIA,WR,1,0,0,0,0,0,0,0,14,25.926,4,17.391,0,,0,,0,0
,Jimmy  Horn Jr.,CAR,WR,1,0,0,0,0,0,0,0,6,8,5,10,0,,0,,0,0
,Charlie  Woerner,ATL,TE,1,0,0,0,0,0,0,0,30,50.847,7,23.333,0,,0,,0,0
,Trevor  Etienne,CAR,RB,1,0,0,0,0,0,0,0,3,4,1,2,0,,0,,1,1.333
,Casey  Washington,ATL,WR,1,0,0,0,0,0,0,0,3,5.085,1,3.333,0,,0,,0,0
,KhaDarel  Hodge,ATL,WR,1,1,0,0,0,1,0,0,5,8.475,2,6.667,3.333,1,100,3.226,1,1.724
,Ryan  Miller,TB,WR,1,0,0,0,0,0,0,0,8,11.111,2,6.897,0,,0,,0,0
,Jackson  Hawes,BUF,TE,1,0,0,0,0,0,0,0,18,32.727,5,16.667,0,,0,,0,0
,Payne  Durham,TB,TE,1,0,0,0,0,0,0,0,20,27.778,2,6.897,0,,0,,0,0
,Quentin  Johnston,LAC,WR,1,3,0,0,0,3,0,0,40,83.333,25,86.207,10.345,3,100,9.375,3,6.667
,Tucker  Fisk,LAC,TE,1,0,0,0,0,0,0,0,7,14.583,3,10.345,0,,0,,0,0
,Travis  Etienne,JAX,RB,1,2,0,0,0,2,0,0,35,49.296,13,59.091,9.091,0,0,0,21,30.435
,LeQuint  Allen Jr.,JAX,RB,1,0,0,0,0,0,0,0,13,18.31,5,22.727,0,,0,,8,11.594
,Dyami  Brown,JAX,WR,1,1,0,0,0,1,0,0,20,28.169,6,27.273,4.545,0,0,0,1,1.449
,Scott  Matlock,LAC,FB,1,0,0,0,0,0,0,0,4,8.333,1,3.448,0,,0,,0,0
,Bhayshul  Tuten,JAX,RB,1,0,0,0,0,0,0,0,22,30.986,4,18.182,0,,0,,15,21.739
,D'Andre  Swift,CHI,RB,1,1,0,0,0,1,0,0,42,56,17,50,2.941,0,0,0,22,30.137
,Olamide  Zaccheaus,CHI,WR,1,0,0,0,0,0,0,0,10,13.333,7,20.588,0,,0,,0,0
