BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,TAR/G,REC/G,YDS/G,SNP,SNP%,RT,RT%,TAR%,FRD,FRDR,FRD%,OPP,OPP%
,Michael  Wilson,ARZ,WR,1,18,15,185,0,18,15,185,59,83.099,48,84.211,31.579,15,83.333,26.316,18,25.352
,George  Pickens,DAL,WR,1,11,9,144,1,11,9,144,44,67.692,28,82.353,32.353,9,81.818,26.471,11,16.923
,Tetairoa  McMillan,CAR,WR,1,12,8,130,2,12,8,130,64,85.333,48,96,24,10,83.333,20,12,16
,Drake  London,ATL,WR,1,9,7,119,0,9,7,119,54,91.525,27,90,30,9,100,29.032,9,15.517
,Trey  McBride,ARZ,TE,1,11,10,115,1,11,10,115,65,91.549,53,92.982,19.298,7,63.636,12.281,11,15.493
,Jahmyr  Gibbs,DET,RB,1,8,5,107,0,8,5,107,43,71.667,29,74.359,20.513,2,25,5.128,20,33.333
,Stefon  Diggs,NE,WR,1,11,9,105,0,11,9,105,44,68.75,31,88.571,31.429,10,90.909,27.027,11,17.742
,Jaxon  Smith-Njigba,SEA,WR,1,12,9,105,0,12,9,105,66,82.5,42,95.455,27.273,12,100,26.667,13,16.456
,Nico  Collins,HST,WR,1,10,9,92,1,10,9,92,57,81.429,39,86.667,22.222,10,100,21.277,10,14.706
,Travis  Kelce,KC,TE,1,13,9,91,1,13,9,91,49,77.778,40,83.333,27.083,9,69.231,18.367,13,20.968
,Tyrell  Shavers,BUF,WR,1,5,4,90,1,5,4,90,28,50.909,15,50,16.667,4,80,12.5,5,9.434
,Jameson  Williams,DET,WR,1,7,4,88,1,7,4,88,56,93.333,38,97.436,17.949,4,57.143,10.256,8,13.333
,Troy  Franklin,DEN,WR,1,8,4,84,0,8,4,84,39,62.903,32,80,20,5,62.5,12.195,8,13.115
,Xavier  Legette,CAR,WR,1,8,4,83,1,8,4,83,41,54.667,31,62,16,8,100,16,8,10.667
,Pat  Bryant,DEN,WR,1,6,5,82,0,6,5,82,35,56.452,25,62.5,15,3,50,7.317,6,9.836
,Kenneth  Gainwell,PIT,RB,1,8,7,81,2,8,7,81,36,59.016,25,78.125,25,3,37.5,9.091,17,28.333
,Zay  Flowers,BLT,WR,1,5,3,78,0,5,3,78,53,86.885,28,93.333,16.667,4,80,12.903,6,10
,Puka  Nacua,LA,WR,1,8,7,75,0,8,7,75,33,66,22,78.571,28.571,7,87.5,25,10,20
,Deebo  Samuel Sr.,WAS,WR,1,8,7,74,1,8,7,74,47,72.308,28,90.323,25.806,4,50,12.5,9,14.063
,Brock  Bowers,LV,TE,1,12,7,72,0,12,7,72,56,91.803,46,100,26.087,11,91.667,22.449,12,20.69
,AJ  Barner,SEA,TE,1,11,10,70,0,11,10,70,70,87.5,38,86.364,25,8,72.727,17.778,13,16.456
,Darnell  Washington,PIT,TE,1,5,4,67,0,5,4,67,43,70.492,22,68.75,15.625,1,20,3.03,5,8.333
,George  Kittle,SF,TE,1,6,6,67,2,6,6,67,47,90.385,27,100,22.222,5,83.333,18.519,6,11.538
,James  Cook,BUF,RB,1,3,3,66,1,3,3,66,36,65.455,17,56.667,10,3,100,9.375,19,35.849
,Greg  Dortch,ARZ,WR,1,6,6,66,1,6,6,66,48,67.606,41,71.93,10.526,4,66.667,7.018,6,8.451
,CeeDee  Lamb,DAL,WR,1,7,5,66,1,7,5,66,48,73.846,32,94.118,20.588,7,100,20.588,7,10.769
,Mack  Hollins,NE,WR,1,5,4,64,0,5,4,64,52,81.25,30,85.714,14.286,4,80,10.811,5,8.065
,Jakobi  Meyers,JAX,WR,1,6,5,64,0,6,5,64,44,61.972,18,81.818,27.273,6,100,25,6,8.696
,Tee  Higgins,CIN,WR,1,8,3,63,1,8,3,63,58,92.063,41,100,19.512,7,87.5,17.073,8,12.698
,Ty  Johnson,BUF,RB,1,2,2,61,1,2,2,61,17,30.909,13,43.333,6.667,0,0,0,3,5.66
,Justin  Jefferson,MIN,WR,1,9,5,61,0,9,5,61,54,100,32,100,28.125,6,66.667,18.75,9,16.667
,Tyquan  Thornton,KC,WR,1,2,1,61,0,2,1,61,15,23.81,14,29.167,4.167,2,100,4.082,2,3.226
,Courtland  Sutton,DEN,WR,1,8,4,59,0,8,4,59,56,90.323,37,92.5,20,4,50,9.756,8,13.115
,Isaiah  Hodgins,NYG,WR,1,6,5,57,0,6,5,57,53,76.812,25,80.645,19.355,3,50,9.677,6,8.696
,Chig  Okonkwo,TEN,TE,1,3,3,56,0,3,3,56,38,63.333,26,65,7.5,3,100,6.977,3,5.263
,Rico  Dowdle,CAR,RB,1,7,5,55,0,7,5,55,61,81.333,41,82,14,1,14.286,2,26,34.667
,Jayden  Higgins,HST,WR,1,7,4,55,0,7,4,55,42,60,28,62.222,15.556,7,100,14.894,7,10.294
,Tommy  Tremble,CAR,TE,1,2,1,54,0,2,1,54,40,53.333,21,42,4,2,100,4,2,2.667
