BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,SEA,1,-79.15,-79.15,-90.09,-125.35,-60.42,-64.17
,GB,1,-10.54,-10.54,9.45,22.42,-32.36,-27.28
,BUF,1,-53.07,-53.07,-72.69,-80.01,-31.6,-28.26
,CHI,1,-23.39,-23.39,-21.79,-6.94,-25.9,-27.46
,DAL,1,0.8,0.8,23.01,42.83,-32.94,-26.47
,CAR,1,8.57,8.57,-32.69,-1.37,61.86,78.79
,JAX,1,-30.32,-30.32,-41.32,-73.72,-2.62,-15.82
,NE,1,-15.19,-15.19,-14.22,-16.06,-16.23,-17.7
,LAC,1,-16.99,-16.99,5.97,-24.01,-47.18,-65.93
,ARZ,1,8.62,8.62,13.11,14.32,2.5,0.7
,IND,1,-1.7,-1.7,11.2,15.18,-14.26,-25.13
,CIN,1,-26.45,-26.45,-47.95,-50.81,5.4,9.98
,DEN,1,-7.07,-7.07,-4.68,-1.68,-10.56,-11.45
,MIA,1,-4.86,-4.86,3.48,-18.42,-16.17,-29.12
,LA,1,28.1,28.1,99.19,85.75,-12.1,-9.31
,DET,1,8.21,8.21,15.79,37.24,-2.77,0.25
,CLV,1,-20.29,-20.29,-20.94,7.14,-19.79,-20.56
,HST,1,-5.12,-5.12,18.73,40.31,-31.68,-13.68
,TB,1,8.63,8.63,19.3,15.52,-15.26,-25.13
,WAS,1,12.64,12.64,17.58,15.46,2.49,1.1
,KC,1,18.84,18.84,24.9,41.21,6.28,7.67
,ATL,1,23.3,23.3,47.56,23.87,-10.03,-11.72
,SF,1,19.35,19.35,43.31,-4.77,5.1,-6.89
,NYJ,1,18,18,30.3,29.08,7.51,14.41
,NYG,1,11.04,11.04,28.31,51.01,-10.21,-25.78
,PHI,1,6.19,6.19,-21.13,-22.31,29.12,39.11
,NO,1,2.86,2.86,-16.48,-25.86,18.25,21.21
,PIT,1,-24.62,-24.62,-19.7,-8.11,-27.19,-7.79
,LV,1,10.4,10.4,14.69,18.3,7.75,2.44
,BLT,1,-0.5,-0.5,20.81,14.32,-30.12,-22.73
,MIN,1,-41.15,-41.15,-70.71,-50.86,-15.03,-16.67
,TEN,1,5.08,5.08,40.51,36.5,-36.9,-32.79
