BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,FUM,FUML,SNP,SNP%,ATT%,TCH,TCH%,OPP,OPP%,rATT%,rTCH%,rOPP%,ATT/G,TCH/G
,Jonathan  Taylor,IND,RB,7,131,697,5.321,10,0,0,351,81.628,66.837,154,44.126,154,36.754,78.443,44.126,36.754,18.714,22
,Javonte  Williams,DAL,RB,7,111,592,5.333,6,1,1,328,72.088,63.429,134,36.915,134,29.978,71.154,36.915,29.978,15.857,19.143
,Rico  Dowdle,CAR,RB,7,98,551,5.622,2,0,0,217,46.269,47.115,111,31.268,111,24.289,51.579,31.268,24.289,14,15.857
,James  Cook,BUF,RB,6,107,537,5.019,5,1,0,232,57.711,57.527,119,38.511,119,31.481,76.429,38.511,31.481,17.833,19.833
,Jahmyr  Gibbs,DET,RB,7,104,526,5.058,6,0,0,258,60.28,50.242,130,36.111,130,30.66,53.061,36.111,30.66,14.857,18.571
,Bijan  Robinson,ATL,RB,6,97,524,5.402,2,1,0,296,74,54.19,127,41.914,127,32.564,59.877,41.914,32.564,16.167,21.167
,J.K.  Dobbins,DEN,RB,7,105,523,4.981,4,0,0,233,49.364,54.688,112,31.818,112,24.561,68.182,31.818,24.561,15,16
,Travis  Etienne,JAX,RB,7,97,514,5.299,2,0,0,269,56.751,54.19,111,33.434,111,24.183,65.101,33.434,24.183,13.857,15.857
,De'Von  Achane,MIA,RB,7,89,472,5.303,3,1,0,297,76.744,63.571,121,41.724,121,31.926,68.992,41.724,31.926,12.714,17.286
,Kyren  Williams,LA,RB,7,107,472,4.411,2,2,2,317,73.55,61.143,127,37.91,127,29.673,67.722,37.91,29.673,15.286,18.143
,Quinshon  Judkins,CLV,RB,6,109,467,4.284,5,0,0,193,41.416,62.644,118,35.65,118,25.652,62.644,35.65,25.652,18.167,19.667
,Christian  McCaffrey,SF,RB,7,132,465,3.523,3,0,0,399,81.595,66,185,48.942,185,38.462,73.743,48.942,38.462,18.857,26.429
,Breece  Hall,NYJ,RB,7,99,448,4.525,0,1,1,252,56.125,53.804,118,37.7,118,28.162,77.344,37.7,28.162,14.143,16.857
,Ashton  Jeanty,LV,RB,7,111,445,4.009,3,1,1,271,67.75,65.294,126,41.311,126,32.061,75,41.311,32.061,15.857,18
,Derrick  Henry,BLT,RB,6,88,439,4.989,4,3,2,172,51.19,61.972,93,36.614,93,28.615,72.727,36.614,28.615,14.667,15.5
,Kenneth  Walker III,SEA,RB,7,95,430,4.526,3,0,0,173,42.092,47.03,103,30.746,103,25.307,47.03,30.746,25.307,13.571,14.714
,D'Andre  Swift,CHI,RB,6,89,419,4.708,3,1,1,233,60.052,50.857,105,36.207,105,28.075,62.238,36.207,28.075,14.833,17.5
,Josh  Jacobs,GB,RB,6,111,414,3.73,8,0,0,256,68.267,62.712,127,42.475,127,34.986,72.549,42.475,34.986,18.5,21.167
,Cam  Skattebo,NYG,RB,7,98,398,4.061,5,1,1,260,53.388,46.009,121,34.571,121,26.134,61.25,34.571,26.134,14,17.286
,Tony  Pollard,TEN,RB,7,98,380,3.878,2,2,2,301,72.705,70.504,115,41.818,115,28.395,78.4,41.818,28.395,14,16.429
,Jordan  Mason,MIN,RB,6,84,380,4.524,4,2,1,228,62.295,59.155,93,35.227,93,26.346,64.122,35.227,26.346,14,15.5
,Jacory  Croskey-Merritt,WAS,RB,7,73,377,5.164,4,2,2,175,39.683,38.021,80,25.316,80,19.324,49.324,25.316,19.324,10.429,11.429
,Saquon  Barkley,PHI,RB,7,113,369,3.265,3,0,0,328,78.095,61.081,133,41.433,133,33.167,86.26,41.433,33.167,16.143,19
,David  Montgomery,DET,RB,7,78,355,4.551,4,0,0,166,38.785,37.681,89,24.722,89,20.991,39.796,24.722,20.991,11.143,12.714
,Alvin  Kamara,NO,RB,7,94,343,3.649,1,0,0,321,71.333,51.366,119,34.795,119,27.294,60.645,34.795,27.294,13.429,17
