BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,TAR/G,REC/G,YDS/G,SNP,SNP%,RT,RT%,TAR%,FRD,FRDR,FRD%,OPP,OPP%
,Puka Nacua,LA,WR,1,11,7,167,2,11,7,167,31,46.269,22,70.968,35.484,10,90.909,32.258,11,16.418
,DK Metcalf,PIT,WR,1,12,7,148,0,12,7,148,42,80.769,33,97.059,35.294,7,58.333,20,12,23.529
,Michael Wilson,ARZ,WR,1,16,11,142,2,16,11,142,48,75,39,82.979,34.043,16,100,32,16,26.23
,Zay Flowers,BLT,WR,1,11,8,124,0,11,8,124,69,84.146,33,89.189,29.73,5,45.455,11.905,12,15.584
,CeeDee Lamb,DAL,WR,1,8,6,121,0,8,6,121,36,46.154,25,48.077,15.385,8,100,14.815,8,10.526
,Nico Collins,HST,WR,1,8,4,121,0,8,4,121,54,81.818,32,94.118,23.529,6,75,17.143,8,12.308
,Ryan Flournoy,DAL,WR,1,13,9,115,1,13,9,115,48,61.538,36,69.231,25,12,92.308,22.222,13,17.105
,Harold Fannin Jr.,CLV,TE,1,11,8,114,1,11,8,114,59,88.06,41,93.182,25,6,54.545,12.766,11,17.188
,A.J. Brown,PHI,WR,1,13,6,100,0,13,6,100,64,94.118,41,100,31.707,13,100,30.233,13,19.697
,Jameson Williams,DET,WR,1,9,7,96,0,9,7,96,52,91.228,35,100,25.714,7,77.778,20,10,17.544
,Dawson Knox,BUF,TE,1,7,6,93,0,7,6,93,28,43.077,14,45.161,22.581,5,71.429,13.889,7,11.667
,Amon-Ra St. Brown,DET,WR,1,9,6,92,0,9,6,92,52,91.228,34,97.143,25.714,8,88.889,22.857,9,15.789
,Jaxon Smith-Njigba,SEA,WR,1,10,7,92,2,10,7,92,43,71.667,28,87.5,31.25,8,80,23.529,11,18.966
,Tee Higgins,CIN,WR,1,11,6,92,2,11,6,92,42,75,32,86.486,29.73,9,81.818,24.324,11,19.643
,Kyle Pitts,ATL,TE,1,10,6,90,0,10,6,90,57,91.935,31,100,32.258,7,70,22.581,10,16.129
,Christian Watson,GB,WR,1,4,4,89,2,4,4,89,44,84.615,22,84.615,15.385,4,100,15.385,4,7.692
,Brian Thomas Jr.,JAX,WR,1,6,3,87,0,6,3,87,53,81.538,30,96.774,19.355,6,100,18.182,6,9.524
,Mike Gesicki,CIN,TE,1,6,6,86,1,6,6,86,22,39.286,18,48.649,16.216,4,66.667,10.811,6,10.714
,Alec Pierce,IND,WR,1,8,5,80,0,8,5,80,52,80,31,83.784,21.622,6,75,15.385,8,12.698
,Michael Pittman,IND,WR,1,12,9,79,0,12,9,79,55,84.615,33,89.189,32.432,9,75,23.077,12,19.048
,Tim Patrick,JAX,WR,1,6,5,78,1,6,5,78,41,63.077,23,74.194,19.355,6,100,18.182,6,9.524
,Dallas Goedert,PHI,TE,1,10,8,78,0,10,8,78,61,89.706,40,97.561,24.39,7,70,16.279,10,15.152
,Jahmyr Gibbs,DET,RB,1,7,7,77,0,7,7,77,40,70.175,26,74.286,20,3,42.857,8.571,19,33.333
,Jerry Jeudy,CLV,WR,1,5,3,76,1,5,3,76,58,86.567,42,95.455,11.364,3,60,6.383,5,7.813
,Rashid Shaheed,SEA,WR,1,5,4,67,0,5,4,67,31,51.667,23,71.875,15.625,4,80,11.765,5,8.621
,Luther Burden III,CHI,WR,1,6,4,67,0,6,4,67,48,67.606,25,69.444,16.667,3,50,7.692,7,10.294
,Dylan Sampson,CLV,RB,1,6,5,64,0,6,5,64,25,37.313,21,47.727,13.636,2,33.333,4.255,8,12.5
,Jordan Addison,MIN,WR,1,7,4,62,0,7,4,62,41,65.079,22,81.481,25.926,6,85.714,20.69,7,11.475
,Courtland Sutton,DEN,WR,1,10,6,62,0,10,6,62,46,62.162,34,82.927,24.39,9,90,20.93,10,13.889
,Kimani Vidal,LAC,RB,1,3,1,60,0,3,1,60,49,62.025,24,72.727,9.091,1,33.333,2.439,17,23.944
,Jake Ferguson,DAL,TE,1,7,5,58,0,7,5,58,60,76.923,44,84.615,13.462,3,42.857,5.556,7,9.211
,Quinshon Judkins,CLV,RB,1,3,1,58,0,3,1,58,30,44.776,13,29.545,6.818,0,0,0,17,26.563
