BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
,Keaton  Mitchell,BLT,RB,1,2,19,9.5,1,0,0,8,13.333,9.091,4,10.256,4,7.018,12.5,12.121,7.843,2,4
,Tyler  Shough,NO,QB,1,6,18,3,0,0,0,71,98.611,22.222,6,11.321,6,8.696,0,0,0,6,6
,Michael  Carter,ARZ,RB,1,5,17,3.4,0,0,0,28,43.75,26.316,10,20.833,10,16.393,31.25,20.833,16.393,5,10
,Bhayshul  Tuten,JAX,RB,1,8,17,2.125,1,0,0,16,27.119,29.63,9,20.93,9,15.789,38.095,22.5,16.667,8,9
,Zavier  Scott,MIN,RB,1,3,17,5.667,0,0,0,9,18,18.75,4,11.429,4,8,20,11.429,8,3,4
,Isiah  Pacheco,KC,RB,1,3,16,5.333,0,0,0,16,25.397,13.043,5,10.87,5,8.333,15,11.628,8.772,3,5
,Jaylen  Wright,MIA,RB,1,3,16,5.333,0,0,0,4,6.557,9.375,3,6.818,3,5.085,10.714,6.818,5.085,3,3
,Jacoby  Brissett,ARZ,QB,1,3,16,5.333,0,0,0,64,100,15.789,3,6.25,3,4.918,0,0,0,3,3
,Bo  Nix,DEN,QB,1,2,16,8,0,0,0,71,100,8.696,2,3.846,2,2.899,0,0,0,2,2
,Bo  Melton,GB,CB,1,2,15,7.5,0,0,0,9,14.516,6.667,2,4.167,2,3.333,8,4.167,3.333,2,2
,Emanuel  Wilson,GB,RB,1,4,14,3.5,0,0,0,10,16.129,13.333,4,8.333,4,6.667,16,8.333,6.667,4,4
,Xavier  Worthy,KC,WR,1,2,13,6.5,0,0,0,53,84.127,8.696,6,13.043,6,10,10,13.953,10.526,2,6
,Caleb  Williams,CHI,QB,1,5,13,2.6,0,0,0,87,100,10.638,5,7.813,5,5.882,0,0,0,5,5
,DJ  Moore,CHI,WR,1,1,10,10,0,0,0,76,87.356,2.128,3,4.688,3,3.529,2.381,5.085,3.75,1,3
,Ollie  Gordon II,MIA,RB,1,3,10,3.333,0,0,0,13,21.311,9.375,3,6.818,3,5.085,10.714,6.818,5.085,3,3
,Malachi  Corley,CLV,WR,1,1,9,9,0,0,0,21,34.426,3.226,1,2.083,1,1.667,3.333,2.083,1.667,1,1
,Isaiah  Bond,CLV,WR,1,1,9,9,0,0,0,18,29.508,3.226,2,4.167,2,3.333,3.333,4.167,3.333,1,2
,Rashid  Shaheed,SEA,WR,1,1,9,9,0,0,0,29,46.774,3.125,2,4.348,2,3.226,3.125,4.348,3.226,1,2
,Marvin  Mims Jr.,DEN,WR,1,1,9,9,0,0,0,23,32.394,4.348,3,5.769,3,4.348,4.762,6,4.478,1,3
,Joe  Burrow,CIN,QB,1,3,8,2.667,0,0,0,81,100,9.091,3,5.263,3,3.75,0,0,0,3,3
,Justin  Herbert,LAC,QB,1,3,8,2.667,0,0,0,60,84.507,6.977,3,5.085,3,4.478,0,0,0,3,3
,Nico  Collins,HST,WR,1,1,7,7,1,0,0,52,73.239,2.941,6,10.714,6,8.451,3.03,10.714,8.451,1,6
,Rachaad  White,TB,RB,1,2,7,3.5,0,0,0,21,35,7.407,5,11.111,5,8.772,9.524,12.821,9.804,2,5
,Cam  Ward,TEN,QB,1,1,7,7,0,0,0,56,100,7.143,1,2.632,1,1.818,0,0,0,1,1
,Shedeur  Sanders,CLV,QB,1,1,6,6,0,0,0,60,98.361,3.226,1,2.083,1,1.667,0,0,0,1,1
,Raheem  Mostert,LV,RB,1,1,6,6,0,0,0,2,4.348,5.556,1,2.778,1,2.174,6.25,2.778,2.174,1,1
,Ty  Johnson,BUF,RB,1,2,5,2.5,0,0,0,20,25.641,3.922,5,7.576,5,6.757,4.651,8.621,7.576,2,5
,Jordan  Love,GB,QB,1,5,4,0.8,0,0,0,62,100,16.667,5,10.417,5,8.333,0,0,0,5,5
,Brock  Purdy,SF,QB,1,2,4,2,1,0,0,60,92.308,6.061,2,4.082,2,3.125,0,0,0,2,2
,Tua  Tagovailoa,MIA,QB,1,4,4,1,0,0,0,61,100,12.5,4,9.091,4,6.78,0,0,0,4,4
,Trey  Lance,LAC,QB,1,4,4,1,0,0,0,11,15.493,9.302,4,6.78,4,5.97,0,0,0,4,4
,Luther  Burden III,CHI,WR,1,1,3,3,0,0,0,41,47.126,2.128,5,7.813,5,5.882,2.381,8.475,6.25,1,5
,Cade  Stover,HST,TE,1,4,3,0.75,0,0,0,29,40.845,11.765,6,10.714,6,8.451,12.121,10.714,8.451,4,6
,Aaron  Jones,MIN,RB,1,6,3,0.5,0,0,0,19,38,37.5,10,28.571,10,20,40,28.571,20,6,10
,Kaleb  Johnson,PIT,RB,1,2,3,1.5,0,0,0,3,6.977,11.111,2,7.143,2,4.651,11.765,7.143,4.651,2,2
,Adam  Prentice,DEN,FB,1,1,3,3,0,0,0,16,22.535,4.348,2,3.846,2,2.899,4.762,4,2.985,1,2
,Rashee  Rice,KC,WR,1,1,2,2,0,1,0,54,85.714,4.348,9,19.565,9,15,5,20.93,15.789,1,9
,Mac  Jones,SF,QB,1,2,2,1,0,0,0,4,6.154,6.061,2,4.082,2,3.125,0,0,0,2,2
,Taysom  Hill,NO,QB,1,1,2,2,0,0,0,12,16.667,3.704,2,3.774,2,2.899,0,0,0,1,2
,AJ  Barner,SEA,TE,1,1,2,2,0,0,0,53,85.484,3.125,5,10.87,5,8.065,3.125,10.87,8.065,1,5
,Daniel  Jones,IND,QB,1,1,1,1,0,1,0,51,100,4.348,1,2.703,1,1.961,0,0,0,1,1
,Chimere  Dike,TEN,WR,1,1,1,1,0,0,0,42,75,7.143,2,5.263,2,3.636,7.692,5.405,3.704,1,2
,Harold  Fannin Jr.,CLV,TE,1,1,0,0,0,1,1,55,90.164,3.226,4,8.333,4,6.667,3.333,8.511,6.78,1,4
,C.J.  Stroud,HST,QB,1,1,0,0,0,0,0,71,100,2.941,1,1.786,1,1.408,0,0,0,1,1
,Tyler  Warren,IND,TE,1,1,0,0,0,1,0,44,86.275,4.348,4,10.811,4,7.843,4.545,11.111,8,1,4
,Sean  Tucker,TB,RB,1,2,0,0,0,0,0,5,8.333,7.407,2,4.444,2,3.509,9.524,5.128,3.922,2,2
,Aaron  Rodgers,PIT,QB,1,1,0,0,0,0,0,36,83.721,5.556,1,3.571,1,2.326,0,0,0,1,1
,Matthew  Stafford,LA,QB,1,1,-1,-1,0,0,0,51,100,4.762,1,2.564,1,1.961,0,0,0,1,1
,Mason  Tipton,NO,WR,1,1,-1,-1,0,0,0,58,80.556,3.704,4,7.547,4,5.797,5,8.889,6.557,1,4
,Tyjae  Spears,TEN,RB,1,2,-1,-0.5,0,0,0,25,44.643,14.286,8,21.053,8,14.545,15.385,21.622,14.815,2,8
,Max  Brosmer,MIN,QB,1,1,-1,-1,0,0,0,50,100,6.25,1,2.857,1,2,0,0,0,1,1
,Dak  Prescott,DAL,QB,1,3,-2,-0.667,0,0,0,65,100,11.538,3,5.66,3,4.615,0,0,0,3,3
,John  Metchie III,NYJ,WR,1,1,-2,-2,0,0,0,60,86.957,3.571,5,10.638,5,7.937,5,12.821,9.091,1,5
,Nick  Mullens,JAX,QB,1,3,-3,-1,0,0,0,3,5.085,11.111,3,6.977,3,5.263,0,0,0,3,3
,Deebo  Samuel Sr.,WAS,WR,1,2,-3,-1.5,0,0,0,57,64.773,6.061,7,11.475,7,8.235,8.696,13.725,9.333,2,7
,Jameson  Williams,DET,WR,1,1,-5,-5,0,0,0,57,93.443,3.333,8,16,8,13.333,3.448,16.327,13.559,1,8
,Geno  Smith,LV,QB,1,2,-6,-3,0,0,0,46,100,11.111,2,5.556,2,4.348,0,0,0,2,2
