BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,FUM,FUML,SNP,SNP%,ATT%,TCH,TCH%,OPP,OPP%,rATT%,rTCH%,rOPP%,ATT/G,TCH/G
,James  Cook,BUF,RB,1,32,144,4.5,0,2,1,45,57.692,62.745,35,53.03,35,47.297,74.419,53.03,47.297,32,35
,Bijan  Robinson,ATL,RB,1,23,142,6.174,1,0,0,58,86.567,71.875,28,52.83,28,41.791,71.875,52.83,41.791,23,28
,De'Von  Achane,MIA,RB,1,22,134,6.091,1,0,0,44,72.131,68.75,22,50,22,37.288,78.571,50,37.288,22,22
,Kyle  Monangai,CHI,RB,1,22,130,5.909,1,0,0,37,42.529,46.809,22,34.375,22,25.882,52.381,34.375,25.882,22,22
,Kimani  Vidal,LAC,RB,1,25,126,5.04,1,0,0,51,71.831,58.14,26,44.068,26,38.806,69.444,44.068,38.806,25,26
,D'Andre  Swift,CHI,RB,1,18,125,6.944,1,0,0,47,54.023,38.298,19,29.688,19,22.353,42.857,29.688,22.353,18,19
,Quinshon  Judkins,CLV,RB,1,23,91,3.957,0,0,0,37,60.656,74.194,26,54.167,26,43.333,76.667,54.167,43.333,23,26
,Jonathan  Taylor,IND,RB,1,21,85,4.048,0,0,0,50,98.039,91.304,24,64.865,24,47.059,95.455,64.865,47.059,21,24
,Josh  Jacobs,GB,RB,1,17,83,4.882,0,0,0,33,53.226,56.667,18,37.5,18,30,68,37.5,30,17,18
,Chuba  Hubbard,CAR,RB,1,17,83,4.882,0,0,0,36,56.25,42.5,19,34.545,19,30.645,48.571,34.545,30.645,17,19
,Blake  Corum,LA,RB,1,7,81,11.571,1,0,0,15,29.412,33.333,7,17.949,7,13.725,35,17.949,13.725,7,7
,Chase  Brown,CIN,RB,1,15,78,5.2,0,0,0,47,58.025,45.455,22,38.596,22,27.5,50,38.596,27.5,15,22
,Kyren  Williams,LA,RB,1,13,72,5.538,1,0,0,35,68.627,61.905,13,33.333,13,25.49,65,33.333,25.49,13,13
,Jahmyr  Gibbs,DET,RB,1,20,68,3.4,0,0,0,44,72.131,66.667,23,46,23,38.333,68.966,46,38.333,20,23
,Breece  Hall,NYJ,RB,1,19,68,3.579,1,0,0,56,81.159,67.857,21,44.681,21,33.333,95,44.681,33.333,19,21
,Woody  Marks,HST,RB,1,19,64,3.368,0,1,0,40,56.338,55.882,20,35.714,20,28.169,57.576,35.714,28.169,19,20
,Bam  Knight,ARZ,RB,1,11,62,5.636,0,1,1,31,48.438,57.895,14,29.167,14,22.951,68.75,29.167,22.951,11,14
,Ray  Davis,BUF,RB,1,9,62,6.889,0,0,0,13,16.667,17.647,9,13.636,9,12.162,20.93,13.636,12.162,9,9
,Bucky  Irving,TB,RB,1,17,61,3.588,1,0,0,31,51.667,62.963,19,42.222,19,33.333,80.952,42.222,33.333,17,19
,Derrick  Henry,BLT,RB,1,10,60,6,1,0,0,22,36.667,45.455,11,28.205,11,19.298,62.5,28.205,19.298,10,11
,Tony  Pollard,TEN,RB,1,10,60,6,0,0,0,26,46.429,71.429,11,28.947,11,20,76.923,28.947,20,10,11
,Javonte  Williams,DAL,RB,1,17,59,3.471,0,0,0,50,76.923,65.385,20,37.736,20,30.769,73.913,37.736,30.769,17,20
,Kareem  Hunt,KC,RB,1,14,58,4.143,0,0,0,40,63.492,60.87,15,32.609,15,25,70,32.609,25,14,15
,Rico  Dowdle,CAR,RB,1,18,58,3.222,0,0,0,24,37.5,45,20,36.364,20,32.258,51.429,36.364,32.258,18,20
,Saquon  Barkley,PHI,RB,1,13,56,4.308,0,0,0,46,90.196,76.471,13,36.111,13,25.49,100,36.111,25.49,13,13
,Kenneth  Walker III,SEA,RB,1,13,56,4.308,0,0,0,33,53.226,40.625,16,34.783,16,25.806,40.625,34.783,25.806,13,16
,Marcus  Mariota,WAS,QB,1,10,55,5.5,0,0,0,88,100,30.303,10,16.393,10,11.765,0,0,0,10,10
,Jaret  Patterson,LAC,RB,1,11,54,4.909,1,0,0,13,18.31,25.581,11,18.644,11,16.418,30.556,18.644,16.418,11,11
,Christian  McCaffrey,SF,RB,1,20,53,2.65,1,0,0,52,80,60.606,24,48.98,24,37.5,68.966,48.98,37.5,20,24
,Zach  Charbonnet,SEA,RB,1,14,52,3.714,1,0,0,25,40.323,43.75,14,30.435,14,22.581,43.75,30.435,22.581,14,14
,Malik  Davis,DAL,RB,1,3,47,15.667,1,0,0,6,9.231,11.538,3,5.66,3,4.615,13.043,5.66,4.615,3,3
,Devin  Neal,NO,RB,1,14,47,3.357,0,0,0,56,77.778,51.852,17,32.075,17,24.638,70,32.075,24.638,14,17
,Jordan  Mason,MIN,RB,1,6,47,7.833,0,0,0,15,30,37.5,7,20,7,14,40,20,14,6,7
,Tyrod  Taylor,NYJ,QB,1,8,44,5.5,1,0,0,69,100,28.571,8,17.021,8,12.698,0,0,0,8,8
,Chris  Rodriguez Jr.,WAS,RB,1,11,41,3.727,1,0,0,37,42.045,33.333,11,18.033,11,12.941,47.826,21.569,14.667,11,11
,Samaje  Perine,CIN,RB,1,14,39,2.786,0,1,1,33,40.741,42.424,16,28.07,16,20,46.667,28.07,20,14,16
,Josh  Allen,BUF,QB,1,8,38,4.75,1,0,0,78,100,15.686,8,12.121,8,10.811,0,0,0,8,8
,Jaylen  Warren,PIT,RB,1,10,35,3.5,1,0,0,24,55.814,55.556,12,42.857,12,27.907,58.824,42.857,27.907,10,12
,RJ  Harvey,DEN,RB,1,13,35,2.692,2,0,0,32,45.07,56.522,16,30.769,16,23.188,61.905,30.769,23.188,13,16
,Nick  Chubb,HST,RB,1,9,34,3.778,1,0,0,23,32.394,26.471,9,16.071,9,12.676,27.273,16.071,12.676,9,9
,KaVontae  Turpin,DAL,WR,1,3,33,11,0,0,0,25,38.462,11.538,5,9.434,5,7.692,13.043,9.434,7.692,3,5
,David  Montgomery,DET,RB,1,8,32,4,1,1,0,21,34.426,26.667,10,20,10,16.667,27.586,20,16.667,8,10
,Jalen  Hurts,PHI,QB,1,4,31,7.75,0,1,1,51,100,23.529,4,11.111,4,7.843,0,0,0,4,4
,Ashton  Jeanty,LV,RB,1,15,31,2.067,0,0,0,43,93.478,83.333,21,58.333,21,45.652,93.75,58.333,45.652,15,21
,Patrick  Mahomes,KC,QB,1,3,30,10,0,0,0,63,100,13.043,3,6.522,3,5,0,0,0,3,3
,Jeremy  McNichols,WAS,RB,1,6,30,5,0,0,0,38,43.182,18.182,8,13.115,8,9.412,26.087,15.686,10.667,6,8
,Travis  Etienne,JAX,RB,1,12,28,2.333,0,0,0,27,45.763,44.444,13,30.233,13,22.807,57.143,30.233,22.807,12,13
,Lamar  Jackson,BLT,QB,1,6,27,4.5,0,0,0,60,100,27.273,6,15.385,6,10.526,0,0,0,6,6
,Baker  Mayfield,TB,QB,1,6,27,4.5,0,0,0,60,100,22.222,6,13.333,6,10.526,0,0,0,6,6
,Brian  Robinson,SF,RB,1,8,26,3.25,0,0,0,12,18.462,24.242,8,16.327,8,12.5,27.586,16.327,12.5,8,8
,Trevor  Lawrence,JAX,QB,1,3,25,8.333,0,0,0,56,94.915,11.111,3,6.977,3,5.263,0,0,0,3,3
,Jared  Goff,DET,QB,1,1,24,24,0,0,0,61,100,3.333,1,2,1,1.667,0,0,0,1,1
,Jaleel  McLaughlin,DEN,RB,1,6,24,4,0,0,0,13,18.31,26.087,7,13.462,7,10.145,28.571,13.462,10.145,6,7
,Bryce  Young,CAR,QB,1,5,23,4.6,0,0,0,64,100,12.5,5,9.091,5,8.065,0,0,0,5,5
,Dylan  Sampson,CLV,RB,1,4,23,5.75,0,0,0,11,18.033,12.903,4,8.333,4,6.667,13.333,8.333,6.667,4,4
,Tyler  Allgeier,ATL,RB,1,8,20,2.5,1,0,0,16,23.881,25,10,18.868,10,14.925,25,18.868,14.925,8,10
,Kenneth  Gainwell,PIT,RB,1,5,20,4,0,0,0,18,41.86,27.778,7,25,7,16.279,29.412,25,16.279,5,7
,Jacory  Croskey-Merritt,WAS,RB,1,4,20,5,0,0,0,12,13.636,12.121,4,6.557,4,4.706,17.391,7.843,5.333,4,4
