BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT/G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,FD,300Yd,RTG,EPA,EPA/DB,DYAR,DVOA,FPTS,PPG
,Matthew  Stafford,LA,QB,1,64,100,47,48,47,30,63.83,389,8.277,3,0,18,1,111.037,16.915,0.352,159.204,38.02,27.56,27.56
,Baker  Mayfield,TB,QB,1,62,100,33,38,33,29,87.879,379,11.485,2,0,17,1,134.722,25.972,0.683,222.939,94.04,24.66,24.66
,Mac  Jones,SF,QB,1,83,100,49,50,49,33,67.347,342,6.98,2,0,19,1,100.893,14.525,0.291,185.359,43.33,22.18,22.18
,Sam  Darnold,SEA,QB,1,54,100,34,34,34,28,82.353,341,10.029,4,1,18,1,135.417,23.39,0.688,204.945,74.34,27.64,27.64
,Patrick  Mahomes,KC,QB,1,68,100,41,46,41,29,70.732,318,7.756,1,1,16,1,91.311,2.662,0.058,95.886,22.88,26.72,26.72
,Justin  Fields,NYJ,QB,1,76,100,46,54,46,32,69.565,283,6.152,2,0,14,0,100.181,0.951,0.018,-16.887,-16.23,21.92,21.92
,Jalen  Hurts,PHI,QB,1,56,100,38,45,38,23,60.526,280,7.368,2,0,11,0,100.768,2.587,0.057,100.641,23.43,19.5,19.5
,Drake  Maye,NE,QB,1,58,100,30,36,30,22,73.333,273,9.1,0,0,13,0,101.111,4.829,0.134,89.342,29.36,12.12,12.12
,Cam  Ward,TEN,QB,1,66,100,39,42,39,21,53.846,265,6.795,0,1,13,0,64.583,2.434,0.058,-40.013,-25.27,8,8
,Jared  Goff,DET,QB,1,61,100,23,27,23,19,82.609,258,11.217,3,0,14,0,152.989,11.64,0.431,113.96,52.37,22.12,22.12
,Tua  Tagovailoa,MIA,QB,1,54,100,36,40,36,27,75,256,7.111,3,0,13,0,121.991,11.237,0.281,63.717,15.73,22.74,22.74
,Josh  Allen,BUF,QB,1,68,100,31,39,31,22,70.968,253,8.161,2,1,16,0,103.293,6.635,0.17,51.62,11.41,21.42,21.42
,Jake  Browning,CIN,QB,1,61,100,40,45,40,26,65,251,6.275,3,3,12,0,76.146,-3,-0.067,-55.445,-30.24,19.14,19.14
,C.J.  Stroud,HST,QB,1,53,77.941,27,30,27,23,85.185,244,9.037,4,0,13,0,143.904,18.09,0.603,145.405,59.47,28.76,28.76
,Bo  Nix,DEN,QB,1,72,100,39,43,39,24,61.538,242,6.205,1,0,12,0,87.767,2.451,0.057,54.457,10.59,15.88,15.88
,Dak  Prescott,DAL,QB,1,62,100,29,33,29,18,62.069,237,8.172,4,0,12,0,127.443,11.844,0.359,89.285,32.48,28.28,28.28
,Carson  Wentz,MIN,QB,1,63,98.438,34,40,34,25,73.529,236,6.941,1,0,13,0,102.083,11.752,0.294,75.076,17.86,14.74,14.74
,Jayden  Daniels,WAS,QB,1,60,100,26,32,26,15,57.692,231,8.885,1,0,9,0,100,14.019,0.438,138.586,74.62,17.14,17.14
,Geno  Smith,LV,QB,1,66,100,36,41,36,25,69.444,228,6.333,0,2,12,0,63.194,-9.511,-0.232,-108.66,-50.96,5.92,5.92
,Spencer  Rattler,NO,QB,1,58,95.082,30,30,30,20,66.667,225,7.5,1,0,9,0,100,12.484,0.416,113.316,45.99,15.1,15.1
,Trevor  Lawrence,JAX,QB,1,61,100,25,35,25,18,72,221,8.84,1,1,8,0,95.583,4.636,0.132,20.751,0.53,28.24,28.24
,Kyler  Murray,ARZ,QB,1,64,96.97,31,36,31,23,74.194,220,7.097,0,0,8,0,93.481,2.702,0.075,10.416,-6.3,17.3,17.3
,Daniel  Jones,IND,QB,1,49,85.965,29,29,29,20,68.966,212,7.31,2,0,11,0,113.003,18.285,0.631,142.954,59.33,16.68,16.68
,Jaxson  Dart,NYG,QB,1,75,100,40,46,40,26,65,202,5.05,2,2,10,0,73.125,-17.843,-0.388,-89.089,-46.37,17.58,17.58
,Bryce  Young,CAR,QB,1,66,100,30,34,30,19,63.333,198,6.6,2,1,12,0,90.694,-0.568,-0.017,-33.968,-26.51,14.02,14.02
,Dillon  Gabriel,CLV,QB,1,68,100,33,36,33,19,57.576,190,5.758,2,0,9,0,94.255,-2.279,-0.063,37.741,8.28,16.1,16.1
,Cooper  Rush,BLT,QB,1,40,100,20,21,20,14,70,179,8.95,0,3,7,0,35.208,-6.859,-0.327,-40.235,-42.44,1.16,1.16
,Justin  Herbert,LAC,QB,1,60,89.552,29,34,29,22,75.862,166,5.724,1,1,10,0,86.279,-13.406,-0.394,-111.631,-63.38,14.64,14.64
,Jacoby  Brissett,ARZ,QB,1,2,3.03,1,1,1,0,0,0,0,0,0,0,0,2.083,-0.779,-0.779,-5.488,-101.55,0,0
