BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,BUF,1,54.76,54.76,92.99,84.14,25.78,20.68
,SEA,1,46.57,46.57,130.23,137.82,-15.42,-15.78
,PIT,1,-6.88,-6.88,4.8,-0.51,-16.65,-17.26
,LA,1,33.55,33.55,64.06,73.84,8.98,6.1
,DEN,1,3.63,3.63,21.69,-4.02,-18.53,-19.71
,BLT,1,13.37,13.37,49.35,73.94,-19.74,-20.57
,MIN,1,-7.6,-7.6,-8.12,-24.94,27.7,15.53
,ARZ,1,-8.76,-8.76,0.34,28.44,-3.76,3.6
,GB,1,12.91,12.91,36.92,40.82,0.63,-0.94
,LV,1,8.91,8.91,29.55,30.85,-22.27,-26.84
,SF,1,20.17,20.17,61.23,62.31,-0.73,23.59
,LAC,1,0.62,0.62,26.91,31.7,-27.63,-17.37
,NE,1,13.97,13.97,22.06,5.22,4.3,8.76
,CHI,1,31.36,31.36,40.46,70.28,38.8,60.58
,ATL,1,-4.33,-4.33,6.71,21.54,-3.33,-18.05
,CAR,1,-5.76,-5.76,-14.35,-23.78,12.14,12.37
,HST,1,-27.72,-27.72,-2.9,-17.59,-47.85,-62.18
,IND,1,-29.52,-29.52,-41.04,-50.95,-3.29,1.62
,KC,1,-0.41,-0.41,1.74,-11.9,-3.42,9.74
,DET,1,-21.72,-21.72,0.51,3.28,-35.41,-40.86
,DAL,1,-8.99,-8.99,-15.88,-21.66,4.96,4.96
,CIN,1,20.1,20.1,45.72,71.43,-31.19,-26.84
,JAX,1,-6.07,-6.07,-12.19,-16.02,9.2,9.25
,NYG,1,-10.06,-10.06,-2.65,3.68,0.11,6.8
,NO,1,-23.3,-23.3,9.48,-3.5,-59.53,-68.92
,TEN,1,-37.61,-37.61,-14.45,-25.5,-29.46,-21.47
,MIA,1,-31.59,-31.59,-22.94,-18.58,-25.21,-24.61
,WAS,1,-14.22,-14.22,-17.83,-27.22,2.05,-11.79
