BASIC,BASIC,BASIC,DEFENSE,WR1,WR1,WR1,WR2,WR2,WR2,WR3,WR3,WR3,TE,TE,TE,RB,RB,RB
Rk,Tm,G,Defensive DVOA,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G
,TB,1,-22.05,-13.64,5,142,61.58,2,44,-74.96,3,29,28.19,6,58,-22.04,11,74
,PIT,1,-22.73,-4,5,43,-48.59,2,9,-40.21,4,35,8.05,11,109,-42.78,7,25
,KC,1,1.81,-68.6,9,48,42.58,6,66,0,0,0,29.53,5,55,1.38,3,34
,NYG,1,-16.7,10.43,6,80,49.23,4,49,-323.71,1,17,27.36,9,110,-87.76,4,27
,LA,1,-34.2,-21.56,1,8,-136.18,6,46,-87.58,2,20,-37.96,6,30,-18.21,6,36
,SEA,1,-17.34,38.3,8,90,-37.51,4,15,16.78,5,68,8.68,3,33,5.55,7,52
,ATL,1,-20.85,-196.53,3,22,161.04,2,60,-67.25,6,60,54.45,1,19,27.92,3,19
,GB,1,-9.28,25.16,10,94,12.21,5,62,-60.29,1,5,-2.56,9,35,27.85,4,23
,IND,1,16.62,104.7,2,32,37.87,4,44,-32.81,8,88,31.57,10,106,20.84,3,50
,CAR,1,1.99,79.35,9,168,37.42,1,8,-43.24,3,30,69.22,5,43,-31.18,7,12
,CHI,1,4.33,-153.21,4,15,62.02,3,46,172.6,2,70,62.05,6,43,122.35,4,37
,DEN,1,-45.16,-67.88,3,13,66.61,3,25,-119.97,0,0,-79.84,1,2,-27.87,2,5
,LV,1,-32.96,30.16,4,45,50.02,4,75,-123.62,4,9,2.69,8,61,33.5,6,32
,JAX,1,-1.71,20.99,8,162,123.81,2,40,-127.7,0,0,41.65,4,77,23.66,2,16
,LAC,1,-8.82,-40.5,6,95,-691.21,0,0,28.84,4,22,45.82,6,51,-72.18,6,45
,ARZ,1,15.92,16.85,2,20,32.33,6,42,17.35,2,48,-62.92,7,79,-38.04,5,23
,CIN,1,20.93,-101.44,5,55,65.18,3,86,56.62,2,15,72.75,3,50,19.1,6,53
,NE,1,13.43,11.03,6,98,-24.62,4,28,168.98,1,21,-84.52,3,24,103.72,6,56
,DET,1,22.46,10.59,2,20,149.75,4,45,105.25,3,57,84.25,8,103,-12.8,5,32
,WAS,1,15.59,-4.97,3,42,-24.53,2,32,0.78,6,75,-70.09,3,11,195.29,3,92
,MIA,1,13.05,-53.11,4,27,40.52,7,100,-8.13,5,28,-1.4,9,86,39.74,4,23
,NO,1,19.13,40.9,3,28,153.69,5,93,71.27,5,99,11.99,4,32,-44.56,1,9
,DAL,1,30.82,-55.56,3,29,-11.38,2,11,34.25,3,43,36.06,5,60,99.92,4,56
,BLT,1,-3,-14.53,4,39,27.07,2,28,-30.81,4,30,38.11,5,47,133.25,2,37
,BUF,1,24.89,46.2,10,158,-105.49,0,0,0,0,0,-37.28,3,18,33.3,7,74
,PHI,1,34.59,-9.66,4,55,33.17,6,84,18.48,3,17,-42.16,2,27,42.62,2,12
,TEN,1,-12.06,75.94,4,39,82.14,5,70,-78.49,0,0,-71.31,6,54,-17.2,2,11
,NYJ,1,-16.65,-36.95,1,17,-60.08,3,19,51.5,4,52,77.75,7,65,-65.13,4,21
,CLV,1,14.08,12.19,4,95,0,0,0,62.44,1,12,35.82,8,103,-49.62,8,25
,SF,1,50.1,13.19,2,24,59.75,2,51,93.91,5,109,35.42,5,51,11.61,3,21
