BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,TAR/G,REC/G,YDS/G,SNP,SNP%,RT,RT%,TAR%,FRD,FRDR,FRD%,OPP,OPP%
,Jameson  Williams,DET,WR,1,10,7,144,1,10,7,144,57,93.443,29,96.667,33.333,8,80,25.806,11,18.333
,A.J.  Brown,PHI,WR,1,12,10,132,2,12,10,132,47,92.157,31,91.176,35.294,10,83.333,29.412,12,23.529
,CeeDee  Lamb,DAL,WR,1,9,7,112,1,9,7,112,51,78.462,35,89.744,23.077,6,66.667,15.385,9,13.846
,Ja'Marr  Chase,CIN,WR,1,14,7,110,0,14,7,110,79,97.531,47,100,29.787,8,57.143,16.667,14,17.5
,Zach  Ertz,WAS,TE,1,13,10,106,0,13,10,106,56,63.636,40,76.923,25,9,69.231,16.364,13,15.294
,Adonai  Mitchell,NYJ,WR,1,12,8,102,1,12,8,102,54,78.261,34,97.143,34.286,12,100,29.268,12,19.048
,Nico  Collins,HST,WR,1,10,5,98,0,10,5,98,52,73.239,29,78.378,27.027,6,60,16.216,11,15.493
,Terry  McLaurin,WAS,WR,1,14,7,96,1,14,7,96,42,47.727,32,61.538,26.923,11,78.571,20,14,16.471
,Isaiah  Likely,BLT,TE,1,6,5,95,0,6,5,95,29,48.333,22,62.857,17.143,3,50,7.895,6,10.526
,Dontayvion  Wicks,GB,WR,1,7,6,94,2,7,6,94,30,48.387,22,73.333,23.333,6,85.714,18.75,8,13.333
,Devaughn  Vele,NO,WR,1,8,8,93,1,8,8,93,60,83.333,38,90.476,19.048,5,62.5,11.111,8,11.594
,Rashee  Rice,KC,WR,1,12,8,92,2,12,8,92,54,85.714,34,91.892,32.432,4,33.333,10,13,21.667
,Jakobi  Meyers,JAX,WR,1,6,6,90,1,6,6,90,52,88.136,28,93.333,20,5,83.333,15.625,7,12.281
,George  Pickens,DAL,WR,1,13,6,88,0,13,6,88,47,72.308,34,87.179,33.333,12,92.308,30.769,13,20
,Xavier  Smith,LA,WR,1,3,3,82,0,3,3,82,20,39.216,17,56.667,10,2,66.667,6.667,3,5.882
,Kyle  Pitts,ATL,TE,1,8,7,82,0,8,7,82,61,91.045,33,94.286,22.857,7,87.5,20,8,11.94
,Trey  McBride,ARZ,TE,1,9,8,82,1,9,8,82,53,82.813,38,90.476,21.429,5,55.556,11.111,9,14.754
,Christian  Watson,GB,WR,1,10,4,80,1,10,4,80,43,69.355,24,80,33.333,9,90,28.125,11,18.333
,Evan  Engram,DEN,TE,1,9,6,79,0,9,6,79,37,52.113,31,67.391,19.565,6,66.667,12.5,9,13.043
,Alec  Pierce,IND,WR,1,5,4,78,1,5,4,78,49,96.078,28,100,17.857,4,80,14.286,5,9.804
,Chris  Godwin Jr.,TB,WR,1,5,3,78,0,5,3,78,36,60,20,66.667,16.667,3,60,9.091,5,8.772
,Jalen  Coker,CAR,WR,1,6,4,74,1,6,4,74,34,53.125,18,81.818,27.273,4,66.667,16.667,6,9.677
,Puka  Nacua,LA,WR,1,9,6,72,0,9,6,72,38,74.51,26,86.667,30,3,33.333,10,9,17.647
,Marvin  Harrison Jr.,ARZ,WR,1,7,6,69,0,7,6,69,36,56.25,26,61.905,16.667,7,100,15.556,7,11.475
,George  Kittle,SF,TE,1,5,4,67,0,5,4,67,55,84.615,30,96.774,16.129,1,20,3.125,5,7.813
,Jayden  Higgins,HST,WR,1,5,5,65,0,5,5,65,42,59.155,24,64.865,13.514,2,40,5.405,5,7.042
,Deebo  Samuel Sr.,WAS,WR,1,7,5,64,0,7,5,64,57,64.773,39,75,13.462,6,85.714,10.909,9,10.588
,Brock  Bowers,LV,TE,1,4,4,63,2,4,4,63,44,95.652,27,96.429,14.286,4,100,14.286,4,8.696
,Courtland  Sutton,DEN,WR,1,6,5,62,1,6,5,62,56,78.873,39,84.783,13.043,4,66.667,8.333,6,8.696
,Xavier  Worthy,KC,WR,1,6,4,61,0,6,4,61,53,84.127,31,83.784,16.216,2,33.333,5,8,13.333
,T.J.  Hockenson,MIN,TE,1,6,6,59,0,6,6,59,39,78,32,94.118,17.647,3,50,8.824,6,12
,Davante  Adams,LA,WR,1,5,4,58,2,5,4,58,38,74.51,22,73.333,16.667,2,40,6.667,5,9.804
,Dalton  Schultz,HST,TE,1,8,7,55,0,8,7,55,53,74.648,34,91.892,21.622,2,25,5.405,8,11.268
,Bijan  Robinson,ATL,RB,1,7,5,51,0,7,5,51,58,86.567,31,88.571,20,0,0,0,30,44.776
,DeVonta  Smith,PHI,WR,1,8,5,48,0,8,5,48,46,90.196,30,88.235,23.529,8,100,23.529,8,15.686
,Mark  Andrews,BLT,TE,1,6,4,47,0,6,4,47,39,65,24,68.571,17.143,3,50,7.895,6,10.526
,Darren  Waller,MIA,TE,1,3,2,47,0,3,2,47,26,42.623,17,62.963,11.111,3,100,10.345,3,5.085
,Chris  Olave,NO,WR,1,7,4,47,1,7,4,47,60,83.333,39,92.857,16.667,5,71.429,11.111,7,10.145
,Michael  Carter,ARZ,RB,1,6,5,47,0,6,5,47,28,43.75,20,47.619,14.286,0,0,0,11,18.033
,Adam  Trautman,DEN,TE,1,4,3,47,0,4,3,47,40,56.338,21,45.652,8.696,1,25,2.083,4,5.797
,Travis  Kelce,KC,TE,1,6,5,45,1,6,5,45,56,88.889,34,91.892,16.216,1,16.667,2.5,6,10
,Brenton  Strange,JAX,TE,1,4,3,45,1,4,3,45,43,72.881,24,80,13.333,2,50,6.25,4,7.018
,Darnell  Washington,PIT,TE,1,4,2,45,0,4,2,45,34,79.07,21,84,16,2,50,8,4,9.302
,Derrick  Henry,BLT,RB,1,1,1,44,0,1,1,44,22,36.667,10,28.571,2.857,0,0,0,11,19.298
,Josh  Downs,IND,WR,1,6,2,44,0,6,2,44,28,54.902,18,64.286,21.429,5,83.333,17.857,6,11.765
,Tetairoa  McMillan,CAR,WR,1,2,1,43,1,2,1,43,46,71.875,21,95.455,9.091,1,50,4.167,2,3.226
,Harold  Fannin Jr.,CLV,TE,1,5,3,43,1,5,3,43,55,90.164,28,96.552,17.241,1,20,3.333,6,10
,Emeka  Egbuka,TB,WR,1,8,4,42,0,8,4,42,49,81.667,29,96.667,26.667,6,75,18.182,8,14.035
,Pat  Bryant,DEN,WR,1,7,3,42,0,7,3,42,46,64.789,33,71.739,15.217,5,71.429,10.417,7,10.145
,Chuba  Hubbard,CAR,RB,1,2,2,41,1,2,2,41,36,56.25,16,72.727,9.091,0,0,0,19,30.645
,Jaylen  Waddle,MIA,WR,1,6,3,40,0,6,3,40,53,86.885,25,92.593,22.222,6,100,20.69,6,10.169
,Jauan  Jennings,SF,WR,1,6,4,39,1,6,4,39,52,80,28,90.323,19.355,4,66.667,12.5,6,9.375
,Xavier  Hutchinson,HST,WR,1,5,2,39,0,5,2,39,39,54.93,20,54.054,13.514,3,60,8.108,5,7.042
,Juwan  Johnson,NO,TE,1,9,5,39,0,9,5,39,49,68.056,34,80.952,21.429,7,77.778,15.556,9,13.043
,Ladd  McConkey,LAC,WR,1,6,4,39,1,6,4,39,51,71.831,22,91.667,25,3,50,10.714,6,8.955
,Tom  Kennedy,DET,WR,1,4,4,36,0,4,4,36,40,65.574,22,73.333,13.333,1,25,3.226,4,6.667
,Jake  Ferguson,DAL,TE,1,6,5,36,0,6,5,36,47,72.308,32,82.051,15.385,4,66.667,10.256,6,9.231
,Cole  Kmet,CHI,TE,1,3,3,36,1,3,3,36,57,65.517,21,55.263,7.895,2,66.667,5,3,3.529
,Jonathan  Taylor,IND,RB,1,5,3,36,0,5,3,36,50,98.039,27,96.429,17.857,0,0,0,26,50.98
,Michael  Wilson,ARZ,WR,1,7,3,36,0,7,3,36,56,87.5,39,92.857,16.667,5,71.429,11.111,7,11.475
,Bam  Knight,ARZ,RB,1,3,3,36,1,3,3,36,31,48.438,20,47.619,7.143,0,0,0,14,22.951
,Jordan  Addison,MIN,WR,1,10,5,36,0,10,5,36,45,90,33,97.059,29.412,10,100,29.412,10,20
,Isaac  TeSlaa,DET,WR,1,2,2,35,1,2,2,35,55,90.164,29,96.667,6.667,2,100,6.452,2,3.333
,Chase  Brown,CIN,RB,1,7,7,35,0,7,7,35,47,58.025,31,65.957,14.894,1,14.286,2.083,22,27.5
,Tyler  Allgeier,ATL,RB,1,2,2,35,0,2,2,35,16,23.881,8,22.857,5.714,0,0,0,10,14.925
,AJ  Barner,SEA,TE,1,5,4,35,0,5,4,35,53,85.484,26,86.667,16.667,3,60,10,6,9.677
,Ryan  Flournoy,DAL,WR,1,3,3,34,0,3,3,34,24,36.923,16,41.026,7.692,1,33.333,2.564,3,4.615
,Luther  Burden III,CHI,WR,1,6,4,33,0,6,4,33,41,47.126,23,60.526,15.789,4,66.667,10,7,8.235
,James  Cook,BUF,RB,1,3,3,33,0,3,3,33,45,57.692,9,39.13,13.043,0,0,0,35,47.297
