BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT,YDS,YPC,TD,FUM,FUML,FD,RZ,GL,GL TD,EPA,EPA/ATT,DYAR,DVOA,FPTS,PPG
,James  Cook,BUF,RB,1,27,45,19,216,11.368,2,0,0,10,2,0,0,14.633,0.77,102.165,124.25,33.6,33.6
,Jonathan  Taylor,IND,RB,1,42,79.245,12,153,12.75,2,0,0,7,1,0,0,9.288,0.774,53.046,103.18,37.4,37.4
,Saquon  Barkley,PHI,RB,1,37,61.667,14,150,10.714,1,0,0,4,2,0,0,6.668,0.476,35.049,65.45,33.4,33.4
,Breece  Hall,NYJ,RB,1,41,54.667,18,133,7.389,2,0,0,6,5,1,0,4.882,0.271,36.093,36.87,32.86,32.86
,Kimani  Vidal,LAC,RB,1,52,67.532,23,117,5.087,1,0,0,8,5,2,0,2.99,0.13,27.722,19.51,19.7,19.7
,J.K.  Dobbins,DEN,RB,1,31,54.386,15,111,7.4,0,0,0,5,3,2,0,1.978,0.132,8.346,3.98,14.1,14.1
,Tank  Bigsby,PHI,RB,1,13,21.667,9,104,11.556,0,0,0,5,1,0,0,6.891,0.766,28.895,75.3,10.4,10.4
,Samaje  Perine,CIN,RB,1,25,42.373,9,94,10.444,1,0,0,5,2,0,0,6.787,0.754,54.133,138.54,17,17
,TreVeyon  Henderson,NE,RB,1,14,20.29,10,75,7.5,0,1,1,6,3,0,0,-0.725,-0.073,31.668,67.17,7.5,7.5
,Chase  Brown,CIN,RB,1,32,54.237,12,73,6.083,1,0,0,5,4,1,1,2.338,0.195,35.003,56.7,25.5,25.5
,Derrick  Henry,BLT,RB,1,36,60,21,71,3.381,2,0,0,6,7,2,2,1.345,0.064,4.515,-3.8,19.1,19.1
,De'Von  Achane,MIA,RB,1,43,66.154,18,67,3.722,0,0,0,4,6,0,0,0.134,0.007,2.643,-4.43,20.1,20.1
,Isaiah  Davis,NYJ,RB,1,29,38.667,7,65,9.286,0,0,0,1,2,0,0,-0.265,-0.038,-3.612,-18.96,15.9,15.9
,Justin  Herbert,LAC,QB,1,77,100,7,62,8.857,0,0,0,4,3,0,0,3.767,0.538,0,0,25.28,25.28
,Woody  Marks,HST,RB,1,29,37.179,11,62,5.636,0,0,0,2,2,0,0,-1.19,-0.108,10.862,19.15,15.1,15.1
,Jaylen  Warren,PIT,RB,1,37,64.912,13,62,4.769,0,0,0,2,1,0,0,-2.148,-0.165,12.778,14.36,9.3,9.3
,Emanuel  Wilson,GB,RB,1,26,41.27,11,61,5.545,0,0,0,4,3,0,0,1.27,0.115,18.149,31.94,11.7,11.7
,Tyjae  Spears,TEN,RB,1,33,48.529,9,59,6.556,1,0,0,2,3,1,0,6.635,0.737,10.683,18.62,17.2,17.2
,Isiah  Pacheco,KC,RB,1,39,55.714,12,58,4.833,0,0,0,3,2,0,0,-0.523,-0.044,10.824,15.03,5.8,5.8
,Nick  Chubb,HST,RB,1,33,42.308,17,56,3.294,0,0,0,1,1,0,0,-6.427,-0.378,-8.465,-20.5,8.9,8.9
,Rico  Dowdle,CAR,RB,1,20,33.333,8,54,6.75,0,0,0,2,1,0,0,1.591,0.199,9.05,22.47,5.4,5.4
,Tyler  Huntley,BLT,QB,1,60,100,8,53,6.625,0,0,0,4,4,0,0,3.238,0.405,-1.998,-17.64,16.74,16.74
,Drake  Maye,NE,QB,1,69,100,7,50,7.143,0,0,0,2,2,0,0,-0.954,-0.136,0,0,26.28,26.28
,Ollie  Gordon II,MIA,RB,1,20,30.769,10,46,4.6,0,0,0,6,2,0,0,5.219,0.522,18.461,27.15,13.6,13.6
,RJ  Harvey,DEN,RB,1,15,26.316,7,46,6.571,2,0,0,2,2,1,1,2.74,0.391,8.636,19.42,24.1,24.1
,D'Andre  Swift,CHI,RB,1,31,48.438,11,45,4.091,1,0,0,3,5,3,1,2.291,0.208,20.011,29.19,15.1,15.1
,Tony  Pollard,TEN,RB,1,32,47.059,11,44,4,0,0,0,3,1,0,0,-2.515,-0.229,-2.238,-13.83,6.3,6.3
,Keaton  Mitchell,BLT,RB,1,6,10,4,43,10.75,0,0,0,2,1,0,0,2.897,0.724,11.443,55.62,4.3,4.3
,Sean  Tucker,TB,RB,1,19,33.929,12,42,3.5,1,1,0,3,4,3,1,-3.115,-0.26,-16.492,-31.65,10.2,10.2
,Javonte  Williams,DAL,RB,1,51,69.863,13,41,3.154,2,0,0,4,5,4,2,1.91,0.147,28.329,28.05,17.9,17.9
,Kareem  Hunt,KC,RB,1,20,28.571,9,40,4.444,1,0,0,4,2,1,1,3.429,0.381,18.041,28.21,17.2,17.2
,Tyrone  Tracy Jr.,NYG,RB,1,31,59.615,10,39,3.9,0,0,0,2,1,0,0,-0.741,-0.074,-0.82,-10.68,7.3,7.3
,Rachaad  White,TB,RB,1,32,57.143,13,35,2.692,0,0,0,2,3,3,0,-1.557,-0.12,-20.136,-37.54,8.1,8.1
,Chuba  Hubbard,CAR,RB,1,35,58.333,12,34,2.833,1,0,0,3,2,1,0,-2.707,-0.226,-3.976,-16.62,9.4,9.4
,Rhamondre  Stevenson,NE,RB,1,47,68.116,14,34,2.429,0,0,0,0,2,1,0,-5.347,-0.382,3.395,-2.88,5.9,5.9
,Josh  Jacobs,GB,RB,1,34,53.968,13,33,2.538,1,0,0,1,4,1,0,-2.312,-0.178,-7.355,-22.35,13.5,13.5
,Justin  Fields,NYJ,QB,1,74,98.667,11,31,2.818,0,0,0,3,3,0,0,-1.849,-0.168,4.265,0.74,16.86,16.86
,Malachi  Corley,CLV,WR,1,4,7.407,1,31,31,0,0,0,1,0,0,0,2.62,2.62,19.49,377.99,3.1,3.1
,Dak  Prescott,DAL,QB,1,64,87.671,6,31,5.167,0,0,0,2,1,1,0,1.446,0.241,-7.724,-92.59,6.62,6.62
,Kenneth  Gainwell,PIT,RB,1,20,35.088,5,31,6.2,0,0,0,2,0,0,0,0.899,0.18,10.332,41.02,5.5,5.5
,Jaret  Patterson,LAC,RB,1,14,18.182,11,30,2.727,0,0,0,2,0,0,0,-0.705,-0.064,-2.648,-13.94,3,3
,C.J.  Stroud,HST,QB,1,78,100,7,30,4.286,0,0,0,4,0,0,0,4.349,0.621,1.754,-3.22,21.72,21.72
,Patrick  Mahomes,KC,QB,1,70,100,4,30,7.5,0,0,0,1,0,0,0,0.153,0.038,0,0,22.96,22.96
,Jaydon  Blue,DAL,RB,1,12,16.438,8,29,3.625,0,1,0,1,1,0,0,-1.276,-0.159,-5.641,-26.17,2.9,2.9
,Jaylen  Wright,MIA,RB,1,10,15.385,9,28,3.111,0,0,0,1,0,0,0,-1.459,-0.162,-10.706,-37.57,3.8,3.8
,Marcus  Mariota,WAS,QB,1,55,100,8,28,3.5,0,1,0,1,1,0,0,0.247,0.031,-0.979,-15.32,11.32,11.32
,Bijan  Robinson,ATL,RB,1,29,59.184,9,25,2.778,0,1,1,1,1,0,0,-7.86,-0.873,-30.912,-88.57,7.8,7.8
,Christian  McCaffrey,SF,RB,1,42,91.304,8,25,3.125,0,0,0,1,1,0,0,-0.744,-0.093,-10.651,-42.4,9.8,9.8
,Jacory  Croskey-Merritt,WAS,RB,1,30,54.545,9,25,2.778,0,0,0,2,0,0,0,-1.297,-0.144,1.063,-6.06,2.5,2.5
,Kyle  Monangai,CHI,RB,1,28,43.75,7,24,3.429,0,0,0,1,1,1,0,-1.372,-0.196,-12.973,-58.83,2.4,2.4
,Caleb  Williams,CHI,QB,1,64,100,3,24,8,0,0,0,1,2,1,0,0.008,0.003,-9.822,-94.3,11.8,11.8
,Mac  Jones,SF,QB,1,46,100,2,23,11.5,0,0,0,2,0,0,0,2.4,1.2,0,0,16.02,16.02
,Jalen  Hurts,PHI,QB,1,56,93.333,4,22,5.5,0,0,0,2,2,0,0,4.646,1.162,-1.261,-26.86,25.36,25.36
,Alvin  Kamara,NO,RB,1,36,47.368,6,21,3.5,0,0,0,1,0,0,0,-0.749,-0.125,8.597,22.55,6.5,6.5
,Quinshon  Judkins,CLV,RB,1,18,33.333,9,19,2.111,0,0,0,0,0,0,0,-2.573,-0.286,-8.504,-39.09,4.7,4.7
,Marvin  Mims Jr.,DEN,WR,1,17,29.825,3,18,6,0,0,0,1,0,0,0,0.976,0.325,7.23,9.46,1.8,1.8
,Jaxson  Dart,NYG,QB,1,52,100,6,17,2.833,1,0,0,2,2,2,1,4.052,0.675,-2.314,-24.67,19.42,19.42
,Zavier  Scott,MIN,RB,1,6,12.766,2,16,8,0,0,0,1,0,0,0,-2.215,-1.108,12.205,173.34,4.4,4.4
,Ray  Davis,BUF,RB,1,15,25,9,16,1.778,0,0,0,0,2,2,0,-3.803,-0.423,-15.354,-49.62,1.6,1.6
,Trevor  Etienne,CAR,RB,1,4,6.667,4,16,4,0,0,0,1,0,0,0,-0.791,-0.198,5.078,27.07,1.6,1.6
,Aaron  Jones,MIN,RB,1,26,55.319,5,15,3,0,0,0,0,1,0,0,-2.272,-0.454,-7.131,-52.08,5,5
,Terrell  Jennings,NE,RB,1,2,2.899,2,15,7.5,0,0,0,1,0,0,0,1.095,0.548,10.321,129.08,1.5,1.5
,Nate  Carter,ATL,RB,1,2,4.082,2,14,7,0,0,0,1,0,0,0,-0.9,-0.45,6.504,84.27,1.4,1.4
,Joe  Flacco,CIN,QB,1,59,100,2,14,7,1,0,0,2,1,1,1,3.031,1.515,7.314,64.09,24.32,24.32
,Dillon  Gabriel,CLV,QB,1,53,98.148,1,13,13,0,0,0,1,0,0,0,0.758,0.758,0,0,11.54,11.54
,Cam  Skattebo,NYG,RB,1,10,19.231,3,12,4,0,0,0,0,0,0,0,-1.253,-0.418,-0.198,-10.65,10,10
,Spencer  Rattler,NO,QB,1,34,44.737,3,12,4,0,1,1,1,0,0,0,-6.637,-2.212,0.015,-11.81,4.64,4.64
,Tyler  Shough,NO,QB,1,42,55.263,3,12,4,0,0,0,1,0,0,0,0.757,0.252,0,0,4.32,4.32
,Rashee  Rice,KC,WR,1,57,81.429,2,12,6,0,0,0,0,1,0,0,1.064,0.532,8.969,41.25,25.5,25.5
,Jimmy  Horn Jr.,CAR,WR,1,8,13.333,2,9,4.5,0,0,0,0,0,0,0,0.08,0.04,-2.033,-59.76,0.9,0.9
,Zay  Flowers,BLT,WR,1,56,93.333,1,8,8,0,0,0,1,0,0,0,0.768,0.768,7.02,109.84,14.1,14.1
,Brashard  Smith,KC,RB,1,8,11.429,3,8,2.667,0,1,0,0,1,0,0,-1.301,-0.434,-17.903,-156.73,0.8,0.8
,Josh  Allen,BUF,QB,1,49,81.667,3,7,2.333,2,0,0,2,2,2,2,0.69,0.23,15.833,56.49,23.22,23.22
,Ty  Johnson,BUF,RB,1,18,30,4,6,1.5,0,0,0,0,0,0,0,-1.032,-0.258,-9.113,-78.46,0.6,0.6
,Taysom  Hill,NO,QB,1,5,6.579,2,6,3,0,0,0,1,0,0,0,0.452,0.226,3.682,19.37,2.2,2.2
,Ameer  Abdullah,IND,RB,1,8,15.094,2,5,2.5,0,0,0,0,0,0,0,-0.848,-0.424,-4.379,-71.51,1.8,1.8
,Julius  Chestnut,TEN,RB,1,2,2.941,2,5,2.5,0,0,0,0,0,0,0,-0.358,-0.179,-1.077,-20.86,0.5,0.5
,Tyler  Allgeier,ATL,RB,1,19,38.776,4,4,1,1,0,0,1,2,0,0,-1.827,-0.457,-1.767,-17.51,9.4,9.4
,Cam  Ward,TEN,QB,1,68,100,2,4,2,0,0,0,0,0,0,0,-0.617,-0.309,-7.202,-155.84,12.76,12.76
,Jeremy  McNichols,WAS,RB,1,22,40,1,4,4,0,0,0,1,0,0,0,0.02,0.02,4.166,45.16,11.8,11.8
,Jordan  Mason,MIN,RB,1,15,31.915,4,3,0.75,0,0,0,0,0,0,0,-3.667,-0.917,-14.917,-116.56,1.6,1.6
,DJ  Moore,CHI,WR,1,52,81.25,2,3,1.5,0,0,0,0,0,0,0,-0.513,-0.257,-4.684,-89.68,11.6,11.6
,DeMario  Douglas,NE,WR,1,12,17.391,2,3,1.5,0,0,0,1,1,0,0,-0.239,-0.12,5.357,13.75,5.7,5.7
,Daniel  Jones,IND,QB,1,47,88.679,1,3,3,0,0,0,0,0,0,0,-0.295,-0.295,0,0,23.18,23.18
,Kirk  Cousins,ATL,QB,1,49,100,2,2,1,0,0,0,0,0,0,0,0.088,0.044,-2.177,-110.89,7.12,7.12
,Justice  Hill,BLT,RB,1,17,28.333,1,2,2,0,0,0,0,0,0,0,-0.313,-0.313,-2.951,-94.02,0.2,0.2
,Harold  Fannin Jr.,CLV,TE,1,38,70.37,1,2,2,0,0,0,1,0,0,0,2.274,2.274,4.869,12.35,18.4,18.4
,Will  Shipley,PHI,RB,1,5,8.333,3,2,0.667,0,0,0,1,0,0,0,-1.592,-0.531,-7.121,-63.29,0.2,0.2
,Hunter  Luepke,DAL,FB,1,11,15.068,1,2,2,0,0,0,1,0,0,0,0.582,0.582,4.985,59.34,0.2,0.2
,Chris  Rodriguez Jr.,WAS,RB,1,2,3.636,1,2,2,0,0,0,0,0,0,0,-0.48,-0.48,-2.639,-60.48,0.2,0.2
,Andy  Dalton,CAR,QB,1,60,100,2,1,0.5,0,1,1,0,0,0,0,-5.658,-2.829,0,0,5.1,5.1
,Chimere  Dike,TEN,WR,1,58,85.294,1,1,1,0,0,0,0,0,0,0,-0.534,-0.534,-3.548,-113.42,16.4,16.4
,Savion  Williams,GB,WR,1,11,17.46,1,1,1,0,0,0,0,0,0,0,-0.552,-0.552,-3.802,-124.5,7.9,7.9
,Deebo  Samuel Sr.,WAS,WR,1,39,70.909,1,1,1,0,0,0,0,0,0,0,-0.5,-0.5,-2.99,-106.12,4.2,4.2
,Dylan  Sampson,CLV,RB,1,24,44.444,3,0,0,0,0,0,1,0,0,0,-0.917,-0.306,-7.002,-48.99,7.9,7.9
,Devin  Singletary,NYG,RB,1,8,15.385,2,0,0,0,0,0,0,0,0,0,-1.671,-0.836,-8.904,-149.18,3.8,3.8
,Bo  Nix,DEN,QB,1,56,98.246,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,23.78,23.78
,Jordan  Love,GB,QB,1,63,100,1,-1,-1,0,0,0,0,0,0,0,-1.784,-1.784,0,0,26.3,26.3
,Tanner  McKee,PHI,QB,1,4,6.667,3,-2,-0.667,0,0,0,0,0,0,0,-3.634,-1.211,0,0,-0.2,-0.2
