BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT/G,DB,ATT,COM,COM%,YDS,YPA,TD,INT,FD,300Yd,RTG,EPA,EPA/DB,DYAR,DVOA,FPTS,PPG
,Bo  Nix,DEN,QB,1,71,100,45,48,45,29,64.444,321,7.133,1,1,17,1,83.657,7.915,0.165,0,0,16.44,16.44
,Dak  Prescott,DAL,QB,1,65,100,39,39,39,27,69.231,320,8.205,2,1,15,1,100.374,19.935,0.511,0,0,18.6,18.6
,Jacoby  Brissett,ARZ,QB,1,64,100,40,45,40,29,72.5,301,7.525,2,1,16,1,100.104,5.767,0.128,0,0,19.64,19.64
,Marcus  Mariota,WAS,QB,1,88,100,50,55,50,28,56,294,5.88,2,1,17,0,78.25,3.186,0.058,0,0,23.26,23.26
,C.J.  Stroud,HST,QB,1,71,100,35,37,35,22,62.857,276,7.886,0,1,14,0,75.417,11.039,0.298,0,0,9.04,9.04
,Patrick  Mahomes,KC,QB,1,63,100,34,40,34,23,67.647,261,7.676,4,0,12,0,129.657,10.73,0.268,0,0,29.44,29.44
,Joe  Burrow,CIN,QB,1,81,100,46,48,46,24,52.174,261,5.674,2,0,11,0,83.696,8.607,0.179,0,0,19.24,19.24
,Jared  Goff,DET,QB,1,61,100,26,30,26,20,76.923,256,9.846,2,0,12,0,132.853,11.3,0.377,0,0,20.64,20.64
,Lamar  Jackson,BLT,QB,1,60,100,32,38,32,17,53.125,246,7.688,0,1,8,0,65.365,-23.276,-0.613,0,0,10.54,10.54
,Matthew  Stafford,LA,QB,1,51,100,28,30,28,18,64.286,243,8.679,2,2,13,0,85.863,-3.512,-0.117,0,0,13.62,13.62
,Tyler  Shough,NO,QB,1,71,98.611,38,45,38,26,68.421,239,6.289,2,1,12,0,91.886,-8.702,-0.193,0,0,17.36,17.36
,Jordan  Love,GB,QB,1,62,100,30,32,30,18,60,234,7.8,4,0,12,0,124.167,18.664,0.583,0,0,25.76,25.76
,Kirk  Cousins,ATL,QB,1,67,100,33,35,33,21,63.636,234,7.091,1,0,12,0,94.76,6.635,0.19,0,0,13.36,13.36
,Jalen  Hurts,PHI,QB,1,51,100,34,34,34,19,55.882,230,6.765,2,1,11,0,84.191,2.037,0.06,0,0,18.3,18.3
,Trevor  Lawrence,JAX,QB,1,56,94.915,27,32,27,16,59.259,229,8.481,2,0,13,0,111.497,6.56,0.205,0,0,19.66,19.66
,Bryce  Young,CAR,QB,1,64,100,20,24,20,15,75,206,10.3,3,0,8,0,147.083,14.257,0.594,0,0,22.54,22.54
,Daniel  Jones,IND,QB,1,51,100,27,28,27,14,51.852,201,7.444,2,0,9,0,101.003,4.719,0.169,0,0,16.14,16.14
,Baker  Mayfield,TB,QB,1,60,100,28,33,28,18,64.286,194,6.929,1,0,8,0,96.429,-1.301,-0.039,0,0,14.46,14.46
,Tyrod  Taylor,NYJ,QB,1,69,100,33,41,33,19,57.576,172,5.212,1,0,8,0,81.881,1.127,0.027,0,0,21.28,21.28
,Brock  Purdy,SF,QB,1,60,92.308,29,31,29,16,55.172,168,5.793,1,0,11,0,83.693,4.519,0.146,0,0,17.12,17.12
,Geno  Smith,LV,QB,1,46,100,23,28,23,18,78.261,165,7.174,2,1,9,0,107.428,0.981,0.035,0,0,12,12
,Tua  Tagovailoa,MIA,QB,1,61,100,23,29,23,12,52.174,157,6.826,0,1,8,0,55.888,-8.045,-0.277,0,0,4.68,4.68
,Caleb  Williams,CHI,QB,1,87,100,36,40,36,17,47.222,154,4.278,1,1,10,0,56.944,-5.926,-0.148,0,0,9.46,9.46
,Justin  Herbert,LAC,QB,1,60,84.507,20,26,20,15,75,151,7.55,2,1,11,0,108.542,7.317,0.281,0,0,12.84,12.84
,Shedeur  Sanders,CLV,QB,1,60,98.361,25,29,25,16,64,149,5.96,1,0,7,0,93.583,-5.669,-0.195,0,0,10.56,10.56
,Cam  Ward,TEN,QB,1,56,100,38,42,38,24,63.158,141,3.711,0,0,4,0,70.175,-23.491,-0.559,0,0,6.34,6.34
,Sam  Darnold,SEA,QB,1,59,95.161,26,30,26,14,53.846,128,4.923,0,0,8,0,67.468,-7.504,-0.25,0,0,5.12,5.12
,Max  Brosmer,MIN,QB,1,50,100,30,34,30,19,63.333,126,4.2,0,4,7,0,16.806,-29.593,-0.87,0,0,-3.06,-3.06
,Josh  Allen,BUF,QB,1,78,100,23,27,23,15,65.217,123,5.348,1,1,9,0,75.091,5.399,0.2,0,0,16.72,16.72
,Aaron  Rodgers,PIT,QB,1,36,83.721,21,22,21,10,47.619,117,5.571,0,0,5,0,64.98,-9.579,-0.435,0,0,4.68,4.68
,Trey  Lance,LAC,QB,1,11,15.493,1,2,1,1,100,9,9,0,0,0,0,104.167,0.902,0.451,0,0,0.76,0.76
,Dillon  Gabriel,CLV,QB,1,1,1.639,1,1,1,1,100,0,0,0,0,0,0,66.667,-0.571,-0.571,0,0,0,0
,Mason  Rudolph,PIT,QB,1,7,16.279,3,3,3,0,0,0,0,0,1,0,0,-136.806,-2.288,-0.763,0,0,-2,-2
