BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,WIDE,OW%,WYPR,SLOT,SLOT%,SYPR,BACK,BACK%,BYPR,LINE,LINE%,IYPR,OFF,OFF%,OYPR
,Nico  Collins,HST,WR,1,15,7,136,0,32,74.419,3.563,11,25.581,2,0,0,0,0,0,0,0,0,0
,Trey  McBride,ARZ,TE,1,13,9,127,1,3,6.977,6,32,74.419,2.656,0,0,0,7,16.279,3.429,1,2.326,0
,Jalen  Nailor,MIN,WR,1,6,5,124,1,9,29.032,1.111,21,67.742,5.429,1,3.226,0,0,0,0,0,0,0
,Jameson  Williams,DET,WR,1,7,6,119,1,28,87.5,4.25,4,12.5,0,0,0,0,0,0,0,0,0,0
,Emeka  Egbuka,TB,WR,1,13,6,115,1,27,62.791,3.222,16,37.209,1.75,0,0,0,0,0,0,0,0,0
,Ladd  McConkey,LAC,WR,1,6,4,107,1,12,36.364,1.5,21,63.636,4.238,0,0,0,0,0,0,0,0,0
,Mack  Hollins,NE,WR,1,10,6,106,0,20,74.074,4.55,7,25.926,2.143,0,0,0,0,0,0,0,0,0
,Drake  London,ATL,WR,1,8,6,104,1,22,70.968,3.364,9,29.032,3.333,0,0,0,0,0,0,0,0,0
,Chris  Olave,NO,WR,1,8,5,104,1,14,56,4.786,11,44,3.364,0,0,0,0,0,0,0,0,0
,Tyler  Warren,IND,TE,1,10,8,99,0,2,7.143,3,15,53.571,0.667,1,3.571,0,3,10.714,18.333,7,25,4
,Jaxon  Smith-Njigba,SEA,WR,1,6,5,93,1,10,90.909,9.3,1,9.091,0,0,0,0,0,0,0,0,0,0
,Juwan  Johnson,NO,TE,1,4,4,92,1,4,19.048,0,13,61.905,6.769,0,0,0,2,9.524,0,2,9.524,2
,Darius  Slayton,NYG,WR,1,4,4,89,0,24,96,3.708,1,4,0,0,0,0,0,0,0,0,0,0
,Rome  Odunze,CHI,WR,1,10,6,86,1,18,60,3.278,12,40,2.25,0,0,0,0,0,0,0,0,0
,Alec  Pierce,IND,WR,1,7,4,84,1,27,90,3.111,3,10,0,0,0,0,0,0,0,0,0,0
,Jaylen  Waddle,MIA,WR,1,7,5,84,1,17,100,4.941,0,0,0,0,0,0,0,0,0,0,0,0
,George  Kittle,SF,TE,1,9,9,84,1,4,10.811,0,15,40.541,1.867,1,2.703,0,7,18.919,2.857,10,27.027,3.6
,Cade  Otton,TB,TE,1,12,9,82,0,6,13.953,0,24,55.814,2.917,2,4.651,0,1,2.326,0,10,23.256,1.2
,Jerry  Jeudy,CLV,WR,1,12,6,78,1,28,75.676,2.25,8,21.622,1.875,1,2.703,0,0,0,0,0,0,0
,Davante  Adams,LA,WR,1,8,6,77,1,23,92,3.261,2,8,1,0,0,0,0,0,0,0,0,0
,Theo  Johnson,NYG,TE,1,8,7,75,0,2,5.263,0,17,44.737,3.294,3,7.895,0,7,18.421,2.143,9,23.684,0.444
,Zay  Flowers,BLT,WR,1,6,4,75,0,17,65.385,2.529,9,34.615,3.556,0,0,0,0,0,0,0,0,0
,Cooper  Kupp,SEA,WR,1,2,2,74,0,7,77.778,9.571,2,22.222,3.5,0,0,0,0,0,0,0,0,0
,Kyle  Williams,NE,WR,1,2,1,72,1,16,94.118,4.5,1,5.882,0,0,0,0,0,0,0,0,0,0
,Jauan  Jennings,SF,WR,1,9,6,71,1,27,77.143,1.407,8,22.857,4.125,0,0,0,0,0,0,0,0,0
,Christian  McCaffrey,SF,RB,1,10,8,66,0,1,2.941,0,3,8.824,3,28,82.353,2.036,0,0,0,2,5.882,0
,Puka  Nacua,LA,WR,1,6,5,64,1,19,79.167,2.842,4,16.667,2.5,1,4.167,0,0,0,0,0,0,0
,Wan'Dale  Robinson,NYG,WR,1,11,6,62,0,19,48.718,2,20,51.282,1.2,0,0,0,0,0,0,0,0,0
,Tetairoa  McMillan,CAR,WR,1,8,5,60,0,21,84,2.857,4,16,0,0,0,0,0,0,0,0,0,0
,Khalil  Shakir,BUF,WR,1,9,7,58,0,7,18.421,0.429,30,78.947,1.833,0,0,0,0,0,0,1,2.632,0
,Treylon  Burks,WAS,WR,1,3,3,58,0,10,76.923,5.8,3,23.077,0,0,0,0,0,0,0,0,0,0
,Amon-Ra  St. Brown,DET,WR,1,8,5,58,1,11,42.308,3.091,15,57.692,1.6,0,0,0,0,0,0,0,0,0
,Colston  Loveland,CHI,TE,1,4,4,55,0,6,28.571,0.833,8,38.095,1.25,0,0,0,2,9.524,10,5,23.81,4
,Zach  Ertz,WAS,TE,1,5,4,54,0,3,15,0,9,45,4.222,0,0,0,3,15,4,5,25,0.8
,Devin  Singletary,NYG,RB,1,3,3,53,0,1,9.091,0,0,0,0,10,90.909,5.3,0,0,0,0,0,0
,Dalton  Schultz,HST,TE,1,11,7,53,1,2,4.545,0,8,18.182,0,0,0,0,8,18.182,1.5,26,59.091,1.577
,Sam  LaPorta,DET,TE,1,5,5,53,0,3,11.111,0,9,33.333,1.889,0,0,0,6,22.222,2.333,9,33.333,2.444
,Luther  Burden III,CHI,WR,1,3,3,51,0,12,75,4.25,4,25,0,0,0,0,0,0,0,0,0,0
,De'Von  Achane,MIA,RB,1,6,6,51,0,0,0,0,3,15.789,1,16,84.211,3,0,0,0,0,0,0
,Kalif  Raymond,DET,WR,1,4,4,49,0,6,35.294,3,9,52.941,2.556,2,11.765,4,0,0,0,0,0,0
,Keon  Coleman,BUF,WR,1,8,3,46,1,26,78.788,1.577,7,21.212,0.714,0,0,0,0,0,0,0,0,0
,Stefon  Diggs,NE,WR,1,8,5,46,1,14,56,1.929,11,44,1.727,0,0,0,0,0,0,0,0,0
,Tyler  Lockett,LV,WR,1,6,5,44,0,7,26.923,0,19,73.077,2.316,0,0,0,0,0,0,0,0,0
,Harold  Fannin Jr.,CLV,TE,1,7,4,44,0,5,17.241,3,14,48.276,2.571,0,0,0,4,13.793,0,6,20.69,-1.167
,Pat  Bryant,DEN,WR,1,2,1,43,0,6,27.273,0,16,72.727,2.688,0,0,0,0,0,0,0,0,0
,Jonathan  Taylor,IND,RB,1,3,3,42,0,3,10,0,1,3.333,0,26,86.667,1.615,0,0,0,0,0,0
,Jayden  Higgins,HST,WR,1,7,5,42,1,19,73.077,2.211,6,23.077,0,0,0,0,0,0,0,1,3.846,0
,Breece  Hall,NYJ,RB,1,1,1,42,1,0,0,0,0,0,0,7,100,6,0,0,0,0,0,0
,Tez  Johnson,TB,WR,1,5,4,42,2,24,61.538,1.292,15,38.462,0.733,0,0,0,0,0,0,0,0,0
,Quentin  Johnston,LAC,WR,1,10,5,42,0,31,88.571,1.065,4,11.429,2.25,0,0,0,0,0,0,0,0,0
,Jakobi  Meyers,JAX,WR,1,3,3,41,0,7,50,1.571,7,50,4.286,0,0,0,0,0,0,0,0,0
,Colby  Parkinson,LA,TE,1,5,4,41,1,0,0,0,1,5,0,0,0,0,14,70,2,5,25,2.6
,Jaylin  Lane,WAS,WR,1,1,1,41,0,4,66.667,0,2,33.333,20.5,0,0,0,0,0,0,0,0,0
,Troy  Franklin,DEN,WR,1,9,5,40,1,21,77.778,1.81,6,22.222,0.333,0,0,0,0,0,0,0,0,0
,Emari  Demercado,ARZ,RB,1,4,3,40,0,3,12.5,1.333,1,4.167,0,20,83.333,1.8,0,0,0,0,0,0
,Kyle  Pitts,ATL,TE,1,5,2,38,0,5,16.667,0,7,23.333,0,0,0,0,7,23.333,1.857,11,36.667,2.273
,Dalton  Kincaid,BUF,TE,1,3,2,37,0,6,42.857,6.167,8,57.143,0,0,0,0,0,0,0,0,0,0
,Dawson  Knox,BUF,TE,1,4,3,37,0,2,8.333,0,14,58.333,2.643,1,4.167,0,6,25,0,1,4.167,0
,Justin  Jefferson,MIN,WR,1,12,4,37,0,29,67.442,0.931,14,32.558,0.714,0,0,0,0,0,0,0,0,0
