BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,FUM,FUML,SNP,SNP%,ATT%,TCH,TCH%,OPP,OPP%,rATT%,rTCH%,rOPP%,ATT/G,TCH/G
,Rico  Dowdle,CAR,RB,1,23,206,8.957,1,0,0,44,66.667,71.875,26,50.98,26,40,79.31,50.98,40,23,26
,Javonte  Williams,DAL,RB,1,16,135,8.438,1,0,0,44,70.968,55.172,17,36.17,17,28.814,72.727,36.17,28.814,16,17
,Breece  Hall,NYJ,RB,1,14,113,8.071,0,1,1,42,55.263,63.636,18,33.333,18,24.658,93.333,33.333,24.658,14,18
,Jacory  Croskey-Merritt,WAS,RB,1,14,111,7.929,2,1,1,27,45,50,16,37.209,16,29.091,70,37.209,29.091,14,16
,Quinshon  Judkins,CLV,RB,1,23,110,4.783,0,0,0,36,52.941,71.875,24,47.059,24,35.821,76.667,47.059,35.821,23,24
,Kenneth  Walker III,SEA,RB,1,10,86,8.6,0,0,0,23,42.593,50,11,22.917,11,20.37,52.632,22.917,20.37,10,11
,Emari  Demercado,ARZ,RB,1,3,81,27,0,1,1,17,25.758,10.345,3,5.769,3,4.688,12,5.769,4.688,3,3
,J.K.  Dobbins,DEN,RB,1,20,79,3.95,1,0,0,37,51.389,68.966,21,39.623,21,30,76.923,39.623,30,20,21
,Ashton  Jeanty,LV,RB,1,14,67,4.786,0,0,0,36,54.545,56,19,38,19,29.231,63.636,38,29.231,14,19
,Tony  Pollard,TEN,RB,1,14,67,4.786,1,1,1,43,65.152,58.333,17,37.778,17,26.154,73.684,37.778,26.154,14,17
,Jonathan  Taylor,IND,RB,1,17,66,3.882,3,0,0,43,75.439,68,20,43.478,20,35.088,70.833,43.478,35.088,17,20
,Kyren  Williams,LA,RB,1,14,65,4.643,0,1,1,57,89.063,87.5,22,47.826,22,34.375,93.333,47.826,34.375,14,22
,David  Montgomery,DET,RB,1,18,65,3.611,1,0,0,31,50.82,54.545,19,35.849,19,31.148,58.065,35.849,31.148,18,19
,Nick  Chubb,HST,RB,1,11,61,5.545,1,0,0,25,36.765,33.333,11,18.966,11,16.667,37.931,18.966,16.667,11,11
