BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
,Justin  Herbert,LAC,QB,1,4,60,15,0,0,0,60,89.552,14.815,4,7.692,4,6.154,0,0,0,4,4
,Patrick  Mahomes,KC,QB,1,6,60,10,1,0,0,68,100,27.273,6,11.765,6,9.524,0,0,0,6,6
,Cam  Skattebo,NYG,RB,1,15,59,3.933,0,1,1,47,62.667,51.724,21,38.182,21,30,68.182,38.182,30,15,21
,Christian  McCaffrey,SF,RB,1,22,57,2.591,0,0,0,73,87.952,66.667,30,45.455,30,36.145,75.862,45.455,36.145,22,30
,Jaxson  Dart,NYG,QB,1,7,55,7.857,0,0,0,75,100,24.138,7,12.727,7,10,0,0,0,7,7
,Jahmyr  Gibbs,DET,RB,1,12,54,4.5,0,0,0,31,50.82,36.364,14,26.415,14,22.951,38.71,26.415,22.951,12,14
,Trevor  Lawrence,JAX,QB,1,10,54,5.4,2,1,1,61,100,38.462,10,22.727,10,18.519,0,0,0,10,10
,Josh  Allen,BUF,QB,1,9,53,5.889,0,1,1,68,100,31.034,9,17.647,9,14.754,0,0,0,9,9
,Jordan  Mason,MIN,RB,1,13,52,4,1,1,1,42,65.625,56.522,16,32.653,16,26.23,65,32.653,26.23,13,16
,Michael  Carter,ARZ,RB,1,18,51,2.833,1,0,0,38,57.576,62.069,23,44.231,23,35.938,72,44.231,35.938,18,23
,James  Cook,BUF,RB,1,15,49,3.267,0,0,0,43,63.235,51.724,15,29.412,15,24.59,75,35.714,28.846,15,15
,Travis  Etienne,JAX,RB,1,12,49,4.083,0,0,0,33,54.098,46.154,15,34.091,15,27.778,75,44.118,34.091,12,15
,Kareem  Hunt,KC,RB,1,7,49,7,2,0,0,21,30.882,31.818,8,15.686,8,12.698,43.75,17.778,14.035,7,8
,Omarion  Hampton,LAC,RB,1,12,44,3.667,0,0,0,37,55.224,44.444,18,34.615,18,27.692,52.174,37.5,29.508,12,18
,Kendre  Miller,NO,RB,1,10,41,4.1,0,0,0,25,40.984,33.333,11,21.569,11,18.033,55.556,21.569,18.033,10,11
,Rachaad  White,TB,RB,1,14,41,2.929,2,0,0,46,74.194,58.333,18,33.962,18,31.034,73.684,33.962,31.034,14,18
,Jayden  Daniels,WAS,QB,1,8,39,4.875,0,0,0,60,100,28.571,8,18.605,8,14.545,0,0,0,8,8
,Zach  Charbonnet,SEA,RB,1,9,36,4,1,0,0,31,57.407,45,10,20.833,10,18.519,47.368,20.833,18.519,9,10
,Isiah  Pacheco,KC,RB,1,7,36,5.143,0,0,0,39,57.353,31.818,10,19.608,10,15.873,43.75,22.222,17.544,7,10
,Derrick  Henry,BLT,RB,1,15,33,2.2,1,0,0,27,67.5,78.947,15,45.455,15,37.5,78.947,45.455,37.5,15,15
,Jake  Browning,CIN,QB,1,4,31,7.75,0,0,0,61,100,25,4,9.524,4,6.897,0,0,0,4,4
,C.J.  Stroud,HST,QB,1,1,30,30,0,0,0,53,77.941,3.03,1,1.724,1,1.515,0,0,0,1,1
,Saquon  Barkley,PHI,RB,1,6,30,5,0,0,0,39,69.643,54.545,9,26.471,9,16.364,66.667,26.471,16.364,6,9
,Dak  Prescott,DAL,QB,1,7,28,4,0,0,0,62,100,24.138,7,14.894,7,11.864,0,0,0,7,7
,Alvin  Kamara,NO,RB,1,8,27,3.375,0,0,0,33,54.098,26.667,12,23.529,12,19.672,44.444,23.529,19.672,8,12
,Chase  Brown,CIN,RB,1,8,27,3.375,0,0,0,32,52.459,50,15,35.714,15,25.862,66.667,39.474,27.778,8,15
,Samaje  Perine,CIN,RB,1,4,27,6.75,0,0,0,26,42.623,25,6,14.286,6,10.345,33.333,15.789,11.111,4,6
,Justin  Fields,NYJ,QB,1,7,26,3.714,0,0,0,76,100,31.818,7,12.963,7,9.589,0,0,0,7,7
,Kyler  Murray,ARZ,QB,1,4,25,6.25,1,1,1,64,96.97,13.793,4,7.692,4,6.25,0,0,0,4,4
,Woody  Marks,HST,RB,1,7,24,3.429,0,0,0,26,38.235,21.212,7,12.069,7,10.606,24.138,12.281,10.769,7,7
,TreVeyon  Henderson,NE,RB,1,6,24,4,0,0,0,27,46.552,27.273,8,18.182,8,14.286,31.579,18.182,14.286,6,8
,Trevor  Etienne,CAR,RB,1,4,22,5.5,0,0,0,11,16.667,12.5,5,9.804,5,7.692,13.793,9.804,7.692,4,5
,Raheem  Mostert,LV,RB,1,7,22,3.143,0,0,0,30,45.455,28,7,14,7,10.769,31.818,14,10.769,7,7
,DJ  Giddens,IND,RB,1,5,22,4.4,0,0,0,8,14.035,20,5,10.87,5,8.772,20.833,10.87,8.772,5,5
,Bo  Nix,DEN,QB,1,3,22,7.333,0,0,0,72,100,10.345,3,5.66,3,4.286,0,0,0,3,3
,Dameon  Pierce,HST,RB,1,7,21,3,0,0,0,13,19.118,21.212,7,12.069,7,10.606,24.138,12.281,10.769,7,7
,Spencer  Rattler,NO,QB,1,6,21,3.5,0,0,0,58,95.082,20,6,11.765,6,9.836,0,0,0,6,6
,Antonio  Gibson,NE,RB,1,6,21,3.5,0,0,0,9,15.517,27.273,7,15.909,7,12.5,31.579,15.909,12.5,6,7
,Devin  Singletary,NYG,RB,1,6,20,3.333,0,0,0,22,29.333,20.69,7,12.727,7,10,27.273,14.583,11.111,6,7
,Jerome  Ford,CLV,RB,1,5,18,3.6,0,0,0,25,36.765,15.625,7,13.725,7,10.448,16.667,13.725,10.448,5,7
,Zavier  Scott,MIN,RB,1,5,18,3.6,0,1,1,13,20.313,21.739,5,10.204,5,8.197,25,10.204,8.197,5,5
,Kimani  Vidal,LAC,RB,1,4,18,4.5,0,0,0,13,19.403,14.815,5,9.615,5,7.692,17.391,10.417,8.197,4,5
,De'Von  Achane,MIA,RB,1,10,16,1.6,0,0,0,46,85.185,71.429,16,39.024,16,30.189,76.923,39.024,30.189,10,16
,Baker  Mayfield,TB,QB,1,5,15,3,0,0,0,62,100,20.833,5,9.434,5,8.621,0,0,0,5,5
,Tyjae  Spears,TEN,RB,1,4,14,3.5,0,0,0,17,25.758,16.667,4,8.889,4,6.154,21.053,8.889,6.154,4,4
,Rhamondre  Stevenson,NE,RB,1,7,14,2,2,0,0,28,48.276,31.818,9,20.455,9,16.071,36.842,20.455,16.071,7,9
,Blake  Corum,LA,RB,1,1,13,13,0,0,0,6,9.375,6.25,1,2.174,1,1.563,6.667,2.174,1.563,1,1
,Carson  Wentz,MIN,QB,1,3,13,4.333,0,0,0,63,98.438,13.043,3,6.122,3,4.918,0,0,0,3,3
,Hassan  Haskins,LAC,RB,1,5,13,2.6,0,0,0,14,20.896,18.519,6,11.538,6,9.231,21.739,12.5,9.836,5,6
,Brian  Robinson,SF,RB,1,5,12,2.4,0,0,0,11,13.253,15.152,5,7.576,5,6.024,17.241,7.576,6.024,5,5
,RJ  Harvey,DEN,RB,1,4,12,3,0,0,0,15,20.833,13.793,7,13.208,7,10,15.385,14,10.448,4,7
,AJ  Dillon,PHI,RB,1,2,12,6,0,0,0,7,12.5,18.182,2,5.882,2,3.636,22.222,5.882,3.636,2,2
,Drake  Maye,NE,QB,1,3,12,4,0,0,0,58,100,13.636,3,6.818,3,5.357,0,0,0,3,3
,Bam  Knight,ARZ,RB,1,4,11,2.75,1,0,0,11,16.667,13.793,5,9.615,5,7.813,16,10.417,8.333,4,5
,Jimmy  Horn Jr.,CAR,WR,1,2,10,5,0,0,0,18,27.273,6.25,4,7.843,4,6.154,6.897,7.843,6.154,2,4
,Ryan  Flournoy,DAL,WR,1,2,10,5,0,0,0,34,54.839,6.897,8,17.021,8,13.559,9.091,20,15.385,2,8
,Ty  Johnson,BUF,RB,1,2,10,5,0,0,0,11,16.176,6.897,2,3.922,2,3.279,10,4.762,3.846,2,2
,Tre  Tucker,LV,WR,1,1,9,9,0,0,0,57,86.364,4,5,10,5,7.692,4.545,10,7.692,1,5
,Marvin  Mims Jr.,DEN,WR,1,1,9,9,0,0,0,28,38.889,3.448,3,5.66,3,4.286,3.846,6,4.478,1,3
,Quentin  Johnston,LAC,WR,1,1,9,9,0,0,0,53,79.104,3.704,5,9.615,5,7.692,4.348,10.417,8.197,1,5
,Xavier  Worthy,KC,WR,1,1,9,9,0,0,0,49,72.059,4.545,7,13.725,7,11.111,6.25,15.556,12.281,1,7
,Geno  Smith,LV,QB,1,3,8,2.667,0,0,0,66,100,12,3,6,3,4.615,0,0,0,3,3
,Adam  Prentice,DEN,FB,1,1,8,8,0,0,0,3,4.167,3.448,1,1.887,1,1.429,3.846,2,1.493,1,1
,Jaydon  Blue,DAL,RB,1,4,7,1.75,0,0,0,9,14.516,13.793,4,8.511,4,6.78,18.182,10,7.692,4,4
,Chris  Rodriguez Jr.,WAS,RB,1,5,7,1.4,0,0,0,13,21.667,17.857,5,11.628,5,9.091,25,14.286,10.638,5,5
,Jeremy  McNichols,WAS,RB,1,1,6,6,0,0,0,13,21.667,3.571,2,4.651,2,3.636,5,5.714,4.255,1,2
,Bhayshul  Tuten,JAX,RB,1,4,6,1.5,0,0,0,12,19.672,15.385,5,11.364,5,9.259,25,14.706,11.364,4,5
,Mac  Jones,SF,QB,1,4,5,1.25,0,0,0,83,100,12.121,4,6.061,4,4.819,0,0,0,4,4
,Dillon  Gabriel,CLV,QB,1,2,5,2.5,0,0,0,68,100,6.25,2,3.922,2,2.985,0,0,0,2,2
,Jaylin  Noel,HST,WR,1,1,5,5,0,0,0,19,27.941,3.03,3,5.172,3,4.545,3.448,5.263,4.615,1,3
,Tua  Tagovailoa,MIA,QB,1,1,5,5,0,0,0,54,100,7.143,1,2.439,1,1.887,0,0,0,1,1
,Isaiah  Davis,NYJ,RB,1,1,5,5,0,0,0,31,40.789,4.545,4,7.407,4,5.479,6.667,8.511,6.061,1,4
,Brashard  Smith,KC,RB,1,1,4,4,0,0,0,5,7.353,4.545,4,7.843,4,6.349,6.25,8.889,7.018,1,4
,Justice  Hill,BLT,RB,1,1,3,3,0,0,0,11,27.5,5.263,2,6.061,2,5,5.263,6.061,5,1,2
,Davis  Mills,HST,QB,1,3,3,1,0,0,0,15,22.059,9.091,3,5.172,3,4.545,0,0,0,3,3
,Jalen  Hurts,PHI,QB,1,2,3,1.5,0,0,0,56,100,18.182,2,5.882,2,3.636,0,0,0,2,2
,Julius  Chestnut,TEN,RB,1,1,3,3,0,0,0,3,4.545,4.167,1,2.222,1,1.538,5.263,2.222,1.538,1,1
,Sean  Tucker,TB,RB,1,3,3,1,0,0,0,12,19.355,12.5,6,11.321,6,10.345,15.789,12.5,11.321,3,6
,Daniel  Jones,IND,QB,1,1,2,2,0,0,0,49,85.965,4,1,2.174,1,1.754,0,0,0,1,1
,Tez  Johnson,TB,WR,1,1,2,2,0,0,0,19,30.645,4.167,5,9.434,5,8.621,5.263,10.417,9.434,1,5
,Bryce  Young,CAR,QB,1,3,1,0.333,0,0,0,66,100,9.375,3,5.882,3,4.615,0,0,0,3,3
,Jameson  Williams,DET,WR,1,1,1,1,0,0,0,50,81.967,3.03,2,3.774,2,3.279,3.226,3.774,3.279,1,2
,Ray  Davis,BUF,RB,1,2,1,0.5,0,0,0,6,8.824,6.897,2,3.922,2,3.279,10,4.762,3.846,2,2
,Matthew  Stafford,LA,QB,1,1,0,0,0,1,1,64,100,6.25,1,2.174,1,1.563,0,0,0,1,1
,Jalen  Milroe,SEA,QB,1,1,0,0,0,1,1,1,1.852,5,1,2.083,1,1.852,0,0,0,1,1
,Kyle  Juszczyk,SF,FB,1,1,-1,-1,0,0,0,34,40.964,3.03,4,6.061,4,4.819,3.448,6.452,5.063,1,4
,Taysom  Hill,NO,QB,1,6,-1,-0.167,0,0,0,8,13.115,20,6,11.765,6,9.836,0,0,0,6,6
,Ollie  Gordon II,MIA,RB,1,3,-2,-0.667,0,0,0,14,25.926,21.429,3,7.317,3,5.66,23.077,7.5,5.769,3,3
,Jared  Goff,DET,QB,1,2,-2,-1,0,0,0,61,100,6.061,2,3.774,2,3.279,0,0,0,2,2
,Dylan  Sampson,CLV,RB,1,1,-4,-4,0,0,0,7,10.294,3.125,2,3.922,2,2.985,3.333,4.082,3.077,1,2
,Sterling  Shepard,TB,WR,1,1,-5,-5,0,0,0,26,41.935,4.167,5,9.434,5,8.621,5.263,10.417,9.434,1,5
,Cam  Ward,TEN,QB,1,5,-6,-1.2,0,0,0,66,100,20.833,5,11.111,5,7.692,0,0,0,5,5
