BASIC,BASIC,BASIC,DEFENSE,WR1,WR1,WR1,WR2,WR2,WR2,WR3,WR3,WR3,TE,TE,TE,RB,RB,RB
Rk,Tm,G,Defensive DVOA,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G
,BUF,1,-36.4,41.34,7,99,63.61,2,17,-109.52,3,36,-32.66,4,23,-99.47,0,0
,DEN,1,-30.6,-84.37,7,74,18.98,7,78,-28.26,4,52,-52.91,3,34,-20.54,1,8
,IND,1,-6.62,-86.15,1,6,-21.93,4,52,53.69,7,93,57.86,6,76,33.8,4,32
,LAC,1,-32.79,-46.42,7,74,58.06,3,26,-90.1,0,0,-14.91,3,31,-2.46,5,26
,GB,1,-6.33,16.23,5,55,14.92,4,28,52.46,5,87,-63.83,6,34,-118.75,4,15
,MIA,1,-33.82,12.33,1,11,222.69,1,25,-5.42,5,45,-29.9,9,59,13.2,5,33
,BLT,1,-22.16,13.4,4,73,7.56,7,114,-35.54,9,34,-22.3,3,38,72.83,2,26
,KC,1,-27.56,108.04,3,54,-181.66,3,11,-61.39,4,24,-98.66,6,60,67.51,5,64
,HST,1,-22.92,16.51,3,44,-54.13,2,5,-38.02,5,52,64.83,5,45,-31.44,4,47
,NE,1,-24.51,-71.23,0,0,-92.79,0,0,51.02,2,31,-6.08,10,99,-52.65,9,26
,PHI,1,8.45,4.03,2,26,7.68,3,48,20.94,1,18,22.17,4,41,121.91,4,60
,TB,1,-49.32,-91.65,8,63,-21.95,9,75,-34.3,4,32,-64.04,6,59,52.8,5,35
,CIN,1,44.93,-44.59,1,5,87.47,3,64,28.88,4,54,5.73,6,58,40.49,8,67
,SF,1,24.89,-3.04,4,34,93.22,5,69,11.63,12,121,-32.27,2,24,46.39,7,70
,NO,1,-40.08,-35.91,3,35,-15.72,5,43,-80.61,1,8,30.3,4,40,138.49,2,26
,PIT,1,28.49,-5.5,3,44,-67.66,3,4,109.29,8,122,20.77,9,152,-54.58,6,38
,WAS,1,2.33,2.54,5,53,2.45,9,93,-119.47,2,29,-23.62,8,122,147.39,1,2
,NYJ,1,51.83,-23.72,12,91,89.06,1,44,-76.16,0,0,87.08,4,50,180.72,4,38
,TEN,1,16.83,44.75,8,95,164.43,3,39,-37.47,3,61,-4.2,4,53,86,3,24
,CHI,1,28.85,30.27,2,51,14.37,7,63,-11.87,2,20,21.02,6,52,-88.73,0,0
,NYG,1,45.15,12.5,6,84,143.19,1,40,48.73,1,3,92.93,3,28,55.1,4,24
,CLV,1,-5.69,-118.76,3,14,-9.43,3,75,79.6,8,133,122.75,3,45,39.89,1,15
,ATL,1,15.99,102.21,5,99,-24.2,1,18,57.75,5,38,-55.77,2,6,27.87,8,44
,DAL,1,54.24,37.27,4,67,115.42,6,89,-32.73,2,40,55.43,4,36,125.58,3,15
,CAR,1,22.24,42.35,3,30,15.17,6,88,-42.77,1,14,-18.04,4,53,-104.03,0,0
,MIN,1,26.64,0,0,0,60.67,4,44,16.56,8,96,137.41,5,77,12.62,1,10
