BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT,YDS,YPC,TD,FUM,FUML,FD,RZ,GL,GL TD,EPA,EPA/ATT,DYAR,DVOA,FPTS,PPG
,Christian  McCaffrey,SF,RB,1,49,73.134,24,129,5.375,2,0,0,9,5,2,1,3.647,0.152,0,0,39.1,39.1
,Jaylen  Warren,PIT,RB,1,36,65.455,16,127,7.938,0,0,0,6,2,1,0,4.537,0.284,0,0,19.8,19.8
,D'Andre  Swift,CHI,RB,1,35,52.239,19,124,6.526,1,0,0,6,7,2,0,4.515,0.238,0,0,20.8,20.8
,Javonte  Williams,DAL,RB,1,44,68.75,19,116,6.105,1,0,0,4,4,1,1,0.278,0.015,0,0,18.8,18.8
,Chase  Brown,CIN,RB,1,43,59.722,11,108,9.818,0,0,0,4,3,0,0,2.414,0.219,0,0,12,12
,Jonathan  Taylor,IND,RB,1,50,84.746,16,94,5.875,3,0,0,8,5,0,0,9.142,0.571,0,0,34.2,34.2
,Rhamondre  Stevenson,NE,RB,1,49,68.056,18,88,4.889,1,0,0,5,4,1,0,1.912,0.106,0,0,16.8,16.8
,Quinshon  Judkins,CLV,RB,1,35,62.5,25,84,3.36,3,0,0,5,5,3,1,-2.798,-0.112,0,0,26.4,26.4
,De'Von  Achane,MIA,RB,1,31,53.448,13,82,6.308,0,0,0,2,1,0,0,-0.595,-0.046,0,0,12.8,12.8
,Kyle  Monangai,CHI,RB,1,30,44.776,13,81,6.231,1,0,0,6,3,1,1,1.929,0.148,0,0,17.4,17.4
,J.K.  Dobbins,DEN,RB,1,38,49.351,14,81,5.786,0,0,0,3,2,1,0,1.505,0.108,0,0,9,9
,Rico  Dowdle,CAR,RB,1,30,41.667,17,79,4.647,0,0,0,4,1,0,0,1.17,0.069,0,0,10.6,10.6
,Drake  Maye,NE,QB,1,65,90.278,8,62,7.75,0,0,0,3,1,0,0,3.37,0.421,0,0,23.08,23.08
,Cam  Skattebo,NYG,RB,1,41,59.42,16,60,3.75,0,0,0,3,1,0,0,-2.201,-0.138,0,0,18.4,18.4
,Isiah  Pacheco,KC,RB,1,40,49.383,15,57,3.8,1,0,0,5,2,0,0,-0.974,-0.065,0,0,12.4,12.4
,Jordan  Mason,MIN,RB,1,51,73.913,15,57,3.8,1,0,0,5,3,1,1,-1.005,-0.067,0,0,11.7,11.7
,Bam  Knight,ARZ,RB,1,34,45.946,14,57,4.071,0,0,0,2,2,0,0,-0.39,-0.028,0,0,9.4,9.4
,Josh  Jacobs,GB,RB,1,30,53.571,13,55,4.231,2,0,0,4,5,1,1,2.299,0.177,0,0,18.8,18.8
,Kyren  Williams,LA,RB,1,36,57.143,12,54,4.5,0,0,0,3,2,2,0,0.646,0.054,0,0,8.5,8.5
,Bo  Nix,DEN,QB,1,77,100,5,48,9.6,2,1,0,4,2,0,0,8.099,1.62,0,0,35.96,35.96
