BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,TAR/G,REC/G,YDS/G,SNP,SNP%,RT,RT%,TAR%,FRD,FRDR,FRD%,OPP,OPP%
,Jaxon  Smith-Njigba,SEA,WR,11,107,80,"1,313",7,9.727,7.273,119.364,467,72.403,287,91.693,34.185,88,82.243,27.673,113,17.656
,George  Pickens,DAL,WR,11,92,67,"1,054",8,8.364,6.091,95.818,590,80.491,386,91.038,21.698,77,83.696,17.342,92,12.903
,Puka  Nacua,LA,WR,10,98,80,947,4,9.8,8,94.7,428,62.941,281,72.423,25.258,64,65.306,16.368,104,15.362
,Amon-Ra  St. Brown,DET,WR,11,107,75,887,9,9.727,6.818,80.636,600,87.848,355,93.915,28.307,87,81.308,22.775,110,16.2
,Ja'Marr  Chase,CIN,WR,10,117,79,861,5,11.7,7.9,86.1,553,84.299,381,87.586,26.897,84,71.795,19.005,119,18.336
,Drake  London,ATL,WR,9,94,60,810,6,10.444,6.667,90,515,75.735,298,80.978,25.543,78,82.979,20.419,94,14.114
,Trey  McBride,ARZ,TE,11,109,80,797,7,9.909,7.273,72.455,654,86.623,436,93.763,23.441,77,70.642,15.587,109,15.014
,Justin  Jefferson,MIN,WR,11,99,60,795,2,9,5.455,72.273,590,92.622,364,96.809,26.33,69,69.697,17.468,100,16.181
,Wan'Dale  Robinson,NYG,WR,12,102,66,794,3,8.5,5.5,66.167,699,85.348,390,92.199,24.113,63,61.765,13.786,104,13.248
,Tetairoa  McMillan,CAR,WR,12,96,56,783,5,8,4.667,65.25,655,86.526,389,95.343,23.529,77,80.208,18.033,96,13.008
,Christian  McCaffrey,SF,RB,12,103,81,765,5,8.583,6.75,63.75,638,81.274,387,88.155,23.462,34,33.01,7.522,320,41.451
,Zay  Flowers,BLT,WR,11,77,58,761,1,7,5.273,69.182,535,82.689,296,93.671,24.367,51,66.234,15.044,85,13.622
,DeVonta  Smith,PHI,WR,11,78,55,754,3,7.091,5,68.545,590,87.407,330,98.507,23.284,55,70.513,15.068,78,12.093
,Emeka  Egbuka,TB,WR,11,93,48,749,6,8.455,4.364,68.091,577,80.587,364,91.457,23.367,66,70.968,15.603,95,13.748
,Chris  Olave,NO,WR,11,108,69,733,4,9.818,6.273,66.636,569,79.692,381,91.807,26.024,78,72.222,17.849,109,15.751
,Jaylen  Waddle,MIA,WR,11,73,49,722,5,6.636,4.455,65.636,495,79.582,288,81.586,20.68,59,80.822,16.298,73,11.909
,Nico  Collins,HST,WR,10,85,52,697,4,8.5,5.2,69.7,481,65.981,309,74.101,20.384,69,81.176,15.541,86,12.251
,Stefon  Diggs,NE,WR,12,75,61,679,3,6.25,5.083,56.583,416,52.792,267,67.766,19.036,57,76,12.925,75,10.121
,Travis  Kelce,KC,TE,11,72,54,674,4,6.545,4.909,61.273,567,73.541,370,85.847,16.705,44,61.111,9.342,73,9.986
,Rome  Odunze,CHI,WR,11,84,42,664,6,7.636,3.818,60.364,624,84.324,349,91.123,21.932,59,70.238,14.286,84,11.831
,Tyler  Warren,IND,TE,11,74,55,662,3,6.727,5,60.182,543,78.696,330,87.766,19.681,52,70.27,13.098,78,11.659
,Courtland  Sutton,DEN,WR,11,74,45,649,4,6.727,4.091,59,605,85.211,372,92.768,18.454,52,70.27,12.411,74,10.694
,Ladd  McConkey,LAC,WR,11,85,54,644,4,7.727,4.909,58.545,543,73.878,374,88,20,51,60,11.209,85,12.057
,CeeDee  Lamb,DAL,WR,8,72,44,632,2,9,5.5,79,390,53.206,251,59.198,16.981,57,79.167,12.838,73,10.238
,Davante  Adams,LA,WR,11,94,48,631,12,8.545,4.364,57.364,507,74.559,339,87.371,24.227,70,74.468,17.903,94,13.885
,Michael  Pittman,IND,WR,11,78,59,614,7,7.091,5.364,55.818,553,80.145,331,88.032,20.745,62,79.487,15.617,78,11.659
,Alec  Pierce,IND,WR,9,54,29,611,1,6,3.222,67.889,466,67.536,269,71.543,14.362,48,88.889,12.091,54,8.072
,Keenan  Allen,LAC,WR,11,86,56,592,4,7.818,5.091,53.818,394,53.605,301,70.824,20.235,59,68.605,12.967,86,12.199
,Tee  Higgins,CIN,WR,11,70,40,592,7,6.364,3.636,53.818,548,83.537,386,88.736,16.092,63,90,14.253,70,10.786
,DK  Metcalf,PIT,WR,11,70,42,573,5,6.364,3.818,52.091,550,87.025,334,93.036,19.499,55,78.571,14.986,72,11.538
,A.J.  Brown,PHI,WR,10,75,46,567,4,7.5,4.6,56.7,538,79.704,298,88.955,22.388,62,82.667,16.986,75,11.628
,Jameson  Williams,DET,WR,11,53,31,562,5,4.818,2.818,51.091,604,88.433,357,94.444,14.021,42,79.245,10.995,57,8.395
,Bijan  Robinson,ATL,RB,11,61,49,543,2,5.545,4.455,49.364,513,75.441,316,85.87,16.576,16,26.23,4.188,233,34.985
,Hunter  Henry,NE,TE,12,63,41,537,5,5.25,3.417,44.75,587,74.492,340,86.294,15.99,46,73.016,10.431,63,8.502
,Juwan  Johnson,NO,TE,11,67,49,537,3,6.091,4.455,48.818,549,76.891,351,84.578,16.145,50,74.627,11.442,67,9.682
,Michael  Wilson,ARZ,WR,11,71,47,534,1,6.455,4.273,48.545,573,75.894,395,84.946,15.269,55,77.465,11.134,71,9.78
,Khalil  Shakir,BUF,WR,11,71,54,531,3,6.455,4.909,48.273,409,56.885,280,77.562,19.668,30,42.254,7.614,72,10.496
