BASIC,BASIC,BASIC,DEFENSE,WR1,WR1,WR1,WR2,WR2,WR2,WR3,WR3,WR3,TE,TE,TE,RB,RB,RB
Rk,Tm,G,Defensive DVOA,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G
,JAX,1,-61.56,-94.91,0,0,15.71,4,53,-119.12,4,25,-19.76,2,41,-124.59,3,-1
,LA,1,-43.52,-43.47,9,105,-126.21,3,23,-17.44,2,27,-98.22,10,70,56.3,5,54
,DAL,1,-8.18,26.58,4,47,95.4,1,19,140.89,3,33,-32.06,11,105,6.1,8,34
,BUF,1,10.11,-59.85,5,40,-99.35,1,6,22.26,4,54,-46.7,2,28,60.77,4,45
,SF,1,0.02,18.82,15,185,68.57,6,66,-103.03,3,20,-46.35,12,126,-4.18,11,55
,SEA,1,-34,-77.89,1,1,-48.33,7,75,-25.21,2,17,18.46,3,37,-121.42,2,0
,PIT,1,-32.47,-72.47,3,30,-86.66,3,63,20.1,3,20,7.48,8,58,5.19,6,28
,PHI,1,-34.77,-77.78,2,42,3.8,4,88,-117.78,0,0,-203.17,2,8,68.34,6,117
,GB,1,7.31,-30.99,4,36,38.26,5,57,-154.81,2,18,1.42,3,36,63.56,5,54
,BLT,1,-26.74,-82.17,3,21,80.29,3,52,-60.11,2,9,-34.02,3,33,-84.29,0,0
,KC,1,5.23,-4.18,4,59,56.68,4,84,46.03,5,82,14.74,5,41,-42.56,6,29
,DEN,1,-6.28,39.05,3,25,-57.4,6,38,116.94,5,101,5.16,12,101,-180.58,3,11
,DET,1,-16.75,-26.76,7,49,-141.5,1,8,156.65,2,43,-54.94,3,28,-34.57,1,7
,NE,1,12.69,172.03,3,45,0,0,0,-75.08,2,12,-24.42,8,53,-82.88,2,6
,ATL,1,24.59,71.77,8,130,78.15,4,83,88.26,6,69,27.21,7,104,8.99,6,62
,CHI,1,-10.74,-45.48,5,61,-63.98,2,20,29.34,2,22,-47.48,4,36,-50.16,3,11
,CAR,1,26.71,52.46,7,119,-46.96,3,34,19.48,1,11,-10.45,2,14,13.58,6,45
,MIA,1,3.86,16.36,7,74,7.93,2,28,51.15,2,38,-70.78,5,46,74.3,4,27
,WAS,1,7.01,-48.18,3,52,113.32,3,42,0,0,0,-18.42,3,32,103.64,5,45
,TB,1,20.75,-154.56,2,17,-154.39,1,-3,37.81,9,149,-207.23,2,27,168.27,5,127
,MIN,1,-12.31,-30.99,2,41,-26.92,1,18,-21,3,27,-4.24,9,93,-40.08,1,14
,NYG,1,27.45,-13.47,4,53,84.67,4,46,44.71,3,66,-87.75,3,6,-11.34,1,9
,TEN,1,-3.45,64.81,9,92,33.77,4,55,-6.68,5,60,-25.52,6,51,-33.61,2,16
,HST,1,10.72,34.09,4,35,-75.77,2,11,15.94,3,28,38.16,7,85,-4.74,8,35
,NYJ,1,20.33,13.56,9,105,36.42,4,64,-50.27,3,36,-27.68,4,45,100.03,5,31
,ARZ,1,19.36,20.4,4,54,-140.28,1,0,15.62,1,13,88.13,6,67,25.47,7,66
,CLV,1,-21.36,70.45,3,78,-73.72,1,11,-186.03,0,0,-98.01,5,47,-19.99,5,57
,CIN,1,25.9,-13.33,5,49,41.04,1,5,-4.81,1,17,40.3,5,86,114.39,9,86
,LV,1,11.91,50.49,5,66,60.28,9,144,-39.99,2,2,-3.56,5,20,73.11,4,36
,LAC,1,12.64,61.89,5,64,123.86,2,20,-13.79,4,33,-24.2,3,36,-105.94,0,0
