BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,WIDE,OW%,WYPR,SLOT,SLOT%,SYPR,BACK,BACK%,BYPR,LINE,LINE%,IYPR,OFF,OFF%,OYPR
,DeVonta  Smith,PHI,WR,1,5,4,49,0,8,22.857,0,27,77.143,1.815,0,0,0,0,0,0,0,0,0
,Alec  Pierce,IND,WR,1,4,2,48,0,19,73.077,1.368,7,26.923,3.143,0,0,0,0,0,0,0,0,0
,Amon-Ra  St. Brown,DET,WR,1,10,9,48,0,16,53.333,2.188,14,46.667,0.929,0,0,0,0,0,0,0,0,0
,Zay  Flowers,BLT,WR,1,10,6,46,0,33,94.286,1.091,2,5.714,5,0,0,0,0,0,0,0,0,0
,Chig  Okonkwo,TEN,TE,1,6,6,46,0,5,17.241,0,12,41.379,1.75,0,0,0,1,3.448,0,11,37.931,2.273
,Chris  Moore,WAS,WR,1,5,3,46,1,15,62.5,1.6,9,37.5,2.444,0,0,0,0,0,0,0,0,0
,Tez  Johnson,TB,WR,1,3,1,45,1,10,50,0,10,50,4.5,0,0,0,0,0,0,0,0,0
,Alvin  Kamara,NO,RB,1,5,5,45,0,3,14.286,9.333,2,9.524,0,16,76.19,1.063,0,0,0,0,0,0
,Marquise  Brown,KC,WR,1,4,4,45,2,18,85.714,2,3,14.286,3,0,0,0,0,0,0,0,0,0
,Michael  Wilson,ARZ,WR,1,5,4,44,0,20,52.632,-0.1,18,47.368,2.556,0,0,0,0,0,0,0,0,0
,Demarcus  Robinson,SF,WR,1,3,2,44,0,10,100,4.4,0,0,0,0,0,0,0,0,0,0,0,0
,Jerry  Jeudy,CLV,WR,1,13,5,43,0,44,84.615,0.068,8,15.385,5,0,0,0,0,0,0,0,0,0
,Tucker  Kraft,GB,TE,1,2,2,43,1,3,12,0,3,12,0,0,0,0,8,32,5.375,11,44,0
,Zach  Ertz,WAS,TE,1,6,6,43,1,6,23.077,2.167,13,50,1.462,0,0,0,1,3.846,0,6,23.077,1.833
,Evan  Engram,DEN,TE,1,6,5,42,0,0,0,0,8,53.333,3.875,1,6.667,0,1,6.667,0,5,33.333,2.2
,Josh  Downs,IND,WR,1,7,6,42,1,10,45.455,2,11,50,2,1,4.545,0,0,0,0,0,0,0
,DJ  Moore,CHI,WR,1,5,3,42,0,19,63.333,2.211,9,30,0,2,6.667,0,0,0,0,0,0,0
,Tyler  Higbee,LA,TE,1,4,4,40,1,2,14.286,0,3,21.429,0,0,0,0,4,28.571,2,5,35.714,6.4
,Cooper  Kupp,SEA,WR,1,3,2,40,1,9,39.13,0,14,60.87,2.857,0,0,0,0,0,0,0,0,0
,Davante  Adams,LA,WR,1,9,4,39,0,25,92.593,1.56,2,7.407,0,0,0,0,0,0,0,0,0,0
,Tommy  Tremble,CAR,TE,1,4,4,39,0,2,9.524,4,5,23.81,0,1,4.762,0,6,28.571,3.667,7,33.333,1.286
,Jakobi  Meyers,LV,WR,1,4,4,39,0,11,47.826,2.091,12,52.174,1.333,0,0,0,0,0,0,0,0,0
,Kyren  Williams,LA,RB,1,2,2,37,0,0,0,0,1,4.348,30,22,95.652,0.318,0,0,0,0,0,0
,David  Montgomery,DET,RB,1,2,2,37,0,0,0,0,0,0,0,12,100,3.083,0,0,0,0,0,0
,Jaylin  Lane,WAS,WR,1,2,1,37,0,7,63.636,5.286,4,36.364,0,0,0,0,0,0,0,0,0,0
,Jimmy  Horn Jr.,CAR,WR,1,2,2,36,0,0,0,0,5,100,7.2,0,0,0,0,0,0,0,0,0
,Elijah  Higgins,ARZ,TE,1,2,2,34,0,1,5.882,0,3,17.647,0,2,11.765,0,4,23.529,0,7,41.176,4.857
,Jake  Ferguson,DAL,TE,1,3,3,33,1,3,10.345,0,12,41.379,1.167,0,0,0,7,24.138,2.714,7,24.138,0
,Khalil  Shakir,BUF,WR,1,5,3,33,0,5,20.833,4.8,19,79.167,0.474,0,0,0,0,0,0,0,0,0
