BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,MIA,1,-50.04,-50.04,-36,-26.06,-76.11,-59.74
,DET,1,0.97,0.97,29.99,34.21,-27.45,-28.1
,LAC,1,-49.36,-49.36,-70.08,-78.75,-12.92,-9.5
,PHI,1,-35.97,-35.97,-38.82,-19.47,-32.13,-32.45
,TB,1,-11.7,-11.7,-13.53,9.01,-9.25,-19.64
,HST,1,-28.86,-28.86,-24.77,-32.73,-33.47,-28.99
,ATL,1,-11.2,-11.2,-43.72,-22.13,14.21,35.83
,NO,1,-22.27,-22.27,-20.46,-47.52,-24.15,-22.35
,LA,1,12.15,12.15,30.55,47.28,-12.38,-14.56
,SEA,1,-19.65,-19.65,-17.87,-24.33,-23.27,-27.43
,SF,1,17.85,17.85,29.01,57.53,2.78,16.32
,IND,1,4.47,4.47,-9,-10.45,16.94,26.97
,DEN,1,-29.1,-29.1,-44.22,-71.76,-8.08,-25.21
,GB,1,-14.55,-14.55,17.08,41.9,-42.2,-43.16
,CLV,1,-27.91,-27.91,-23.34,-74.88,-29.76,-28.23
,CHI,1,16.02,16.02,15.45,5.61,16.86,17.57
,NYG,1,5.68,5.68,12.17,12.19,-7.85,-5.36
,BLT,1,14.65,14.65,12.46,-11.63,22.69,20.13
,ARZ,1,-4.86,-4.86,-0.67,48.2,-6.12,-8.76
,NE,1,16.44,16.44,10.31,16.98,26.87,22.48
,MIN,1,-0.29,-0.29,1.6,9.98,-3.33,-1.51
,LV,1,-14.72,-14.72,-25.64,-26.58,-5.13,-10
,WAS,1,40.26,40.26,59.05,80.33,19.58,26.6
,JAX,1,14.64,14.64,7.53,6.62,29.23,22.28
,PIT,1,-4.18,-4.18,-5.18,3.21,-3.1,-5.52
,NYJ,1,19.8,19.8,39.62,-8.34,-2.79,-19.78
,CAR,1,26.11,26.11,53.79,34.12,3.24,-11.06
,BUF,1,54.26,54.26,107.32,103,26.36,20.16
