BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,FUM,FUML,SNP,SNP%,ATT%,TCH,TCH%,OPP,OPP%,rATT%,rTCH%,rOPP%,ATT/G,TCH/G
,Christian  McCaffrey,SF,RB,1,24,129,5.375,2,0,0,49,73.134,61.538,31,55.357,31,46.97,70.588,55.357,46.97,24,31
,Jaylen  Warren,PIT,RB,1,16,127,7.938,0,0,0,36,65.455,80,20,46.512,20,37.037,84.211,46.512,37.037,16,20
,D'Andre  Swift,CHI,RB,1,19,124,6.526,1,0,0,35,52.239,47.5,20,36.364,20,29.851,52.778,36.364,29.851,19,20
,Javonte  Williams,DAL,RB,1,19,116,6.105,1,0,0,44,68.75,61.29,20,38.462,20,32.258,73.077,38.462,32.258,19,20
,Chase  Brown,CIN,RB,1,11,108,9.818,0,0,0,43,59.722,47.826,13,24.074,13,18.056,61.111,24.074,18.056,11,13
,Jonathan  Taylor,IND,RB,1,16,94,5.875,3,0,0,50,84.746,69.565,19,41.304,19,32.759,88.889,41.304,32.759,16,19
,Rhamondre  Stevenson,NE,RB,1,18,88,4.889,1,0,0,49,68.056,50,20,34.483,20,31.25,69.231,34.483,31.25,18,20
,Quinshon  Judkins,CLV,RB,1,25,84,3.36,3,0,0,35,62.5,75.758,25,54.348,25,47.17,86.207,54.348,47.17,25,25
,De'Von  Achane,MIA,RB,1,13,82,6.308,0,0,0,31,53.448,59.091,16,41.026,16,28.07,68.421,41.026,28.07,13,16
,Kyle  Monangai,CHI,RB,1,13,81,6.231,1,0,0,30,44.776,32.5,15,27.273,15,22.388,36.111,27.273,22.388,13,15
,J.K.  Dobbins,DEN,RB,1,14,81,5.786,0,0,0,38,49.351,58.333,15,29.412,15,19.737,73.684,29.412,19.737,14,15
,Rico  Dowdle,CAR,RB,1,17,79,4.647,0,0,0,30,41.667,47.222,18,32.727,18,25.714,53.125,32.727,25.714,17,18
,Drake  Maye,NE,QB,1,8,62,7.75,0,0,0,65,90.278,22.222,8,13.793,8,12.5,0,0,0,8,8
,Cam  Skattebo,NYG,RB,1,16,60,3.75,0,0,0,41,59.42,50,19,40.426,19,27.536,59.259,40.426,27.536,16,19
