BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,BUF,1,-18.6,-18.6,-31.64,-15.09,0.23,6.49
,SEA,1,-21.32,-21.32,-27.78,-32.17,-15.58,-13.76
,PIT,1,-59.49,-59.49,-78.12,-58.49,-16.23,-1.94
,LA,1,-10.1,-10.1,12.42,-7.35,-50,-66.25
,DEN,1,-32.42,-32.42,-19.01,-20,-52.51,-61.08
,BLT,1,-18.73,-18.73,-18.02,-30.13,-20.12,-25.06
,MIN,1,-37.78,-37.78,-34.15,-18.46,-44.31,-42.54
,ARZ,1,-26.52,-26.52,-38.83,-28.7,-0.91,1.98
,GB,1,-0.68,-0.68,-6.83,-25.1,3.76,8.87
,LV,1,-3.99,-3.99,-12.98,-17.62,2.4,5.54
,SF,1,10.02,10.02,11.19,-1.17,8.24,4.52
,LAC,1,-9.08,-9.08,-0.73,-40.21,-18.27,-25.65
,NE,1,6.71,6.71,17.72,16.54,-22.28,-18.36
,CHI,1,24.84,24.84,45.74,35.7,-32.01,-28.56
,ATL,1,-5.32,-5.32,-20.9,0.76,13.76,5.83
,CAR,1,2.01,2.01,8.54,33.35,-5.35,-3.19
,HST,1,-12.16,-12.16,-8.46,-7.93,-16.82,-22.04
,IND,1,-13.51,-13.51,-4.16,-3.75,-27.59,-19.44
,KC,1,20.04,20.04,52.87,72.91,-5.3,16.33
,DET,1,5.26,5.26,-4.53,-26.8,19.78,12.22
,DAL,1,19.5,19.5,29.6,21.97,8.66,0.77
,CIN,1,54.82,54.82,61.43,61.04,46.13,53.57
,JAX,1,28.72,28.72,48.16,26.26,-16.78,-28.49
,NYG,1,26.71,26.71,33.82,53.77,21.86,19.61
,NO,1,14.08,14.08,41.66,65.16,-8.32,3.2
,TEN,1,5.74,5.74,19.98,25.43,-14.34,-19.3
,MIA,1,12.03,12.03,57.62,64.63,-30.4,-29.44
,WAS,1,30.98,30.98,82.53,117.19,-22.11,-22.82
