BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,TAR/G,REC/G,YDS/G,SNP,SNP%,RT,RT%,TAR%,FRD,FRDR,FRD%,OPP,OPP%
,DeVonta  Smith,PHI,WR,1,11,9,183,1,11,9,183,43,87.755,26,100,42.308,8,72.727,30.769,11,22.449
,Oronde  Gadsden II,LAC,TE,1,9,7,164,1,9,7,164,58,75.325,48,82.759,15.517,0,0,0,9,12.162
,Ja'Marr  Chase,CIN,WR,1,23,16,161,1,23,16,161,68,94.444,48,97.959,46.939,18,78.261,36.735,23,31.944
,Jordan  Addison,MIN,WR,1,12,9,128,0,12,9,128,62,89.855,43,97.727,27.273,11,91.667,23.913,12,17.91
,A.J.  Brown,PHI,WR,1,6,4,121,2,6,4,121,45,91.837,26,100,23.077,5,83.333,19.231,6,12.245
,Keenan  Allen,LAC,WR,1,14,11,119,1,14,11,119,48,62.338,44,75.862,24.138,8,57.143,13.115,14,18.919
,Pat  Freiermuth,PIT,TE,1,6,5,111,2,6,5,111,35,63.636,26,76.471,17.647,4,66.667,11.429,6,11.111
,CeeDee  Lamb,DAL,WR,1,8,5,110,1,8,5,110,48,75,31,100,25.806,4,50,12.121,8,12.903
,Travis  Hunter,JAX,WR,1,14,8,101,1,14,8,101,64,84.211,49,89.091,25.455,7,50,12.281,15,20.27
,Chris  Olave,NO,WR,1,7,5,98,2,7,5,98,45,83.333,31,86.111,19.444,6,85.714,16.216,7,13.208
,Alec  Pierce,IND,WR,1,10,5,98,0,10,5,98,49,83.051,32,91.429,28.571,7,70,19.444,10,17.241
,Tee  Higgins,CIN,WR,1,10,6,96,1,10,6,96,62,86.111,44,89.796,20.408,8,80,16.327,10,13.889
,Wan'Dale  Robinson,NYG,WR,1,12,6,95,0,12,6,95,63,91.304,36,97.297,32.432,7,58.333,18.919,12,17.391
,Xavier  Legette,CAR,WR,1,11,9,92,1,11,9,92,57,79.167,31,91.176,32.353,7,63.636,19.444,11,15.714
,Daniel  Bellinger,NYG,TE,1,4,3,88,1,4,3,88,47,68.116,21,56.757,10.811,2,50,5.405,4,5.797
,Courtland  Sutton,DEN,WR,1,10,6,87,0,10,6,87,71,92.208,48,92.308,19.231,4,40,7.547,10,13.158
,Marvin  Mims Jr.,DEN,WR,1,7,6,85,0,7,6,85,41,53.247,32,61.538,13.462,2,28.571,3.774,8,10.526
,George  Pickens,DAL,WR,1,6,4,82,0,6,4,82,51,79.688,30,96.774,19.355,4,66.667,12.121,6,9.677
,Juwan  Johnson,NO,TE,1,7,5,79,0,7,5,79,37,68.519,30,83.333,19.444,7,100,18.919,7,13.208
,Justin  Jefferson,MIN,WR,1,10,5,79,0,10,5,79,66,95.652,43,97.727,22.727,9,90,19.565,10,14.925
,Trey  McBride,ARZ,TE,1,13,10,74,2,13,10,74,62,83.784,42,100,30.952,7,53.846,15.217,13,18.571
,Romeo  Doubs,GB,WR,1,8,6,72,0,8,6,72,47,83.929,26,86.667,26.667,4,50,12.121,8,15.094
,Christian  McCaffrey,SF,RB,1,8,7,72,0,8,7,72,49,73.134,22,81.481,29.63,2,25,7.143,32,48.485
,Chimere  Dike,TEN,WR,1,4,4,70,1,4,4,70,28,54.902,25,64.103,10.256,3,75,7.692,5,9.804
,Stefon  Diggs,NE,WR,1,7,7,69,0,7,7,69,35,48.611,20,71.429,25,7,100,19.444,7,10.938
,Tyler  Warren,IND,TE,1,5,4,69,1,5,4,69,50,84.746,32,91.429,14.286,4,80,11.111,5,8.621
,Darnell  Mooney,ATL,WR,1,5,3,68,0,5,3,68,49,79.032,34,85,12.5,5,100,11.905,5,8.333
,Ladd  McConkey,LAC,WR,1,15,9,67,0,15,9,67,66,85.714,54,93.103,25.862,6,40,9.836,15,20.27
,Zay  Jones,ARZ,WR,1,2,2,67,0,2,2,67,36,48.649,22,52.381,4.762,0,0,0,2,2.857
,Theo  Johnson,NYG,TE,1,7,3,66,1,7,3,66,58,84.058,35,94.595,18.919,2,28.571,5.405,7,10.145
,Kyle  Pitts,ATL,TE,1,10,7,62,0,10,7,62,49,79.032,37,92.5,25,7,70,16.667,10,16.667
,Tyler  Johnson,NYJ,WR,1,3,3,60,0,3,3,60,15,23.438,11,27.5,7.5,0,0,0,3,5
,Jaylin  Lane,WAS,WR,1,6,3,60,0,6,3,60,44,64.706,28,77.778,16.667,2,33.333,5,6,9.375
,Chris  Moore,WAS,WR,1,5,2,59,0,5,2,59,50,73.529,28,77.778,13.889,3,60,7.5,5,7.813
,Michael  Pittman,IND,WR,1,9,7,58,1,9,7,58,48,81.356,31,88.571,25.714,9,100,25,9,15.517
,Marvin  Harrison Jr.,ARZ,WR,1,6,2,58,0,6,2,58,59,79.73,39,92.857,14.286,4,66.667,8.696,6,8.571
,Tucker  Kraft,GB,TE,1,10,5,58,1,10,5,58,48,85.714,26,86.667,33.333,3,30,9.091,10,18.868
,Kayshon  Boutte,NE,WR,1,2,2,55,1,2,2,55,46,63.889,21,75,7.143,2,100,5.556,2,3.125
,Travis  Kelce,KC,TE,1,3,3,54,0,3,3,54,48,59.259,31,86.111,8.333,2,66.667,5,3,3.896
,Parker  Washington,JAX,WR,1,10,4,52,0,10,4,52,65,85.526,49,89.091,18.182,4,40,7.018,13,17.568
,Bijan  Robinson,ATL,RB,1,8,6,52,1,8,6,52,53,85.484,36,90,20,2,25,4.762,22,36.667
,DK  Metcalf,PIT,WR,1,5,3,50,0,5,3,50,53,96.364,34,100,14.706,3,60,8.571,5,9.259
,Dyami  Brown,JAX,WR,1,4,2,50,0,4,2,50,22,28.947,17,30.909,7.273,2,50,3.509,4,5.405
,Andrei  Iosivas,CIN,WR,1,4,3,49,0,4,3,49,51,70.833,37,75.51,8.163,3,75,6.122,4,5.556
,Mack  Hollins,NE,WR,1,2,2,49,0,2,2,49,43,59.722,15,53.571,7.143,2,100,5.556,3,4.688
,Colby  Parkinson,LA,TE,1,3,3,47,0,3,3,47,30,47.619,15,45.455,9.091,1,33.333,2.941,3,4.839
,Dee  Eskridge,MIA,WR,1,2,2,45,0,2,2,45,16,27.586,12,34.286,5.714,2,100,5.556,2,3.509
,Noah  Fant,CIN,TE,1,4,4,44,1,4,4,44,44,61.111,39,79.592,8.163,2,50,4.082,4,5.556
,DJ  Moore,CHI,WR,1,5,3,43,0,5,3,43,57,85.075,25,92.593,18.519,4,80,14.815,6,8.955
,T.J.  Hockenson,MIN,TE,1,9,6,43,0,9,6,43,56,81.159,39,88.636,20.455,1,11.111,2.174,9,13.433
,Tony  Pollard,TEN,RB,1,6,6,43,0,6,6,43,30,58.824,23,58.974,15.385,2,33.333,5.128,12,23.529
,Rashee  Rice,KC,WR,1,10,7,42,2,10,7,42,32,39.506,17,47.222,27.778,8,80,20,10,12.987
,Brashard  Smith,KC,RB,1,5,5,42,0,5,5,42,25,30.864,8,22.222,13.889,1,20,2.5,19,24.675
