BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,TAR,REC,YDS,TD,YPT,YPR,CTCH%,YAC,YAC/R,FD,LG,100+,TAR/G,REC/G,YDS/G,EZTAR,EZTD,EPA,EPA/TAR,DYAR,DVOA,FPTS,PPG
,Jameson  Williams,DET,WR,1,57,93.443,10,7,144,1,14.4,20.571,70,87,12.429,6,44,1,10,7,144,0,0,7.099,0.71,0,0,26.9,26.9
,A.J.  Brown,PHI,WR,1,47,92.157,12,10,132,2,11,13.2,83.333,23,2.3,7,33,1,12,10,132,1,1,6.577,0.548,0,0,35.2,35.2
,CeeDee  Lamb,DAL,WR,1,51,78.462,9,7,112,1,12.444,16,77.778,35,5,4,51,1,9,7,112,2,1,8.845,0.983,0,0,24.2,24.2
,Ja'Marr  Chase,CIN,WR,1,79,97.531,14,7,110,0,7.857,15.714,50,9,1.286,5,43,1,14,7,110,1,0,7.258,0.518,0,0,18,18
,Zach  Ertz,WAS,TE,1,56,63.636,13,10,106,0,8.154,10.6,76.923,35,3.5,6,21,1,13,10,106,1,0,3.562,0.274,0,0,20.6,20.6
,Adonai  Mitchell,NYJ,WR,1,54,78.261,12,8,102,1,8.5,12.75,66.667,1,0.125,4,52,1,12,8,102,3,1,4.766,0.397,0,0,24.2,24.2
,Nico  Collins,HST,WR,1,52,73.239,10,5,98,0,9.8,19.6,50,41,8.2,5,29,0,10,5,98,2,0,6.231,0.623,0,0,21.5,21.5
,Terry  McLaurin,WAS,WR,1,42,47.727,14,7,96,1,6.857,13.714,50,8,1.143,6,20,0,14,7,96,4,1,5.87,0.419,0,0,22.6,22.6
,Isaiah  Likely,BLT,TE,1,29,48.333,6,5,95,0,15.833,19,83.333,42,8.4,2,43,0,6,5,95,0,0,-0.629,-0.105,0,0,14.5,14.5
,Dontayvion  Wicks,GB,WR,1,30,48.387,7,6,94,2,13.429,15.667,85.714,12,2,5,30,0,7,6,94,2,2,11.41,1.63,0,0,28,28
,Devaughn  Vele,NO,WR,1,60,83.333,8,8,93,1,11.625,11.625,100,6,0.75,6,15,0,8,8,93,1,1,9.399,1.175,0,0,23.3,23.3
