BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,MIA,1,40.47,40.47,127.51,118.31,4.49,25.3
,DET,1,54.83,54.83,78.26,89.58,29.06,31.24
,LAC,1,-1.04,-1.04,19.09,7.78,-6.87,-1.54
,PHI,1,7.93,7.93,58.14,50.67,-35.64,-42.93
,TB,1,22.32,22.32,16.41,43.62,32.22,27.7
,HST,1,3.7,3.7,14.76,17.75,34.97,32.71
,ATL,1,19.09,19.09,-4.62,-7.4,40.47,31.26
,NO,1,4.32,4.32,30.43,41.77,-9.16,-8.54
,LA,1,37.78,37.78,55.24,66.54,14.46,21.31
,SEA,1,5.84,5.84,65.13,57.77,6.83,12.24
,SF,1,31.7,31.7,65.63,56.64,4.67,-2.2
,IND,1,15.19,15.19,4.73,-20.13,35.46,41.06
,DEN,1,-21.61,-21.61,-18.01,-23.73,-2.01,-7.29
,GB,1,-9.99,-9.99,10.44,1.79,-24.51,-24.82
,CLV,1,-30.88,-30.88,-29.79,9.24,-15.01,-18.08
,CHI,1,13.03,13.03,37.67,34.29,-24.88,1.56
,NYG,1,0.19,0.19,-2.94,10.7,13.1,22.77
,BLT,1,6.03,6.03,13.38,13.82,4.95,1.98
,ARZ,1,-13.63,-13.63,-11.1,-23.18,-8.91,-25.77
,NE,1,6.1,6.1,32.41,14.05,-8.54,-17.01
,MIN,1,-15.55,-15.55,3.64,10.05,34.58,35.19
,LV,1,-35.75,-35.75,-54.02,-74.25,-2.18,-24.24
,WAS,1,13.72,13.72,59.49,41.23,-16.35,-27.98
,JAX,1,-21.91,-21.91,-0.68,-31.89,-21.94,-28.37
,PIT,1,-49,-49,-66.92,-77.06,-7.55,3.33
,NYJ,1,-28.22,-28.22,-64.83,-76.74,1.04,-27.21
,CAR,1,-42.47,-42.47,-53.2,-45.22,-12.85,-16.14
,BUF,1,-43.31,-43.31,-38.3,-16.62,-52.39,-59.42
