BASIC,BASIC,BASIC,DEFENSE,WR1,WR1,WR1,WR2,WR2,WR2,WR3,WR3,WR3,TE,TE,TE,RB,RB,RB
Rk,Tm,G,Defensive DVOA,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G,DVOA,Rec/G,Yds/G
,LA,1,-23.32,-6.26,11,142,-94.33,1,3,43.84,2,32,-46.97,6,58,-23.48,5,36
,MIA,1,-57.21,-89.28,4,34,-140.83,1,24,54.76,2,24,-60.22,7,70,2.65,1,17
,DET,1,-43.88,52.92,6,121,-104.48,5,37,-14.45,11,141,-19.06,7,77,-81.92,2,0
,MIN,1,-45.19,-161.73,3,41,-5.79,4,27,-139.45,1,19,-5.48,2,19,-59.66,1,2
,SEA,1,-39.69,-101.87,1,6,-172.05,0,0,-3.63,4,25,-55.22,6,90,63.86,4,41
,JAX,1,-39,-104.26,9,79,24.33,5,80,-15.05,5,26,-93.99,2,15,-122.2,2,5
,GB,1,-0.64,-132.21,1,-4,52.46,4,67,59.53,3,31,-33.89,7,73,-19.34,4,19
,CIN,1,12.45,12.84,2,16,19.98,2,16,103.77,3,37,22.68,11,137,10.62,4,45
,HST,1,-42.19,63.41,3,55,-73.24,4,34,-66.97,4,59,-136.4,2,22,-95.22,0,0
,NO,1,-9.25,-32.36,2,15,-38.43,5,55,-101.81,1,5,-1.55,3,19,11.06,3,28
,LAC,1,-41.31,-103.53,6,100,-167.04,4,37,-133.99,2,22,8.61,8,78,-69.49,1,3
,PIT,1,2.28,8.15,2,23,32.73,8,124,-120.85,0,0,10.8,6,53,-138.05,3,19
,PHI,1,-35.61,-43.43,2,8,15.16,3,22,-17.8,2,30,-208.78,2,8,127.18,3,71
,DEN,1,19.33,-11.63,2,24,-0.17,6,50,104.15,4,66,67.96,6,63,-46.88,3,10
,LV,1,20.74,-17.43,6,62,-44.75,3,11,37.93,8,64,8.57,4,25,32.61,10,50
,KC,1,-7.42,35.28,4,121,3.04,3,34,-34.31,3,18,-24.38,3,22,165.78,2,8
,BLT,1,18.38,11.34,7,148,51.48,1,31,-10.3,2,17,-45.62,3,21,33.83,9,76
,CHI,1,20.3,-129.48,0,0,186.47,4,89,-35.67,5,76,-13.99,5,57,-31.98,3,12
,BUF,1,23.77,-181.82,5,44,19.08,6,92,85.32,2,17,111.04,8,112,64.73,4,19
,ATL,1,-4.79,-16.82,7,92,100.06,2,35,73.03,5,76,-80.63,3,27,-33.24,3,19
,IND,1,10.14,73.64,3,87,-28.52,4,39,152.65,5,78,-51.93,3,27,-18.42,3,16
,CLV,1,8.89,-21.19,2,17,-171.11,1,14,-1.07,6,30,23.35,3,28,47.66,2,28
,TEN,1,28.47,124.91,3,76,16.33,1,23,-100.02,2,18,76.11,9,115,28.11,8,132
,DAL,1,32.03,9.51,6,92,-15.05,7,96,43.21,2,20,-9.08,2,11,79.77,8,90
,TB,1,28.59,-64.84,3,30,49.99,3,40,0,0,0,9.43,5,54,149.89,2,20
,ARZ,1,37.8,-13.51,4,29,54.16,7,167,-27.96,3,16,18.55,5,53,14.32,3,16
,WAS,1,33.31,-27.75,2,11,45.68,4,62,101.12,4,40,88.04,5,45,-46.51,1,5
,NYJ,1,36.8,18.27,5,50,-58.81,3,10,0,0,0,24.09,4,54,-30.63,1,13
