BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,TAR,REC,YDS,TD,YPT,YPR,CTCH%,YAC,YAC/R,FD,LG,100+,TAR/G,REC/G,YDS/G,EZTAR,EZTD,EPA,EPA/TAR,DYAR,DVOA,FPTS,PPG
,Puka Nacua,LA,WR,1,71,78.889,16,12,225,2,14.063,18.75,75,124,10.333,7,58,1,16,12,225,2,1,17.309,1.082,96.102,60.84,46.5,46.5
,Chris Olave,NO,WR,1,60,75,16,10,148,2,9.25,14.8,62.5,33,3.3,7,38,1,16,10,148,1,0,11.685,0.73,27.725,8.98,36.8,36.8
,Parker Washington,JAX,WR,1,37,52.857,10,6,145,1,14.5,24.167,60,91,15.167,5,63,1,10,6,145,2,1,14.211,1.421,55.691,60.98,26.5,26.5
,Stefon Diggs,NE,WR,1,41,55.405,10,9,138,0,13.8,15.333,90,46,5.111,7,33,1,10,9,138,0,0,12.604,1.26,58.363,59.89,22.8,22.8
,George Pickens,DAL,WR,1,51,86.441,9,7,130,1,14.444,18.571,77.778,27,3.857,5,38,1,9,7,130,1,1,10.492,1.166,59.107,70.58,26,26
,George Kittle,SF,TE,1,41,61.194,8,7,115,1,14.375,16.429,87.5,24,3.429,7,26,1,8,7,115,2,1,9.768,1.221,49.905,83.29,24.5,24.5
,Ja'Marr Chase,CIN,WR,1,53,85.484,11,9,109,0,9.909,12.111,81.818,32,3.556,6,36,1,11,9,109,0,0,6.195,0.563,13.694,2.81,19.9,19.9
,Quentin Johnston,LAC,WR,1,37,56.061,5,4,104,1,20.8,26,80,12,3,3,50,1,5,4,104,1,1,8.699,1.74,44.586,96.49,20.4,20.4
,DJ Moore,CHI,WR,1,57,90.476,7,5,97,1,13.857,19.4,71.429,1,0.2,3,46,0,7,5,97,1,1,5.504,0.786,23.947,30.36,21.9,21.9
,Jaxon Smith-Njigba,SEA,WR,1,59,90.769,13,8,96,1,7.385,12,61.538,36,4.5,5,27,0,13,8,96,2,1,0.421,0.032,16.779,3.6,23.6,23.6
,A.J. Brown,PHI,WR,1,58,81.69,12,9,95,0,7.917,10.556,75,46,5.111,6,24,0,12,9,95,0,0,5.111,0.426,3.165,-9.26,18.5,18.5
,Bijan Robinson,ATL,RB,1,51,69.863,11,7,92,1,8.364,13.143,63.636,108,15.429,3,41,0,11,7,92,0,0,3.743,0.34,35.283,42.4,29.8,29.8
,Elijah Higgins,ARZ,TE,1,34,60.714,8,7,91,0,11.375,13,87.5,64,9.143,4,25,0,8,7,91,0,0,6.615,0.827,17.872,29.39,16.1,16.1
,Juwan Johnson,NO,TE,1,50,62.5,9,8,89,0,9.889,11.125,88.889,35,4.375,4,31,0,9,8,89,0,0,3.446,0.383,14.489,15.77,16.9,16.9
