BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,WIDE,OW%,WYPR,SLOT,SLOT%,SYPR,BACK,BACK%,BYPR,LINE,LINE%,IYPR,OFF,OFF%,OYPR
,DeVonta  Smith,PHI,WR,1,11,9,183,1,11,42.308,15.727,15,57.692,0.667,0,0,0,0,0,0,0,0,0
,Oronde  Gadsden II,LAC,TE,1,9,7,164,1,8,16.667,5.625,26,54.167,3.269,0,0,0,5,10.417,4.4,9,18.75,1.333
,Ja'Marr  Chase,CIN,WR,1,23,16,161,1,34,70.833,3.853,13,27.083,2.308,1,2.083,0,0,0,0,0,0,0
,Jordan  Addison,MIN,WR,1,12,9,128,0,32,74.419,3.563,11,25.581,1.273,0,0,0,0,0,0,0,0,0
,A.J.  Brown,PHI,WR,1,6,4,121,2,23,88.462,5.261,3,11.538,0,0,0,0,0,0,0,0,0,0
,Keenan  Allen,LAC,WR,1,14,11,119,1,29,65.909,2.552,15,34.091,3,0,0,0,0,0,0,0,0,0
,Pat  Freiermuth,PIT,TE,1,6,5,111,2,6,23.077,0.833,19,73.077,5.579,0,0,0,0,0,0,1,3.846,0
,CeeDee  Lamb,DAL,WR,1,8,5,110,1,18,58.065,1.333,12,38.71,7.167,1,3.226,0,0,0,0,0,0,0
,Travis  Hunter,JAX,WR,1,14,8,101,1,17,34.694,0.471,30,61.224,2.733,2,4.082,5.5,0,0,0,0,0,0
,Chris  Olave,NO,WR,1,7,5,98,2,21,67.742,2.905,10,32.258,3.7,0,0,0,0,0,0,0,0,0
,Alec  Pierce,IND,WR,1,10,5,98,0,30,93.75,1.667,2,6.25,24,0,0,0,0,0,0,0,0,0
,Tee  Higgins,CIN,WR,1,10,6,96,1,36,81.818,2.667,8,18.182,0,0,0,0,0,0,0,0,0,0
,Wan'Dale  Robinson,NYG,WR,1,12,6,95,0,10,27.778,2.3,25,69.444,2.88,1,2.778,0,0,0,0,0,0,0
,Xavier  Legette,CAR,WR,1,11,9,92,1,20,64.516,2.9,11,35.484,3.091,0,0,0,0,0,0,0,0,0
,Daniel  Bellinger,NYG,TE,1,4,3,88,1,5,23.81,3,5,23.81,14.6,4,19.048,0,7,33.333,0,0,0,0
,Courtland  Sutton,DEN,WR,1,10,6,87,0,36,75,1.806,12,25,1.833,0,0,0,0,0,0,0,0,0
,Marvin  Mims Jr.,DEN,WR,1,7,6,85,0,19,59.375,2,13,40.625,3.615,0,0,0,0,0,0,0,0,0
,George  Pickens,DAL,WR,1,6,4,82,0,27,90,2.667,3,10,3.333,0,0,0,0,0,0,0,0,0
,Juwan  Johnson,NO,TE,1,7,5,79,0,6,20,1,13,43.333,3.462,2,6.667,0,5,16.667,5.6,4,13.333,0
,Justin  Jefferson,MIN,WR,1,10,5,79,0,35,81.395,2.143,7,16.279,0,1,2.326,4,0,0,0,0,0,0
,Trey  McBride,ARZ,TE,1,13,10,74,2,5,11.905,1.6,27,64.286,1.037,0,0,0,7,16.667,4.857,3,7.143,1.333
,Romeo  Doubs,GB,WR,1,8,6,72,0,20,76.923,3.6,6,23.077,0,0,0,0,0,0,0,0,0,0
,Christian  McCaffrey,SF,RB,1,8,7,72,0,0,0,0,3,13.636,5.667,19,86.364,2.895,0,0,0,0,0,0
,Chimere  Dike,TEN,WR,1,4,4,70,1,5,20,3.6,18,72,2.611,2,8,2.5,0,0,0,0,0,0
,Stefon  Diggs,NE,WR,1,7,7,69,0,12,60,5,8,40,1.125,0,0,0,0,0,0,0,0,0
,Tyler  Warren,IND,TE,1,5,4,69,1,3,9.375,0,17,53.125,0.294,1,3.125,0,6,18.75,4.833,5,15.625,7
,Darnell  Mooney,ATL,WR,1,5,3,68,0,16,47.059,3.5,18,52.941,0.667,0,0,0,0,0,0,0,0,0
,Ladd  McConkey,LAC,WR,1,15,9,67,0,13,24.074,1.077,41,75.926,1.293,0,0,0,0,0,0,0,0,0
,Zay  Jones,ARZ,WR,1,2,2,67,0,20,90.909,3.35,2,9.091,0,0,0,0,0,0,0,0,0,0
,Theo  Johnson,NYG,TE,1,7,3,66,1,11,31.429,1.727,13,37.143,3.615,2,5.714,0,7,20,0,2,5.714,0
,Kyle  Pitts,ATL,TE,1,10,7,62,0,3,8.108,2.333,12,32.432,2.083,0,0,0,0,0,0,22,59.459,1.364
,Tyler  Johnson,NYJ,WR,1,3,3,60,0,3,27.273,11.667,8,72.727,3.125,0,0,0,0,0,0,0,0,0
,Jaylin  Lane,WAS,WR,1,6,3,60,0,13,46.429,4.077,14,50,0.5,0,0,0,0,0,0,1,3.571,0
,Chris  Moore,WAS,WR,1,5,2,59,0,23,82.143,2.565,5,17.857,0,0,0,0,0,0,0,0,0,0
,Michael  Pittman,IND,WR,1,9,7,58,1,24,77.419,1.625,6,19.355,2.5,0,0,0,0,0,0,1,3.226,4
,Marvin  Harrison Jr.,ARZ,WR,1,6,2,58,0,28,71.795,2.071,11,28.205,0,0,0,0,0,0,0,0,0,0
,Tucker  Kraft,GB,TE,1,10,5,58,1,5,19.231,0,7,26.923,6.429,1,3.846,0,2,7.692,3.5,11,42.308,0.545
,Kayshon  Boutte,NE,WR,1,2,2,55,1,18,85.714,3.056,3,14.286,0,0,0,0,0,0,0,0,0,0
,Travis  Kelce,KC,TE,1,3,3,54,0,11,35.484,4,7,22.581,1.429,0,0,0,2,6.452,0,11,35.484,0
,Parker  Washington,JAX,WR,1,10,4,52,0,31,63.265,1.161,17,34.694,0.941,1,2.041,0,0,0,0,0,0,0
,Bijan  Robinson,ATL,RB,1,8,6,52,1,8,22.222,0.875,4,11.111,4.75,24,66.667,1.083,0,0,0,0,0,0
,DK  Metcalf,PIT,WR,1,5,3,50,0,28,82.353,1.786,5,14.706,0,0,0,0,0,0,0,1,2.941,0
,Dyami  Brown,JAX,WR,1,4,2,50,0,14,82.353,3.571,3,17.647,0,0,0,0,0,0,0,0,0,0
,Andrei  Iosivas,CIN,WR,1,4,3,49,0,11,29.73,1.091,26,70.27,1.423,0,0,0,0,0,0,0,0,0
,Mack  Hollins,NE,WR,1,2,2,49,0,9,60,5.444,6,40,0,0,0,0,0,0,0,0,0,0
,Colby  Parkinson,LA,TE,1,3,3,47,0,1,6.667,0,1,6.667,0,0,0,0,10,66.667,3.9,3,20,2.667
,Dee  Eskridge,MIA,WR,1,2,2,45,0,9,75,5,3,25,0,0,0,0,0,0,0,0,0,0
,Noah  Fant,CIN,TE,1,4,4,44,1,7,17.949,0,10,25.641,0.5,0,0,0,6,15.385,5.167,16,41.026,0.5
,DJ  Moore,CHI,WR,1,5,3,43,0,17,68,1,7,28,3.714,1,4,0,0,0,0,0,0,0
,T.J.  Hockenson,MIN,TE,1,9,6,43,0,4,10.256,0,13,33.333,2.231,2,5.128,0,7,17.949,0.429,13,33.333,0.846
,Tony  Pollard,TEN,RB,1,6,6,43,0,1,4.348,0,0,0,0,22,95.652,1.955,0,0,0,0,0,0
,Rashee  Rice,KC,WR,1,10,7,42,2,10,58.824,2.3,6,35.294,3.167,1,5.882,0,0,0,0,0,0,0
,Brashard  Smith,KC,RB,1,5,5,42,0,3,37.5,7.333,3,37.5,2.333,2,25,6.5,0,0,0,0,0,0
,Evan  Engram,DEN,TE,1,8,5,42,0,8,21.053,2.125,14,36.842,1.429,0,0,0,7,18.421,0,9,23.684,0.556
,Drake  London,ATL,WR,1,10,4,42,0,31,79.487,1.355,8,20.513,0,0,0,0,0,0,0,0,0,0
,Van  Jefferson,TEN,WR,1,4,4,41,0,29,90.625,1,3,9.375,4,0,0,0,0,0,0,0,0,0
,Rashid  Shaheed,NO,WR,1,9,4,40,0,17,54.839,1.529,14,45.161,1,0,0,0,0,0,0,0,0,0
,Michael  Wilson,ARZ,WR,1,4,3,40,0,16,47.059,1.125,18,52.941,1.222,0,0,0,0,0,0,0,0,0
,Tyquan  Thornton,KC,WR,1,2,1,39,0,9,81.818,0,2,18.182,19.5,0,0,0,0,0,0,0,0,0
,Jonathan  Taylor,IND,RB,1,3,3,38,0,0,0,0,3,9.375,0,29,90.625,1.31,0,0,0,0,0,0
,Jalen  Nailor,MIN,WR,1,4,2,37,0,10,38.462,0,16,61.538,2.313,0,0,0,0,0,0,0,0,0
,Matthew  Golden,GB,WR,1,4,4,37,0,11,44,0.909,13,52,2.077,1,4,0,0,0,0,0,0,0
,Zach  Ertz,WAS,TE,1,7,3,37,1,3,10.714,0,17,60.714,1.882,0,0,0,3,10.714,0,5,17.857,1
,Harold  Fannin Jr.,CLV,TE,1,5,4,36,0,2,11.111,0,6,33.333,-0.167,0,0,0,5,27.778,3.8,5,27.778,3.6
,Gunnar  Helm,TEN,TE,1,5,4,36,0,2,11.111,0,8,44.444,3.125,0,0,0,2,11.111,0,6,33.333,1.833
,Robbie  Chosen,WAS,WR,1,4,4,36,0,18,90,1.722,1,5,5,0,0,0,0,0,0,1,5,0
,Davante  Adams,LA,WR,1,8,5,35,3,25,96.154,1.4,1,3.846,0,0,0,0,0,0,0,0,0,0
,Xavier  Worthy,KC,WR,1,4,3,35,0,13,52,1.154,11,44,1.818,1,4,0,0,0,0,0,0,0
,JuJu  Smith-Schuster,KC,WR,1,3,3,35,0,5,26.316,0,14,73.684,2.5,0,0,0,0,0,0,0,0,0
,Cam  Skattebo,NYG,RB,1,6,3,34,1,0,0,0,1,4.762,0,20,95.238,1.7,0,0,0,0,0,0
,Tre  Tucker,LV,WR,1,6,5,33,0,10,58.824,2.9,7,41.176,0.571,0,0,0,0,0,0,0,0,0
,Tetairoa  McMillan,CAR,WR,1,5,3,33,0,26,81.25,0.846,6,18.75,1.833,0,0,0,0,0,0,0,0,0
,Hunter  Henry,NE,TE,1,5,4,33,0,4,16,0,14,56,2.286,0,0,0,3,12,0,4,16,0.25
,Jaylen  Warren,PIT,RB,1,5,4,31,0,2,11.111,3.5,0,0,0,16,88.889,1.5,0,0,0,0,0,0
,Brian  Thomas Jr.,JAX,WR,1,7,3,31,0,30,76.923,1,9,23.077,0.111,0,0,0,0,0,0,0,0,0
,Terrance  Ferguson,LA,TE,1,3,1,31,1,6,50,0,3,25,0,1,8.333,0,1,8.333,31,1,8.333,0
,Rome  Odunze,CHI,WR,1,6,2,31,0,17,62.963,0.647,9,33.333,2.222,1,3.704,0,0,0,0,0,0,0
,Mason  Taylor,NYJ,TE,1,5,3,31,0,10,25.641,1.8,11,28.205,1.182,2,5.128,0,2,5.128,0,14,35.897,0
,Jauan  Jennings,SF,WR,1,7,4,31,0,12,48,0.917,13,52,1.538,0,0,0,0,0,0,0,0,0
,Malik  Washington,MIA,WR,1,8,5,30,0,12,42.857,0.833,14,50,1.429,2,7.143,0,0,0,0,0,0,0
,Quentin  Johnston,LAC,WR,1,6,2,30,1,48,90.566,0.625,5,9.434,0,0,0,0,0,0,0,0,0,0
,Josh  Reynolds,NYJ,WR,1,9,3,29,0,30,81.081,0.967,7,18.919,0,0,0,0,0,0,0,0,0,0
,Elic  Ayomanor,TEN,WR,1,5,2,29,0,32,84.211,0.906,6,15.789,0,0,0,0,0,0,0,0,0,0
,Jake  Ferguson,DAL,TE,1,7,7,29,2,1,3.571,15,10,35.714,0.4,0,0,0,10,35.714,1.1,7,25,-0.143
,Jonnu  Smith,PIT,TE,1,6,3,28,1,5,17.241,0,13,44.828,0.769,2,6.897,0,2,6.897,0,7,24.138,2.571
,Tanner  Conner,MIA,TE,1,3,1,28,0,1,7.143,0,4,28.571,0,0,0,0,3,21.429,9.333,6,42.857,0
,Noah  Gray,KC,TE,1,1,1,28,0,1,6.25,0,5,31.25,0,0,0,0,5,31.25,0,5,31.25,5.6
,Michael  Carter,ARZ,RB,1,2,2,25,0,0,0,0,0,0,0,18,100,1.389,0,0,0,0,0,0
,Colston  Loveland,CHI,TE,1,4,3,24,0,3,18.75,0,5,31.25,1.8,0,0,0,1,6.25,0,7,43.75,2.143
,Mitchell  Evans,CAR,TE,1,3,2,24,0,0,0,0,1,7.692,0,0,0,0,8,61.538,1.625,4,30.769,2.75
,Chuba  Hubbard,CAR,RB,1,3,2,24,0,4,17.391,0,0,0,0,19,82.609,1.263,0,0,0,0,0,0
,Jamari  Thrash,CLV,WR,1,2,1,23,0,2,22.222,0,7,77.778,3.286,0,0,0,0,0,0,0,0,0
,Tre  Harris,LAC,WR,1,2,2,23,0,10,50,1.4,9,45,1,1,5,0,0,0,0,0,0,0
,Jeremy  McNichols,WAS,RB,1,3,2,23,0,2,12.5,0,4,25,2.75,10,62.5,1.2,0,0,0,0,0,0
,Tim  Patrick,JAX,WR,1,1,1,22,0,6,85.714,3.667,1,14.286,0,0,0,0,0,0,0,0,0,0
,Luther  Burden III,CHI,WR,1,2,1,22,0,3,37.5,0,5,62.5,4.4,0,0,0,0,0,0,0,0,0
,Isaiah  Davis,NYJ,RB,1,4,2,22,0,2,8.696,0,2,8.696,6,19,82.609,0.526,0,0,0,0,0,0
,Nate  Adkins,DEN,TE,1,3,2,20,0,1,10,15,2,20,2.5,1,10,0,0,0,0,6,60,0
,Tyler  Higbee,LA,TE,1,6,3,19,0,1,8.333,0,2,16.667,0,2,16.667,0,4,33.333,2.25,3,25,3.333
,Troy  Franklin,DEN,WR,1,10,3,19,1,18,45,1.056,22,55,0,0,0,0,0,0,0,0,0,0
,Tyler  Badie,DEN,RB,1,2,2,19,0,0,0,0,5,33.333,0,10,66.667,1.9,0,0,0,0,0,0
,Dallas  Goedert,PHI,TE,1,3,3,18,0,8,30.769,0,11,42.308,1.182,0,0,0,3,11.538,1.667,4,15.385,0
,Tyler  Lockett,TEN,WR,1,2,2,18,0,4,40,4.5,6,60,0,0,0,0,0,0,0,0,0,0
,Tyjae  Spears,TEN,RB,1,4,3,18,0,0,0,0,0,0,0,13,81.25,0.538,0,0,0,3,18.75,3.667
