BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT
,Roman  Wilson,PIT,WR,1,2,2,17,0,13,68.421,1,6,31.579,0.667,0,0,0,0,0,0,0,0,0
,Jerry  Jeudy,CLV,WR,1,4,2,17,0,15,88.235,1.133,1,5.882,0,0,0,0,0,0,0,1,5.882,0
,Rico  Dowdle,CAR,RB,1,2,1,17,0,0,0,0,2,16.667,0,10,83.333,1.7,0,0,0,0,0,0
,DeMario  Douglas,NE,WR,1,3,3,17,0,1,9.091,0,9,81.818,1.889,1,9.091,0,0,0,0,0,0,0
,KaVontae  Turpin,DAL,WR,1,1,1,17,0,2,16.667,0,10,83.333,1.7,0,0,0,0,0,0,0,0,0
,Casey  Washington,ATL,WR,1,2,1,17,0,6,100,2.833,0,0,0,0,0,0,0,0,0,0,0,0
,Hunter  Long,JAX,TE,1,3,2,16,0,5,12.821,0,6,15.385,0,1,2.564,0,3,7.692,0,24,61.538,0.667
,Cole  Kmet,CHI,TE,1,1,1,16,0,1,11.111,0,4,44.444,0,0,0,0,2,22.222,8,2,22.222,0
,De'Von  Achane,MIA,RB,1,5,3,16,0,1,6.667,0,4,26.667,0,9,60,0,0,0,0,1,6.667,16
,Nick  Westbrook-Ikhine,MIA,WR,1,4,3,16,0,17,56.667,0.941,13,43.333,0,0,0,0,0,0,0,0,0,0
,Allen  Lazard,NYJ,WR,1,3,2,16,0,7,31.818,1.286,14,63.636,0.5,0,0,0,0,0,0,1,4.545,0
,Jalen  Tolbert,DAL,WR,1,2,1,16,0,7,63.636,0,4,36.364,4,0,0,0,0,0,0,0,0,0
,Xavier  Smith,LA,WR,1,3,2,15,0,2,12.5,3,14,87.5,0.643,0,0,0,0,0,0,0,0,0
,Jaylen  Waddle,MIA,WR,1,4,1,15,0,19,79.167,0.789,5,20.833,0,0,0,0,0,0,0,0,0,0
,Kimani  Vidal,LAC,RB,1,5,4,15,0,0,0,0,0,0,0,34,94.444,0.206,0,0,0,1,2.778,0
,Skyy  Moore,SF,WR,1,1,1,15,0,2,66.667,0,0,0,0,1,33.333,15,0,0,0,0,0,0
,D'Andre  Swift,CHI,RB,1,1,1,14,0,1,6.25,0,1,6.25,0,14,87.5,1,0,0,0,0,0,0
,Marquise  Brown,KC,WR,1,4,2,14,1,12,70.588,0,5,29.412,2.8,0,0,0,0,0,0,0,0,0
,Breece  Hall,NYJ,RB,1,3,2,14,0,3,17.647,2.667,0,0,0,14,82.353,0.429,0,0,0,0,0,0
,Kendrick  Bourne,SF,WR,1,2,2,14,0,19,82.609,0.737,4,17.391,0,0,0,0,0,0,0,0,0,0
,Kyle  Monangai,CHI,RB,1,3,2,13,0,0,0,0,0,0,0,11,100,1.182,0,0,0,0,0,0
,Ashton  Jeanty,LV,RB,1,1,1,13,0,0,0,0,0,0,0,11,100,1.182,0,0,0,0,0,0
,Jack  Bech,LV,WR,1,2,2,13,0,8,53.333,0.875,7,46.667,0.857,0,0,0,0,0,0,0,0,0
,Taysom  Hill,NO,QB,1,2,2,12,0,1,16.667,0,1,16.667,0,1,16.667,0,0,0,0,3,50,4
,Travis  Etienne,JAX,RB,1,3,1,11,0,0,0,0,3,11.111,0,24,88.889,0.458,0,0,0,0,0,0
,Kyren  Williams,LA,RB,1,3,2,11,0,0,0,0,5,21.739,0,17,73.913,0.647,0,0,0,1,4.348,0
,Austin  Hooper,NE,TE,1,2,2,11,1,1,11.111,3,1,11.111,0,0,0,0,5,55.556,0,2,22.222,4
,Luke  Farrell,SF,TE,1,1,1,11,0,0,0,0,1,16.667,0,0,0,0,1,16.667,0,4,66.667,2.75
,Jerome  Ford,CLV,RB,1,2,2,10,0,0,0,0,0,0,0,8,80,1.25,0,0,0,2,20,0
,Michael  Mayer,LV,TE,1,2,1,10,0,2,11.111,0,3,16.667,0,1,5.556,0,4,22.222,2.5,8,44.444,0
,Adam  Thielen,MIN,WR,1,2,1,10,0,2,33.333,5,4,66.667,0,0,0,0,0,0,0,0,0,0
,Kyle  Juszczyk,SF,FB,1,1,1,10,0,5,45.455,2,1,9.091,0,2,18.182,0,0,0,0,3,27.273,0
,Jordan  Whittington,LA,WR,1,4,2,9,0,8,34.783,1.125,13,56.522,0,2,8.696,0,0,0,0,0,0,0
,Johnny  Mundt,JAX,TE,1,4,1,9,0,4,25,2.25,1,6.25,0,1,6.25,0,0,0,0,10,62.5,0
,Olamide  Zaccheaus,CHI,WR,1,3,2,9,0,9,50,1,9,50,0,0,0,0,0,0,0,0,0,0
,Dylan  Sampson,CLV,RB,1,1,1,9,0,2,50,4.5,1,25,0,1,25,0,0,0,0,0,0,0
,Josh  Oliver,MIN,TE,1,1,1,9,0,0,0,0,1,6.25,9,0,0,0,9,56.25,0,6,37.5,0
,Jimmy  Horn Jr.,CAR,WR,1,2,1,8,0,2,28.571,4,4,57.143,0,1,14.286,0,0,0,0,0,0,0
,Ameer  Abdullah,IND,RB,1,1,1,8,0,0,0,0,1,50,0,1,50,8,0,0,0,0,0,0
,Adonai  Mitchell,IND,WR,1,1,1,8,0,3,60,0,2,40,4,0,0,0,0,0,0,0,0,0
,Will  Shipley,PHI,RB,1,1,1,7,0,0,0,0,0,0,0,7,100,1,0,0,0,0,0,0
,Bam  Knight,ARZ,RB,1,4,3,7,0,1,7.692,0,0,0,0,12,92.308,0.583,0,0,0,0,0,0
,Blake  Corum,LA,RB,1,1,1,6,0,1,11.111,0,0,0,0,8,88.889,0.75,0,0,0,0,0,0
,Pat  Bryant,DEN,WR,1,4,1,6,0,9,47.368,0,10,52.632,0.6,0,0,0,0,0,0,0,0,0
,Mo  Alie-Cox,IND,TE,1,2,1,6,0,0,0,0,0,0,0,0,0,0,5,55.556,1.2,4,44.444,0
,John  FitzPatrick,GB,TE,1,1,1,6,0,2,22.222,3,1,11.111,0,0,0,0,5,55.556,0,1,11.111,0
,Konata  Mumpfield,LA,WR,1,1,1,5,1,4,66.667,1.25,2,33.333,0,0,0,0,0,0,0,0,0,0
,Greg  Dortch,ARZ,WR,1,2,2,5,0,2,33.333,0,4,66.667,1.25,0,0,0,0,0,0,0,0,0
,Dontayvion  Wicks,GB,WR,1,2,1,5,0,2,22.222,0,7,77.778,0.714,0,0,0,0,0,0,0,0,0
,John  Bates,WAS,TE,1,2,1,5,0,1,7.692,0,2,15.385,0,0,0,0,5,38.462,1,5,38.462,0
,Davis  Allen,LA,TE,1,1,1,4,0,1,8.333,0,2,16.667,0,0,0,0,2,16.667,0,7,58.333,0.571
,LeQuint  Allen Jr.,JAX,RB,1,1,1,4,0,0,0,0,4,22.222,0,14,77.778,0.286,0,0,0,0,0,0
,Blake  Whiteheart,CLV,TE,1,1,1,4,0,1,11.111,0,2,22.222,0,0,0,0,2,22.222,0,4,44.444,1
,Brandin  Cooks,NO,WR,1,1,1,3,0,13,52,0,12,48,0.25,0,0,0,0,0,0,0,0,0
,Elijah  Higgins,ARZ,TE,1,1,1,3,0,0,0,0,3,18.75,0,1,6.25,0,1,6.25,0,11,68.75,0.273
,Josh  Jacobs,GB,RB,1,1,1,3,0,0,0,0,0,0,0,16,94.118,0,0,0,0,1,5.882,3
,Hunter  Luepke,DAL,FB,1,1,1,3,0,0,0,0,1,20,0,3,60,1,0,0,0,1,20,0
,Darnell  Washington,PIT,TE,1,5,3,2,1,3,15.789,0,3,15.789,0,0,0,0,9,47.368,-0.889,4,21.053,2.5
,Ollie  Gordon II,MIA,RB,1,2,1,2,0,0,0,0,1,10,0,9,90,0.222,0,0,0,0,0,0
,Raheem  Mostert,LV,RB,1,1,1,2,0,0,0,0,0,0,0,7,100,0.286,0,0,0,0,0,0
,Zavier  Scott,MIN,RB,1,1,1,2,0,1,20,0,0,0,0,4,80,0.5,0,0,0,0,0,0
,RJ  Harvey,DEN,RB,1,2,1,2,1,3,21.429,0,4,28.571,0,7,50,0.286,0,0,0,0,0,0
,Hassan  Haskins,LAC,RB,1,2,2,2,0,1,5,0,0,0,0,19,95,0.105,0,0,0,0,0,0
,Javonte  Williams,DAL,RB,1,4,1,2,0,0,0,0,0,0,0,23,100,0.087,0,0,0,0,0,0
,Kenneth  Gainwell,PIT,RB,1,2,2,1,0,1,6.25,0,1,6.25,0,12,75,0.083,0,0,0,2,12.5,0
,Alvin  Kamara,NO,RB,1,3,3,1,0,2,6.25,0,0,0,0,30,93.75,0.033,0,0,0,0,0,0
,Julian  Hill,MIA,TE,1,2,1,1,0,4,25,0,5,31.25,0,1,6.25,0,4,25,0.25,2,12.5,0
,Dylan  Laube,LV,RB,1,1,1,1,0,0,0,0,0,0,0,2,100,0.5,0,0,0,0,0,0
,Connor  Heyward,PIT,TE,1,1,0,0,0,0,0,0,1,50,0,1,50,0,0,0,0,0,0,0
,Samaje  Perine,CIN,RB,1,0,0,0,0,1,5.882,0,0,0,0,13,76.471,0,0,0,0,3,17.647,0
,Drew  Sample,CIN,TE,1,0,0,0,0,1,4.545,0,5,22.727,0,1,4.545,0,2,9.091,0,13,59.091,0
,Mitchell  Tinsley,CIN,WR,1,0,0,0,0,4,80,0,1,20,0,0,0,0,0,0,0,0,0,0
,Tutu  Atwell,LA,WR,1,0,0,0,0,6,66.667,0,2,22.222,0,1,11.111,0,0,0,0,0,0,0
,Bhayshul  Tuten,JAX,RB,1,0,0,0,0,1,9.091,0,0,0,0,10,90.909,0,0,0,0,0,0,0
,Kendre  Miller,NO,RB,1,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0
,Devaughn  Vele,NO,WR,1,0,0,0,0,3,42.857,0,4,57.143,0,0,0,0,0,0,0,0,0,0
,Jack  Stoll,NO,TE,1,1,0,0,0,0,0,0,1,20,0,0,0,0,3,60,0,1,20,0
,Darren  Waller,MIA,TE,1,0,0,0,0,3,42.857,0,2,28.571,0,0,0,0,2,28.571,0,0,0,0
,Alec  Ingold,MIA,FB,1,0,0,0,0,0,0,0,1,9.091,0,4,36.364,0,0,0,0,6,54.545,0
,Quinshon  Judkins,CLV,RB,1,0,0,0,0,0,0,0,1,14.286,0,6,85.714,0,0,0,0,0,0,0
,Isaiah  Bond,CLV,WR,1,0,0,0,0,10,76.923,0,3,23.077,0,0,0,0,0,0,0,0,0,0
,Gage  Larvadain,CLV,WR,1,1,0,0,0,3,75,0,1,25,0,0,0,0,0,0,0,0,0,0
,Dont'e  Thornton Jr.,LV,WR,1,3,0,0,0,11,68.75,0,5,31.25,0,0,0,0,0,0,0,0,0,0
,Ian  Thomas,LV,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,0,1,25,0
,Kareem  Hunt,KC,RB,1,0,0,0,0,0,0,0,0,0,0,7,100,0,0,0,0,0,0,0
,Jahan  Dotson,PHI,WR,1,0,0,0,0,8,50,0,8,50,0,0,0,0,0,0,0,0,0,0
,Kylen  Granson,PHI,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33.333,0,4,66.667,0
,Jordan  Mason,MIN,RB,1,0,0,0,0,0,0,0,1,2.857,0,34,97.143,0,0,0,0,0,0,0
,Arian  Smith,NYJ,WR,1,3,1,0,0,19,51.351,0,18,48.649,0,0,0,0,0,0,0,0,0,0
,Jeremy  Ruckert,NYJ,TE,1,1,0,0,0,3,27.273,0,0,0,0,0,0,0,6,54.545,0,2,18.182,0
,Tommy  Tremble,CAR,TE,1,1,1,0,0,2,11.111,0,5,27.778,0,1,5.556,0,3,16.667,0,7,38.889,0
,Trevor  Etienne,CAR,RB,1,0,0,0,0,0,0,0,1,50,0,1,50,0,0,0,0,0,0,0
,Ja'Tavion  Sanders,CAR,TE,1,2,0,0,0,4,30.769,0,6,46.154,0,0,0,0,1,7.692,0,2,15.385,0
,Brycen  Tremayne,CAR,WR,1,0,0,0,0,2,66.667,0,1,33.333,0,0,0,0,0,0,0,0,0,0
,Chig  Okonkwo,TEN,TE,1,2,0,0,0,0,0,0,14,56,0,1,4,0,3,12,0,7,28,0
,Rhamondre  Stevenson,NE,RB,1,2,2,0,0,3,13.043,0,1,4.348,0,19,82.609,0,0,0,0,0,0,0
,Kyle  Williams,NE,WR,1,1,0,0,0,4,80,0,1,20,0,0,0,0,0,0,0,0,0,0
,TreVeyon  Henderson,NE,RB,1,0,0,0,0,1,20,0,0,0,0,4,80,0,0,0,0,0,0,0
,Lil'Jordan  Humphrey,NYG,WR,1,2,0,0,0,26,72.222,0,10,27.778,0,0,0,0,0,0,0,0,0,0
,Tyrone  Tracy Jr.,NYG,RB,1,0,0,0,0,1,6.25,0,1,6.25,0,14,87.5,0,0,0,0,0,0,0
,Trent  Sherfield,DEN,WR,1,0,0,0,0,2,66.667,0,0,0,0,1,33.333,0,0,0,0,0,0,0
,Adam  Trautman,DEN,TE,1,0,0,0,0,0,0,0,2,18.182,0,0,0,0,5,45.455,0,4,36.364,0
,Beaux  Collins,NYG,WR,1,1,0,0,0,1,50,0,1,50,0,0,0,0,0,0,0,0,0,0
,Jalin  Hyatt,NYG,WR,1,1,0,0,0,13,92.857,0,1,7.143,0,0,0,0,0,0,0,0,0,0
,Adam  Prentice,DEN,FB,1,1,0,0,0,0,0,0,0,0,0,2,100,0,0,0,0,0,0,0
,Tucker  Fisk,LAC,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,0,3,50,0
,Will  Dissly,LAC,TE,1,1,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,1,50,0
