BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,FUM,FUML,SNP,SNP%,ATT%,TCH,TCH%,OPP,OPP%,rATT%,rTCH%,rOPP%,ATT/G,TCH/G
,Tony Pollard,TEN,RB,1,25,161,6.44,2,0,0,38,59.375,71.429,25,51.02,25,39.063,75.758,51.02,39.063,25,25
,Blake Corum,LA,RB,1,12,128,10.667,2,0,0,21,31.343,33.333,13,22.414,13,19.403,36.364,22.414,19.403,12,13
,Saquon Barkley,PHI,RB,1,20,122,6.1,1,0,0,53,77.941,80,20,43.478,20,30.303,95.238,43.478,30.303,20,20
,Jaylen Wright,MIA,RB,1,24,107,4.458,1,0,0,30,47.619,58.537,24,44.444,24,38.095,63.158,44.444,38.095,24,24
,Derrick Henry,BLT,RB,1,25,94,3.76,0,0,0,44,53.659,62.5,26,44.068,26,33.766,75.758,44.068,33.766,25,26
,De'Von Achane,MIA,RB,1,7,92,13.143,1,0,0,22,34.921,17.073,8,14.815,8,12.698,18.421,14.815,12.698,7,8
,Bijan Robinson,ATL,RB,1,20,86,4.3,0,1,1,43,69.355,64.516,22,47.826,22,35.484,64.516,47.826,35.484,20,22
,Josh Jacobs,GB,RB,1,20,86,4.3,1,0,0,37,71.154,76.923,22,51.163,22,42.308,80,51.163,42.308,20,22
,Kyren Williams,LA,RB,1,13,84,6.462,1,0,0,35,52.239,36.111,15,25.862,15,22.388,39.394,25.862,22.388,13,15
,James Cook,BUF,RB,1,18,80,4.444,0,2,1,45,69.231,62.069,20,39.216,20,33.333,90,39.216,33.333,18,20
,Josh Allen,BUF,QB,1,9,78,8.667,1,0,0,66,101.538,31.034,9,17.647,9,15,0,0,0,9,9
,Keaton Mitchell,BLT,RB,1,6,76,12.667,0,0,0,11,13.415,15,6,10.169,6,7.792,18.182,10.169,7.792,6,6
,Aaron Jones,MIN,RB,1,14,76,5.429,0,0,0,27,42.857,41.176,14,28,14,22.951,50,28,22.951,14,14
,RJ Harvey,DEN,RB,1,17,75,4.412,1,0,0,49,66.216,54.839,23,37.097,23,31.944,60.714,37.097,31.944,17,23
,Travis Etienne,JAX,RB,1,20,74,3.7,2,0,0,45,69.231,62.5,21,42,21,33.333,80,42,33.333,20,21
,Jonathan Taylor,IND,RB,1,21,74,3.524,1,1,1,46,70.769,80.769,21,42.857,21,33.333,91.304,42.857,33.333,21,21
,Devin Neal,NO,RB,1,19,70,3.684,1,0,0,39,69.643,59.375,20,44.444,20,36.364,82.609,44.444,36.364,19,20
,Woody Marks,HST,RB,1,26,68,2.615,0,0,0,58,87.879,83.871,28,60.87,28,43.077,89.655,60.87,43.077,26,28
,Javonte Williams,DAL,RB,1,17,67,3.941,1,0,0,63,80.769,70.833,19,34.545,19,25,80.952,34.545,25,17,19
,Justin Herbert,LAC,QB,1,10,66,6.6,0,0,0,79,100,26.316,10,20,10,14.085,0,0,0,10,10
,D'Andre Swift,CHI,RB,1,13,63,4.846,0,0,0,39,54.93,40.625,16,31.373,16,23.529,46.429,31.373,23.529,13,16
,David Montgomery,DET,RB,1,6,60,10,1,0,0,17,29.825,27.273,7,14.894,7,12.281,30,14.894,12.281,6,7
,Patrick Mahomes,KC,QB,1,7,59,8.429,0,0,0,72,101.408,24.138,8,18.605,8,12.5,0,0,0,7,8
,Kyle Monangai,CHI,RB,1,14,57,4.071,0,0,0,28,39.437,43.75,15,29.412,15,22.059,50,29.412,22.059,14,15
,Omarion Hampton,LAC,RB,1,13,56,4.308,0,0,0,22,27.848,34.211,15,30,15,21.127,46.429,37.5,24.59,13,15
,Tyler Shough,NO,QB,1,7,55,7.857,2,0,0,56,100,21.875,7,15.556,7,12.727,0,0,0,7,7
,Bucky Irving,TB,RB,1,15,55,3.667,0,0,0,36,48.649,38.462,17,32.075,17,24.638,45.455,32.075,24.638,15,17
,Rachaad White,TB,RB,1,11,53,4.818,0,0,0,34,45.946,28.205,12,22.642,12,17.391,33.333,22.642,17.391,11,12
