BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
,Jake  Tonges,SF,TE,1,61,73.494,11,7,41,1,3.727,5.857,63.636,25,3.571,3,11,0,11,7,41,1,1,-0.244,-0.022,5.632,0.9,17.1,17.1
,Jordan  Addison,MIN,WR,1,44,68.75,6,5,41,1,6.833,8.2,83.333,12,2.4,3,15,0,6,5,41,1,1,4.107,0.685,18.098,23.97,15.1,15.1
,Trey  McBride,ARZ,TE,1,58,87.879,7,5,41,0,5.857,8.2,71.429,28,5.6,2,12,0,7,5,41,1,0,2.28,0.326,-5.484,-18.37,9.1,9.1
,Quentin  Johnston,LAC,WR,1,53,79.104,4,4,40,0,10,10,100,15,3.75,3,16,0,4,4,40,0,0,-1.929,-0.482,-8.689,-40.91,8.9,8.9
,Demarcus  Robinson,SF,WR,1,69,83.133,7,3,39,0,5.571,13,42.857,6,2,2,18,0,7,3,39,2,0,0.457,0.065,-5.382,-22.38,6.9,6.9
,Michael  Pittman,IND,WR,1,45,78.947,6,5,39,1,6.5,7.8,83.333,12,2.4,3,16,0,6,5,39,1,1,3.238,0.54,15.906,20.54,14.9,14.9
,Tory  Horton,SEA,WR,1,25,46.296,4,3,39,1,9.75,13,75,12,4,2,21,0,4,3,39,1,0,4.701,1.175,21.773,53.92,12.9,12.9
,Ladd  McConkey,LAC,WR,1,51,76.119,7,5,39,1,5.571,7.8,71.429,7,1.4,3,13,0,7,5,39,2,1,1.238,0.177,3.654,-6.13,14.9,14.9
,Jacory  Croskey-Merritt,WAS,RB,1,27,45,2,2,39,0,19.5,19.5,100,37,18.5,2,28,0,2,2,39,0,0,2.783,1.392,20.21,163.19,29,29
,T.J.  Hockenson,MIN,TE,1,51,79.688,6,6,38,0,6.333,6.333,100,31,5.167,2,14,0,6,6,38,0,0,2.054,0.342,11.476,24.93,9.8,9.8
,Albert  Okwuegbunam,LV,TE,1,30,45.455,6,5,36,0,6,7.2,83.333,34,6.8,2,16,0,6,5,36,1,0,1.616,0.269,-13.664,-35.24,8.6,8.6
,Josh  Palmer,BUF,WR,1,29,42.647,2,2,36,0,18,18,100,0,0,2,23,0,2,2,36,0,0,1.814,0.907,15.927,82.12,5.6,5.6
,Josh  Oliver,MIN,TE,1,27,42.188,3,2,35,1,11.667,17.5,66.667,21,10.5,1,32,0,3,2,35,0,0,2.608,0.869,10.741,39.99,11.5,11.5
,Troy  Franklin,DEN,WR,1,41,56.944,5,3,35,0,7,11.667,60,8,2.667,2,20,0,5,3,35,0,0,0.154,0.031,4.972,0.57,6.5,6.5
,Gunnar  Helm,TEN,TE,1,39,59.091,5,4,34,0,6.8,8.5,80,4,1,2,19,0,5,4,34,0,0,2.096,0.419,3.998,3.98,7.4,7.4
,Jordan  Whittington,LA,WR,1,26,40.625,3,2,33,0,11,16.5,66.667,12,6,2,22,0,3,2,33,0,0,1.365,0.455,7.729,19.58,5.3,5.3
,Theo  Johnson,NYG,TE,1,58,77.333,7,6,33,2,4.714,5.5,85.714,10,1.667,3,15,0,7,6,33,3,2,1.899,0.271,3.867,0.71,21.3,21.3
,Evan  Engram,DEN,TE,1,32,44.444,6,4,33,1,5.5,8.25,66.667,18,4.5,2,18,0,6,4,33,0,0,1.028,0.171,7.706,12.69,13.3,13.3
,Jahmyr  Gibbs,DET,RB,1,31,50.82,2,2,33,1,16.5,16.5,100,34,17,2,20,0,2,2,33,0,0,4.776,2.388,23.614,244.83,16.7,16.7
,Jayden  Higgins,HST,WR,1,38,55.882,4,4,32,0,8,8,100,7,1.75,1,14,0,4,4,32,0,0,1.749,0.437,9.76,17.62,7.2,7.2
,Jakobi  Meyers,LV,WR,1,57,86.364,6,4,32,0,5.333,8,66.667,7,1.75,2,16,0,6,4,32,2,0,2.027,0.338,5.97,1.69,7.2,7.2
,Brashard  Smith,KC,RB,1,5,7.353,3,3,32,0,10.667,10.667,100,38,12.667,1,15,0,3,3,32,0,0,1.281,0.427,14.735,93.78,6.6,6.6
,Xavier  Legette,CAR,WR,1,50,75.758,3,2,31,1,10.333,15.5,66.667,4,2,2,24,0,3,2,31,1,1,0.505,0.168,17.926,57.5,11.1,11.1
,Darius  Slayton,NYG,WR,1,53,70.667,6,3,31,0,5.167,10.333,50,24,8,1,16,0,6,3,31,0,0,-6.924,-1.154,-41.584,-100.29,6.1,6.1
,De'Von  Achane,MIA,RB,1,46,85.185,7,6,30,1,4.286,5,85.714,16,2.667,2,10,0,7,6,30,1,1,0.834,0.119,16.835,27.6,16.6,16.6
,Wan'Dale  Robinson,NYG,WR,1,65,86.667,7,5,30,0,4.286,6,71.429,21,4.2,0,12,0,7,5,30,0,0,-3.966,-0.567,-19.595,-55.67,8.2,8.2
,Rachaad  White,TB,RB,1,46,74.194,4,4,30,0,7.5,7.5,100,48,12,2,14,0,4,4,30,0,0,1.274,0.319,13.008,38.47,23.1,23.1
,Tyler  Conklin,LAC,TE,1,18,26.866,3,2,30,0,10,15,66.667,19,9.5,1,21,0,3,2,30,0,0,-3.958,-1.319,-0.971,-11.6,5,5
,Isaiah  Bond,CLV,WR,1,37,54.412,7,2,29,0,4.143,14.5,28.571,1,0.5,1,22,0,7,2,29,2,0,-4.224,-0.603,-30.721,-68.02,4.9,4.9
,Josh  Reynolds,NYJ,WR,1,53,69.737,4,3,29,0,7.25,9.667,75,2,0.667,1,13,0,4,3,29,0,0,2.072,0.518,3.312,-2.13,5.9,5.9
,Rico  Dowdle,CAR,RB,1,44,66.667,4,3,28,0,7,9.333,75,30,10,1,13,0,4,3,28,0,0,0.984,0.246,4.288,6.21,32.4,32.4
,Alvin  Kamara,NO,RB,1,33,54.098,6,4,28,0,4.667,7,66.667,14,3.5,2,12,0,6,4,28,0,0,-1.215,-0.202,3.665,-1.47,9.5,9.5
,Jeremy  Ruckert,NYJ,TE,1,25,32.895,4,4,28,0,7,7,100,12,3,0,9,0,4,4,28,0,0,0.889,0.222,4.797,14.19,6.8,6.8
,Isaiah  Davis,NYJ,RB,1,31,40.789,4,3,28,0,7,9.333,75,26,8.667,1,10,0,4,3,28,0,0,0.212,0.053,-1.13,-21.27,6.3,6.3
,Jalen  Nailor,MIN,WR,1,40,62.5,4,3,27,0,6.75,9,75,12,4,2,20,0,4,3,27,0,0,1.651,0.413,0.621,-10.81,7.2,7.2
,Jack  Bech,LV,WR,1,34,51.515,5,3,27,0,5.4,9,60,6,2,3,11,0,5,3,27,0,0,-3.376,-0.675,0.494,-11.45,5.7,5.7
,Chris  Godwin Jr.,TB,WR,1,46,74.194,4,3,26,0,6.5,8.667,75,18,6,2,13,0,4,3,26,0,0,1.795,0.449,2.63,-4.61,5.6,5.6
,Omarion  Hampton,LAC,RB,1,37,55.224,6,6,26,0,4.333,4.333,100,44,7.333,1,12,0,6,6,26,0,0,-0.845,-0.141,-8.331,-38.89,13,13
,Curtis  Samuel,BUF,WR,1,27,39.706,2,2,26,1,13,13,100,7,3.5,2,20,0,2,2,26,0,0,2.92,1.46,22.932,137.44,10.6,10.6
,Davis  Allen,LA,TE,1,36,56.25,2,2,24,0,12,12,100,6,3,2,20,0,2,2,24,0,0,1.668,0.834,9.032,46.53,4.4,4.4
,Jahan  Dotson,PHI,WR,1,38,67.857,3,1,24,0,8,24,33.333,3,3,1,24,0,3,1,24,0,0,-0.097,-0.032,2.351,-1.57,3.4,3.4
,Sterling  Shepard,TB,WR,1,26,41.935,5,4,24,1,4.8,6,80,9,2.25,1,11,0,5,4,24,1,1,0.074,0.015,8.809,15.2,11.9,11.9
,Brenden  Bates,HST,TE,1,10,14.706,2,2,23,0,11.5,11.5,100,0,0,2,19,0,2,2,23,0,0,2.613,1.307,10.857,67.46,4.3,4.3
,Keon  Coleman,BUF,WR,1,42,61.765,7,4,23,1,3.286,5.75,57.143,2,0.5,3,13,0,7,4,23,2,1,-4.468,-0.638,-24.488,-58.46,12.3,12.3
,Jamari  Thrash,CLV,WR,1,26,38.235,1,1,22,0,22,22,100,7,7,1,22,0,1,1,22,0,0,-0.369,-0.369,11.885,152.3,3.2,3.2
,Mark  Andrews,BLT,TE,1,24,60,3,2,22,0,7.333,11,66.667,5,2.5,2,12,0,3,2,22,0,0,-3.156,-1.052,7.436,29.28,4.2,4.2
,Julian  Hill,MIA,TE,1,27,50,5,4,22,0,4.4,5.5,80,10,2.5,0,8,0,5,4,22,1,0,-0.838,-0.168,-21.048,-82.01,6.2,6.2
,Michael  Carter,ARZ,RB,1,38,57.576,5,5,22,0,4.4,4.4,100,23,4.6,0,9,0,5,5,22,0,0,0.135,0.027,2.374,-6.17,18.3,18.3
,Tee  Higgins,CIN,WR,1,56,91.803,7,3,22,1,3.143,7.333,42.857,0,0,3,13,0,7,3,22,1,1,-0.774,-0.111,-8.79,-27.69,11.2,11.2
,Brenton  Strange,JAX,TE,1,21,34.426,1,1,22,0,22,22,100,24,24,1,22,0,1,1,22,0,0,1.296,1.296,9.499,135.91,3.2,3.2
,Kyle  Juszczyk,SF,FB,1,34,40.964,4,3,21,0,5.25,7,75,11,3.667,1,12,0,4,3,21,0,0,-1.143,-0.286,5.099,4.21,5,5
,Terrance  Ferguson,LA,TE,1,4,6.25,1,1,21,0,21,21,100,3,3,1,21,0,1,1,21,0,0,1.897,1.897,10.343,141.26,3.1,3.1
,Jimmy  Horn Jr.,CAR,WR,1,18,27.273,3,2,21,0,7,10.5,66.667,6,3,1,17,0,3,2,21,0,0,3.172,1.057,-0.635,-15.44,5.1,5.1
,Chase  Brown,CIN,RB,1,32,52.459,8,7,21,0,2.625,3,87.5,24,3.429,0,9,0,8,7,21,0,0,-4.548,-0.569,-23.595,-74.1,11.8,11.8
,Jerome  Ford,CLV,RB,1,25,36.765,2,2,20,0,10,10,100,27,13.5,1,17,0,2,2,20,0,0,1.01,0.505,10.311,80.49,5.8,5.8
,Jonathan  Taylor,IND,RB,1,43,75.439,4,3,20,0,5,6.667,75,14,4.667,0,8,0,4,3,20,0,0,0.117,0.029,3.317,0.73,29.6,29.6
,Ian  Thomas,LV,TE,1,36,54.545,3,3,20,0,6.667,6.667,100,17,5.667,1,10,0,3,3,20,0,0,1.209,0.403,0.722,-3.47,5,5
,Isiah  Pacheco,KC,RB,1,39,57.353,3,3,20,0,6.667,6.667,100,28,9.333,2,10,0,3,3,20,0,0,0.962,0.321,11.871,40.42,8.6,8.6
,Dallas  Goedert,PHI,TE,1,41,73.214,9,3,19,1,2.111,6.333,33.333,13,4.333,2,11,0,9,3,19,1,1,-1.503,-0.167,-32.582,-57.84,10.9,10.9
,Quinshon  Judkins,CLV,RB,1,36,52.941,2,1,18,0,9,18,50,16,16,1,18,0,2,1,18,0,0,1.27,0.635,7.997,57.01,13.8,13.8
,Xavier  Hutchinson,HST,WR,1,44,64.706,3,3,18,2,6,6,100,1,0.333,2,10,0,3,3,18,2,2,3.908,1.303,26.287,107.05,16.8,16.8
,RJ  Harvey,DEN,RB,1,15,20.833,3,3,18,0,6,6,100,12,4,0,11,0,3,3,18,0,0,3.418,1.139,0.879,-8.85,6,6
,Grant  Calcaterra,PHI,TE,1,7,12.5,2,2,18,0,9,9,100,12,6,1,11,0,2,2,18,0,0,0.814,0.407,4.458,18.29,3.8,3.8
,Elic  Ayomanor,TEN,WR,1,47,71.212,4,2,18,0,4.5,9,50,1,0.5,2,13,0,4,2,18,0,0,-1.099,-0.275,-1.454,-17.23,3.8,3.8
,Juwan  Johnson,NO,TE,1,53,86.885,4,2,17,0,4.25,8.5,50,2,1,1,19,0,4,2,17,1,0,-0.619,-0.155,-5.127,-26.59,3.7,3.7
,Chimere  Dike,TEN,WR,1,29,43.939,5,2,17,0,3.4,8.5,40,15,7.5,1,11,0,5,2,17,0,0,-1.231,-0.246,-14.751,-49.27,3.7,3.7
,DeMario  Douglas,NE,WR,1,16,27.586,3,2,17,0,5.667,8.5,66.667,12,6,0,10,0,3,2,17,1,0,-0.051,-0.017,-4.062,-33.92,3.7,3.7
,JuJu  Smith-Schuster,KC,WR,1,41,60.294,3,2,17,0,5.667,8.5,66.667,10,5,2,9,0,3,2,17,1,0,-11.695,-3.898,-1.206,-16.8,3.7,3.7
,Tanner  Conner,MIA,TE,1,11,20.37,2,2,16,0,8,8,100,3,1.5,0,15,0,2,2,16,0,0,0.27,0.135,-7.173,-72.32,3.6,3.6
,Tyler  Badie,DEN,RB,1,17,23.611,2,1,16,0,8,16,50,22,22,1,16,0,2,1,16,0,0,0.526,0.263,-2.852,-37.26,2.6,2.6
,Michael  Wilson,ARZ,WR,1,45,68.182,4,2,16,0,4,8,50,8,4,1,10,0,4,2,16,0,0,-1.55,-0.388,-9.976,-45.64,3.6,3.6
,Jaylin  Lane,WAS,WR,1,17,28.333,2,1,16,0,8,16,50,0,0,1,16,0,2,1,16,0,0,1.97,0.985,4.91,32.41,2.6,2.6
,Parker  Washington,JAX,WR,1,14,22.951,3,2,16,1,5.333,8,66.667,10,5,1,13,0,3,2,16,1,1,-3.377,-1.126,10.733,36.85,9.6,9.6
,Jerry  Jeudy,CLV,WR,1,60,88.235,5,2,15,0,3,7.5,40,3,1.5,1,9,0,5,2,15,0,0,-2.79,-0.558,-9.241,-41.1,3.5,3.5
,Trent  Sherfield,DEN,WR,1,14,19.444,2,1,15,0,7.5,15,50,9,9,1,15,0,2,1,15,0,0,0.093,0.046,1.04,-6,2.5,2.5
,Mike  Gesicki,CIN,TE,1,27,44.262,5,2,15,0,3,7.5,40,3,1.5,1,15,0,5,2,15,0,0,-7.658,-1.532,-24.783,-79.82,3.5,3.5
,Dawson  Knox,BUF,TE,1,33,48.529,2,2,15,0,7.5,7.5,100,8,4,1,8,0,2,2,15,0,0,1.082,0.541,5.092,28.57,3.5,3.5
,Dyami  Brown,JAX,WR,1,35,57.377,4,2,15,0,3.75,7.5,50,6,3,1,13,0,4,2,15,1,0,-0.76,-0.19,-10.162,-47.37,3.5,3.5
,Arian  Smith,NYJ,WR,1,42,55.263,1,1,14,0,14,14,100,10,10,1,14,0,1,1,14,0,0,0.994,0.994,4.41,42.98,2.4,2.4
,Oronde  Gadsden II,LAC,TE,1,33,49.254,1,1,14,0,14,14,100,8,8,1,14,0,1,1,14,0,0,0.664,0.664,4.242,30.95,2.4,2.4
,Harold  Fannin Jr.,CLV,TE,1,52,76.471,4,4,13,1,3.25,3.25,100,8,2,2,5,0,4,4,13,1,1,1.131,0.283,0.481,-5.76,11.3,11.3
,Jaylin  Noel,HST,WR,1,19,27.941,3,2,13,1,4.333,6.5,66.667,10,5,1,9,0,3,2,13,0,0,1.587,0.529,9.628,24.56,9.8,9.8
,Devaughn  Vele,NO,WR,1,23,37.705,2,2,13,0,6.5,6.5,100,7,3.5,1,7,0,2,2,13,0,0,1.457,0.729,5.642,21.1,3.3,3.3
,Bam  Knight,ARZ,RB,1,11,16.667,1,1,13,0,13,13,100,13,13,1,13,0,1,1,13,0,0,0.985,0.985,9.514,162.67,9.4,9.4
,Rhamondre  Stevenson,NE,RB,1,28,48.276,2,2,13,0,6.5,6.5,100,5,2.5,0,7,0,2,2,13,0,0,-4.737,-2.369,-14.27,-134.36,16.7,16.7
,Isaiah  Likely,BLT,TE,1,20,50,1,1,12,0,12,12,100,1,1,1,12,0,1,1,12,0,0,2.233,2.233,6.203,97.79,2.2,2.2
,Greg  Dortch,ARZ,WR,1,5,7.576,2,2,12,0,6,6,100,18,9,0,8,0,2,2,12,0,0,0.689,0.345,-0.578,-16.55,3.2,3.2
,Zach  Charbonnet,SEA,RB,1,31,57.407,2,1,12,0,6,12,50,8,8,0,12,0,2,1,12,0,0,-0.74,-0.37,-4.558,-70.28,11.8,11.8
,Isaac  TeSlaa,DET,WR,1,20,32.787,1,1,12,1,12,12,100,0,0,1,12,0,1,1,12,1,1,2.513,2.513,17.032,185.75,8.2,8.2
,Jeremy  McNichols,WAS,RB,1,13,21.667,2,1,12,0,6,12,50,18,18,1,12,0,2,1,12,0,0,0.418,0.209,4.594,28.52,2.8,2.8
