BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,TAR,REC,YDS,TD,YPT,YPR,CTCH%,YAC,YAC/R,FD,LG,100+,TAR/G,REC/G,YDS/G,EZ,EZTD,EPA,EPA/TAR,DYAR,DVOA,FPTS,PPG
,Emeka  Egbuka,TB,WR,1,49,79.032,7,7,163,1,23.286,23.286,100,32,4.571,6,57,1,7,7,163,1,1,16.008,2.287,93.601,183.87,29.3,29.3
,Stefon  Diggs,NE,WR,1,27,46.552,12,10,146,0,12.167,14.6,83.333,62,6.2,8,32,1,12,10,146,1,0,10.051,0.838,43.271,32.81,24.6,24.6
,Kendrick  Bourne,SF,WR,1,66,79.518,11,10,142,0,12.909,14.2,90.909,56,5.6,8,35,1,11,10,142,0,0,11.163,1.015,65.814,62.69,24.2,24.2
,Jaxon  Smith-Njigba,SEA,WR,1,48,88.889,9,8,132,1,14.667,16.5,88.889,36,4.5,6,53,1,9,8,132,1,1,10.98,1.22,57.826,71.97,27.2,27.2
,Calvin  Ridley,TEN,WR,1,43,65.152,10,5,131,0,13.1,26.2,50,17,3.4,5,47,1,10,5,131,0,0,11.818,1.182,26.84,20.9,18.1,18.1
,Justin  Jefferson,MIN,WR,1,60,93.75,11,7,123,0,11.182,17.571,63.636,40,5.714,6,38,1,11,7,123,1,0,8.634,0.785,22.52,12.58,19.3,19.3
,Rashid  Shaheed,NO,WR,1,40,65.574,5,4,114,1,22.8,28.5,80,49,12.25,3,87,1,5,4,114,0,0,10.32,2.064,40.814,89.2,21.4,21.4
,Ryan  Flournoy,DAL,WR,1,34,54.839,9,6,114,0,12.667,19,66.667,48,8,5,46,1,9,6,114,0,0,5.483,0.609,27.611,27.23,18.4,18.4
,DeVonta  Smith,PHI,WR,1,54,96.429,10,8,114,0,11.4,14.25,80,40,5,3,52,1,10,8,114,1,0,6.421,0.642,30.553,30.04,19.4,19.4
,Jaylen  Waddle,MIA,WR,1,46,85.185,9,6,110,1,12.222,18.333,66.667,18,3,6,46,1,9,6,110,0,0,10.428,1.159,50.912,59.1,23,23
,Ja'Marr  Chase,CIN,WR,1,53,86.885,10,6,110,2,11,18.333,60,34,5.667,4,64,1,10,6,110,1,1,4.028,0.403,37.258,39.2,29,29
,Dalton  Kincaid,BUF,TE,1,35,51.471,6,6,108,0,18,18,100,33,5.5,5,23,1,6,6,108,0,0,10.167,1.695,49.972,124.05,16.8,16.8
,Amon-Ra  St. Brown,DET,WR,1,49,80.328,9,8,100,0,11.111,12.5,88.889,59,7.375,5,26,1,9,8,100,0,0,6.743,0.749,32.108,34.28,18,18
,Courtland  Sutton,DEN,WR,1,66,91.667,10,8,99,0,9.9,12.375,80,34,4.25,5,34,0,10,8,99,0,0,7.834,0.783,36.246,34.73,17.9,17.9
,Marvin  Harrison Jr.,ARZ,WR,1,50,75.758,5,4,98,0,19.6,24.5,80,10,2.5,4,43,0,5,4,98,0,0,8.396,1.679,46.384,115.74,13.8,13.8
,Deebo  Samuel Sr.,WAS,WR,1,41,68.333,11,8,96,1,8.727,12,72.727,43,5.375,4,22,0,11,8,96,2,1,7.775,0.707,47.66,44.63,23.6,23.6
,Sam  LaPorta,DET,TE,1,56,91.803,6,5,92,1,15.333,18.4,83.333,69,13.8,4,39,0,6,5,92,0,0,7.563,1.261,40.716,93.9,20.2,20.2
,Tyquan  Thornton,KC,WR,1,28,41.176,5,3,90,0,18,30,60,14,4.667,3,34,0,5,3,90,1,0,6.397,1.279,33.655,82.72,12,12
,Davante  Adams,LA,WR,1,54,84.375,11,5,88,0,8,17.6,45.455,18,3.6,3,26,0,11,5,88,1,0,1.634,0.149,-2.472,-15.66,13.8,13.8
,Puka  Nacua,LA,WR,1,58,90.625,12,10,85,1,7.083,8.5,83.333,44,4.4,5,16,0,12,10,85,1,1,5.745,0.479,30.354,18.6,24.5,24.5
,Christian  McCaffrey,SF,RB,1,73,87.952,9,8,82,1,9.111,10.25,88.889,80,10,5,16,0,9,8,82,1,1,5.88,0.653,62.05,102.88,27.9,27.9
,Andrei  Iosivas,CIN,WR,1,50,81.967,7,5,82,0,11.714,16.4,71.429,26,5.2,4,30,0,7,5,82,1,0,4.864,0.695,14.738,13.94,13.2,13.2
,Cade  Otton,TB,TE,1,52,83.871,5,4,81,0,16.2,20.25,80,56,14,4,27,0,5,4,81,0,0,6.744,1.349,28.491,90.19,12.1,12.1
,Brian  Thomas Jr.,JAX,WR,1,50,81.967,6,4,80,0,13.333,20,66.667,22,5.5,3,33,0,6,4,80,1,0,3.459,0.577,18.362,28.75,12,12
,Darren  Waller,MIA,TE,1,32,59.259,5,5,78,1,15.6,15.6,100,20,4,5,34,0,5,5,78,1,1,10.364,2.073,32.948,79.67,18.8,18.8
,Tetairoa  McMillan,CAR,WR,1,59,89.394,8,6,73,0,9.125,12.167,75,11,1.833,4,29,0,8,6,73,0,0,6.495,0.812,9.716,2.05,13.3,13.3
,Tutu  Atwell,LA,WR,1,41,64.063,4,2,72,0,18,36,50,1,0.5,2,38,0,4,2,72,1,0,3.604,0.901,17.111,39.82,9.2,9.2
,Zay  Flowers,BLT,WR,1,33,82.5,5,5,72,0,14.4,14.4,100,30,6,1,56,0,5,5,72,0,0,2.443,0.489,10.054,13.73,12.2,12.2
,Garrett  Wilson,NYJ,WR,1,67,88.158,10,6,71,1,7.1,11.833,60,14,2.333,4,25,0,10,6,71,0,0,4.608,0.461,6.848,-4.18,19.1,19.1
,David  Njoku,CLV,TE,1,63,92.647,9,6,67,1,7.444,11.167,66.667,35,5.833,2,17,0,9,6,67,2,1,5.067,0.563,13.596,20.79,18.7,18.7
,Mason  Taylor,NYJ,TE,1,59,77.632,12,9,67,0,5.583,7.444,75,21,2.333,5,11,0,12,9,67,0,0,2.852,0.238,-8.761,-17.04,15.7,15.7
,Kyren  Williams,LA,RB,1,57,89.063,10,8,66,2,6.6,8.25,80,36,4.5,3,14,0,10,8,66,0,0,3.03,0.303,48.192,70.71,33.1,33.1
,Christian  Kirk,HST,WR,1,30,44.118,4,4,64,0,16,16,100,19,4.75,2,47,0,4,4,64,0,0,4.722,1.18,25.785,65.8,10.4,10.4
,Travis  Hunter,JAX,WR,1,35,57.377,3,3,64,0,21.333,21.333,100,16,5.333,2,44,0,3,3,64,0,0,4.025,1.342,28.009,121.81,9.4,9.4
,Tre  Tucker,LV,WR,1,57,86.364,6,4,62,0,10.333,15.5,66.667,15,3.75,2,33,0,6,4,62,0,0,3.815,0.636,13.651,20.5,11.1,11.1
,Travis  Kelce,KC,TE,1,51,75,8,7,61,1,7.625,8.714,87.5,30,4.286,4,14,0,8,7,61,1,1,3.205,0.401,19.615,24.56,19.1,19.1
,Dalton  Schultz,HST,TE,1,38,55.882,6,5,60,0,10,12,83.333,24,4.8,4,21,0,6,5,60,0,0,5.909,0.985,11.691,18.74,11,11
,Chris  Olave,NO,WR,1,43,70.492,11,7,59,0,5.364,8.429,63.636,15,2.143,3,17,0,11,7,59,0,0,0.296,0.027,-9.945,-25.82,12.9,12.9
,Tez  Johnson,TB,WR,1,19,30.645,4,4,59,0,14.75,14.75,100,31,7.75,2,27,0,4,4,59,0,0,4.202,1.051,25.382,67.41,10.1,10.1
,Cooper  Kupp,SEA,WR,1,48,88.889,9,6,59,0,6.556,9.833,66.667,20,3.333,4,24,0,9,6,59,0,0,-0.663,-0.074,3.846,-7.54,11.9,11.9
,Saquon  Barkley,PHI,RB,1,39,69.643,3,3,58,1,19.333,19.333,100,27,9,1,47,0,3,3,58,0,0,3.86,1.287,25.223,139.42,17.8,17.8
,Keenan  Allen,LAC,WR,1,37,55.224,9,5,58,0,6.444,11.6,55.556,31,6.2,3,29,0,9,5,58,2,0,0.366,0.041,-13.87,-32.69,10.8,10.8
,George  Pickens,DAL,WR,1,46,74.194,4,2,57,1,14.25,28.5,50,8,4,2,43,0,4,2,57,2,1,4.496,1.124,22.057,58.48,13.7,13.7
,Ashton  Dulin,IND,WR,1,39,68.421,5,2,55,0,11,27.5,40,5,2.5,2,35,0,5,2,55,0,0,3.119,0.624,5.189,0.85,7.5,7.5
,Josh  Downs,IND,WR,1,27,47.368,8,6,54,0,6.75,9,75,23,3.833,4,12,0,8,6,54,0,0,4.713,0.589,15.357,13.11,11.4,11.4
,AJ  Barner,SEA,TE,1,44,81.481,7,7,53,2,7.571,7.571,100,24,3.429,4,11,0,7,7,53,1,1,6.036,0.862,26.988,43.09,24.3,24.3
,Nico  Collins,HST,WR,1,37,54.412,5,4,52,1,10.4,13,80,16,4,2,24,0,5,4,52,1,1,5.177,1.035,19.719,45.66,16,16
,Daniel  Bellinger,NYG,TE,1,36,48,4,4,52,0,13,13,100,24,6,3,18,0,4,4,52,0,0,5.423,1.356,21.744,71.08,9.2,9.2
,Luke  McCaffrey,WAS,WR,1,22,36.667,2,1,50,0,25,50,50,0,0,1,50,0,2,1,50,1,0,1.312,0.656,15.731,98.03,6,6
,Jake  Ferguson,DAL,TE,1,34,54.839,9,7,49,2,5.444,7,77.778,50,7.143,3,26,0,9,7,49,2,1,2.408,0.268,2.044,-3.88,23.9,23.9
,Chig  Okonkwo,TEN,TE,1,36,54.545,5,4,48,0,9.6,12,80,34,8.5,3,16,0,5,4,48,0,0,1.505,0.301,8.342,18.16,8.8,8.8
,Marquise  Brown,KC,WR,1,33,48.529,8,4,48,0,6,12,50,19,4.75,3,20,0,8,4,48,0,0,2.366,0.296,3.539,-7.41,8.8,8.8
,DeAndre  Hopkins,BLT,WR,1,9,22.5,2,2,46,0,23,23,100,23,11.5,2,29,0,2,2,46,0,0,3.309,1.655,23.272,133.85,6.6,6.6
,Hunter  Henry,NE,TE,1,50,86.207,4,2,46,0,11.5,23,50,1,0.5,2,24,0,4,2,46,1,0,1.478,0.37,2.113,-0.04,6.6,6.6
,Cam  Skattebo,NYG,RB,1,47,62.667,7,6,45,0,6.429,7.5,85.714,51,8.5,3,15,0,7,6,45,0,0,0.738,0.105,3.107,-6.21,22.4,22.4
,Khalil  Shakir,BUF,WR,1,39,57.353,9,6,45,0,5,7.5,66.667,49,8.167,3,18,0,9,6,45,0,0,-2.012,-0.224,-21.565,-42.52,11,11
,Tyler  Warren,IND,TE,1,39,68.421,4,4,44,1,11,11,100,11,2.75,2,19,0,4,4,44,0,0,4.969,1.242,22.816,81.72,14.4,14.4
,A.J.  Brown,PHI,WR,1,52,92.857,8,5,43,0,5.375,8.6,62.5,14,2.8,3,13,0,8,5,43,0,0,0.502,0.063,2.391,-9,9.3,9.3
,Kayshon  Boutte,NE,WR,1,33,56.897,3,3,43,0,14.333,14.333,100,4,1.333,3,19,0,3,3,43,0,0,4.649,1.55,22.152,84.8,7.3,7.3
,Ashton  Jeanty,LV,RB,1,36,54.545,7,5,42,0,6,8.4,71.429,40,8,1,29,0,7,5,42,0,0,-0.569,-0.081,5.848,2.99,15.9,15.9
,Breece  Hall,NYJ,RB,1,42,55.263,5,4,42,0,8.4,10.5,80,25,6.25,1,16,0,5,4,42,0,0,4.346,0.869,17.8,51.09,19.5,19.5
,Xavier  Worthy,KC,WR,1,49,72.059,9,6,42,0,4.667,7,66.667,7,1.167,1,19,0,9,6,42,2,0,0.564,0.063,-20.014,-40.82,11.1,11.1
