BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,ATT,YDS,YPC,TD,FUM,FUML,FD,RZ,GL,GL TD,EPA,EPA/ATT,DYAR,DVOA,FPTS,PPG
,TreVeyon Henderson,NE,RB,1,25,46.296,14,148,10.571,2,0,0,5,2,0,0,8.282,0.592,0,0,30.1,30.1
,James Cook,BUF,RB,1,47,67.143,22,107,4.864,2,0,0,4,6,2,0,4.64,0.211,0,0,31.1,31.1
,Tony Pollard,TEN,RB,1,26,53.061,14,104,7.429,1,0,0,4,2,0,0,3.904,0.279,0,0,18.2,18.2
,Jawhar Jordan,HST,RB,1,28,43.077,15,101,6.733,0,0,0,4,4,1,0,1.698,0.113,0,0,13.8,13.8
,Derrick Henry,BLT,RB,1,15,35.714,11,100,9.091,0,0,0,4,1,0,0,4.147,0.377,0,0,10,10
,D'Andre Swift,CHI,RB,1,37,56.923,18,98,5.444,2,0,0,6,2,0,0,2.239,0.124,0,0,22.6,22.6
,Jacory Croskey-Merritt,WAS,RB,1,30,47.619,18,96,5.333,1,1,0,7,1,0,0,3.391,0.188,0,0,15.6,15.6
,Bijan Robinson,ATL,RB,1,58,87.879,19,93,4.895,1,0,0,5,1,0,0,0.652,0.034,0,0,31.5,31.5
,Javonte Williams,DAL,RB,1,20,28.986,15,91,6.067,1,0,0,7,4,2,1,5.241,0.349,0,0,15.1,15.1
,Jonathan Taylor,IND,RB,1,49,84.483,25,87,3.48,0,0,0,5,2,0,0,-0.864,-0.035,0,0,13.1,13.1
,Kenneth Gainwell,PIT,RB,1,32,51.613,13,80,6.154,0,0,0,3,0,0,0,0.892,0.069,0,0,19.6,19.6
,Saquon Barkley,PHI,RB,1,37,53.623,22,78,3.545,1,0,0,4,10,3,1,-4.466,-0.203,0,0,17.2,17.2
,Kyren Williams,LA,RB,1,37,52.857,15,78,5.2,2,0,0,4,3,2,1,1.624,0.108,0,0,21.8,21.8
,Josh Jacobs,GB,RB,1,34,51.515,12,73,6.083,1,0,0,3,1,0,0,-2.259,-0.188,0,0,23.2,23.2
,Christian McCaffrey,SF,RB,1,59,78.667,22,73,3.318,1,0,0,2,10,3,1,-2.324,-0.106,0,0,15.7,15.7
,Blake Corum,LA,RB,1,32,45.714,11,71,6.455,1,0,0,4,2,1,0,4.816,0.438,0,0,13.1,13.1
,Tyrone Tracy Jr.,NYG,RB,1,51,69.863,15,70,4.667,1,0,0,5,2,0,0,0.72,0.048,0,0,24.7,24.7
,Keaton Mitchell,BLT,RB,1,13,30.952,8,66,8.25,0,0,0,3,1,0,0,2.199,0.275,0,0,6.6,6.6
,RJ Harvey,DEN,RB,1,44,65.672,19,65,3.421,1,1,1,3,4,1,0,-7.485,-0.394,0,0,12.5,12.5
,Jaxson Dart,NYG,QB,1,71,97.26,9,63,7,0,1,0,2,3,1,0,3.922,0.436,0,0,22.14,22.14
,Omarion Hampton,LAC,RB,1,23,37.097,15,61,4.067,0,0,0,5,1,1,0,0.458,0.031,0,0,7.5,7.5
,Bucky Irving,TB,RB,1,39,62.903,16,60,3.75,0,0,0,3,1,0,0,-1.476,-0.092,0,0,8.1,8.1
,De'Von Achane,MIA,RB,1,40,81.633,12,60,5,0,0,0,1,0,0,0,-0.144,-0.012,0,0,18.7,18.7
,Isaiah Davis,NYJ,RB,1,26,35.616,9,58,6.444,1,0,0,2,2,0,0,3.973,0.441,0,0,13.5,13.5
,Tank Bigsby,PHI,RB,1,27,39.13,17,57,3.353,0,0,0,3,7,4,0,-5.277,-0.31,0,0,5.7,5.7
,Michael Carter,ARZ,RB,1,51,79.688,14,56,4,0,0,0,4,1,1,0,3.228,0.231,0,0,13.4,13.4
,Chase Brown,CIN,RB,1,44,60.274,13,53,4.077,0,0,0,3,1,0,0,-1.181,-0.091,0,0,16,16
,Trevor Lawrence,JAX,QB,1,54,85.714,5,51,10.2,1,0,0,3,3,0,0,4.963,0.993,0,0,44.3,44.3
,Rhamondre Stevenson,NE,RB,1,34,62.963,6,50,8.333,0,0,0,4,1,0,0,2.984,0.497,0,0,10.7,10.7
,Rico Dowdle,CAR,RB,1,33,53.226,16,49,3.063,1,0,0,2,2,1,0,0.74,0.046,0,0,12.4,12.4
,Bryce Young,CAR,QB,1,62,100,7,49,7,0,0,0,3,0,0,0,1.604,0.229,0,0,15.42,15.42
,Josh Allen,BUF,QB,1,70,100,11,48,4.364,0,0,0,4,4,0,0,-1.705,-0.155,0,0,24.52,24.52
,Brock Purdy,SF,QB,1,75,100,7,44,6.286,0,0,0,4,1,0,0,4.206,0.601,0,0,28.2,28.2
,Drake Maye,NE,QB,1,54,100,4,43,10.75,2,0,0,4,2,0,0,4.375,1.094,0,0,20.5,20.5
,Marcus Mariota,WAS,QB,1,63,100,10,43,4.3,0,0,0,0,0,0,0,1.449,0.145,0,0,16.74,16.74
,Samaje Perine,CIN,RB,1,32,43.836,14,42,3,0,1,0,3,0,0,0,-5.976,-0.427,0,0,5.3,5.3
,Brady Cook,NYJ,QB,1,73,100,6,39,6.5,0,0,0,2,0,0,0,0.061,0.01,0,0,8.94,8.94
,Jalen Hurts,PHI,QB,1,51,73.913,7,39,5.571,0,0,0,4,3,0,0,6.11,0.873,0,0,22.9,22.9
,Jahmyr Gibbs,DET,RB,1,50,80.645,13,38,2.923,0,0,0,0,3,0,0,-5.835,-0.449,0,0,9.8,9.8
,Ashton Jeanty,LV,RB,1,30,69.767,9,35,3.889,0,0,0,1,0,0,0,-0.839,-0.093,0,0,8.2,8.2
,Tyjae Spears,TEN,RB,1,20,40.816,3,34,11.333,0,0,0,3,1,0,0,2.273,0.758,0,0,5.6,5.6
