BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,IND,1,73.91,73.91,89.98,86.27,58.28,69.7
,KC,1,26.2,26.2,70.05,67.44,-5.92,-7.09
,DAL,1,32.73,32.73,61.04,63,14.61,14.46
,DET,1,-7.78,-7.78,-4.37,-4.84,1.98,-3.72
,LA,1,13.52,13.52,39.72,38.4,-19.7,-24.55
,SEA,1,-8.77,-8.77,-6.12,-27.77,0.73,-3.6
,PHI,1,28.36,28.36,113.94,110.86,-43.39,-44.39
,CIN,1,45.46,45.46,53.96,52.62,53.83,59.14
,SF,1,20.15,20.15,29.27,10.11,14.43,17.68
,CLV,1,-36.31,-36.31,-31.5,3.73,-33.48,-26.96
,CHI,1,-6.2,-6.2,0.17,16.32,43.71,47.79
,NE,1,18.53,18.53,49.31,54.01,-13.63,-6.04
,CAR,1,-9.33,-9.33,-6.68,10.76,-1.12,-10.65
,NYG,1,16.42,16.42,65.86,54.86,-5.77,-12.09
,ARZ,1,4.81,4.81,24.46,17.7,-24.66,-26.2
,GB,1,7.77,7.77,15.45,11.89,6.76,6.9
,JAX,1,-14.09,-14.09,-11.15,-24.28,-12.37,-15.78
,ATL,1,-5.46,-5.46,7.93,17.16,-19.59,-19.91
,HST,1,-47.42,-47.42,-38,-46.16,-52.89,-62.52
,DEN,1,-3.28,-3.28,-0.25,-6.41,-0.75,10.16
,TB,1,-47.26,-47.26,-51.42,-64.47,6.01,-2.85
,MIN,1,-7.45,-7.45,7.52,4,-4.46,-2.99
,PIT,1,12.65,12.65,19.26,39.2,32.63,41.45
,LAC,1,1.61,1.61,23.67,19.78,-26.99,-26.55
,NYJ,1,-46.45,-46.45,-53.37,-51,-8.36,-18.73
,TEN,1,-35.29,-35.29,-33.66,-17.61,-27.07,-38.28
,WAS,1,-35.72,-35.72,-39.58,-27.19,0.9,10.19
,NO,1,-32.25,-32.25,-22.75,-15.65,-37.91,-42.88
,LV,1,-79.48,-79.48,-62.78,-66.12,-61.16,-57.84
,MIA,1,-88.88,-88.88,-98.77,-105.67,-8,-26.18
