BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,TAR,REC,YDS,TD,YPT,YPR,CTCH%,YAC,YAC/R,FD,LG,100+,TAR/G,REC/G,YDS/G,EZTAR,EZTD,EPA,EPA/TAR,DYAR,DVOA,FPTS,PPG
,Michael  Wilson,ARZ,WR,1,59,83.099,18,15,185,0,10.278,12.333,83.333,33,2.2,9,34,1,18,15,185,0,0,9.735,0.541,42.878,16.13,33.5,33.5
,George  Pickens,DAL,WR,1,44,67.692,11,9,144,1,13.091,16,81.818,75,8.333,8,37,1,11,9,144,1,0,12.177,1.107,61.128,59.28,29.4,29.4
,Tetairoa  McMillan,CAR,WR,1,64,85.333,12,8,130,2,10.833,16.25,66.667,51,6.375,7,39,1,12,8,130,3,2,10.322,0.86,53.429,45.64,33,33
,Drake  London,ATL,WR,1,54,91.525,9,7,119,0,13.222,17,77.778,48,6.857,5,41,1,9,7,119,0,0,8.848,0.983,44.646,47.41,18.9,18.9
,Trey  McBride,ARZ,TE,1,65,91.549,11,10,115,1,10.455,11.5,90.909,46,4.6,5,28,1,11,10,115,1,1,6.842,0.622,39.648,51.54,27.5,27.5
,Jahmyr  Gibbs,DET,RB,1,43,71.667,8,5,107,0,13.375,21.4,62.5,120,24,5,42,1,8,5,107,0,0,6.949,0.869,29.69,46.28,19.6,19.6
,Stefon  Diggs,NE,WR,1,44,68.75,11,9,105,0,9.545,11.667,81.818,31,3.444,6,22,1,11,9,105,0,0,5.298,0.482,28.386,19.88,19.5,19.5
,Jaxon  Smith-Njigba,SEA,WR,1,66,82.5,12,9,105,0,8.75,11.667,75,29,3.222,7,28,1,12,9,105,1,0,0.272,0.023,31.127,19.53,20.6,20.6
,Nico  Collins,HST,WR,1,57,81.429,10,9,92,1,9.2,10.222,90,9,1,7,18,0,10,9,92,1,1,7.838,0.784,34.212,31.38,24.2,24.2
,Travis  Kelce,KC,TE,1,49,77.778,13,9,91,1,7,10.111,69.231,65,7.222,5,21,0,13,9,91,0,0,6.384,0.491,18.142,15.64,24.1,24.1
,Tyrell  Shavers,BUF,WR,1,28,50.909,5,4,90,1,18,22.5,80,17,4.25,3,43,0,5,4,90,1,1,4.798,0.96,45.193,96.61,19,19
,Jameson  Williams,DET,WR,1,56,93.333,7,4,88,1,12.571,22,57.143,37,9.25,3,40,0,7,4,88,0,0,1.915,0.274,31.177,41.9,19.7,19.7
,Troy  Franklin,DEN,WR,1,39,62.903,8,4,84,0,10.5,21,50,23,5.75,2,35,0,8,4,84,1,0,2.428,0.304,20.729,24.75,12.4,12.4
,Xavier  Legette,CAR,WR,1,41,54.667,8,4,83,1,10.375,20.75,50,24,6,3,36,0,8,4,83,2,1,6.956,0.87,12.618,7.14,18.3,18.3
,Pat  Bryant,DEN,WR,1,35,56.452,6,5,82,0,13.667,16.4,83.333,32,6.4,4,48,0,6,5,82,0,0,6.144,1.024,28.581,42.99,13.2,13.2
,Kenneth  Gainwell,PIT,RB,1,36,59.016,8,7,81,2,10.125,11.571,87.5,104,14.857,6,28,0,8,7,81,1,0,10.845,1.356,37.994,73.26,29.5,29.5
,Zay  Flowers,BLT,WR,1,53,86.885,5,3,78,0,15.6,26,60,26,8.667,3,45,0,5,3,78,0,0,4.204,0.841,20.184,39.76,11.3,11.3
,Puka  Nacua,LA,WR,1,33,66,8,7,75,0,9.375,10.714,87.5,24,3.429,3,19,0,8,7,75,0,0,0.146,0.018,9.357,2.51,16.3,16.3
,Deebo  Samuel Sr.,WAS,WR,1,47,72.308,8,7,74,1,9.25,10.571,87.5,54,7.714,2,28,0,8,7,74,0,0,2.421,0.303,17.557,16.23,20.7,20.7
,Brock  Bowers,LV,TE,1,56,91.803,12,7,72,0,6,10.286,58.333,13,1.857,3,18,0,12,7,72,1,0,-5.49,-0.457,-21.802,-35.49,14.2,14.2
,AJ  Barner,SEA,TE,1,70,87.5,11,10,70,0,6.364,7,90.909,36,3.6,4,13,0,11,10,70,0,0,3.667,0.333,-4.575,-13.97,17.1,17.1
,Darnell  Washington,PIT,TE,1,43,70.492,5,4,67,0,13.4,16.75,80,58,14.5,2,31,0,5,4,67,0,0,3.63,0.726,4.677,12.93,10.7,10.7
,George  Kittle,SF,TE,1,47,90.385,6,6,67,2,11.167,11.167,100,24,4,5,30,0,6,6,67,1,1,8.51,1.418,43.568,91.81,24.7,24.7
,James  Cook,BUF,RB,1,36,65.455,3,3,66,1,22,22,100,43,14.333,3,25,0,3,3,66,0,0,5.164,1.721,37.651,152.77,20.4,20.4
,Greg  Dortch,ARZ,WR,1,48,67.606,6,6,66,1,11,11,100,41,6.833,3,17,0,6,6,66,1,1,7.859,1.31,26.421,41.46,18.6,18.6
,CeeDee  Lamb,DAL,WR,1,48,73.846,7,5,66,1,9.429,13.2,71.429,12,2.4,4,23,0,7,5,66,2,1,2.401,0.343,26.159,28.83,17.6,17.6
,Mack  Hollins,NE,WR,1,52,81.25,5,4,64,0,12.8,16,80,14,3.5,4,20,0,5,4,64,0,0,3.725,0.745,25.284,56.44,10.4,10.4
,Jakobi  Meyers,JAX,WR,1,44,61.972,6,5,64,0,10.667,12.8,83.333,22,4.4,4,21,0,6,5,64,0,0,5.031,0.838,26.529,42.92,11.4,11.4
