BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,TAR,REC,YDS,TD,YPT,YPR,CTCH%,YAC,YAC/R,FD,LG,100+,TAR/G,REC/G,YDS/G,EZ,EZTD,EPA,EPA/TAR,DYAR,DVOA,FPTS,PPG
,Jaxon  Smith-Njigba,SEA,WR,1,31,64.583,9,8,129,0,14.333,16.125,88.889,47,5.875,5,26,1,9,8,129,0,0,6.769,0.752,42.314,48.5,44,44
,Brock  Bowers,LV,TE,1,47,75.806,13,12,127,3,9.769,10.583,92.308,58,4.833,7,27,1,13,12,127,3,2,12.911,0.993,52.174,50.06,86.6,86.6
,Michael  Pittman,IND,WR,1,65,86.667,12,9,122,0,10.167,13.556,75,20,2.222,6,21,1,12,9,122,0,0,2.451,0.204,20.357,8.53,42.4,42.4
,Tee  Higgins,CIN,WR,1,53,81.538,9,7,121,2,13.444,17.286,77.778,25,3.571,6,44,1,9,7,121,2,1,10.506,1.167,52.096,64.78,62.2,62.2
,Colston  Loveland,CHI,TE,1,62,76.543,7,6,118,2,16.857,19.667,85.714,57,9.5,4,58,1,7,6,118,1,1,11.448,1.635,41.746,84.14,59.6,59.6
,Drake  London,ATL,WR,1,53,94.643,14,9,118,3,8.429,13.111,64.286,15,1.667,8,40,1,14,9,118,4,3,11.414,0.815,36.357,18.86,77.6,77.6
,Alec  Pierce,IND,WR,1,65,86.667,13,6,115,0,8.846,19.167,46.154,24,4,5,36,1,13,6,115,0,0,1.255,0.097,6.21,-6.56,35,35
,Ja'Marr  Chase,CIN,WR,1,64,98.462,8,6,111,0,13.875,18.5,75,48,8,6,36,1,8,6,111,1,0,5.629,0.704,32.898,45.73,34.2,34.2
,Dalton  Kincaid,BUF,TE,1,21,32.308,6,6,101,1,16.833,16.833,100,53,8.833,4,47,1,6,6,101,0,0,8.64,1.44,42.664,106.95,44.2,44.2
,DeMario  Douglas,NE,WR,1,15,20.548,6,4,100,1,16.667,25,66.667,30,7.5,4,58,1,6,4,100,1,1,7.587,1.265,45.76,94.41,40,40
,Sam  LaPorta,DET,TE,1,62,100,8,6,97,1,12.125,16.167,75,57,9.5,4,40,0,8,6,97,0,0,9.546,1.193,25.868,44.91,43.4,43.4
,Amon-Ra  St. Brown,DET,WR,1,59,95.161,13,9,97,0,7.462,10.778,69.231,22,2.444,2,19,0,13,9,97,2,0,2.405,0.185,-3.58,-16.62,37.4,37.4
,Marvin  Harrison Jr.,ARZ,WR,1,46,69.697,10,7,96,1,9.6,13.714,70,25,3.571,6,20,0,10,7,96,1,1,7.852,0.785,13.287,4.95,45.2,45.2
,Puka  Nacua,LA,WR,1,38,49.351,8,7,95,1,11.875,13.571,87.5,23,3.286,2,39,0,8,7,95,0,0,5.534,0.692,33.636,45.55,45.6,45.6
,Romeo  Doubs,GB,WR,1,58,92.063,10,7,91,0,9.1,13,70,12,1.714,5,30,0,10,7,91,2,0,3.987,0.399,26.518,21.71,32.2,32.2
