BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,WIDE,OW%,WYPR,SLOT,SLOT%,SYPR,BACK,BACK%,BYPR,LINE,LINE%,IYPR,OFF,OFF%,OYPR
,Puka Nacua,LA,WR,1,11,7,167,2,10,45.455,7.7,11,50,8.182,1,4.545,0,0,0,0,0,0,0
,DK Metcalf,PIT,WR,1,12,7,148,0,28,84.848,4.75,4,12.121,3,0,0,0,0,0,0,1,3.03,3
,Michael Wilson,ARZ,WR,1,16,11,142,2,32,82.051,4.219,7,17.949,1,0,0,0,0,0,0,0,0,0
,Zay Flowers,BLT,WR,1,11,8,124,0,22,66.667,0.545,11,33.333,10.182,0,0,0,0,0,0,0,0,0
,CeeDee Lamb,DAL,WR,1,8,6,121,0,12,48,5.25,12,48,4.833,1,4,0,0,0,0,0,0,0
,Nico Collins,HST,WR,1,8,4,121,0,27,84.375,4.481,5,15.625,0,0,0,0,0,0,0,0,0,0
,Ryan Flournoy,DAL,WR,1,13,9,115,1,22,61.111,3.682,14,38.889,2.429,0,0,0,0,0,0,0,0,0
,Harold Fannin Jr.,CLV,TE,1,11,8,114,1,2,4.878,0,15,36.585,2.467,1,2.439,0,6,14.634,0.333,17,41.463,4.412
,A.J. Brown,PHI,WR,1,13,6,100,0,36,87.805,1.611,5,12.195,8.4,0,0,0,0,0,0,0,0,0
,Jameson Williams,DET,WR,1,9,7,96,0,31,88.571,2.903,4,11.429,1.5,0,0,0,0,0,0,0,0,0
,Dawson Knox,BUF,TE,1,7,6,93,0,1,7.143,0,1,7.143,0,0,0,0,7,50,8.286,5,35.714,7
,Amon-Ra St. Brown,DET,WR,1,9,6,92,0,6,17.647,6.167,28,82.353,1.964,0,0,0,0,0,0,0,0,0
,Jaxon Smith-Njigba,SEA,WR,1,10,7,92,2,23,82.143,3.478,5,17.857,2.4,0,0,0,0,0,0,0,0,0
,Tee Higgins,CIN,WR,1,11,6,92,2,26,81.25,2.462,6,18.75,4.667,0,0,0,0,0,0,0,0,0
,Kyle Pitts,ATL,TE,1,10,6,90,0,2,6.452,0,15,48.387,4.267,0,0,0,2,6.452,0,12,38.71,2.167
,Christian Watson,GB,WR,1,4,4,89,2,16,72.727,1.563,5,22.727,12.8,0,0,0,0,0,0,1,4.545,0
,Brian Thomas Jr.,JAX,WR,1,6,3,87,0,22,73.333,1.773,8,26.667,6,0,0,0,0,0,0,0,0,0
,Mike Gesicki,CIN,TE,1,6,6,86,1,2,11.111,3,15,83.333,5.067,0,0,0,0,0,0,1,5.556,4
,Alec Pierce,IND,WR,1,8,5,80,0,27,87.097,2.333,4,12.903,4.25,0,0,0,0,0,0,0,0,0
,Michael Pittman,IND,WR,1,12,9,79,0,23,69.697,2.783,9,27.273,-0.111,0,0,0,0,0,0,1,3.03,16
,Tim Patrick,JAX,WR,1,6,5,78,1,13,56.522,3.462,8,34.783,3.25,2,8.696,3.5,0,0,0,0,0,0
,Dallas Goedert,PHI,TE,1,10,8,78,0,4,10,5,19,47.5,1.632,0,0,0,7,17.5,2.286,10,25,1.1
,Jahmyr Gibbs,DET,RB,1,7,7,77,0,2,7.692,0,3,11.538,9,21,80.769,2.381,0,0,0,0,0,0
,Jerry Jeudy,CLV,WR,1,5,3,76,1,37,88.095,2.054,5,11.905,0,0,0,0,0,0,0,0,0,0
,Rashid Shaheed,SEA,WR,1,5,4,67,0,18,78.261,1.556,5,21.739,7.8,0,0,0,0,0,0,0,0,0
,Luther Burden III,CHI,WR,1,6,4,67,0,16,64,3.563,9,36,1.111,0,0,0,0,0,0,0,0,0
,Dylan Sampson,CLV,RB,1,6,5,64,0,2,9.524,0,3,14.286,0,15,71.429,3.267,0,0,0,1,4.762,15
,Jordan Addison,MIN,WR,1,7,4,62,0,18,81.818,3.444,3,13.636,0,0,0,0,0,0,0,1,4.545,0
