BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,WIDE,OW%,WYPR,SLOT,SLOT%,SYPR,BACK,BACK%,BYPR,LINE,LINE%,IYPR,OFF,OFF%,OYPR
,Jaxon  Smith-Njigba,SEA,WR,11,107,80,"1,313",7,222,77.352,4.883,60,20.906,3.15,4,1.394,3.5,0,0,0,1,0.348,26
,George  Pickens,DAL,WR,11,92,67,"1,054",8,347,89.896,2.772,39,10.104,2.359,0,0,0,0,0,0,0,0,0
,Puka  Nacua,LA,WR,10,98,80,947,4,172,61.21,2.936,91,32.384,3.407,12,4.27,6.25,0,0,0,6,2.135,9.5
,Amon-Ra  St. Brown,DET,WR,11,107,75,887,9,167,47.042,2.581,184,51.831,2.457,4,1.127,1,0,0,0,0,0,0
,Ja'Marr  Chase,CIN,WR,10,117,79,861,5,233,61.155,2.652,141,37.008,1.723,7,1.837,0,0,0,0,0,0,0
,Drake  London,ATL,WR,9,94,60,810,6,218,73.154,2.587,80,26.846,3.075,0,0,0,0,0,0,0,0,0
,Trey  McBride,ARZ,TE,11,109,80,797,7,39,8.945,1.974,272,62.385,1.805,2,0.459,4,83,19.037,1.88,40,9.174,1.625
,Justin  Jefferson,MIN,WR,11,99,60,795,2,275,75.549,2.175,82,22.527,2.195,7,1.923,2.429,0,0,0,0,0,0
,Wan'Dale  Robinson,NYG,WR,12,102,66,794,3,127,32.564,2.197,259,66.41,1.961,4,1.026,1.75,0,0,0,0,0,0
,Tetairoa  McMillan,CAR,WR,12,96,56,783,5,316,81.234,1.918,73,18.766,2.425,0,0,0,0,0,0,0,0,0
,Christian  McCaffrey,SF,RB,12,103,81,765,5,16,4.134,2.188,54,13.953,2.13,308,79.587,1.766,0,0,0,9,2.326,7.889
,Zay  Flowers,BLT,WR,11,77,58,761,1,189,63.851,2.376,101,34.122,3.089,6,2.027,0,0,0,0,0,0,0
,DeVonta  Smith,PHI,WR,11,78,55,754,3,145,43.939,3.159,185,56.061,1.6,0,0,0,0,0,0,0,0,0
,Emeka  Egbuka,TB,WR,11,93,48,749,6,241,66.209,2.382,122,33.516,1.434,1,0.275,0,0,0,0,0,0,0
,Chris  Olave,NO,WR,11,108,69,733,4,225,59.055,2.329,152,39.895,1.283,4,1.05,3.5,0,0,0,0,0,0
,Jaylen  Waddle,MIA,WR,11,73,49,722,5,222,77.083,2.851,64,22.222,1.281,2,0.694,3.5,0,0,0,0,0,0
,Nico  Collins,HST,WR,10,85,52,697,4,243,78.641,2.449,65,21.036,1.585,1,0.324,-1,0,0,0,0,0,0
,Stefon  Diggs,NE,WR,12,75,61,679,3,134,50.187,3.142,131,49.064,1.969,2,0.749,0,0,0,0,0,0,0
,Travis  Kelce,KC,TE,11,72,54,674,4,82,22.162,1.866,151,40.811,2.026,5,1.351,3.4,24,6.486,3.708,108,29.189,1.009
,Rome  Odunze,CHI,WR,11,84,42,664,6,219,62.751,2.192,127,36.39,1.402,3,0.86,2,0,0,0,0,0,0
,Tyler  Warren,IND,TE,11,74,55,662,3,33,10,1.212,141,42.727,1.085,18,5.455,3.556,48,14.545,3.104,90,27.273,2.844
