BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,BASE,BASE,BASE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE,USAGE
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,TAR/G,REC/G,YDS/G,SNP,SNP%,RT,RT%,TAR%,FRD,FRDR,FRD%,OPP,OPP%
,Tucker  Kraft,GB,TE,1,9,7,143,2,9,7,143,57,90.476,34,91.892,24.324,6,66.667,16.216,9,14.286
,Rome  Odunze,CHI,WR,1,10,7,114,0,10,7,114,58,90.625,39,100,25.641,8,80,19.512,10,16.129
,Jaylen  Waddle,MIA,WR,1,6,5,99,1,6,5,99,50,76.923,25,89.286,21.429,6,100,21.429,6,9.231
,Tetairoa  McMillan,CAR,WR,1,10,7,99,0,10,7,99,56,93.333,31,100,32.258,9,90,28.125,10,16.949
,Travis  Kelce,KC,TE,1,8,6,99,1,8,6,99,56,80,34,91.892,21.622,3,37.5,7.5,8,11.94
,Michael  Pittman,IND,WR,1,9,8,95,1,9,8,95,41,77.358,29,85.294,26.471,7,77.778,20,9,17.308
,Chimere  Dike,TEN,WR,1,8,7,93,0,8,7,93,58,85.294,37,88.095,19.048,6,75,13.953,9,13.433
,Rashee  Rice,KC,WR,1,9,9,93,1,9,9,93,57,81.429,31,83.784,24.324,5,55.556,12.5,11,16.418
,Ja'Marr  Chase,CIN,WR,1,19,12,91,0,19,12,91,57,96.61,34,97.143,54.286,8,42.105,22.222,19,32.759
,Mack  Hollins,NE,WR,1,7,7,89,0,7,7,89,48,69.565,23,76.667,23.333,5,71.429,14.706,7,10.769
,Troy  Franklin,DEN,WR,1,8,6,89,2,8,6,89,35,61.404,25,86.207,27.586,3,37.5,10.345,8,14.035
,Ladd  McConkey,LAC,WR,1,10,6,88,1,10,6,88,41,53.247,24,88.889,37.037,6,60,17.647,10,14.286
,Khalil  Shakir,BUF,WR,1,7,6,88,1,7,6,88,28,46.667,16,64,28,2,28.571,8,7,11.667
,Christian  Watson,GB,WR,1,4,4,85,0,4,4,85,35,55.556,24,64.865,10.811,3,75,8.108,4,6.349
,DeVonta  Smith,PHI,WR,1,9,6,84,0,9,6,84,51,85,24,100,37.5,7,77.778,25.926,9,15.789
,George  Pickens,DAL,WR,1,9,7,78,0,9,7,78,53,72.603,32,86.486,24.324,3,33.333,7.143,9,13.235
,Oronde  Gadsden II,LAC,TE,1,5,5,77,1,5,5,77,55,71.429,26,96.296,18.519,3,60,8.824,5,7.143
,Kayshon  Boutte,NE,WR,1,5,3,75,1,5,3,75,48,69.565,28,93.333,16.667,4,80,11.765,5,7.692
,Rashid  Shaheed,NO,WR,1,12,9,75,0,12,9,75,54,71.053,43,76.786,21.429,7,58.333,11.475,12,16.901
,Justin  Jefferson,MIN,WR,1,11,7,74,0,11,7,74,41,87.234,32,88.889,30.556,8,72.727,22.222,11,23.404
,CeeDee  Lamb,DAL,WR,1,10,7,74,0,10,7,74,47,64.384,30,81.081,27.027,7,70,16.667,11,16.176
,Roman  Wilson,PIT,WR,1,5,4,74,1,5,4,74,27,47.368,21,53.846,12.821,2,40,5.128,5,8.772
,DJ  Moore,CHI,WR,1,7,4,73,0,7,4,73,52,81.25,36,92.308,17.949,2,28.571,4.878,9,14.516
,Xavier  Hutchinson,HST,WR,1,6,5,69,1,6,5,69,54,69.231,31,79.487,15.385,6,100,14.286,6,8
,Alec  Pierce,IND,WR,1,5,2,69,0,5,2,69,43,81.132,30,88.235,14.706,4,80,11.429,5,9.615
,Courtland  Sutton,DEN,WR,1,6,4,67,0,6,4,67,48,84.211,27,93.103,20.69,1,16.667,3.448,6,10.526
,Tyler  Johnson,NYJ,WR,1,5,3,64,1,5,3,64,53,70.667,27,81.818,15.152,5,100,13.158,5,7.143
,Jeremy  McNichols,WAS,RB,1,6,5,64,0,6,5,64,22,40,18,56.25,18.75,0,0,0,7,13.462
,Zay  Flowers,BLT,WR,1,9,7,63,0,9,7,63,56,93.333,22,91.667,37.5,8,88.889,32,10,16.949
,Jaylin  Noel,HST,WR,1,6,5,63,0,6,5,63,29,37.179,17,43.59,15.385,5,83.333,11.905,6,8
,Chris  Olave,NO,WR,1,12,8,63,0,12,8,63,66,86.842,54,96.429,21.429,8,66.667,13.115,13,18.31
,Harold  Fannin Jr.,CLV,TE,1,8,6,62,1,8,6,62,38,70.37,27,75,22.222,3,37.5,7.895,9,17.308
,Kyle  Pitts,ATL,TE,1,9,9,59,0,9,9,59,44,89.796,32,100,28.125,4,44.444,12.5,9,18.367
,DK  Metcalf,PIT,WR,1,7,5,55,1,7,5,55,54,94.737,37,94.872,17.949,6,85.714,15.385,7,12.281
,Terry  McLaurin,WAS,WR,1,4,3,54,1,4,3,54,25,45.455,15,46.875,12.5,2,50,5.714,4,7.692
,Juwan  Johnson,NO,TE,1,8,5,53,0,8,5,53,53,69.737,43,76.786,14.286,7,87.5,11.475,8,11.268
,Tyler  Warren,IND,TE,1,5,4,53,0,5,4,53,38,71.698,30,88.235,14.706,3,60,8.571,5,9.615
,Chig  Okonkwo,TEN,TE,1,5,4,53,0,5,4,53,39,57.353,24,57.143,11.905,2,40,4.651,5,7.463
,Xavier  Worthy,KC,WR,1,7,5,53,0,7,5,53,56,80,32,86.486,18.919,5,71.429,12.5,7,10.448
,Elic  Ayomanor,TEN,WR,1,8,4,52,0,8,4,52,62,91.176,40,95.238,19.048,8,100,18.605,8,11.94
,Rashod  Bateman,BLT,WR,1,4,2,51,0,4,2,51,46,76.667,18,75,16.667,3,75,12,4,6.78
,Woody  Marks,HST,RB,1,4,4,49,0,4,4,49,29,37.179,15,38.462,10.256,0,0,0,15,20
