BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,TB,1,-22.05,-22.05,-28.6,-18.32,-12.55,-15.3
,PIT,1,-22.73,-22.73,-26.7,-53.61,-12.57,-22.86
,KC,1,1.81,1.81,19.47,35.28,-22.28,-16.18
,NYG,1,-16.7,-16.7,-9.49,0.84,-28.94,-33.11
,LA,1,-34.2,-34.2,-71,-73.87,-7.32,-10.66
,SEA,1,-17.34,-17.34,-11.55,-14.06,-32.88,-26.01
,ATL,1,-20.85,-20.85,-36.29,-27.08,0.93,11.53
,GB,1,-9.28,-9.28,-10.09,-20.15,-7.59,-6.04
,IND,1,16.62,16.62,25.6,21.27,1.82,-2.37
,CAR,1,1.99,1.99,45.22,63.24,-72.76,-62.89
,CHI,1,4.33,4.33,38.48,45.9,-38.3,-36
,DEN,1,-45.16,-45.16,-72.59,-104.18,-20.92,-25.91
,LV,1,-32.96,-32.96,-40.43,-68.36,-12.88,-17.94
,JAX,1,-1.71,-1.71,41.92,65.7,-54.07,-56.28
,LAC,1,-8.82,-8.82,-31.04,-45.59,22.94,23.51
,ARZ,1,15.92,15.92,11.75,37.33,20.87,31.71
,CIN,1,20.93,20.93,25.28,40.65,16.72,21.69
,NE,1,13.43,13.43,24.71,15.89,0.39,-6.22
,DET,1,22.46,22.46,33.6,51.08,3.79,9.55
,WAS,1,15.59,15.59,21.4,22.79,15.42,19.44
,MIA,1,13.05,13.05,35.4,35.43,-14.1,-14.9
,NO,1,19.13,19.13,77.64,94.93,-46.99,-56.46
,DAL,1,30.82,30.82,37.38,24,26.16,31.69
,BLT,1,-3,-3,-1.02,15.48,-6.46,2.63
,BUF,1,24.89,24.89,28.63,30.56,20.98,22.86
,PHI,1,34.59,34.59,52.84,47.54,16.65,11.66
,TEN,1,-12.06,-12.06,8.01,-6.32,-29.47,-40.03
,NYJ,1,-16.65,-16.65,7.72,5.58,-49.42,-53.65
,CLV,1,14.08,14.08,45.71,46.42,-18.38,-10.68
,SF,1,50.1,50.1,81.51,92.23,24.19,22.39
