BASIC,BASIC,BASIC,TOTAL,TOTAL,PASSING,PASSING,RUSHING,RUSHING
Rk,Tm,G,DVOA,Weighted DVOA,Passing DVOA,Unadjusted Passing DVOA,Rushing DVOA,Unadjusted Rushing DVOA
,JAX,1,18.2,18.2,39.59,31.41,6.18,11.58
,LA,1,-0.5,-0.5,5.13,-9.52,9.26,-8.29
,DAL,1,29.85,29.85,51.23,48.86,1.05,-7.84
,BUF,1,46.3,46.3,71.24,56.31,36.73,28.03
,SF,1,34.48,34.48,58.33,52.19,4.64,13.22
,SEA,1,-2.06,-2.06,1.92,-13.98,-5.97,-12.45
,PIT,1,-2.35,-2.35,26.75,68.62,-23.78,-6.19
,PHI,1,-6,-6,12.3,-11.08,11.47,-0.19
,GB,1,33.63,33.63,54.17,55.83,10.32,34.29
,BLT,1,-1.11,-1.11,-28.7,-45.48,28.84,9.94
,KC,1,30.02,30.02,37.61,16.23,42.41,27.67
,DEN,1,4.76,4.76,21.42,19.07,-7.76,-11.23
,DET,1,-5.74,-5.74,-2.58,-13.53,-10.94,-19.33
,NE,1,14.52,14.52,39.05,73.46,-15.87,-13.44
,ATL,1,25.54,25.54,46.9,57.04,17.2,17.57
,CHI,1,-15.03,-15.03,-9.34,-11.88,-4.56,-8.16
,CAR,1,21.67,21.67,56.29,46.62,-41.31,-40.15
,MIA,1,-2.92,-2.92,-1.26,12.31,3.49,4.72
,WAS,1,-6.05,-6.05,18.42,38.61,-10.32,-18.47
,TB,1,5,5,13.11,7.27,-1.14,16.89
,MIN,1,-28.71,-28.71,-49.45,-42.06,13.13,23.97
,NYG,1,9.37,9.37,17.68,13.64,8.54,8.07
,TEN,1,-22.57,-22.57,25.05,7.92,-66.06,-79.7
,HST,1,-12.11,-12.11,7.35,17.22,-41.28,-34.06
,NYJ,1,-6.02,-6.02,-19.45,-0.85,22.85,21.88
,ARZ,1,-13.42,-13.42,-0.69,11.2,-15.57,-12.97
,CLV,1,-65.05,-65.05,-94.69,-88.99,-30.96,-29.55
,CIN,1,-25.36,-25.36,-19.98,-32.05,-8.84,-10.76
,LV,1,-44.23,-44.23,-42.6,-21.37,-53.37,-41.74
,LAC,1,-61.17,-61.17,-63.83,-64.8,-56.79,-60.69
