BASIC,BASIC,BASIC,BASIC,BASIC,USAGE,USAGE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,BASE,RED ZONE,RED ZONE,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,FANTASY,FANTASY
Rk,Player,Tm,Pos,G,SNP,SNP%,TAR,REC,YDS,TD,YPT,YPR,CTCH%,YAC,YAC/R,FD,LG,100+,TAR/G,REC/G,YDS/G,EZTAR,EZTD,EPA,EPA/TAR,DYAR,DVOA,FPTS,PPG
,Puka Nacua,LA,WR,1,31,46.269,11,7,167,2,15.182,23.857,63.636,35,5,7,32,1,11,7,167,0,0,11.075,1.007,74.513,72.21,35.7,35.7
,DK Metcalf,PIT,WR,1,42,80.769,12,7,148,0,12.333,21.143,58.333,37,5.286,3,52,1,12,7,148,3,0,6.822,0.569,11.36,-1.62,21.8,21.8
,Michael Wilson,ARZ,WR,1,48,75,16,11,142,2,8.875,12.909,68.75,33,3,9,25,1,16,11,142,2,1,6.132,0.383,55.289,29.42,37.2,37.2
,Zay Flowers,BLT,WR,1,69,84.146,11,8,124,0,11.273,15.5,72.727,42,5.25,4,35,1,11,8,124,1,0,7.166,0.651,29.376,22.15,20.6,20.6
,CeeDee Lamb,DAL,WR,1,36,46.154,8,6,121,0,15.125,20.167,75,48,8,4,37,1,8,6,121,1,0,8.001,1,35.439,52.1,18.1,18.1
,Nico Collins,HST,WR,1,54,81.818,8,4,121,0,15.125,30.25,50,38,9.5,3,53,1,8,4,121,0,0,3.742,0.468,28.922,36.65,16.1,16.1
,Ryan Flournoy,DAL,WR,1,48,61.538,13,9,115,1,8.846,12.778,69.231,30,3.333,6,42,1,13,9,115,2,0,6.282,0.483,21.768,8.95,26.5,26.5
,Harold Fannin Jr.,CLV,TE,1,59,88.06,11,8,114,1,10.364,14.25,72.727,54,6.75,5,35,1,11,8,114,1,1,5.473,0.498,29.042,40.89,25.4,25.4
,A.J. Brown,PHI,WR,1,64,94.118,13,6,100,0,7.692,16.667,46.154,38,6.333,5,26,1,13,6,100,1,0,-10.071,-0.775,0.971,-11.71,16,16
,Jameson Williams,DET,WR,1,52,91.228,9,7,96,0,10.667,13.714,77.778,40,5.714,3,29,0,9,7,96,1,0,5.701,0.633,3.693,-6.58,17.3,17.3
,Dawson Knox,BUF,TE,1,28,43.077,7,6,93,0,13.286,15.5,85.714,62,10.333,4,32,0,7,6,93,1,0,3.645,0.521,10.035,12.25,15.3,15.3
,Amon-Ra St. Brown,DET,WR,1,52,91.228,9,6,92,0,10.222,15.333,66.667,52,8.667,2,37,0,9,6,92,0,0,2.321,0.258,-1.439,-14.85,15.2,15.2
,Jaxon Smith-Njigba,SEA,WR,1,43,71.667,10,7,92,2,9.2,13.143,70,34,4.857,5,30,0,10,7,92,3,1,7.583,0.758,12.071,3.1,28.1,28.1
,Tee Higgins,CIN,WR,1,42,75,11,6,92,2,8.364,15.333,54.545,12,2,5,25,0,11,6,92,2,2,9.335,0.849,31.184,23.11,27.2,27.2
,Kyle Pitts,ATL,TE,1,57,91.935,10,6,90,0,9,15,60,32,5.333,3,30,0,10,6,90,0,0,-0.029,-0.003,-5.735,-17.46,15,15
,Christian Watson,GB,WR,1,44,84.615,4,4,89,2,22.25,22.25,100,46,11.5,3,41,0,4,4,89,0,0,9.622,2.406,59.168,171.64,24.9,24.9
,Brian Thomas Jr.,JAX,WR,1,53,81.538,6,3,87,0,14.5,29,50,11,3.667,3,39,0,6,3,87,0,0,5.617,0.936,22.879,40.28,11.7,11.7
,Mike Gesicki,CIN,TE,1,22,39.286,6,6,86,1,14.333,14.333,100,19,3.167,5,37,0,6,6,86,1,1,9.53,1.588,45.506,111.06,20.6,20.6
,Alec Pierce,IND,WR,1,52,80,8,5,80,0,10,16,62.5,40,8,4,29,0,8,5,80,1,0,5.978,0.747,30.412,36.29,13,13
,Michael Pittman,IND,WR,1,55,84.615,12,9,79,0,6.583,8.778,75,32,3.556,5,24,0,12,9,79,1,0,-4.704,-0.392,11.408,-0.43,16.9,16.9
,Tim Patrick,JAX,WR,1,41,63.077,6,5,78,1,13,15.6,83.333,11,2.2,3,37,0,6,5,78,2,1,8.937,1.49,32.997,62.28,18.8,18.8
,Dallas Goedert,PHI,TE,1,61,89.706,10,8,78,0,7.8,9.75,80,43,5.375,5,16,0,10,8,78,0,0,8.591,0.859,6.75,3.22,15.8,15.8
,Jahmyr Gibbs,DET,RB,1,40,70.175,7,7,77,0,11,11,100,63,9,3,26,0,7,7,77,0,0,4.376,0.625,27.219,60.14,37,37
,Jerry Jeudy,CLV,WR,1,58,86.567,5,3,76,1,15.2,25.333,60,44,14.667,2,60,0,5,3,76,0,0,4.843,0.969,17.234,36.94,16.6,16.6
,Rashid Shaheed,SEA,WR,1,31,51.667,5,4,67,0,13.4,16.75,80,18,4.5,3,33,0,5,4,67,0,0,5.553,1.111,28.108,59.43,10.7,10.7
,Luther Burden III,CHI,WR,1,48,67.606,6,4,67,0,11.167,16.75,66.667,27,6.75,4,27,0,6,4,67,0,0,6.015,1.003,25.006,41.97,11,11
,Dylan Sampson,CLV,RB,1,25,37.313,6,5,64,0,10.667,12.8,83.333,62,12.4,1,31,0,6,5,64,0,0,-2.64,-0.44,-0.527,-15.39,11.8,11.8
,Jordan Addison,MIN,WR,1,41,65.079,7,4,62,0,8.857,15.5,57.143,13,3.25,4,21,0,7,4,62,1,0,3.229,0.461,4.328,-5.05,10.2,10.2
,Courtland Sutton,DEN,WR,1,46,62.162,10,6,62,0,6.2,10.333,60,9,1.5,4,14,0,10,6,62,1,0,1.53,0.153,-6.51,-20.5,12.2,12.2
,Kimani Vidal,LAC,RB,1,49,62.025,3,1,60,0,20,60,33.333,59,59,1,60,0,3,1,60,0,0,2.817,0.939,13.071,73.61,11.4,11.4
,Jake Ferguson,DAL,TE,1,60,76.923,7,5,58,0,8.286,11.6,71.429,12,2.4,2,19,0,7,5,58,1,0,-3.004,-0.429,-22.194,-67.64,10.8,10.8
,Quinshon Judkins,CLV,RB,1,30,44.776,3,1,58,0,19.333,58,33.333,62,62,1,58,0,3,1,58,0,0,2.782,0.927,10.867,51.87,9.4,9.4
,Trey McBride,ARZ,TE,1,59,92.188,9,5,58,0,6.444,11.6,55.556,37,7.4,2,27,0,9,5,58,2,0,-0.267,-0.03,-0.125,-7.48,10.8,10.8
,Chris Godwin Jr.,TB,WR,1,48,64.865,8,5,55,0,6.875,11,62.5,36,7.2,3,21,0,8,5,55,0,0,-0.568,-0.071,-6.081,-21.95,10.5,10.5
,Xavier Worthy,KC,WR,1,48,67.606,4,3,55,0,13.75,18.333,75,18,6,3,23,0,4,3,55,0,0,2.966,0.742,26.33,70.29,8.5,8.5
,Mason Taylor,NYJ,TE,1,36,63.158,8,5,51,0,6.375,10.2,62.5,32,6.4,3,15,0,8,5,51,0,0,-2.192,-0.274,-4.094,-15.19,10.1,10.1
,Jaylen Waddle,MIA,WR,1,49,77.778,7,5,50,1,7.143,10,71.429,17,3.4,4,24,0,7,5,50,1,1,3.589,0.513,21.651,26.43,18.1,18.1
,Jack Bech,LV,WR,1,38,76,6,6,50,0,8.333,8.333,100,3,0.5,2,17,0,6,6,50,0,0,3.535,0.589,15.233,17.16,11,11
,Jaylen Warren,PIT,RB,1,24,46.154,3,3,49,1,16.333,16.333,100,48,16,1,38,0,3,3,49,0,0,4.892,1.631,29.41,148.22,15.2,15.2
,Brock Bowers,LV,TE,1,47,94,5,4,46,1,9.2,11.5,80,10,2.5,3,15,0,5,4,46,2,1,1.316,0.263,16.743,42.04,14.6,14.6
,Bo Melton,GB,CB,1,9,17.308,2,1,45,1,22.5,45,50,1,1,1,45,0,2,1,45,1,1,3.809,1.905,24.088,168.09,11.5,11.5
,Ja'Marr Chase,CIN,WR,1,56,100,8,5,44,0,5.5,8.8,62.5,30,6,4,16,0,8,5,44,0,0,-13.286,-1.661,-7.439,-24.2,10.2,10.2
